"","Subj_idx","Response","Confidence"
"1",1,1,2
"2",1,1,2
"3",1,1,2
"4",1,1,2
"5",1,1,2
"6",1,2,1
"7",1,2,2
"8",1,1,2
"9",1,1,2
"10",1,2,1
"11",1,1,2
"12",1,1,2
"13",1,1,2
"14",1,1,2
"15",1,1,2
"16",1,2,1
"17",1,1,2
"18",1,1,1
"19",1,2,2
"20",1,1,2
"21",1,1,2
"22",1,1,1
"23",1,1,2
"24",1,1,2
"25",1,2,2
"26",1,2,2
"27",1,2,2
"28",1,1,2
"29",1,2,1
"30",1,1,2
"31",1,1,2
"32",1,2,2
"33",1,1,2
"34",1,1,2
"35",1,1,2
"36",1,1,2
"37",1,1,2
"38",1,1,2
"39",1,1,2
"40",1,1,2
"41",1,1,2
"42",1,2,1
"43",1,1,2
"44",1,1,2
"45",2,2,2
"46",2,1,2
"47",2,1,1
"48",2,1,2
"49",2,2,2
"50",2,2,2
"51",2,1,2
"52",2,2,2
"53",2,1,1
"54",2,2,1
"55",2,1,2
"56",2,1,2
"57",2,1,2
"58",2,1,2
"59",2,1,2
"60",2,1,1
"61",2,1,2
"62",2,1,1
"63",2,1,2
"64",2,1,2
"65",2,2,1
"66",2,1,1
"67",2,2,1
"68",2,2,2
"69",2,2,2
"70",2,2,2
"71",2,2,2
"72",2,1,2
"73",2,1,1
"74",2,2,2
"75",2,1,2
"76",2,1,2
"77",2,1,2
"78",2,1,2
"79",2,1,2
"80",2,1,2
"81",2,1,2
"82",2,1,2
"83",2,1,2
"84",2,2,2
"85",2,2,2
"86",2,2,1
"87",2,1,2
"88",2,1,2
"89",3,1,2
"90",3,1,2
"91",3,2,2
"92",3,1,2
"93",3,1,2
"94",3,1,2
"95",3,1,2
"96",3,1,2
"97",3,1,1
"98",3,2,1
"99",3,1,2
"100",3,1,2
"101",3,1,2
"102",3,1,2
"103",3,1,2
"104",3,1,1
"105",3,1,2
"106",3,1,1
"107",3,1,2
"108",3,1,2
"109",3,2,1
"110",3,2,1
"111",3,1,2
"112",3,1,2
"113",3,2,1
"114",3,1,2
"115",3,1,2
"116",3,1,2
"117",3,1,2
"118",3,2,2
"119",3,1,2
"120",3,1,2
"121",3,1,2
"122",3,1,2
"123",3,1,2
"124",3,1,2
"125",3,1,2
"126",3,1,2
"127",3,1,2
"128",3,1,2
"129",3,1,2
"130",3,1,1
"131",3,1,2
"132",3,1,2
"133",4,1,2
"134",4,1,2
"135",4,1,2
"136",4,1,2
"137",4,1,2
"138",4,2,2
"139",4,2,1
"140",4,1,2
"141",4,1,2
"142",4,2,1
"143",4,1,2
"144",4,1,2
"145",4,1,2
"146",4,1,2
"147",4,1,2
"148",4,1,2
"149",4,2,2
"150",4,1,2
"151",4,1,2
"152",4,1,2
"153",4,2,2
"154",4,2,1
"155",4,2,1
"156",4,2,2
"157",4,2,2
"158",4,2,2
"159",4,1,2
"160",4,1,1
"161",4,2,1
"162",4,1,2
"163",4,1,2
"164",4,1,2
"165",4,1,2
"166",4,2,2
"167",4,1,2
"168",4,1,2
"169",4,1,2
"170",4,1,2
"171",4,1,2
"172",4,1,2
"173",4,1,2
"174",4,2,1
"175",4,1,2
"176",4,1,2
"177",5,2,2
"178",5,2,2
"179",5,1,2
"180",5,1,2
"181",5,1,2
"182",5,1,2
"183",5,1,2
"184",5,2,2
"185",5,1,2
"186",5,2,1
"187",5,1,2
"188",5,1,2
"189",5,1,2
"190",5,1,2
"191",5,1,2
"192",5,2,2
"193",5,1,2
"194",5,2,1
"195",5,1,2
"196",5,1,2
"197",5,1,2
"198",5,1,2
"199",5,1,2
"200",5,1,2
"201",5,2,2
"202",5,2,2
"203",5,1,2
"204",5,1,2
"205",5,2,1
"206",5,2,2
"207",5,1,2
"208",5,1,2
"209",5,1,2
"210",5,1,2
"211",5,1,2
"212",5,1,2
"213",5,1,2
"214",5,2,2
"215",5,1,2
"216",5,1,2
"217",5,1,1
"218",5,2,1
"219",5,1,2
"220",5,1,2
"221",6,1,2
"222",6,1,2
"223",6,1,2
"224",6,1,2
"225",6,1,2
"226",6,2,1
"227",6,1,2
"228",6,1,2
"229",6,1,2
"230",6,2,1
"231",6,1,2
"232",6,1,2
"233",6,1,2
"234",6,1,2
"235",6,1,2
"236",6,1,2
"237",6,1,2
"238",6,2,1
"239",6,1,2
"240",6,1,2
"241",6,1,1
"242",6,2,1
"243",6,2,1
"244",6,1,2
"245",6,1,1
"246",6,1,2
"247",6,1,2
"248",6,1,2
"249",6,1,1
"250",6,2,1
"251",6,1,2
"252",6,1,2
"253",6,1,1
"254",6,2,1
"255",6,1,2
"256",6,1,2
"257",6,1,2
"258",6,1,2
"259",6,1,2
"260",6,1,2
"261",6,1,2
"262",6,2,1
"263",6,1,2
"264",6,1,2
"265",7,2,1
"266",7,2,2
"267",7,2,2
"268",7,2,2
"269",7,2,2
"270",7,1,2
"271",7,1,2
"272",7,1,2
"273",7,1,1
"274",7,2,1
"275",7,2,2
"276",7,2,2
"277",7,1,2
"278",7,1,2
"279",7,2,2
"280",7,2,1
"281",7,1,1
"282",7,2,1
"283",7,2,2
"284",7,1,2
"285",7,1,1
"286",7,2,1
"287",7,1,1
"288",7,1,2
"289",7,2,1
"290",7,2,2
"291",7,2,2
"292",7,1,2
"293",7,2,2
"294",7,2,2
"295",7,1,2
"296",7,1,2
"297",7,1,2
"298",7,1,2
"299",7,2,1
"300",7,1,2
"301",7,1,1
"302",7,1,2
"303",7,1,1
"304",7,1,2
"305",7,2,2
"306",7,2,1
"307",7,1,2
"308",7,1,2
"309",8,1,2
"310",8,1,2
"311",8,1,2
"312",8,1,2
"313",8,1,2
"314",8,2,2
"315",8,1,2
"316",8,1,2
"317",8,1,2
"318",8,2,2
"319",8,1,2
"320",8,1,2
"321",8,1,2
"322",8,1,2
"323",8,1,2
"324",8,1,2
"325",8,1,2
"326",8,2,2
"327",8,1,2
"328",8,1,2
"329",8,1,2
"330",8,2,2
"331",8,1,2
"332",8,1,2
"333",8,1,2
"334",8,2,1
"335",8,1,2
"336",8,1,2
"337",8,2,1
"338",8,1,2
"339",8,1,2
"340",8,1,2
"341",8,1,2
"342",8,2,2
"343",8,1,2
"344",8,1,2
"345",8,1,2
"346",8,1,2
"347",8,1,2
"348",8,1,2
"349",8,1,2
"350",8,2,2
"351",8,1,2
"352",8,1,2
"353",9,2,2
"354",9,1,2
"355",9,1,2
"356",9,1,2
"357",9,1,2
"358",9,1,2
"359",9,1,2
"360",9,1,2
"361",9,1,2
"362",9,2,1
"363",9,1,2
"364",9,1,2
"365",9,1,2
"366",9,1,2
"367",9,2,2
"368",9,1,2
"369",9,1,2
"370",9,2,1
"371",9,1,2
"372",9,1,2
"373",9,2,2
"374",9,2,2
"375",9,1,1
"376",9,1,1
"377",9,2,2
"378",9,1,2
"379",9,1,2
"380",9,1,1
"381",9,1,2
"382",9,2,2
"383",9,1,2
"384",9,1,2
"385",9,1,1
"386",9,1,2
"387",9,1,2
"388",9,1,2
"389",9,1,2
"390",9,2,2
