"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,2,5
"3",1,1,4
"4",1,1,5
"5",1,2,4
"6",1,1,5
"7",1,1,5
"8",1,2,5
"9",1,1,4
"10",1,1,5
"11",1,2,5
"12",1,2,4
"13",1,2,5
"14",1,2,5
"15",1,2,5
"16",1,1,4
"17",1,1,3
"18",1,1,4
"19",1,1,5
"20",1,1,5
"21",1,1,5
"22",1,1,4
"23",1,2,5
"24",1,2,3
"25",1,2,4
"26",1,1,5
"27",1,1,5
"28",1,1,4
"29",1,1,5
"30",1,1,4
"31",1,1,5
"32",1,2,5
"33",1,2,5
"34",1,2,5
"35",1,2,5
"36",1,2,4
"37",1,2,5
"38",1,1,5
"39",1,1,4
"40",1,1,2
"41",1,2,4
"42",1,1,4
"43",1,1,4
"44",1,1,3
"45",1,1,5
"46",1,2,3
"47",1,1,3
"48",1,1,2
"49",1,2,5
"50",1,1,4
"51",1,1,4
"52",1,1,4
"53",1,2,5
"54",1,2,3
"55",1,2,4
"56",1,2,5
"57",1,1,5
"58",1,1,4
"59",1,1,4
"60",1,2,3
"61",1,1,2
"62",1,2,5
"63",1,1,5
"64",1,1,4
"65",1,2,5
"66",1,1,4
"67",1,1,2
"68",1,2,4
"69",1,1,3
"70",1,1,1
"71",1,1,5
"72",1,1,3
"73",1,1,5
"74",1,1,5
"75",1,1,4
"76",1,2,3
"77",1,1,4
"78",1,1,4
"79",1,1,3
"80",1,1,4
"81",1,1,5
"82",1,2,5
"83",1,1,4
"84",1,2,5
"85",1,2,5
"86",1,2,5
"87",1,2,5
"88",1,2,5
"89",1,2,5
"90",1,1,5
"91",1,1,5
"92",1,1,5
"93",1,2,3
"94",1,1,5
"95",1,2,4
"96",1,1,5
"97",1,1,4
"98",1,1,4
"99",1,1,4
"100",1,1,5
"101",1,2,4
"102",1,1,5
"103",1,1,5
"104",1,1,4
"105",1,1,3
"106",1,2,5
"107",1,1,5
"108",1,1,5
"109",1,1,5
"110",1,1,5
"111",1,1,4
"112",1,2,4
"113",1,2,5
"114",1,1,4
"115",1,2,5
"116",1,2,5
"117",1,2,4
"118",1,1,5
"119",1,2,4
"120",1,2,5
"121",1,1,5
"122",1,2,4
"123",1,1,2
"124",1,2,5
"125",1,2,4
"126",1,1,4
"127",1,2,4
"128",1,1,4
"129",1,1,4
"130",1,1,5
"131",1,1,5
"132",1,1,4
"133",1,1,4
"134",1,2,3
"135",1,1,2
"136",1,2,5
"137",1,1,4
"138",1,1,4
"139",1,1,4
"140",1,1,4
"141",1,1,3
"142",1,1,4
"143",1,1,4
"144",1,1,3
"145",1,1,4
"146",1,2,5
"147",1,2,5
"148",1,1,5
"149",1,1,4
"150",1,1,5
"151",1,1,5
"152",1,1,4
"153",1,1,4
"154",1,2,5
"155",1,1,4
"156",1,1,3
"157",1,1,4
"158",1,2,5
"159",1,1,4
"160",1,1,4
"161",1,1,5
"162",1,1,4
"163",1,2,4
"164",1,1,4
"165",1,1,4
"166",1,2,5
"167",1,1,5
"168",1,2,5
"169",1,2,5
"170",1,1,4
"171",1,2,5
"172",1,2,5
"173",1,2,4
"174",1,1,4
"175",1,1,3
"176",1,1,3
"177",1,2,4
"178",1,1,3
"179",1,2,3
"180",1,2,4
"181",1,1,4
"182",1,1,4
"183",1,1,4
"184",1,1,3
"185",1,2,4
"186",1,1,4
"187",1,2,4
"188",1,2,5
"189",1,2,4
"190",1,2,4
"191",1,2,3
"192",1,2,2
"193",1,1,4
"194",1,1,3
"195",1,2,4
"196",1,1,4
"197",1,1,3
"198",1,2,4
"199",1,1,3
"200",1,2,4
"201",1,1,4
"202",1,1,4
"203",1,2,4
"204",1,2,4
"205",1,1,4
"206",1,1,2
"207",1,2,5
"208",1,1,2
"209",1,2,3
"210",1,1,4
"211",1,1,4
"212",1,2,4
"213",1,2,4
"214",1,1,4
"215",1,2,3
"216",1,1,4
"217",1,2,3
"218",1,1,4
"219",1,1,4
"220",1,2,3
"221",1,1,3
"222",1,1,4
"223",1,2,4
"224",1,1,3
"225",1,1,4
"226",1,1,4
"227",1,1,3
"228",1,2,5
"229",1,1,4
"230",1,1,5
"231",1,2,2
"232",1,1,4
"233",1,1,4
"234",1,2,4
"235",1,1,3
"236",1,1,2
"237",1,1,4
"238",1,1,4
"239",1,1,4
"240",2,2,3
"241",2,2,3
"242",2,1,3
"243",2,2,3
"244",2,2,1
"245",2,1,2
"246",2,1,3
"247",2,1,3
"248",2,2,4
"249",2,1,4
"250",2,2,3
"251",2,2,3
"252",2,1,4
"253",2,1,3
"254",2,1,3
"255",2,1,3
"256",2,2,2
"257",2,1,1
"258",2,2,2
"259",2,2,2
"260",2,1,2
"261",2,2,1
"262",2,2,1
"263",2,1,2
"264",2,2,2
"265",2,1,2
"266",2,1,4
"267",2,1,3
"268",2,1,3
"269",2,1,3
"270",2,1,1
"271",2,1,3
"272",2,1,3
"273",2,1,4
