"","Subj_idx","Response","Confidence"
"1",4,1,1
"2",4,1,2
"3",4,1,2
"4",4,2,2
"5",4,1,3
"6",4,1,3
"7",4,1,1
"8",4,1,1
"9",4,2,2
"10",4,2,2
"11",4,2,2
"12",4,1,3
"13",4,1,3
"14",4,1,1
"15",4,1,1
"16",4,1,2
"17",4,1,3
"18",4,2,2
"19",4,2,3
"20",4,1,3
"21",4,1,3
"22",4,2,1
"23",4,1,3
"24",4,1,1
"25",4,2,1
"26",4,1,3
"27",4,1,1
"28",4,1,3
"29",4,2,3
"30",4,1,2
"31",4,1,1
"32",4,2,3
"33",4,2,3
"34",4,2,3
"35",4,2,3
"36",4,2,2
"37",4,2,2
"38",4,2,2
"39",4,1,2
"40",4,2,2
"41",4,1,3
"42",4,1,3
"43",4,2,1
"44",4,2,1
"45",4,1,2
"46",4,1,2
"47",4,1,2
"48",4,2,3
"49",4,2,3
"50",4,1,3
"51",4,2,1
"52",4,1,2
"53",4,1,1
"54",4,2,2
"55",4,2,2
"56",4,2,3
"57",4,2,2
"58",4,2,1
"59",4,2,1
"60",4,2,2
"61",4,1,3
"62",4,2,2
"63",4,2,3
"64",4,2,3
"65",4,2,3
"66",4,1,3
"67",4,2,1
"68",4,2,2
"69",4,1,3
"70",4,2,1
"71",4,2,2
"72",4,2,2
"73",4,2,2
"74",4,2,2
"75",4,2,2
"76",4,2,3
"77",4,2,2
"78",4,2,3
"79",4,1,3
"80",4,2,1
"81",4,2,2
"82",4,2,3
"83",4,2,2
"84",4,2,2
"85",4,2,1
"86",4,2,1
"87",4,2,1
"88",4,2,3
"89",4,2,3
"90",4,1,3
"91",4,2,3
"92",4,2,3
"93",4,2,3
"94",4,1,2
"95",4,2,2
"96",4,1,3
"97",4,1,2
"98",4,1,1
"99",4,2,2
"100",4,1,3
"101",4,1,1
"102",4,2,2
"103",4,2,2
"104",4,2,3
"105",4,2,3
"106",4,2,3
"107",4,2,3
"108",4,2,3
"109",4,2,3
"110",4,2,3
"111",4,2,3
"112",4,1,2
"113",4,2,3
"114",4,2,2
"115",4,2,2
"116",4,2,3
"117",4,1,2
"118",4,1,3
"119",4,2,1
"120",4,2,1
"121",4,1,1
"122",4,1,2
"123",4,2,2
"124",4,2,2
"125",4,1,3
"126",4,2,1
"127",4,2,3
"128",4,2,2
"129",4,2,2
"130",4,1,3
"131",4,1,3
"132",4,2,1
"133",4,2,2
"134",4,2,3
"135",4,2,3
