"","Subj_idx","Response","Confidence"
"1",1,2,6
"2",1,1,1
"3",1,2,6
"4",1,2,6
"5",1,1,6
"6",1,2,6
"7",1,2,6
"8",1,1,6
"9",1,1,1
"10",1,1,4
"11",1,2,6
"12",1,2,5
"13",1,2,6
"14",1,2,6
"15",1,2,6
"16",1,2,6
"17",1,1,6
"18",1,1,6
"19",1,2,5
"20",1,1,2
"21",1,2,2
"22",1,2,4
"23",1,1,5
"24",1,2,6
"25",1,2,6
"26",1,1,4
"27",1,1,5
"28",1,2,1
"29",1,1,6
"30",1,1,1
"31",1,2,4
"32",1,2,4
"33",1,2,4
"34",1,1,1
"35",1,2,3
"36",1,2,1
"37",1,1,1
"38",1,2,6
"39",1,1,6
"40",1,1,6
"41",1,1,1
"42",1,1,6
"43",1,1,1
"44",1,2,5
"45",1,2,6
"46",1,2,6
"47",1,2,6
"48",1,2,4
"49",1,1,2
"50",1,2,6
"51",1,2,3
"52",1,2,1
"53",1,2,6
"54",1,2,2
"55",1,2,6
"56",1,1,6
"57",1,2,1
"58",1,2,5
"59",1,2,2
"60",1,2,5
"61",1,2,2
"62",1,1,1
"63",1,1,4
"64",1,1,5
"65",1,2,1
"66",1,1,1
"67",1,2,6
"68",1,1,5
"69",1,2,2
"70",1,1,1
"71",1,2,4
"72",1,1,1
"73",1,2,5
"74",1,1,4
"75",1,1,4
"76",1,1,3
"77",1,1,4
"78",1,1,2
"79",1,1,2
"80",1,1,1
"81",1,1,1
"82",1,1,2
"83",1,1,4
"84",1,1,4
"85",1,1,2
"86",1,1,1
"87",1,1,3
"88",1,1,2
"89",1,2,4
"90",1,1,3
"91",1,2,3
"92",1,1,3
"93",1,2,3
"94",1,1,2
"95",1,1,4
"96",1,1,5
"97",1,1,1
"98",1,1,2
"99",1,1,2
"100",1,1,5
"101",1,1,5
"102",1,1,6
"103",1,1,6
"104",1,2,6
"105",1,1,4
"106",1,2,6
"107",1,1,5
"108",1,2,6
"109",1,2,6
"110",1,2,6
"111",1,2,6
"112",1,1,6
"113",1,1,6
"114",1,2,6
"115",1,1,6
"116",1,1,5
"117",1,2,6
"118",1,1,6
"119",1,2,6
"120",1,1,6
"121",1,2,5
"122",1,2,2
"123",1,2,6
"124",1,2,6
"125",1,1,6
"126",1,2,6
"127",1,1,6
"128",1,1,3
"129",1,1,6
"130",1,2,6
"131",1,1,3
"132",1,1,3
"133",1,1,3
"134",1,1,4
"135",1,1,4
"136",1,2,5
"137",1,1,5
"138",1,2,1
"139",1,1,1
"140",1,2,3
"141",1,2,1
"142",1,1,3
"143",1,1,4
"144",1,2,3
"145",1,2,5
"146",1,1,1
"147",1,1,5
"148",1,1,6
"149",1,1,1
"150",1,1,1
"151",1,1,1
"152",1,2,2
"153",1,1,1
"154",1,1,1
"155",1,1,1
"156",1,1,1
"157",1,1,1
"158",1,2,1
"159",1,1,3
"160",1,2,1
"161",1,1,2
