"","Subj_idx","Response","Confidence"
"1",1,1,2
"2",1,1,2
"3",1,1,3
"4",1,1,3
"5",1,1,3
"6",1,1,1
"7",1,2,4
"8",1,1,3
"9",1,2,4
"10",1,1,3
"11",1,1,1
"12",1,2,4
"13",1,1,4
"14",1,2,3
"15",1,2,4
"16",1,2,3
"17",1,1,4
"18",1,1,2
"19",1,1,2
"20",1,1,3
"21",1,2,4
"22",1,2,3
"23",1,1,1
"24",1,1,3
"25",1,1,1
"26",1,1,1
"27",1,2,4
"28",1,1,1
"29",1,2,2
"30",1,1,1
"31",1,2,3
"32",1,1,2
"33",1,1,2
"34",1,1,1
"35",1,1,1
"36",1,2,2
"37",1,1,1
"38",1,1,1
"39",1,1,2
"40",1,2,3
"41",1,1,2
"42",1,2,4
"43",1,1,2
"44",1,1,1
"45",1,2,4
"46",1,1,2
"47",1,2,3
"48",1,1,3
"49",1,2,4
"50",1,1,1
"51",1,1,1
"52",1,1,1
"53",1,1,2
"54",1,1,1
"55",1,2,3
"56",1,1,1
"57",1,2,2
"58",1,2,4
"59",1,2,3
"60",1,1,1
"61",1,2,4
"62",1,1,3
"63",1,2,3
"64",1,1,1
"65",1,2,4
"66",1,1,1
"67",1,1,1
"68",1,2,3
"69",1,1,0
"70",1,1,2
"71",1,2,2
"72",1,2,4
"73",1,1,3
"74",1,1,3
"75",1,1,3
"76",1,1,1
"77",1,2,4
"78",1,1,2
"79",1,1,2
"80",1,1,1
"81",1,2,3
"82",1,1,1
"83",1,1,1
"84",1,2,4
"85",1,1,3
"86",1,2,4
"87",1,1,2
"88",1,2,4
"89",1,1,4
"90",1,2,4
"91",1,1,4
"92",1,1,4
"93",1,1,3
"94",1,1,1
"95",1,1,2
"96",1,2,2
"97",1,1,1
"98",1,1,1
"99",1,1,1
"100",1,2,4
"101",1,2,4
"102",1,2,4
"103",1,1,1
"104",1,2,4
"105",1,1,4
"106",1,1,3
"107",1,2,4
"108",1,1,0
"109",1,2,4
"110",1,1,1
"111",1,1,2
"112",1,2,3
"113",1,1,1
"114",1,2,4
"115",1,1,3
"116",1,1,3
"117",1,1,4
"118",1,1,4
"119",1,2,4
"120",1,1,1
"121",1,2,1
"122",1,2,4
"123",1,1,3
"124",1,1,1
"125",1,1,2
"126",1,2,3
"127",1,1,2
"128",1,1,1
"129",1,1,1
"130",1,2,2
"131",1,1,0
"132",1,1,1
"133",1,2,2
"134",1,1,1
"135",1,2,3
"136",1,1,1
"137",1,1,2
"138",1,2,3
"139",1,1,2
"140",1,2,3
"141",1,2,1
"142",1,2,3
"143",1,1,3
"144",1,1,1
"145",1,2,2
"146",1,1,3
"147",1,1,2
"148",1,1,1
"149",1,1,1
"150",1,1,1
"151",1,2,3
"152",1,1,1
"153",1,1,1
"154",1,1,2
"155",1,1,1
"156",1,2,3
"157",1,2,3
"158",1,1,2
"159",1,1,1
"160",1,2,3
"161",1,1,1
"162",1,2,3
"163",1,1,2
"164",1,2,3
"165",1,1,0
"166",1,1,0
"167",1,2,3
"168",1,2,3
"169",1,1,1
"170",1,1,1
"171",1,2,2
"172",1,1,1
"173",1,2,2
"174",1,1,1
"175",1,1,2
"176",1,2,3
"177",1,1,1
"178",1,1,1
"179",1,1,1
"180",1,2,2
"181",1,1,3
"182",1,2,3
"183",1,1,3
"184",1,2,3
"185",1,1,2
"186",1,1,0
"187",1,1,3
"188",1,2,3
"189",1,2,4
"190",1,1,2
"191",1,2,3
"192",1,2,4
"193",1,1,4
"194",1,2,4
"195",1,2,4
"196",1,2,2
"197",1,2,2
"198",1,1,1
"199",1,2,2
"200",1,2,2
"201",1,2,3
"202",1,2,1
"203",1,2,2
"204",1,1,2
"205",1,1,0
"206",1,1,1
"207",1,1,1
"208",1,1,0
"209",1,2,3
"210",1,1,1
"211",1,2,2
"212",1,1,1
"213",1,2,2
"214",1,1,3
"215",1,1,4
"216",1,1,2
"217",1,1,2
"218",1,1,0
"219",1,1,3
"220",1,2,4
"221",1,1,3
"222",1,1,3
"223",1,1,1
"224",1,1,1
"225",1,1,2
"226",1,2,3
"227",1,2,2
"228",1,2,3
"229",1,1,4
"230",1,1,3
"231",1,2,4
"232",1,1,3
"233",1,1,1
"234",1,1,3
"235",1,2,3
"236",1,1,3
"237",1,1,1
"238",1,1,2
"239",1,1,3
"240",1,2,2
"241",1,2,1
"242",1,1,1
"243",1,2,2
"244",1,1,1
"245",1,2,1
"246",1,1,2
"247",1,2,2
"248",1,2,3
"249",1,1,3
"250",1,1,0
"251",1,1,1
"252",1,1,2
"253",1,2,4
"254",1,2,3
"255",1,2,4
"256",1,1,4
"257",1,2,4
"258",1,2,2
"259",1,2,4
"260",1,1,4
"261",1,1,4
"262",1,1,2
"263",1,1,0
"264",1,2,4
"265",1,1,3
"266",1,1,3
"267",1,1,1
"268",1,1,2
"269",1,1,1
"270",1,2,3
"271",1,2,4
"272",1,1,3
"273",1,1,3
"274",1,2,2
"275",1,2,2
"276",1,1,1
"277",1,2,3
"278",1,1,1
"279",1,2,2
"280",1,1,1
"281",1,1,0
"282",1,1,1
"283",1,1,2
"284",1,2,1
"285",1,1,2
"286",1,2,3
"287",1,1,2
"288",1,2,3
"289",1,1,2
"290",1,2,3
"291",1,2,4
"292",1,1,3
"293",1,2,4
"294",1,2,2
"295",1,1,2
"296",1,1,1
"297",1,2,3
"298",1,1,1
"299",1,1,1
"300",1,1,1
"301",1,1,1
"302",1,1,2
"303",1,2,3
"304",1,2,1
"305",1,1,2
"306",1,2,2
"307",1,1,1
"308",1,2,1
"309",1,2,3
"310",1,1,2
"311",1,2,2
"312",1,1,3
"313",1,1,3
"314",1,2,1
"315",1,2,3
"316",1,1,4
"317",1,2,4
"318",1,1,4
"319",1,1,2
"320",1,1,1
"321",1,2,3
"322",1,2,3
"323",1,2,4
"324",1,2,2
"325",1,2,2
"326",1,1,2
"327",1,2,3
"328",1,2,3
"329",1,1,1
"330",1,1,1
"331",1,1,1
"332",1,2,1
"333",1,1,2
"334",1,2,3
"335",1,1,1
"336",1,2,3
"337",1,1,1
"338",1,1,0
"339",1,1,1
"340",1,2,4
"341",1,2,3
"342",1,1,1
"343",1,1,2
"344",1,2,3
"345",1,1,1
"346",1,2,3
"347",1,2,3
"348",1,1,1
"349",1,1,1
"350",1,2,2
"351",1,1,2
"352",1,1,2
"353",1,1,1
"354",1,1,1
"355",1,1,1
"356",1,1,1
"357",1,2,2
"358",1,1,1
"359",1,2,1
"360",1,1,1
"361",1,1,1
"362",1,2,3
"363",1,2,3
"364",1,1,2
"365",1,1,2
"366",1,1,2
"367",1,2,3
"368",1,1,2
"369",1,2,4
"370",1,2,4
"371",1,1,1
"372",1,1,1
"373",1,1,1
"374",1,1,2
"375",1,1,2
"376",1,2,1
"377",1,2,3
"378",1,2,4
"379",1,2,4
"380",1,1,2
"381",1,2,3
"382",1,2,4
"383",1,2,2
"384",1,1,1
"385",1,1,2
"386",1,1,2
"387",1,1,2
"388",1,2,1
"389",1,2,3
"390",1,2,1
