"","Subj_idx","Response","Confidence"
"1",1,1,7
"2",1,1,8
"3",1,2,5
"4",1,2,4
"5",1,1,8
"6",1,2,6
"7",1,1,7
"8",1,2,5
"9",1,1,9
"10",1,2,5
"11",1,2,6
"12",1,1,8
"13",1,1,9
"14",1,1,7
"15",1,1,5
"16",1,1,3
"17",1,1,4
"18",1,1,6
"19",1,1,7
"20",1,1,7
"21",1,NA,NA
"22",1,2,4
"23",1,1,8
"24",1,1,7
"25",1,2,5
"26",1,2,3
"27",1,2,4
"28",1,2,1
"29",1,2,5
"30",1,2,5
"31",1,2,6
"32",1,2,2
"33",1,1,7
"34",1,2,4
"35",1,2,1
"36",1,1,8
"37",1,2,8
"38",1,1,5
"39",1,NA,NA
"40",1,2,5
"41",1,2,6
"42",1,2,2
"43",1,2,8
"44",1,1,6
"45",1,2,8
"46",1,1,5
"47",1,2,3
"48",1,1,6
"49",1,1,4
"50",1,2,5
"51",1,1,6
"52",1,2,6
"53",1,2,3
"54",1,1,5
"55",1,2,6
"56",1,1,7
"57",1,1,6
"58",1,1,6
"59",1,1,3
"60",1,2,6
"61",1,2,4
"62",1,1,8
"63",1,2,4
"64",1,2,6
"65",1,2,4
"66",1,1,8
"67",1,2,5
"68",1,2,6
"69",1,1,4
"70",1,1,8
"71",1,1,9
"72",1,1,4
"73",1,1,6
"74",1,1,7
"75",1,1,5
"76",1,1,8
"77",1,1,6
"78",1,2,3
"79",1,1,6
"80",1,1,7
"81",1,2,5
"82",1,1,6
"83",1,1,1
"84",1,2,7
"85",1,2,4
"86",1,2,2
"87",1,1,1
"88",1,2,5
"89",1,1,7
"90",1,2,4
"91",1,2,6
"92",1,2,7
"93",1,2,6
"94",1,1,8
"95",1,1,6
"96",1,2,6
"97",1,2,8
"98",1,1,8
"99",1,2,6
"100",1,1,9
"101",1,2,5
"102",1,1,8
"103",1,1,8
"104",1,2,3
"105",1,2,6
"106",1,2,4
"107",1,2,3
"108",1,2,6
"109",1,1,7
"110",1,1,6
"111",1,1,9
"112",1,1,4
"113",1,2,6
"114",1,1,8
"115",1,2,4
"116",1,1,6
"117",1,1,6
"118",1,1,8
"119",1,2,6
"120",1,1,7
"121",1,1,1
