"","Subj_idx","Response","Confidence"
"1",1,2,0.8
"2",1,2,0.6
"3",1,1,0.7
"4",1,1,0.8
"5",1,1,0.8
"6",1,1,0.8
"7",1,1,0.8
"8",1,1,0.7
"9",1,2,0.6
"10",1,1,0.8
"11",1,1,0.7
"12",1,2,0.6
"13",1,1,0.9
"14",1,2,0.9
"15",1,1,0.7
"16",1,2,0.8
"17",1,2,0.7
"18",1,1,0.8
"19",1,1,1
"20",1,2,0.9
"21",1,2,0.7
"22",1,2,0.7
"23",1,1,0.7
"24",1,2,0.8
"25",1,2,0.7
"26",1,1,0.7
"27",1,1,0.8
"28",1,2,0.8
"29",1,1,0.8
"30",1,1,0.9
"31",1,1,0.8
"32",1,1,0.7
"33",1,1,0.6
"34",1,2,0.6
"35",1,2,0.7
"36",1,1,0.7
"37",1,1,0.5
"38",1,1,0.6
"39",1,1,0.6
"40",1,1,0.7
"41",1,2,0.7
"42",1,1,0.8
"43",1,1,0.7
"44",1,1,0.8
"45",1,1,0.8
"46",1,2,0.7
"47",1,2,0.8
"48",1,2,0.5
"49",1,2,0.6
"50",1,1,0.6
"51",1,2,0.7
"52",1,2,0.8
"53",1,2,0.6
"54",1,1,0.5
"55",1,1,0.5
"56",1,1,0.6
"57",1,2,0.6
"58",1,2,0.5
"59",1,1,0.5
"60",1,1,0.6
"61",1,2,0.8
"62",1,1,0.6
"63",1,1,0.6
"64",1,2,0.7
"65",1,1,0.6
"66",1,1,0.6
"67",1,1,0.6
"68",1,2,0.8
"69",1,1,0.8
"70",1,1,0.7
"71",1,2,0.6
"72",1,1,0.5
"73",1,1,0.6
"74",1,1,0.6
"75",1,2,0.5
"76",1,1,0.5
"77",1,1,0.9
"78",1,2,0.8
"79",1,1,0.8
"80",1,1,0.9
"81",1,1,0.9
"82",1,1,0.7
"83",1,1,0.8
"84",1,1,0.8
"85",1,1,0.7
"86",1,2,0.7
"87",1,2,0.9
"88",1,1,0.5
"89",1,1,0.9
"90",1,2,0.8
"91",1,1,0.7
"92",1,1,0.6
"93",1,1,0.8
"94",1,2,0.8
"95",1,2,0.7
"96",1,1,0.6
"97",1,1,0.6
"98",1,1,0.6
"99",1,1,0.6
"100",1,2,0.5
"101",1,1,0.6
"102",1,1,0.8
"103",1,2,0.7
"104",1,2,0.7
"105",1,1,0.8
"106",1,1,0.7
"107",1,1,0.8
"108",1,2,0.7
"109",1,1,0.6
"110",1,1,0.7
"111",1,2,0.8
"112",1,2,0.7
"113",1,2,0.7
"114",1,2,0.7
"115",1,1,0.8
"116",1,2,0.8
"117",1,2,0.7
"118",1,1,0.7
"119",1,1,0.8
"120",1,2,0.7
"121",1,2,0.7
"122",1,1,0.6
"123",1,1,0.6
"124",1,2,0.7
"125",1,2,0.7
"126",1,1,0.6
"127",1,2,0.6
"128",1,2,0.6
"129",1,1,0.8
"130",1,1,0.8
"131",1,1,0.6
"132",1,1,0.8
"133",1,1,0.7
"134",1,1,0.6
"135",1,2,0.9
"136",1,2,0.9
"137",1,2,0.8
"138",1,1,0.7
"139",1,1,0.9
"140",1,1,0.5
"141",1,2,0.7
"142",1,2,0.7
"143",1,1,0.6
"144",1,2,0.7
"145",1,1,0.6
"146",1,1,0.6
"147",1,2,0.8
"148",1,2,0.7
"149",1,2,0.7
"150",1,1,0.6
"151",1,1,0.6
"152",1,2,0.7
"153",1,2,0.6
"154",1,2,0.7
"155",1,2,0.8
"156",1,2,0.8
"157",1,2,0.7
"158",1,1,0.6
"159",1,2,0.6
"160",1,2,0.8
"161",1,2,0.7
"162",1,2,0.7
"163",1,2,0.6
"164",1,1,0.8
"165",1,2,0.9
"166",1,1,0.8
"167",1,2,0.8
"168",1,2,0.9
"169",1,2,0.8
"170",1,2,0.6
"171",1,2,0.7
"172",1,1,0.5
"173",1,2,0.9
"174",1,1,0.8
"175",1,2,0.7
"176",1,1,0.6
"177",1,2,0.6
"178",1,1,0.8
"179",1,1,0.7
"180",1,1,0.7
"181",1,1,0.8
"182",1,1,0.7
"183",1,1,0.5
"184",1,1,0.6
"185",1,1,0.6
"186",1,1,0.6
"187",1,2,0.6
"188",1,1,0.6
"189",1,1,0.6
"190",1,2,0.9
"191",1,1,0.7
"192",1,1,0.6
"193",1,1,0.5
"194",1,2,0.6
"195",1,1,0.8
"196",1,1,0.9
"197",1,2,0.8
"198",1,2,0.8
"199",1,1,0.7
"200",1,1,0.6
"201",1,1,0.6
"202",1,1,0.6
"203",1,1,0.5
"204",1,1,0.8
"205",1,2,0.9
"206",1,1,0.7
"207",1,2,0.6
"208",1,2,0.6
"209",1,2,0.8
"210",1,2,0.7
"211",1,1,0.6
"212",1,1,0.8
"213",1,1,0.8
"214",1,1,0.6
"215",1,1,0.9
"216",1,2,0.9
"217",1,1,0.9
"218",1,1,0.8
"219",1,1,0.7
"220",1,2,0.7
"221",1,1,0.7
"222",1,2,0.8
"223",1,2,0.7
"224",1,1,0.6
"225",1,2,0.8
"226",1,1,0.7
"227",1,1,0.5
"228",1,1,0.9
"229",1,1,0.9
"230",1,2,0.9
"231",1,1,1
"232",1,1,0.6
"233",1,1,0.9
"234",1,2,0.8
"235",1,2,0.7
"236",1,2,0.7
"237",1,2,0.7
"238",1,1,0.7
"239",1,1,0.6
"240",1,2,0.6
"241",1,1,0.5
"242",1,1,0.6
"243",1,1,0.6
"244",1,2,0.6
"245",1,1,0.7
"246",1,1,0.6
"247",1,2,0.7
"248",1,2,0.7
"249",1,1,0.7
"250",1,2,0.7
"251",1,1,0.6
"252",1,1,0.6
"253",1,2,0.6
"254",1,1,0.6
"255",1,1,1
"256",1,1,0.9
"257",1,1,0.9
"258",1,2,0.7
"259",1,1,0.7
"260",1,2,0.8
"261",1,2,0.7
"262",1,1,0.7
"263",1,1,0.7
"264",1,2,0.8
"265",1,1,0.7
"266",1,2,0.7
"267",1,1,0.6
"268",1,1,0.9
"269",1,2,0.7
"270",1,2,0.7
"271",1,2,0.6
"272",1,1,0.6
"273",1,1,0.6
