"","Subj_idx","Response","Confidence"
"1","ack",2,2
"2","ack",2,3
"3","ack",1,1
"4","ack",2,1
"5","ack",2,2
"6","ack",2,2
"7","ack",2,2
"8","ack",2,1
"9","ack",2,3
"10","ack",2,3
"11","ack",2,1
"12","ack",1,1
"13","ack",1,2
"14","ack",2,1
"15","ack",2,3
"16","ack",2,2
"17","ack",2,3
"18","ack",2,3
"19","ack",2,1
"20","ack",2,3
"21","ack",2,3
"22","ack",2,2
"23","ack",2,1
"24","ack",2,3
"25","ack",2,3
"26","ack",2,1
"27","ack",2,2
"28","ack",2,3
"29","ack",2,2
"30","ack",2,1
"31","ack",1,3
"32","ack",2,2
"33","ack",1,1
"34","ack",2,3
"35","ack",2,1
"36","ack",2,2
"37","ack",2,2
"38","ack",2,3
"39","ack",2,1
"40","ack",2,2
"41","ack",2,3
"42","ack",2,2
"43","ack",2,1
"44","ack",2,1
"45","ack",2,3
"46","ack",2,2
"47","ack",1,3
"48","ack",2,2
"49","ack",2,3
"50","ack",1,1
"51","ack",2,1
"52","ack",2,2
"53","ack",2,3
"54","ack",2,2
"55","ack",2,3
"56","ack",2,3
"57","ack",2,2
"58","ack",1,2
"59","ack",2,1
"60","ack",2,3
"61","ack",2,2
"62","ack",2,3
"63","ack",1,3
"64","ack",1,2
"65","ack",2,1
"66","ack",1,1
"67","ack",1,3
"68","ack",1,1
"69","ack",1,3
"70","ack",2,1
"71","ack",2,2
"72","ack",1,3
"73","ack",1,3
"74","ack",1,3
"75","ack",2,3
"76","ack",2,3
"77","ack",2,1
"78","ack",2,3
"79","ack",1,3
"80","ack",1,2
"81","ack",2,1
"82","ack",1,3
"83","ack",2,1
"84","ack",2,3
"85","ack",2,2
"86","ack",2,1
"87","ack",2,3
"88","ack",1,2
"89","ack",2,2
"90","ack",1,3
"91","ack",1,3
"92","ack",1,1
"93","ack",1,3
"94","ack",2,2
"95","ack",2,3
"96","ack",2,1
"97","ack",1,3
"98","ack",2,2
"99","ack",1,3
"100","ack",1,3
"101","ack",2,2
"102","ack",1,3
"103","ack",2,2
"104","ack",2,3
"105","ack",2,2
"106","ack",2,1
"107","ack",2,3
"108","ack",2,3
"109","ack",2,2
"110","ack",1,3
"111","ack",2,3
"112","ack",2,1
"113","ack",2,2
"114","ack",1,3
"115","ack",2,1
"116","ack",2,2
"117","ack",1,2
"118","ack",1,1
"119","ack",2,3
"120","ack",2,3
"121","ack",2,2
"122","ack",1,2
"123","ack",2,1
"124","ack",2,3
"125","ack",1,3
"126","ack",2,3
"127","ack",2,2
"128","ack",2,1
"129","ack",2,1
"130","ack",2,2
"131","ack",2,1
"132","ack",2,2
"133","ack",2,3
"134","ack",2,2
"135","ack",2,3
"136","ack",2,3
"137","ack",2,1
"138","ack",2,1
"139","ack",2,1
"140","ack",1,2
"141","ack",2,1
"142","ack",2,3
"143","ack",2,3
"144","ack",2,2
"145","ack",2,2
"146","ack",2,3
"147","ack",2,3
"148","ack",2,1
"149","ack",2,2
"150","ack",2,2
"151","ack",1,3
"152","ack",2,2
"153","ack",2,3
"154","ack",2,3
"155","ack",1,2
"156","ack",1,3
"157","ack",1,3
"158","ack",1,1
"159","ack",2,2
"160","ack",2,1
"161","ack",2,1
"162","ack",1,3
"163","ack",2,3
"164","ack",2,1
"165","ack",2,3
"166","ack",1,2
"167","ack",1,2
"168","ack",2,2
"169","ack",1,2
"170","ack",1,3
"171","ack",1,3
"172","ack",2,1
"173","ack",2,2
"174","ack",2,3
"175","ack",1,3
"176","ack",2,3
"177","ack",2,3
"178","ack",2,3
"179","ack",2,1
"180","ack",2,3
"181","ack",2,3
"182","ack",1,2
"183","ack",1,2
"184","ack",1,1
"185","ack",2,1
"186","ack",2,2
"187","ack",1,1
"188","ack",2,3
"189","ack",1,2
"190","ack",2,3
"191","ack",2,3
"192","ack",1,1
"193","ack",2,2
"194","ack",2,2
"195","ack",2,3
"196","ack",2,3
"197","ack",2,1
"198","ack",2,1
"199","ack",1,3
"200","ack",2,3
"201","ack",2,3
"202","ack",2,2
"203","ack",2,1
"204","ack",2,1
"205","ack",2,3
"206","ack",2,1
"207","ack",1,3
"208","ack",1,1
"209","ack",2,2
"210","ack",1,2
"211","ack",1,3
"212","ack",1,1
"213","ack",2,3
"214","ack",2,2
"215","ack",2,2
"216","ack",2,2
"217","ack",2,1
"218","ack",2,3
"219","ack",2,1
"220","ack",1,1
"221","ack",2,1
"222","ack",2,2
"223","ack",2,3
"224","ack",2,1
"225","ack",1,3
"226","ack",2,1
"227","ack",2,3
"228","ack",1,2
"229","ack",1,1
"230","ack",1,1
"231","ack",2,2
"232","ack",2,1
"233","ack",2,3
"234","ack",2,3
"235","ack",2,3
"236","ack",2,3
"237","ack",2,3
"238","ack",2,1
"239","ack",2,1
"240","ack",2,2
"241","ack",2,3
"242","ack",1,2
"243","ack",2,3
"244","ack",2,2
"245","ack",2,2
"246","ack",2,1
"247","ack",2,1
"248","ack",2,1
"249","ack",2,1
"250","ack",1,1
"251","ack",1,1
"252","ack",2,1
"253","ack",2,1
"254","ack",2,1
"255","ack",2,1
"256","ack",2,1
"257","ack",2,1
"258","ack",2,2
"259","ack",2,2
"260","ack",2,1
"261","ack",2,2
"262","ack",2,2
"263","ack",2,2
"264","ack",1,2
"265","ack",1,1
"266","ack",2,3
"267","ack",2,1
"268","ack",2,1
"269","ack",2,1
"270","ack",2,1
"271","ack",2,1
"272","ack",2,1
"273","ack",2,3
"274","ack",2,2
"275","ack",1,3
"276","ack",2,3
"277","ack",2,1
"278","ack",2,2
"279","ack",2,2
"280","ack",2,1
"281","ack",2,2
"282","ack",2,1
"283","ack",2,2
"284","ack",2,3
"285","ack",2,2
"286","ack",1,3
"287","ack",2,1
"288","ack",1,3
"289","ack",1,3
"290","ack",1,1
"291","ack",2,1
"292","ack",2,2
"293","ack",2,1
"294","ack",2,2
"295","ack",1,1
"296","ack",1,1
"297","ack",1,3
"298","ack",1,3
"299","ack",1,2
"300","ack",1,1
"301","ack",2,2
"302","ack",1,1
"303","ack",2,3
"304","ack",2,3
"305","ack",2,2
"306","ack",1,2
"307","ack",2,2
"308","ack",2,1
"309","ack",1,2
"310","ack",2,2
"311","ack",2,2
"312","ack",2,3
"313","ack",2,2
"314","ack",2,3
"315","ack",2,1
"316","ack",1,1
"317","ack",1,1
"318","ack",1,2
"319","ack",2,2
"320","ack",2,3
"321","ack",2,3
"322","ack",2,1
"323","ack",2,1
"324","ack",1,1
"325","ack",2,1
"326","ack",2,2
"327","ack",2,2
"328","ack",2,1
"329","ack",2,1
"330","ack",2,1
"331","ack",2,1
"332","ack",2,1
"333","ack",1,3
"334","ack",1,3
"335","ack",1,3
"336","ack",2,3
"337","ack",2,1
"338","ack",1,1
"339","ack",1,3
"340","ack",1,2
"341","ack",1,3
"342","ack",2,3
"343","ack",2,1
"344","ack",2,1
"345","ack",2,2
"346","ack",2,1
"347","ack",1,1
"348","ack",2,1
"349","ack",1,1
"350","ack",2,3
"351","ack",2,2
"352","ack",2,1
"353","ack",2,1
"354","ack",2,1
"355","ack",2,1
"356","ack",2,1
"357","ack",2,1
"358","ack",2,1
"359","ack",1,1
"360","ack",2,2
"361","ack",2,1
"362","ack",2,1
"363","ack",2,1
"364","ack",1,2
"365","ack",1,1
"366","ack",1,1
"367","ack",2,3
"368","ack",2,2
"369","ack",2,3
"370","ack",2,1
"371","ack",2,1
"372","ack",2,3
"373","ack",2,3
"374","ack",2,3
"375","ack",2,3
"376","ack",2,1
"377","ack",2,3
"378","ack",1,2
"379","ack",2,1
"380","ack",2,2
"381","ack",2,1
"382","ack",2,1
"383","ack",2,1
"384","ack",2,1
"385","ack",2,1
"386","ack",1,2
"387","ack",2,1
"388","ack",2,1
"389","ack",2,1
"390","ack",2,1
"391","ack",2,3
"392","ack",2,2
"393","ack",1,1
"394","ack",2,2
"395","ack",2,3
"396","ack",1,2
"397","ack",2,1
"398","ack",2,1
"399","ack",1,2
"400","ack",2,2
"401","ack",1,1
"402","ack",2,3
"403","ack",2,3
"404","ack",2,3
"405","ack",1,2
"406","ack",2,3
"407","ack",2,3
"408","ack",2,2
"409","ack",2,3
"410","ack",1,2
"411","ack",1,1
"412","ack",2,1
"413","ack",2,2
"414","ack",1,2
"415","ack",2,1
"416","ack",2,2
"417","ack",1,3
"418","ack",2,1
"419","ack",2,1
"420","ack",2,1
"421","ack",2,1
"422","ack",1,3
"423","ack",2,3
"424","ack",2,3
"425","ack",1,3
"426","ack",2,2
"427","ack",2,2
"428","ack",2,3
"429","ack",2,2
"430","ack",2,3
"431","ack",2,2
"432","ack",1,3
"433","ack",2,1
"434","ack",1,3
"435","ack",1,3
"436","ack",2,2
"437","ack",2,1
"438","ack",2,2
"439","ack",1,1
"440","ack",1,3
"441","ack",2,3
"442","ack",1,2
"443","ack",2,3
"444","ack",2,2
"445","ack",2,2
"446","ack",1,1
"447","ack",2,2
"448","ack",2,2
"449","ack",1,3
"450","ack",2,3
"451","ack",1,2
"452","ack",2,3
"453","ack",2,3
"454","ack",1,3
"455","ack",1,3
"456","ack",2,2
"457","ack",2,3
"458","ack",1,2
"459","ack",2,3
"460","ack",2,1
"461","ack",2,2
"462","ack",2,2
"463","ack",2,3
"464","ack",1,2
"465","ack",2,2
"466","ack",2,3
"467","ack",2,3
"468","ack",1,2
"469","ack",2,3
"470","ack",1,2
"471","ack",1,3
"472","ack",1,3
"473","ack",2,2
"474","ack",2,1
"475","ack",2,1
"476","ack",1,2
"477","ack",2,1
"478","ack",2,3
"479","ack",2,3
"480","ack",2,3
"481","ack",2,1
"482","ack",1,1
"483","ack",2,3
"484","ack",2,1
"485","ack",1,2
"486","ack",1,2
"487","ack",2,3
"488","ack",2,3
"489","ack",2,3
"490","ack",2,3
