"","Subj_idx","Response","Confidence"
"1",81,1,2
"2",81,0,2
"3",81,1,3
"4",81,0,1
"5",81,1,3
"6",81,0,1
"7",81,1,2
"8",81,1,2
"9",81,1,1
"10",81,1,1
"11",81,0,1
"12",81,1,2
"13",81,1,1
"14",81,1,3
"15",81,1,1
"16",81,1,2
"17",81,0,1
"18",81,1,2
"19",81,1,3
"20",81,1,3
"21",81,1,2
"22",81,1,1
"23",81,0,2
"24",81,1,2
"25",81,0,2
"26",81,1,3
"27",81,1,2
"28",81,1,1
"29",81,1,2
"30",81,1,2
"31",81,1,3
"32",81,1,2
"33",81,0,3
"34",81,0,1
"35",81,1,2
"36",81,0,2
"37",81,1,2
"38",81,1,1
"39",81,1,1
"40",81,1,3
"41",81,1,2
"42",81,1,3
"43",81,0,1
"44",81,1,1
"45",81,0,3
"46",81,0,3
"47",81,1,3
"48",81,1,3
"49",81,0,2
"50",81,1,1
"51",81,0,2
"52",81,1,1
"53",81,0,1
"54",81,1,1
"55",81,1,2
"56",81,1,3
"57",81,0,2
"58",81,1,2
"59",81,1,1
"60",81,1,2
"61",81,0,3
"62",81,1,3
"63",81,1,1
"64",81,1,1
"65",81,1,2
"66",81,1,2
"67",81,1,1
"68",81,1,1
"69",81,1,2
"70",81,1,3
"71",81,1,1
"72",81,1,1
"73",81,1,1
"74",81,1,3
"75",81,0,1
"76",81,1,1
"77",81,1,1
"78",81,0,1
"79",81,1,3
"80",81,1,3
"81",81,1,2
"82",81,0,2
"83",81,1,1
"84",81,1,3
"85",81,1,1
"86",81,1,3
"87",81,0,1
"88",81,1,2
"89",81,0,3
"90",81,1,3
"91",81,1,1
"92",81,1,1
"93",81,0,1
"94",81,1,1
"95",81,0,1
"96",81,1,2
"97",81,1,2
"98",81,1,2
"99",81,0,2
"100",81,0,1
"101",81,0,2
"102",81,1,1
"103",81,1,3
"104",81,0,1
"105",81,1,1
"106",81,1,3
"107",81,1,3
"108",81,1,2
"109",81,1,3
"110",81,1,1
"111",81,1,1
"112",81,1,1
"113",81,0,3
"114",81,0,2
"115",81,0,1
"116",81,1,1
"117",81,1,1
"118",81,1,1
"119",81,1,1
"120",81,1,2
"121",81,1,2
"122",81,0,1
"123",81,1,3
"124",81,1,1
"125",81,0,2
"126",81,1,3
"127",81,1,3
"128",81,1,2
"129",81,0,2
"130",81,0,2
"131",81,0,1
"132",81,1,1
"133",81,1,1
"134",81,0,1
"135",81,0,1
"136",81,0,3
"137",81,1,1
"138",81,0,2
"139",81,1,2
"140",81,0,3
"141",81,1,1
"142",81,0,2
"143",81,0,3
"144",81,1,1
"145",81,0,2
"146",81,0,2
"147",81,0,3
"148",81,0,2
"149",81,1,1
"150",81,0,2
"151",109,1,3
"152",109,0,2
"153",109,0,2
"154",109,0,1
"155",109,1,1
"156",109,1,3
"157",109,0,1
"158",109,1,3
"159",109,1,3
"160",109,1,3
"161",109,1,3
"162",109,0,1
"163",109,0,2
"164",109,1,1
"165",109,1,3
"166",109,0,2
"167",109,0,3
"168",109,0,1
"169",109,0,1
"170",109,1,3
"171",109,1,3
"172",109,0,1
"173",109,1,1
"174",109,0,1
"175",109,0,1
"176",109,1,2
"177",109,0,2
"178",109,0,1
"179",109,1,1
"180",109,1,1
"181",109,1,1
"182",109,1,3
"183",109,0,2
"184",109,1,3
"185",109,1,3
"186",109,1,3
"187",109,0,1
"188",109,0,2
"189",109,0,1
"190",109,1,2
"191",109,1,3
"192",109,1,1
"193",109,1,3
"194",109,1,1
"195",109,0,1
"196",109,1,1
"197",109,1,2
"198",109,0,1
"199",109,1,1
"200",109,0,2
"201",109,0,2
"202",109,1,3
"203",109,1,3
"204",109,1,3
"205",109,0,3
"206",109,0,1
"207",109,1,1
"208",109,0,3
"209",109,0,1
"210",109,1,3
"211",109,1,3
