"","Subj_idx","Response","Confidence"
"1",1,1,3
"2",1,1,3
"3",1,0,1
"4",1,1,3
"5",1,0,1
"6",1,0,3
"7",1,1,3
"8",1,1,3
"9",1,1,3
"10",1,1,3
"11",1,1,3
"12",1,0,3
"13",1,0,2
"14",1,0,2
"15",1,0,2
"16",1,0,2
"17",1,1,3
"18",1,0,2
"19",1,1,3
"20",1,1,3
"21",1,1,3
"22",1,0,2
"23",1,0,3
"24",1,0,3
"25",1,0,2
"26",1,1,3
"27",1,0,2
"28",1,0,1
"29",1,0,1
"30",1,0,3
"31",1,0,2
"32",1,1,3
"33",1,1,3
"34",1,1,2
"35",1,0,2
"36",1,0,2
"37",1,0,3
"38",1,1,2
"39",1,0,3
"40",1,0,2
"41",1,0,2
"42",1,0,2
"43",1,1,3
"44",1,1,3
"45",1,0,2
"46",1,0,3
"47",1,0,1
"48",1,1,3
"49",1,0,2
"50",1,0,2
"51",1,0,3
"52",1,0,3
"53",1,1,2
"54",1,0,2
"55",1,0,3
"56",1,1,2
"57",1,0,2
"58",1,1,2
"59",1,1,3
"60",1,1,3
"61",1,0,2
"62",1,0,2
"63",1,0,3
"64",1,1,3
"65",1,0,3
"66",1,1,3
"67",1,0,3
"68",1,0,3
"69",1,1,3
"70",1,0,3
"71",1,0,2
"72",1,0,3
"73",1,1,3
"74",1,1,3
"75",1,0,3
"76",1,0,2
"77",1,0,2
"78",1,1,3
"79",1,1,3
"80",1,1,3
"81",1,0,2
"82",1,1,2
"83",1,1,3
"84",1,1,3
"85",1,1,3
"86",1,1,3
"87",1,0,3
"88",1,0,3
"89",1,0,3
"90",1,0,3
"91",1,0,1
"92",1,0,1
"93",1,0,3
"94",1,1,3
"95",1,1,3
"96",1,1,3
"97",10,0,2
"98",10,1,3
"99",10,0,2
"100",10,0,2
"101",10,1,3
"102",10,0,1
"103",10,0,2
"104",10,0,2
"105",10,0,2
"106",10,0,2
"107",10,0,1
"108",10,0,2
"109",10,0,3
"110",10,0,3
"111",10,0,3
"112",10,0,3
"113",10,0,1
"114",10,1,2
"115",10,0,1
"116",10,0,3
"117",10,1,2
"118",10,1,1
"119",10,1,2
"120",10,0,2
"121",10,0,2
"122",10,0,3
"123",10,0,1
"124",10,0,2
"125",10,1,3
"126",10,0,1
"127",10,0,1
"128",10,0,1
"129",10,0,1
"130",10,0,2
"131",10,0,2
"132",10,1,2
"133",10,1,1
"134",10,0,2
"135",10,0,3
"136",10,0,3
"137",10,0,3
"138",10,0,3
"139",10,1,1
"140",10,0,2
"141",10,1,2
"142",10,0,2
"143",10,1,1
"144",10,0,3
"145",10,0,3
"146",10,0,2
"147",10,0,2
"148",10,0,3
"149",10,0,3
"150",10,0,3
"151",10,1,3
"152",10,0,2
"153",10,0,3
"154",10,0,2
"155",10,0,2
"156",10,0,2
"157",10,0,2
"158",10,1,2
"159",10,0,2
"160",10,1,2
"161",10,1,1
"162",10,0,2
"163",10,1,2
"164",10,0,1
"165",10,1,1
"166",10,0,3
"167",10,0,1
"168",10,0,2
"169",10,0,2
"170",10,1,2
"171",10,1,2
"172",10,1,1
"173",10,1,1
"174",10,0,2
"175",10,1,3
"176",10,1,1
"177",10,0,3
"178",10,0,2
"179",10,1,3
"180",10,0,1
"181",10,0,2
"182",10,1,2
"183",10,0,2
"184",10,0,1
"185",10,1,2
"186",10,1,1
"187",10,1,2
"188",10,1,2
"189",10,0,1
"190",10,0,1
"191",10,0,2
"192",10,0,2
"193",11,0,1
"194",11,0,2
"195",11,0,2
"196",11,1,3
"197",11,1,3
"198",11,1,1
"199",11,0,2
"200",11,0,2
"201",11,0,2
"202",11,0,1
"203",11,1,3
"204",11,0,1
"205",11,0,1
"206",11,1,2
"207",11,1,2
"208",11,1,2
"209",11,0,1
"210",11,1,1
"211",11,1,2
"212",11,1,3
"213",11,1,2
"214",11,0,1
"215",11,0,1
"216",11,0,1
"217",11,1,1
"218",11,1,2
"219",11,1,2
"220",11,0,2
"221",11,1,3
"222",11,1,1
"223",11,0,1
"224",11,1,3
"225",11,1,3
"226",11,1,2
"227",11,0,2
"228",11,1,1
"229",11,1,2
"230",11,0,2
"231",11,1,3
"232",11,0,1
"233",11,1,3
"234",11,1,3
"235",11,0,1
"236",11,0,1
"237",11,0,1
"238",11,0,1
"239",11,1,3
"240",11,1,1
"241",11,1,3
"242",11,1,3
"243",11,1,3
"244",11,1,3
"245",11,1,1
"246",11,0,2
"247",11,1,2
"248",11,1,2
"249",11,0,1
"250",11,1,3
"251",11,1,2
"252",11,0,1
"253",11,0,2
"254",11,0,2
"255",11,0,2
"256",11,1,2
"257",11,0,1
"258",11,0,1
"259",11,1,3
"260",11,1,2
"261",11,1,3
"262",11,1,3
"263",11,1,1
"264",11,0,1
"265",11,0,1
"266",11,1,3
"267",11,0,2
"268",11,1,1
"269",11,0,1
"270",11,0,1
"271",11,0,2
"272",11,0,2
"273",11,0,2
"274",11,0,1
"275",11,0,1
"276",11,1,3
"277",11,0,1
"278",11,0,1
"279",11,1,3
"280",11,1,2
"281",11,1,3
"282",11,0,1
"283",11,1,3
"284",11,1,3
"285",11,0,2
"286",11,0,1
"287",11,1,3
"288",11,0,1
"289",12,1,3
"290",12,0,1
"291",12,1,2
"292",12,0,2
"293",12,1,3
"294",12,1,3
"295",12,0,2
"296",12,1,2
"297",12,0,1
"298",12,1,1
"299",12,1,3
"300",12,1,2
"301",12,0,1
"302",12,1,3
"303",12,1,3
"304",12,0,2
"305",12,0,2
"306",12,1,3
"307",12,1,3
"308",12,1,1
"309",12,0,2
"310",12,1,2
"311",12,1,2
"312",12,1,2
"313",12,0,1
"314",12,1,3
"315",12,0,2
"316",12,1,3
"317",12,1,3
"318",12,1,3
"319",12,1,2
"320",12,1,3
"321",12,1,1
"322",12,1,3
"323",12,1,3
"324",12,0,2
"325",12,0,2
"326",12,0,3
"327",12,0,2
"328",12,1,2
"329",12,1,3
"330",12,1,1
"331",12,1,1
"332",12,1,1
"333",12,0,1
"334",12,1,2
"335",12,1,2
"336",12,1,3
"337",12,1,3
"338",12,1,3
"339",12,0,1
"340",12,0,2
"341",12,0,1
"342",12,1,3
"343",12,1,3
"344",12,1,3
"345",12,0,1
"346",12,0,2
"347",12,1,3
"348",12,1,1
"349",12,1,1
"350",12,1,2
"351",12,1,3
"352",12,1,2
"353",12,1,3
"354",12,1,3
"355",12,1,3
"356",12,1,1
"357",12,1,2
"358",12,1,2
"359",12,1,1
"360",12,0,2
"361",12,0,2
"362",12,0,2
"363",12,0,2
"364",12,0,2
"365",12,1,2
"366",12,1,2
"367",12,1,3
"368",12,1,3
"369",12,1,2
"370",12,1,1
"371",12,1,1
"372",12,0,2
"373",12,1,3
"374",12,1,3
"375",12,1,3
"376",12,1,1
"377",12,1,1
"378",12,1,3
"379",12,0,1
"380",12,0,2
"381",12,0,2
"382",12,1,3
"383",12,1,1
"384",12,1,3
"385",13,1,3
"386",13,1,3
"387",13,0,1
"388",13,1,2
"389",13,1,3
"390",13,1,3
"391",13,1,3
"392",13,0,1
"393",13,0,2
"394",13,0,2
"395",13,0,3
"396",13,1,3
"397",13,1,3
"398",13,1,3
"399",13,0,2
"400",13,1,3
"401",13,0,2
"402",13,0,2
"403",13,1,2
"404",13,1,2
"405",13,0,2
"406",13,0,3
"407",13,0,2
"408",13,1,3
"409",13,0,2
"410",13,0,3
"411",13,1,3
"412",13,0,1
"413",13,1,3
"414",13,1,3
"415",13,0,2
"416",13,0,2
"417",13,0,2
"418",13,0,2
"419",13,0,2
"420",13,0,2
"421",13,0,2
"422",13,1,3
"423",13,1,2
"424",13,0,2
"425",13,1,3
"426",13,0,2
"427",13,0,1
"428",13,0,2
"429",13,1,3
"430",13,1,3
"431",13,1,2
"432",13,1,1
"433",13,0,2
"434",13,0,1
"435",13,0,2
"436",13,1,2
"437",13,1,3
"438",13,1,2
"439",13,0,2
"440",13,0,3
"441",13,1,3
"442",13,1,3
"443",13,1,2
"444",13,1,2
"445",13,1,1
"446",13,1,3
"447",13,1,3
"448",13,0,2
"449",13,1,1
"450",13,1,1
"451",13,1,3
"452",13,1,1
"453",13,1,3
"454",13,1,1
"455",13,0,1
"456",13,1,1
"457",13,0,1
"458",13,1,1
"459",13,1,3
"460",13,1,1
"461",13,0,1
"462",13,1,3
"463",13,1,1
"464",13,1,2
"465",13,0,2
"466",13,0,1
"467",13,1,3
"468",13,1,3
"469",13,1,3
"470",13,0,1
"471",13,1,3
"472",13,1,1
"473",13,0,1
"474",13,1,1
"475",13,0,1
"476",13,1,1
"477",13,1,1
"478",13,1,2
"479",13,1,2
"480",13,1,1
"481",14,0,1
"482",14,0,2
"483",14,0,2
"484",14,1,3
"485",14,1,3
"486",14,1,1
"487",14,0,2
"488",14,1,2
"489",14,0,2
"490",14,0,2
"491",14,0,2
"492",14,1,1
"493",14,1,2
"494",14,1,3
"495",14,1,2
"496",14,1,3
"497",14,0,1
"498",14,0,2
"499",14,0,2
"500",14,1,3
"501",14,0,3
"502",14,1,1
"503",14,1,3
"504",14,1,2
"505",14,0,3
"506",14,1,1
"507",14,0,2
"508",14,0,2
"509",14,0,3
"510",14,1,3
"511",14,0,1
"512",14,0,2
"513",14,0,1
"514",14,0,1
"515",14,1,1
"516",14,1,2
"517",14,0,2
"518",14,1,2
"519",14,1,3
"520",14,1,2
"521",14,1,1
"522",14,0,1
"523",14,0,2
"524",14,1,2
"525",14,1,1
"526",14,0,2
"527",14,1,1
"528",14,0,2
"529",14,0,2
"530",14,1,3
"531",14,0,1
"532",14,1,3
"533",14,1,3
"534",14,0,1
"535",14,0,2
"536",14,0,2
"537",14,0,3
"538",14,0,2
"539",14,0,2
"540",14,1,1
"541",14,0,2
"542",14,1,1
"543",14,0,2
"544",14,1,1
"545",14,1,3
"546",14,0,1
"547",14,0,2
"548",14,1,2
"549",14,0,2
"550",14,1,2
"551",14,1,2
"552",14,1,2
"553",14,0,1
"554",14,1,2
"555",14,1,2
"556",14,0,2
"557",14,1,1
"558",14,0,1
"559",14,1,2
"560",14,1,2
"561",14,0,1
"562",14,0,1
"563",14,0,1
"564",14,0,2
"565",14,1,3
"566",14,1,2
"567",14,1,1
"568",14,1,1
"569",14,0,2
"570",14,1,3
"571",14,0,2
"572",14,0,2
"573",14,0,1
"574",14,0,2
"575",14,0,2
"576",14,0,2
"577",15,0,3
"578",15,1,2
"579",15,0,1
"580",15,1,3
"581",15,0,1
"582",15,1,3
"583",15,1,3
"584",15,0,3
"585",15,0,3
"586",15,0,3
"587",15,0,3
"588",15,1,2
"589",15,1,2
"590",15,0,2
"591",15,0,2
"592",15,0,2
"593",15,0,3
"594",15,1,3
"595",15,1,3
"596",15,0,3
"597",15,1,3
"598",15,0,2
"599",15,1,3
"600",15,1,3
"601",15,0,3
"602",15,0,3
"603",15,0,3
"604",15,1,3
"605",15,0,2
"606",15,0,3
"607",15,1,3
"608",15,0,3
"609",15,1,3
"610",15,1,1
"611",15,1,3
"612",15,0,2
"613",15,1,3
"614",15,0,3
"615",15,1,3
"616",15,1,2
"617",15,0,2
"618",15,0,1
"619",15,0,3
"620",15,0,3
"621",15,1,3
"622",15,1,3
"623",15,1,3
"624",15,1,3
"625",15,0,3
"626",15,0,1
"627",15,1,1
"628",15,0,1
"629",15,1,3
"630",15,1,3
"631",15,1,3
"632",15,0,3
"633",15,0,3
"634",15,0,1
"635",15,1,3
"636",15,1,1
"637",15,1,3
"638",15,0,1
"639",15,1,3
"640",15,1,3
"641",15,0,2
"642",15,1,1
"643",15,0,2
"644",15,0,2
"645",15,0,1
"646",15,1,3
"647",15,1,3
"648",15,1,3
"649",15,1,1
"650",15,0,3
"651",15,0,2
"652",15,1,3
"653",15,1,3
"654",15,1,3
"655",15,1,3
"656",15,0,1
"657",15,0,1
"658",15,1,3
"659",15,1,3
"660",15,0,2
"661",15,1,3
"662",15,0,2
"663",15,0,2
"664",15,0,1
"665",15,1,3
"666",15,1,1
"667",15,1,3
"668",15,1,3
"669",15,1,3
"670",15,0,1
"671",15,1,3
"672",15,1,3
"673",16,1,3
"674",16,0,1
"675",16,0,2
"676",16,0,3
"677",16,1,3
"678",16,0,3
"679",16,1,3
"680",16,1,3
"681",16,0,3
"682",16,1,1
"683",16,0,3
"684",16,0,2
"685",16,0,1
"686",16,1,3
"687",16,1,3
"688",16,1,2
"689",16,1,3
"690",16,1,3
"691",16,0,2
"692",16,1,3
"693",16,1,3
"694",16,0,3
"695",16,0,2
"696",16,1,2
"697",16,0,3
"698",16,0,2
"699",16,1,3
"700",16,0,2
"701",16,0,3
"702",16,1,3
"703",16,0,3
"704",16,0,3
"705",16,0,3
"706",16,0,3
"707",16,1,3
"708",16,1,3
"709",16,0,3
"710",16,0,3
"711",16,1,3
"712",16,0,3
"713",16,1,3
"714",16,0,3
"715",16,1,3
"716",16,0,3
"717",16,1,1
"718",16,1,3
"719",16,1,3
"720",16,0,3
"721",16,1,3
"722",16,0,3
"723",16,1,2
"724",16,1,3
"725",16,0,1
"726",16,1,3
"727",16,0,2
"728",16,1,3
"729",16,1,3
