"","Subj_idx","Response","Confidence"
"1",1,1,2
"2",1,1,1
"3",1,0,2
"4",1,0,2
"5",1,1,2
"6",1,1,1
"7",1,1,3
"8",1,0,1
"9",1,1,1
"10",1,0,1
"11",1,1,1
"12",1,1,3
"13",1,1,3
"14",1,0,1
"15",1,1,2
"16",1,1,2
"17",1,0,1
"18",1,0,1
"19",1,0,2
"20",1,1,3
"21",1,0,1
"22",1,0,3
"23",1,0,1
"24",1,0,1
"25",1,1,1
"26",1,1,2
"27",1,0,1
"28",1,1,2
"29",1,1,2
"30",1,0,2
"31",1,1,1
"32",1,0,1
"33",1,0,1
"34",1,1,2
"35",1,1,2
"36",1,1,3
"37",1,0,3
"38",1,0,2
"39",1,0,2
"40",1,0,1
"41",1,0,1
"42",1,1,2
"43",1,1,1
"44",1,1,3
"45",1,1,2
"46",1,1,2
"47",1,0,1
"48",1,0,1
"49",1,1,1
"50",1,1,1
"51",1,0,1
"52",1,1,2
"53",1,1,1
"54",1,0,2
"55",1,0,2
"56",1,0,2
"57",1,0,1
"58",1,1,2
"59",1,1,2
"60",1,0,2
"61",1,0,2
"62",1,0,2
"63",1,0,1
"64",1,1,2
"65",1,1,1
"66",1,1,1
"67",1,1,3
"68",1,1,3
"69",1,1,1
"70",1,0,3
"71",1,0,1
"72",1,1,1
"73",1,1,2
"74",1,1,2
"75",1,1,1
"76",1,1,3
"77",1,1,1
"78",1,1,2
"79",1,0,2
"80",1,0,2
"81",1,0,1
"82",1,0,1
"83",1,0,1
"84",1,1,2
"85",1,0,1
"86",1,1,1
"87",1,0,1
"88",1,1,2
"89",1,1,3
"90",1,1,3
"91",1,1,1
"92",1,0,1
"93",1,0,1
"94",1,1,1
"95",1,1,1
"96",1,0,2
"97",1,1,2
"98",1,1,1
"99",1,0,2
"100",1,0,1
"101",1,1,2
"102",1,1,1
"103",1,0,1
"104",1,0,1
"105",1,0,1
"106",1,1,1
"107",1,0,1
"108",1,1,1
"109",1,1,1
"110",1,1,2
"111",1,1,3
"112",1,1,1
"113",1,1,2
"114",1,1,1
"115",1,1,2
"116",1,0,1
"117",1,0,1
"118",1,0,1
"119",1,0,2
"120",1,1,3
"121",1,1,3
"122",1,1,2
"123",1,0,1
"124",1,1,3
"125",1,1,1
"126",1,1,1
"127",1,1,2
"128",1,1,2
"129",1,0,1
"130",1,0,2
"131",1,1,3
"132",1,1,1
"133",1,1,3
"134",1,0,2
"135",1,0,1
"136",1,1,2
"137",1,0,2
"138",1,0,1
"139",1,1,3
"140",1,0,1
"141",1,1,2
"142",1,1,1
"143",1,0,1
"144",1,0,1
"145",1,1,3
"146",1,0,1
"147",1,1,2
"148",1,0,2
"149",1,1,2
"150",1,1,2
"151",26,0,1
"152",26,0,2
"153",26,0,2
"154",26,0,3
"155",26,1,1
"156",26,1,2
"157",26,1,3
"158",26,1,1
"159",26,1,1
"160",26,0,1
"161",26,1,3
"162",26,1,3
"163",26,0,2
"164",26,0,1
"165",26,1,3
"166",26,0,1
"167",26,1,2
"168",26,1,1
"169",26,0,2
"170",26,1,2
"171",26,1,3
"172",26,1,3
"173",26,1,2
"174",26,1,3
"175",26,0,3
"176",26,1,2
"177",26,1,3
"178",26,0,1
"179",26,0,2
"180",26,1,1
"181",26,1,3
"182",26,1,3
"183",26,1,3
"184",26,1,2
"185",26,0,2
"186",26,0,1
"187",26,1,3
"188",26,0,2
"189",26,1,3
"190",26,1,3
"191",26,1,3
"192",26,0,2
"193",26,1,1
"194",26,0,3
"195",26,0,3
"196",26,1,1
