"","Subj_idx","Response","Confidence"
"1",1053,0,25
"2",1053,0,22
"3",1053,1,31
"4",1053,1,20
"5",1053,0,19
"6",1053,1,20
"7",1053,1,17
"8",1053,1,18
"9",1053,1,17
"10",1053,1,18
"11",1053,0,17
"12",1053,1,28
"13",1053,1,14
"14",1053,1,16
"15",1053,1,18
"16",1053,1,26
"17",1053,1,18
"18",1053,0,24
"19",1053,0,35
"20",1053,1,27
"21",1053,1,30
"22",1053,0,14
"23",1053,1,22
"24",1053,0,12
"25",1053,1,24
"26",1053,1,15
"27",1053,1,48
"28",1053,0,24
"29",1053,1,28
"30",1053,1,25
"31",2230,0,27
"32",2230,1,37
"33",2230,1,20
"34",2230,1,14
"35",2230,0,11
"36",2230,1,28
"37",2230,1,23
"38",2230,1,12
"39",2230,1,14
"40",2230,1,16
"41",2230,0,13
"42",2230,0,24
"43",2230,1,11
"44",2230,0,9
"45",2230,0,10
"46",2230,1,29
"47",2230,0,17
"48",2230,0,21
"49",2230,1,10
"50",2230,1,29
"51",2230,1,17
"52",2230,1,22
"53",2230,1,14
"54",2230,1,19
"55",2230,0,15
"56",2230,1,12
"57",2230,0,11
"58",2230,1,22
"59",2230,1,19
"60",2230,1,24
"61",2554,0,18
"62",2554,1,16
"63",2554,0,17
"64",2554,0,4
"65",2554,1,18
"66",2554,0,14
"67",2554,1,14
"68",2554,1,16
"69",2554,0,2
"70",2554,1,16
"71",2554,1,27
"72",2554,1,23
"73",2554,1,15
"74",2554,1,25
"75",2554,0,14
"76",2554,1,17
"77",2554,1,20
"78",2554,1,16
"79",2554,1,21
"80",2554,1,17
"81",2554,0,18
"82",2554,1,17
"83",2554,1,6
"84",2554,0,17
"85",2554,0,15
"86",2554,1,17
"87",2554,1,23
"88",2554,1,21
"89",2554,1,19
"90",2554,1,20
"91",2734,0,17
"92",2734,0,29
"93",2734,0,30
"94",2734,0,28
"95",2734,1,37
"96",2734,0,27
"97",2734,1,40
"98",2734,1,22
"99",2734,0,19
"100",2734,0,0
"101",2734,1,29
"102",2734,0,18
"103",2734,1,15
"104",2734,1,18
"105",2734,0,18
"106",2734,1,26
"107",2734,1,28
"108",2734,1,36
"109",2734,1,37
"110",2734,1,32
"111",2734,1,34
"112",2734,1,41
"113",2734,0,16
"114",2734,0,40
"115",2734,1,37
"116",2734,1,36
"117",2734,1,47
"118",2734,0,22
"119",2734,0,0
"120",2734,1,24
"121",3127,1,13
"122",3127,1,15
"123",3127,1,15
"124",3127,0,17
"125",3127,1,16
"126",3127,0,15
"127",3127,1,16
"128",3127,1,18
"129",3127,1,14
"130",3127,1,16
"131",3127,0,15
"132",3127,1,16
"133",3127,0,12
"134",3127,1,12
"135",3127,1,17
"136",3127,0,13
"137",3127,1,16
"138",3127,1,12
"139",3127,0,10
"140",3127,1,22
"141",3127,0,17
"142",3127,1,14
"143",3127,1,17
"144",3127,1,15
"145",3127,0,17
"146",3127,0,18
"147",3127,1,18
"148",3127,1,18
"149",3127,0,5
"150",3127,1,12
"151",3259,1,20
"152",3259,1,17
"153",3259,1,16
"154",3259,0,25
"155",3259,1,16
"156",3259,0,23
"157",3259,0,19
"158",3259,0,20
"159",3259,1,23
"160",3259,1,20
"161",3259,0,15
"162",3259,1,12
"163",3259,1,17
"164",3259,1,10
"165",3259,0,17
"166",3259,1,37
"167",3259,0,15
"168",3259,1,30
"169",3259,0,26
"170",3259,0,23
"171",3259,0,20
"172",3259,1,30
"173",3259,1,22
"174",3259,1,19
"175",3259,1,21
"176",3259,1,14
"177",3259,1,12
"178",3259,1,18
"179",3259,1,19
"180",3259,1,18
"181",4156,1,17
"182",4156,0,17
"183",4156,1,27
"184",4156,1,29
"185",4156,0,30
"186",4156,1,27
"187",4156,1,11
"188",4156,0,16
"189",4156,1,16
"190",4156,0,18
"191",4156,1,30
"192",4156,1,15
"193",4156,1,18
"194",4156,0,12
"195",4156,0,18
"196",4156,1,23
"197",4156,0,23
"198",4156,0,30
"199",4156,1,26
"200",4156,1,20
"201",4156,1,19
"202",4156,1,18
"203",4156,0,19
"204",4156,1,18
"205",4156,0,17
"206",4156,0,16
"207",4156,1,25
"208",4156,0,28
"209",4156,1,17
"210",4156,0,18
"211",4710,0,16
"212",4710,1,16
"213",4710,1,16
"214",4710,0,14
"215",4710,1,20
"216",4710,0,15
"217",4710,0,30
"218",4710,0,11
"219",4710,1,16
"220",4710,1,17
"221",4710,1,26
"222",4710,1,36
"223",4710,0,20
"224",4710,0,9
"225",4710,1,24
"226",4710,1,30
"227",4710,1,33
"228",4710,0,50
"229",4710,0,40
"230",4710,1,49
"231",4710,0,22
"232",4710,0,25
"233",4710,0,33
"234",4710,1,23
"235",4710,0,27
"236",4710,1,16
"237",4710,1,13
"238",4710,1,21
"239",4710,1,23
"240",4710,1,12
"241",5587,0,11
"242",5587,1,10
"243",5587,0,7
"244",5587,1,10
"245",5587,0,10
"246",5587,0,10
"247",5587,0,9
"248",5587,0,10
"249",5587,0,11
"250",5587,1,180
"251",5587,0,10
"252",5587,0,9
"253",5587,1,9
"254",5587,0,11
"255",5587,0,7
"256",5587,1,10
"257",5587,1,180
"258",5587,0,8
"259",5587,0,7
"260",5587,0,8
"261",5587,0,7
"262",5587,0,8
"263",5587,1,6
"264",5587,0,9
"265",5587,0,7
"266",5587,0,7
"267",5587,0,7
"268",5587,0,7
"269",5587,1,7
"270",5587,1,7
"271",5651,0,15
"272",5651,1,15
"273",5651,0,15
"274",5651,0,24
"275",5651,0,16
"276",5651,0,34
"277",5651,0,28
"278",5651,0,0
"279",5651,0,0
"280",5651,1,18
"281",5651,0,0
"282",5651,0,40
"283",5651,1,22
"284",5651,1,17
"285",5651,0,17
"286",5651,1,38
"287",5651,0,38
"288",5651,1,29
"289",5651,1,24
"290",5651,0,14
"291",5651,0,28
"292",5651,0,1
"293",5651,1,45
"294",5651,0,29
"295",5651,1,19
"296",5651,1,29
"297",5651,1,36
"298",5651,0,31
"299",5651,1,35
"300",5651,0,32
"301",5844,1,15
"302",5844,1,15
"303",5844,0,11
"304",5844,1,31
"305",5844,1,12
"306",5844,1,16
"307",5844,0,9
"308",5844,1,20
"309",5844,0,10
"310",5844,1,13
"311",5844,0,13
"312",5844,1,23
"313",5844,1,14
"314",5844,0,22
"315",5844,0,27
"316",5844,1,23
"317",5844,0,31
"318",5844,0,22
"319",5844,0,44
"320",5844,1,31
"321",5844,1,51
"322",5844,1,20
"323",5844,1,59
"324",5844,1,17
"325",5844,0,10
"326",5844,0,15
"327",5844,0,27
"328",5844,1,15
"329",5844,0,16
"330",5844,1,23
"331",6358,1,13
"332",6358,0,14
"333",6358,1,11
"334",6358,0,12
"335",6358,1,28
"336",6358,0,12
"337",6358,1,35
"338",6358,1,18
"339",6358,1,10
"340",6358,0,13
"341",6358,0,14
"342",6358,1,9
"343",6358,1,18
"344",6358,1,8
"345",6358,0,6
"346",6358,1,24
"347",6358,0,17
"348",6358,0,16
"349",6358,1,31
"350",6358,0,15
"351",6358,0,17
"352",6358,1,26
"353",6358,1,19
"354",6358,1,13
"355",6358,0,9
