"","Subj_idx","Response","Confidence"
"1",1,1,27
"2",1,1,11
"3",1,1,33
"4",1,1,32
"5",1,2,76
"6",1,2,81
"7",1,1,72
"8",1,1,26
"9",1,1,40
"10",1,1,24
"11",1,2,73
"12",1,1,15
"13",1,1,79
"14",1,1,92
"15",1,1,87
"16",1,1,65
"17",1,2,63
"18",1,1,83
"19",1,1,57
"20",1,1,49
"21",1,2,61
"22",1,1,52
"23",1,2,78
"24",1,2,88
"25",1,2,71
"26",1,2,47
"27",1,1,38
"28",1,2,75
"29",1,1,71
"30",1,2,73
"31",1,2,62
"32",1,2,62
"33",1,1,65
"34",1,1,54
"35",1,2,66
"36",1,2,84
"37",1,2,88
"38",1,1,67
"39",1,2,83
"40",1,1,81
"41",1,1,48
"42",1,1,51
"43",1,1,74
"44",1,2,72
"45",1,1,68
"46",1,2,93
"47",1,1,77
"48",1,2,61
"49",1,2,95
"50",1,2,51
"51",1,2,79
"52",1,1,75
"53",1,1,75
"54",1,1,76
"55",1,2,74
"56",1,2,86
"57",1,1,75
"58",1,2,84
"59",1,1,72
"60",1,1,81
"61",1,2,86
"62",1,1,78
"63",1,2,65
"64",1,1,87
"65",1,2,85
"66",1,1,89
"67",1,2,91
"68",1,1,82
"69",1,2,53
"70",1,1,50
"71",1,2,95
"72",1,2,94
"73",1,1,80
"74",1,2,66
"75",1,2,84
"76",1,1,80
"77",1,2,52
"78",1,1,51
"79",1,2,77
"80",1,1,88
"81",1,1,71
"82",1,2,89
"83",1,2,61
"84",1,1,77
"85",1,2,74
"86",1,2,75
"87",1,2,84
"88",1,1,50
"89",1,2,52
"90",1,1,76
"91",1,2,93
"92",1,1,46
"93",1,1,81
"94",1,2,92
"95",1,1,73
"96",1,2,75
"97",1,1,51
"98",1,1,68
"99",1,2,72
"100",1,2,75
"101",1,1,77
"102",1,2,78
"103",1,1,78
"104",1,2,90
"105",1,2,76
"106",1,1,81
"107",1,1,71
"108",1,2,75
"109",1,2,73
"110",1,1,75
"111",1,2,85
"112",1,1,90
"113",1,1,51
"114",1,1,50
"115",1,1,82
"116",1,1,85
"117",1,1,69
"118",1,1,86
"119",1,2,79
"120",1,1,56
"121",1,2,51
"122",1,2,92
"123",1,2,50
"124",1,1,65
"125",1,2,66
"126",1,1,72
"127",1,1,73
"128",1,2,84
"129",1,2,77
"130",1,1,85
"131",1,2,85
"132",1,1,77
"133",1,1,98
"134",1,2,87
"135",1,1,72
"136",1,1,94
"137",1,1,58
"138",1,1,77
"139",1,2,75
"140",1,1,65
"141",1,1,92
"142",1,2,78
"143",1,1,86
"144",1,1,90
"145",1,2,75
"146",1,1,91
"147",1,2,83
"148",1,2,83
"149",1,2,80
"150",1,2,49
"151",1,1,90
"152",1,2,52
"153",1,2,77
"154",1,1,78
"155",1,2,78
"156",1,1,90
"157",1,2,72
"158",1,2,69
"159",1,1,72
"160",1,2,79
"161",1,2,83
"162",1,1,71
"163",1,2,76
"164",1,1,85
"165",1,1,84
"166",1,1,99
"167",1,1,77
"168",1,1,11
"169",1,1,73
"170",1,2,78
"171",1,1,83
"172",1,2,48
"173",1,2,71
"174",1,2,18
"175",1,2,87
"176",1,1,88
"177",1,2,87
