"","Subj_idx","Response","Confidence"
"1",1,2,86
"2",1,2,89
"3",1,2,97
"4",1,2,97
"5",1,2,95
"6",1,1,100
"7",1,2,82
"8",1,2,95
"9",1,1,93
"10",1,2,67
"11",1,2,98
"12",1,1,88
"13",1,1,92
"14",1,2,73
"15",1,1,51
"16",1,2,54
"17",1,1,83
"18",1,2,51
"19",1,1,52
"20",1,2,70
"21",1,2,85
"22",1,2,51
"23",1,1,71
"24",1,2,76
"25",1,1,97
"26",1,1,83
"27",1,2,91
"28",1,2,86
"29",1,1,95
"30",1,2,91
"31",1,1,70
"32",1,2,69
"33",1,1,69
"34",1,2,83
"35",1,2,74
"36",1,1,75
"37",1,1,73
"38",1,1,91
"39",1,1,61
"40",1,1,90
"41",1,1,72
"42",1,2,63
"43",1,1,67
"44",1,1,66
"45",1,1,76
"46",1,1,78
"47",1,2,73
"48",1,2,81
"49",1,2,73
"50",1,1,51
"51",1,1,82
"52",1,1,67
"53",1,1,81
"54",1,1,99
"55",1,2,63
"56",1,1,81
"57",1,1,50
"58",1,2,79
"59",1,1,89
"60",1,2,84
"61",1,1,67
"62",1,1,50
"63",1,2,86
"64",1,2,68
"65",1,2,51
"66",1,1,74
"67",1,2,80
"68",1,1,75
"69",1,2,71
"70",1,1,76
"71",1,2,81
"72",1,2,86
"73",1,1,76
"74",1,2,81
"75",1,1,76
"76",1,1,58
"77",1,2,70
"78",1,1,72
"79",1,1,77
"80",1,2,77
"81",1,1,94
"82",1,1,79
"83",1,1,69
"84",1,2,76
"85",1,1,66
"86",1,1,80
"87",1,2,51
"88",1,2,79
"89",1,1,60
"90",1,1,79
"91",1,1,83
"92",1,2,87
"93",1,2,80
"94",1,1,84
"95",1,2,78
"96",1,1,83
"97",1,2,82
"98",1,1,76
"99",1,1,74
"100",1,1,52
"101",1,2,91
"102",1,2,67
"103",1,1,83
"104",1,1,73
"105",1,2,69
"106",1,2,78
"107",1,1,87
"108",1,2,81
"109",1,2,74
"110",1,2,86
"111",1,2,84
"112",1,1,80
"113",1,2,84
"114",1,2,86
"115",1,1,82
"116",1,2,86
"117",1,1,96
"118",1,2,84
"119",1,2,82
"120",1,2,91
"121",1,2,93
"122",1,1,76
"123",1,2,83
"124",1,2,89
"125",1,2,82
"126",1,2,82
"127",1,1,89
"128",1,2,77
"129",1,1,75
"130",1,2,88
"131",1,2,95
"132",1,1,80
"133",1,1,96
"134",1,1,92
"135",1,2,84
"136",1,1,95
"137",1,2,76
"138",1,2,72
"139",1,2,78
"140",1,1,79
"141",1,1,58
"142",1,1,77
"143",1,1,85
