"","Subj_idx","Response","Confidence"
"1",1,2,60
"2",1,1,98
"3",1,1,100
"4",1,2,100
"5",1,2,82
"6",1,2,66
"7",1,2,51
"8",1,1,59
"9",1,2,94
"10",1,1,88
"11",1,1,99
"12",1,1,100
"13",1,2,93
"14",1,1,54
"15",1,1,95
"16",1,2,68
"17",1,1,92
"18",1,2,98
"19",1,1,50
"20",1,2,59
"21",1,1,54
"22",1,1,100
"23",1,1,100
"24",1,2,52
"25",1,2,54
"26",1,1,91
"27",1,2,100
"28",1,2,90
"29",1,1,84
"30",1,1,57
"31",1,1,66
"32",1,2,58
"33",1,2,66
"34",1,1,99
"35",1,1,95
"36",1,1,100
"37",1,2,52
"38",1,1,74
"39",1,2,59
"40",1,1,62
"41",1,2,97
"42",1,2,100
"43",1,2,79
"44",1,1,100
"45",1,2,88
"46",1,1,89
"47",1,2,50
"48",1,1,84
"49",1,1,96
"50",1,1,96
"51",1,2,100
"52",1,2,100
"53",1,1,99
"54",1,1,52
"55",1,2,65
"56",1,1,56
"57",1,2,60
"58",1,2,54
"59",1,2,73
"60",1,2,99
"61",1,1,89
"62",1,1,58
"63",1,1,100
"64",1,1,50
"65",1,1,64
"66",1,2,93
"67",1,1,98
"68",1,2,97
"69",1,2,100
"70",1,1,86
"71",1,2,87
"72",1,1,63
"73",1,2,100
"74",1,1,92
"75",1,2,89
"76",1,1,100
"77",1,2,100
"78",1,2,87
"79",1,1,100
"80",1,2,100
"81",1,1,90
"82",1,1,90
"83",1,1,66
"84",1,1,100
"85",1,2,72
"86",1,1,86
"87",1,1,92
"88",1,2,63
"89",1,1,56
"90",1,2,85
"91",1,1,66
"92",1,2,95
"93",1,1,100
"94",1,2,94
"95",1,1,60
"96",1,2,90
"97",1,1,67
"98",1,2,82
"99",1,2,98
"100",1,2,51
"101",1,1,52
"102",1,2,93
"103",1,2,87
"104",1,1,84
"105",1,1,99
"106",1,1,94
"107",1,2,95
"108",1,1,51
"109",1,2,79
"110",1,2,97
"111",1,1,90
"112",1,2,80
"113",1,1,99
"114",1,1,100
"115",1,2,100
"116",1,1,97
"117",1,2,53
"118",1,1,94
"119",1,1,100
"120",1,1,50
"121",1,2,100
"122",1,1,95
"123",1,1,100
"124",1,1,54
"125",1,2,97
"126",1,1,100
"127",1,2,96
"128",1,1,100
"129",1,1,90
"130",1,2,99
"131",1,2,80
"132",1,2,60
"133",1,1,90
"134",1,2,100
"135",1,2,90
"136",1,1,100
"137",1,1,93
"138",1,1,100
"139",1,1,98
"140",1,1,58
"141",1,1,99
"142",1,1,96
"143",1,1,100
"144",1,1,100
"145",1,1,99
"146",1,2,60
"147",1,2,56
"148",1,1,50
"149",1,1,99
"150",1,1,97
"151",1,2,80
"152",1,2,63
"153",1,2,70
"154",1,1,100
"155",1,2,89
"156",1,2,56
"157",1,2,70
"158",1,2,100
"159",1,2,100
"160",1,2,70
"161",2,1,90
"162",2,1,95
"163",2,2,95
"164",2,2,74
"165",2,1,85
"166",2,2,50
"167",2,2,98
"168",2,1,99
"169",2,1,95
"170",2,1,75
"171",2,1,60
"172",2,1,60
"173",2,1,70
"174",2,2,55
"175",2,1,85
"176",2,1,90
"177",2,1,85
"178",2,2,70
"179",2,1,80
"180",2,2,95
"181",2,1,50
"182",2,1,70
"183",2,2,50
"184",2,1,70
"185",2,2,76
"186",2,2,85
"187",2,1,85
"188",2,2,85
"189",2,1,95
"190",2,2,90
"191",2,2,90
"192",2,2,55
"193",2,2,79
"194",2,2,85
"195",2,2,90
"196",2,2,90
"197",2,1,90
"198",2,1,50
"199",2,1,60
"200",2,1,99
"201",2,1,99
"202",2,2,90
"203",2,2,90
"204",2,2,60
"205",2,1,75
"206",2,1,90
"207",2,2,90
"208",2,2,99
"209",2,2,65
"210",2,1,74
"211",2,2,95
"212",2,2,96
"213",2,1,75
"214",2,2,90
"215",2,2,95
"216",2,1,60
"217",2,2,90
"218",2,2,75
"219",2,1,99
"220",2,1,85
"221",2,2,96
"222",2,2,95
"223",2,2,96
"224",2,1,80
"225",2,1,84
"226",2,2,95
"227",2,2,65
"228",2,1,80
"229",2,2,85
"230",2,2,85
"231",2,2,90
"232",2,1,80
"233",2,1,85
"234",2,1,60
"235",2,1,65
"236",2,1,70
"237",2,1,99
"238",2,1,85
"239",2,2,86
"240",2,2,99
"241",2,2,96
"242",2,1,90
"243",2,2,56
"244",2,1,75
"245",2,1,99
"246",2,2,96
"247",2,1,90
"248",2,2,85
"249",2,2,50
"250",2,2,90
"251",2,1,65
"252",2,2,74
"253",2,1,95
"254",2,2,50
"255",2,1,90
"256",2,1,74
"257",2,1,50
"258",2,1,60
"259",2,2,65
"260",2,2,99
"261",2,2,96
"262",2,1,90
"263",2,1,90
"264",2,1,90
"265",2,1,90
"266",2,1,99
"267",2,2,80
"268",2,2,86
"269",2,1,89
"270",2,1,90
"271",2,1,70
"272",2,2,99
"273",2,2,95
"274",2,1,80
"275",2,1,50
"276",2,1,90
"277",2,1,50
"278",2,1,99
"279",2,2,85
"280",2,2,80
"281",2,2,99
"282",2,1,60
"283",2,2,99
"284",2,1,80
"285",2,2,95
"286",2,1,70
"287",2,1,95
"288",2,2,50
"289",2,1,99
"290",2,2,75
"291",2,1,90
"292",2,2,80
"293",2,2,50
"294",2,2,90
"295",2,1,90
"296",2,2,90
"297",2,1,85
"298",2,1,90
"299",2,1,50
"300",2,1,95
"301",2,1,95
"302",2,1,90
"303",2,2,94
"304",2,1,90
"305",2,1,90
"306",2,1,90
"307",2,1,90
"308",2,1,90
"309",2,2,90
"310",2,1,95
"311",2,2,50
"312",2,1,96
"313",2,1,95
"314",2,1,80
"315",2,1,95
"316",2,1,50
"317",2,2,75
"318",2,1,50
"319",2,2,60
"320",2,2,90
"321",3,2,95
"322",3,2,60
"323",3,1,50
"324",3,1,59
"325",3,2,95
"326",3,2,75
"327",3,2,100
"328",3,2,63
"329",3,2,100
"330",3,2,100
"331",3,2,100
"332",3,2,100
"333",3,2,95
"334",3,2,72
"335",3,2,100
"336",3,2,100
"337",3,2,100
"338",3,2,100
"339",3,2,100
"340",3,2,62
"341",3,2,99
"342",3,2,95
"343",3,2,87
"344",3,2,98
"345",3,2,53
"346",3,2,87
"347",3,2,64
"348",3,2,99
"349",3,2,100
"350",3,2,100
"351",3,2,100
"352",3,2,100
"353",3,2,100
"354",3,2,100
"355",3,2,100
"356",3,2,73
"357",3,2,67
"358",3,2,100
"359",3,2,100
"360",3,2,100
"361",3,2,50
"362",3,2,62
"363",3,2,100
"364",3,2,100
"365",3,2,99
"366",3,2,98
"367",3,2,100
"368",3,2,83
"369",3,2,100
"370",3,2,100
"371",3,2,74
"372",3,2,100
"373",3,2,100
"374",3,2,96
"375",3,2,94
"376",3,2,99
"377",3,2,73
"378",3,2,95
"379",3,2,65
"380",3,2,92
"381",3,1,50
"382",3,2,85
"383",3,2,99
"384",3,2,100
"385",3,2,99
"386",3,2,100
"387",3,2,99
"388",3,2,100
"389",3,2,100
"390",3,2,100
"391",3,2,100
"392",3,2,100
"393",3,2,100
"394",3,2,100
"395",3,2,100
"396",3,2,99
"397",3,2,100
"398",3,2,95
"399",3,2,100
"400",3,2,84
"401",3,2,94
"402",3,2,100
"403",3,2,100
"404",3,2,99
"405",3,2,98
"406",3,2,98
"407",3,2,99
