"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,2,4
"3",1,1,4
"4",1,2,4
"5",1,2,1
"6",1,2,4
"7",1,1,1
"8",1,1,1
"9",1,2,4
"10",1,1,1
"11",1,1,1
"12",1,1,1
"13",1,1,4
"14",1,2,4
"15",1,1,4
"16",1,1,4
"17",1,1,4
"18",1,2,3
"19",1,1,4
"20",1,1,4
"21",1,2,4
"22",1,2,4
"23",1,1,4
"24",1,2,3
"25",1,2,3
"26",1,2,3
"27",1,2,3
"28",1,1,4
"29",1,2,3
"30",1,1,4
"31",1,2,3
"32",1,1,4
"33",1,2,3
"34",1,2,3
"35",1,2,3
"36",1,2,3
"37",1,2,3
"38",1,1,4
"39",1,1,1
"40",1,2,3
"41",1,2,3
"42",1,2,3
"43",1,2,4
"44",1,1,4
"45",1,2,3
"46",1,2,3
"47",1,2,3
"48",1,2,3
"49",1,2,3
"50",1,2,3
"51",1,1,4
"52",1,1,4
"53",1,2,3
"54",1,2,3
"55",1,2,3
"56",1,1,4
"57",1,1,1
"58",1,2,3
"59",1,2,3
"60",1,2,3
"61",1,1,1
"62",1,1,4
"63",1,1,4
"64",1,2,1
"65",1,2,3
"66",1,1,4
"67",1,1,4
"68",1,1,1
"69",1,2,3
"70",1,2,3
"71",1,1,4
"72",1,2,3
"73",1,2,3
"74",1,1,4
"75",1,2,3
"76",1,1,4
"77",1,1,4
"78",1,2,3
"79",1,2,3
"80",1,2,3
"81",1,2,3
"82",1,2,4
"83",1,2,3
"84",1,1,4
"85",1,1,4
"86",1,2,3
"87",1,2,3
"88",1,2,1
"89",1,1,4
"90",1,2,4
"91",1,2,1
"92",1,2,4
"93",1,2,4
"94",1,2,4
"95",1,1,2
"96",1,2,4
"97",1,2,4
"98",1,2,4
"99",1,1,4
"100",1,1,4
"101",1,1,4
"102",1,2,3
"103",1,2,1
"104",1,1,4
"105",1,1,4
"106",1,2,3
"107",1,2,3
"108",1,1,4
"109",1,2,1
"110",1,2,4
"111",1,2,1
"112",1,1,4
"113",1,2,3
"114",1,1,2
"115",1,2,3
"116",1,1,4
"117",1,1,4
"118",1,1,4
"119",1,2,3
"120",1,2,4
