"","Subj_idx","Response","Confidence"
"1",1001,-1,0.7
"2",1001,-1,0.9
"3",1001,-1,0.7
"4",1001,-1,0.85
"5",1001,-1,0.85
"6",1001,1,0.6
"7",1001,-1,0.8
"8",1001,-1,0.6
"9",1001,1,0.6
"10",1001,-1,0.65
"11",1001,1,0.65
"12",1001,1,0.6
"13",1001,1,0.6
"14",1001,-1,0.65
"15",1001,-1,0.7
"16",1001,-1,0.9
"17",1001,-1,0.9
"18",1001,1,0.65
"19",1001,1,0.75
"20",1001,1,0.6
"21",1001,-1,0.65
"22",1001,-1,0.8
"23",1001,-1,0.65
"24",1001,1,0.7
"25",1001,-1,0.65
"26",1001,-1,0.7
"27",1001,-1,0.75
"28",1001,-1,0.9
"29",1001,1,0.65
"30",1001,-1,0.8
"31",1001,1,0.85
"32",1001,1,0.65
"33",1001,-1,0.95
"34",1001,1,0.9
"35",1001,1,0.8
"36",1001,1,0.6
"37",1001,1,0.7
"38",1001,1,0.6
"39",1001,-1,0.7
"40",1001,-1,0.85
"41",1001,-1,0.8
"42",1001,-1,0.95
"43",1001,1,0.6
"44",1001,1,0.6
"45",1001,-1,0.8
"46",1001,-1,0.85
"47",1001,-1,0.85
"48",1001,1,0.65
"49",1001,1,0.65
"50",1001,-1,0.85
"51",1001,1,0.75
"52",1001,-1,0.9
"53",1001,-1,0.9
"54",1001,1,0.7
"55",1001,-1,0.7
"56",1001,1,0.75
"57",1001,-1,0.65
"58",1001,-1,0.9
"59",1001,1,0.75
"60",1001,1,0.6
"61",1001,-1,0.6
"62",1001,-1,0.7
"63",1001,-1,0.9
"64",1001,-1,0.7
"65",1001,-1,0.7
"66",1001,-1,0.9
"67",1001,-1,0.9
"68",1001,-1,0.9
"69",1001,-1,0.65
"70",1001,-1,0.6
"71",1001,1,0.6
"72",1001,1,0.8
"73",1001,1,0.7
"74",1001,-1,0.9
"75",1001,1,0.9
"76",1001,-1,0.7
"77",1001,-1,0.8
"78",1001,-1,0.8
"79",1001,1,0.65
"80",1001,-1,0.7
"81",1001,-1,0.9
"82",1001,-1,0.9
"83",1001,-1,0.9
"84",1001,-1,0.85
"85",1001,1,0.6
"86",1001,-1,0.95
"87",1001,-1,0.95
"88",1001,-1,0.95
"89",1001,1,0.75
"90",1001,-1,0.75
"91",1001,1,0.75
"92",1001,1,0.65
"93",1001,1,0.85
"94",1001,-1,0.65
"95",1001,1,0.7
"96",1001,-1,0.75
"97",1001,-1,0.7
"98",1001,1,0.65
"99",1001,-1,0.55
"100",1001,-1,0.85
"101",1001,-1,0.65
"102",1001,-1,0.9
"103",1001,1,0.65
"104",1001,1,0.65
"105",1001,-1,0.7
"106",1001,1,0.85
"107",1001,-1,0.75
"108",1001,1,0.8
"109",1001,1,0.95
"110",1001,1,0.95
"111",1001,1,0.85
"112",1001,1,0.7
"113",1001,-1,0.85
"114",1001,1,0.65
"115",1001,1,0.8
"116",1001,1,0.7
"117",1001,1,0.65
"118",1001,-1,0.7
"119",1001,-1,0.85
"120",1001,-1,0.95
"121",1001,1,0.95
"122",1001,-1,0.9
"123",1001,-1,0.9
"124",1001,1,0.8
"125",1001,-1,0.95
"126",1001,1,0.95
"127",1001,-1,0.95
"128",1001,1,0.9
"129",1001,1,0.95
"130",1001,-1,0.65
"131",1001,1,0.65
"132",1001,1,0.95
"133",1001,-1,0.9
"134",1001,-1,0.9
"135",1001,1,0.65
"136",1001,-1,0.75
"137",1001,1,0.8
"138",1001,-1,0.8
"139",1001,-1,0.6
"140",1001,-1,0.85
"141",1001,-1,0.7
"142",1001,-1,0.7
"143",1001,-1,0.9
"144",1001,-1,0.65
"145",1001,1,0.75
"146",1001,-1,0.7
"147",1001,-1,0.8
"148",1001,1,0.85
"149",1001,1,0.75
"150",1001,1,0.7
"151",1001,1,0.95
"152",1001,1,0.95
"153",1001,-1,0.7
"154",1001,1,0.85
"155",1001,1,0.8
"156",1001,1,0.85
