"","Subj_idx","Response","Confidence"
"1",10,0,2
"2",10,0,1
"3",10,0,1
"4",10,1,3
"5",10,1,3
"6",10,0,3
"7",10,0,2
"8",10,1,3
"9",10,0,2
"10",10,0,2
"11",10,0,2
"12",10,0,1
"13",10,0,2
"14",10,0,2
"15",10,0,1
"16",10,1,1
"17",10,0,1
"18",10,0,2
"19",10,1,2
"20",10,1,1
"21",10,0,3
"22",10,0,2
"23",10,1,2
"24",10,0,1
"25",10,0,3
"26",10,1,3
"27",10,0,2
"28",10,1,3
"29",10,0,2
"30",10,0,3
"31",10,1,1
"32",10,1,3
"33",10,0,3
"34",10,1,3
"35",10,1,3
"36",10,0,2
"37",10,1,3
"38",10,0,2
"39",10,1,3
"40",10,0,1
"41",10,0,3
"42",10,1,2
"43",10,1,2
"44",10,0,3
"45",10,0,1
"46",10,1,2
"47",10,0,2
"48",10,1,2
"49",10,0,3
"50",10,0,2
"51",10,0,2
"52",10,0,1
"53",10,0,3
"54",10,1,1
"55",10,1,1
"56",10,1,3
"57",10,0,1
"58",10,0,1
"59",10,0,2
"60",10,0,3
"61",10,1,3
"62",10,1,1
"63",10,1,1
"64",10,1,1
"65",10,0,2
"66",10,0,2
"67",10,1,3
"68",10,0,3
"69",10,0,2
"70",10,1,1
"71",10,1,2
"72",10,0,2
"73",10,1,2
"74",10,1,2
"75",10,1,1
"76",10,0,3
"77",10,1,3
"78",10,1,3
"79",10,1,1
"80",10,0,3
"81",10,1,1
"82",10,0,1
"83",10,0,1
"84",10,0,1
"85",10,0,2
"86",10,0,2
"87",10,1,1
"88",10,0,2
"89",10,1,2
"90",10,1,1
"91",10,1,3
"92",10,0,3
"93",10,0,2
"94",10,1,2
"95",10,1,1
"96",10,0,2
"97",10,0,3
"98",10,0,2
"99",10,0,2
"100",10,0,2
"101",10,1,2
"102",10,1,1
"103",10,0,1
"104",10,0,3
"105",10,1,3
"106",10,1,3
"107",10,0,1
"108",10,1,2
"109",10,0,3
"110",10,1,1
"111",10,0,2
"112",10,1,1
"113",10,1,1
"114",10,0,2
"115",10,0,3
"116",10,0,2
"117",10,0,1
"118",10,1,2
"119",10,1,3
"120",10,1,1
"121",10,1,3
"122",10,1,3
"123",10,0,3
"124",10,0,1
"125",10,0,2
"126",10,1,2
"127",10,0,2
"128",10,0,3
"129",10,1,1
"130",10,1,1
"131",10,0,1
"132",10,1,3
"133",10,0,2
"134",10,0,2
"135",10,1,1
"136",10,0,1
"137",10,1,2
"138",10,0,2
"139",10,0,2
"140",10,0,1
"141",10,0,3
"142",10,1,1
"143",10,1,2
"144",10,0,2
"145",10,0,2
"146",10,1,2
"147",10,1,1
"148",10,0,2
"149",10,1,3
"150",10,1,2
"151",10,1,2
"152",10,0,2
"153",10,1,1
"154",10,0,1
"155",10,1,1
"156",10,1,2
"157",10,0,1
