"","Subj_idx","Response","Confidence"
"1",1,0,0
"2",1,0,0
"3",1,0,1
"4",1,1,1
"5",1,1,1
"6",1,1,1
"7",1,1,0
"8",1,0,1
"9",1,0,0
"10",1,1,1
"11",1,1,0
"12",1,1,0
"13",1,0,0
"14",1,0,1
"15",1,1,0
"16",1,1,1
"17",1,0,1
"18",1,1,1
"19",1,1,1
"20",1,0,1
"21",1,0,0
"22",1,1,1
"23",1,1,1
"24",1,1,1
"25",1,0,1
"26",1,0,0
"27",1,0,1
"28",1,1,0
"29",1,0,0
"30",1,1,1
"31",1,0,1
"32",1,1,1
"33",1,0,0
"34",1,0,0
"35",1,0,0
"36",1,1,1
"37",1,0,0
"38",1,0,1
"39",1,0,0
"40",1,1,1
"41",1,0,1
"42",1,0,1
"43",1,0,0
"44",1,1,0
"45",1,0,1
"46",1,0,0
"47",1,1,1
"48",1,0,1
"49",1,1,0
"50",1,1,1
"51",1,1,1
"52",1,1,0
"53",1,1,1
"54",1,0,0
"55",1,1,1
"56",1,1,1
"57",1,1,0
"58",1,1,1
"59",1,1,1
"60",1,0,0
"61",1,0,1
"62",1,0,1
"63",1,1,1
"64",1,0,0
"65",1,1,1
"66",1,1,1
"67",1,0,0
"68",1,0,1
"69",1,0,0
"70",1,1,1
"71",1,1,1
"72",1,0,0
"73",1,1,1
"74",1,1,1
"75",1,1,0
"76",1,1,0
"77",1,1,0
"78",1,0,0
"79",1,0,0
"80",1,1,1
"81",1,1,1
"82",1,0,0
"83",1,0,1
"84",1,0,1
"85",1,0,1
"86",1,1,1
"87",1,0,1
"88",1,1,1
"89",1,0,0
"90",1,0,1
"91",1,1,1
"92",1,1,0
"93",1,1,1
"94",1,0,0
"95",1,1,0
"96",1,1,1
"97",1,0,0
"98",1,0,1
"99",1,0,0
"100",1,1,1
"101",1,1,1
"102",1,1,0
"103",1,1,1
"104",1,0,0
"105",1,1,1
"106",1,1,1
"107",1,0,0
"108",1,0,1
"109",1,0,0
"110",1,0,1
"111",1,1,1
"112",1,1,0
"113",1,1,1
"114",1,1,1
"115",1,1,1
"116",1,1,0
"117",1,1,0
"118",1,0,0
"119",1,0,1
"120",1,1,1
"121",1,1,0
"122",1,1,0
"123",1,1,1
"124",1,0,1
"125",1,1,0
"126",1,1,1
"127",1,0,1
"128",1,0,0
"129",1,1,1
"130",1,0,0
"131",1,0,1
"132",1,1,1
"133",1,0,0
"134",1,1,1
"135",1,1,1
"136",1,1,1
"137",1,1,1
"138",1,0,1
"139",1,0,0
"140",1,0,0
"141",1,0,1
"142",1,0,1
"143",1,1,0
"144",1,0,0
"145",1,1,0
"146",1,1,1
"147",1,1,0
"148",1,0,1
"149",1,0,1
"150",1,0,1
"151",1,1,0
"152",1,1,1
"153",1,1,1
"154",1,0,1
"155",1,0,1
"156",1,1,1
"157",1,0,1
"158",1,1,0
"159",1,1,1
"160",1,1,1
"161",1,0,1
"162",1,1,1
"163",1,1,0
"164",1,0,1
"165",1,1,1
"166",1,1,1
"167",1,0,1
"168",1,0,0
"169",1,1,1
"170",1,1,0
"171",1,0,1
"172",1,1,1
"173",1,1,1
"174",1,1,1
"175",1,1,0
"176",1,0,1
"177",1,1,1
"178",1,0,0
"179",1,0,1
"180",1,0,1
"181",1,1,1
"182",1,0,0
"183",1,1,0
"184",1,1,0
"185",1,1,1
"186",1,1,1
"187",1,1,1
"188",1,1,1
"189",1,1,1
"190",1,0,0
"191",1,0,0
"192",1,1,1
"193",1,0,1
"194",1,0,0
"195",1,1,1
"196",1,1,1
"197",1,1,1
"198",1,0,1
"199",1,1,1
"200",1,1,1
"201",1,1,1
"202",1,1,1
"203",1,0,0
"204",1,0,1
"205",1,1,1
"206",1,1,0
"207",1,1,1
"208",1,0,1
"209",1,1,0
"210",1,0,1
"211",1,0,1
"212",1,1,1
"213",1,0,1
"214",1,0,1
"215",1,1,1
"216",1,0,0
"217",1,0,1
"218",1,0,1
"219",1,0,1
"220",1,1,1
"221",1,0,1
"222",1,0,0
"223",1,0,1
"224",1,1,1
"225",1,1,1
"226",1,0,1
"227",1,0,1
"228",1,1,1
"229",1,1,0
"230",1,1,1
"231",1,0,1
"232",1,0,1
"233",1,0,0
"234",1,1,1
"235",1,1,1
"236",1,1,0
"237",1,1,1
"238",1,1,0
"239",1,1,1
"240",1,1,1
"241",1,1,0
"242",1,1,1
"243",1,1,1
"244",1,0,0
"245",1,1,1
"246",1,0,1
"247",1,0,1
"248",1,0,1
"249",1,1,1
"250",1,1,1
"251",1,1,1
"252",1,0,1
"253",1,1,0
"254",1,1,1
"255",1,0,1
"256",1,1,1
"257",1,1,0
"258",1,1,1
"259",1,1,1
"260",1,1,1
"261",1,0,1
"262",1,0,0
"263",1,1,0
"264",1,0,1
"265",1,1,1
"266",1,1,0
"267",1,1,1
"268",1,0,1
"269",1,1,1
"270",1,0,0
"271",1,1,1
"272",1,1,0
"273",1,1,0
"274",1,0,0
"275",1,1,1
"276",1,0,1
"277",1,0,0
"278",1,1,1
"279",1,1,1
"280",1,1,0
"281",1,0,0
"282",1,0,0
"283",1,0,0
"284",1,1,0
"285",1,1,1
"286",1,1,0
"287",1,0,1
"288",1,1,0
"289",1,0,1
"290",1,0,0
"291",1,0,1
"292",1,1,1
"293",1,1,1
"294",1,0,1
"295",1,1,0
"296",1,1,1
"297",1,1,0
"298",1,1,0
"299",1,1,1
"300",1,0,0
"301",1,0,0
"302",1,1,0
"303",1,1,1
"304",1,1,1
"305",1,0,1
"306",1,0,1
"307",1,0,0
"308",1,0,1
"309",1,1,1
"310",1,1,1
"311",1,0,0
"312",1,1,1
"313",1,1,1
"314",1,1,0
"315",1,1,1
"316",1,0,1
"317",1,1,1
"318",1,0,0
"319",1,1,1
"320",1,1,1
"321",1,1,0
"322",1,1,1
"323",1,1,0
"324",1,1,1
"325",1,0,1
"326",1,1,0
"327",1,0,1
"328",1,0,1
"329",1,0,0
"330",1,1,1
"331",1,1,0
"332",1,0,1
"333",1,0,0
"334",1,1,1
"335",1,1,1
"336",1,1,1
"337",1,0,1
"338",1,1,1
"339",1,1,1
"340",1,0,1
"341",1,1,1
"342",1,0,1
"343",1,0,0
"344",1,0,0
"345",1,1,1
"346",1,1,0
"347",1,1,1
"348",1,0,1
"349",1,1,1
"350",1,1,1
"351",1,1,0
"352",1,1,1
"353",1,1,1
"354",1,0,0
"355",1,1,1
"356",1,1,1
"357",1,0,1
"358",1,1,1
"359",1,1,1
"360",1,1,1
"361",1,0,1
"362",1,1,1
"363",1,1,1
"364",1,0,0
"365",1,1,1
"366",1,1,1
"367",1,0,1
"368",1,0,1
"369",1,1,1
"370",1,1,1
"371",1,1,0
"372",1,1,1
"373",1,1,1
"374",1,0,1
"375",1,0,1
"376",1,0,1
"377",1,1,1
"378",1,1,1
"379",1,0,1
"380",1,1,0
"381",1,1,0
"382",1,1,1
"383",1,1,0
"384",1,1,1
"385",1,1,1
"386",1,0,0
"387",1,0,1
"388",1,1,1
"389",1,1,1
"390",1,0,1
"391",1,0,0
"392",1,0,1
"393",1,0,1
"394",1,1,1
"395",1,1,1
"396",1,0,1
"397",1,1,1
"398",1,1,1
"399",1,1,1
"400",1,1,0
"401",1,1,1
"402",1,1,0
"403",1,1,1
"404",1,1,0
"405",1,0,1
"406",1,1,1
"407",1,0,0
"408",1,0,1
"409",1,0,1
"410",1,0,1
"411",1,0,1
"412",1,1,1
"413",1,1,1
"414",1,0,0
"415",1,1,1
"416",1,1,1
"417",1,0,1
"418",1,1,1
"419",1,1,0
"420",1,1,1
"421",1,0,1
"422",1,1,1
"423",1,1,0
"424",1,1,1
"425",1,1,1
"426",1,1,1
"427",1,1,0
"428",1,1,1
"429",1,0,1
"430",1,1,1
"431",1,1,1
"432",1,1,0
"433",1,1,1
"434",1,1,0
"435",1,1,1
"436",1,1,0
"437",1,0,1
"438",1,1,1
"439",1,1,1
"440",1,1,1
"441",1,0,0
"442",1,1,1
"443",1,0,1
"444",1,0,1
"445",1,1,1
"446",1,1,0
"447",1,1,1
"448",1,0,1
"449",1,0,1
"450",1,0,1
"451",1,1,0
"452",1,0,0
"453",1,1,1
"454",1,0,1
"455",1,0,0
"456",1,1,1
"457",1,0,0
"458",1,0,1
"459",1,0,1
"460",1,1,1
"461",1,1,1
"462",1,1,1
"463",1,0,1
"464",1,1,1
"465",1,0,0
"466",1,1,1
"467",1,0,0
"468",1,0,1
"469",1,1,1
"470",1,1,0
"471",1,0,1
"472",1,0,1
"473",1,1,1
"474",1,1,1
"475",1,0,1
"476",1,1,1
"477",1,1,0
"478",1,1,1
"479",1,0,1
"480",1,1,1
"481",1,0,1
"482",1,0,1
"483",1,1,0
"484",1,0,1
"485",1,0,1
"486",1,0,1
"487",1,0,1
"488",1,1,1
"489",1,0,1
"490",1,1,1
"491",1,0,0
"492",1,1,1
"493",1,1,0
"494",1,1,0
"495",1,1,1
"496",1,1,0
"497",1,1,1
"498",1,0,1
"499",1,1,1
"500",1,1,0
"501",1,1,0
"502",1,1,1
"503",1,1,1
"504",1,0,1
"505",1,0,0
"506",1,1,1
"507",1,1,1
"508",1,1,0
"509",1,0,1
"510",1,1,1
"511",1,1,1
"512",1,1,1
"513",1,1,0
"514",1,0,1
"515",1,0,1
"516",1,0,0
"517",1,1,1
"518",1,1,0
"519",1,1,1
"520",1,0,0
"521",1,1,1
"522",1,1,1
"523",1,1,0
"524",1,1,1
"525",1,1,1
"526",1,1,1
"527",1,1,1
"528",1,1,1
"529",1,0,1
"530",1,1,1
"531",1,1,0
"532",1,1,1
"533",1,0,0
"534",1,0,1
"535",1,1,1
"536",1,1,1
"537",1,1,0
"538",1,0,1
"539",1,1,0
"540",1,1,1
"541",1,1,1
"542",1,0,1
"543",1,1,1
"544",1,1,1
"545",1,1,1
"546",1,1,1
"547",1,1,1
"548",1,1,1
"549",1,0,0
"550",1,1,1
"551",1,1,1
"552",1,1,1
"553",1,1,1
"554",1,1,1
"555",1,1,1
"556",1,1,1
"557",1,1,0
"558",1,1,1
"559",1,0,0
"560",1,1,0
"561",1,0,1
"562",1,0,1
"563",1,0,1
"564",1,1,0
"565",1,0,0
"566",1,1,1
"567",1,1,1
"568",1,1,1
"569",1,1,1
"570",1,0,0
"571",1,1,0
"572",1,0,1
"573",1,0,0
"574",1,1,1
"575",1,0,1
"576",1,0,1
"577",1,1,1
"578",1,1,1
"579",1,0,0
"580",1,0,0
"581",1,1,1
"582",1,1,1
"583",1,0,1
"584",1,1,1
"585",1,0,0
"586",1,0,0
"587",1,1,1
"588",1,0,0
"589",1,0,0
"590",1,1,1
"591",1,0,0
"592",1,0,0
"593",1,0,1
"594",1,0,1
"595",1,1,0
"596",1,1,1
"597",1,1,0
"598",1,0,0
"599",1,1,1
"600",1,1,1
"601",1,1,1
"602",1,1,1
"603",1,1,0
"604",1,1,1
"605",1,0,0
"606",1,1,1
"607",1,1,1
"608",1,1,1
"609",1,1,0
"610",1,0,0
"611",1,0,0
"612",1,0,0
"613",1,1,1
"614",1,1,1
"615",1,1,1
"616",1,0,0
"617",1,0,1
"618",1,0,1
"619",1,1,1
"620",1,1,1
"621",1,1,0
"622",1,1,1
"623",1,0,0
"624",1,0,1
"625",1,0,0
"626",1,1,1
"627",1,1,1
"628",1,0,1
"629",1,0,1
"630",1,1,1
"631",1,1,1
"632",1,1,1
"633",1,1,0
"634",1,0,0
"635",1,0,1
"636",1,1,0
"637",1,0,1
"638",1,1,1
"639",1,1,1
"640",1,1,0
"641",1,0,1
"642",1,0,1
"643",1,1,1
"644",1,0,1
"645",1,0,1
"646",1,0,0
"647",1,0,1
"648",1,0,1
"649",1,0,1
"650",1,0,0
"651",1,0,1
"652",1,1,0
"653",1,1,0
"654",1,1,1
"655",1,1,1
"656",1,1,1
"657",1,0,1
"658",1,1,1
"659",1,0,0
"660",1,1,1
"661",1,1,1
"662",1,1,0
"663",1,1,1
"664",1,0,1
"665",1,0,1
"666",1,1,0
"667",1,1,1
"668",1,1,1
"669",1,1,1
"670",1,1,1
"671",1,1,1
"672",1,1,1
"673",1,0,1
"674",1,0,0
"675",1,0,1
"676",1,1,1
"677",1,1,0
"678",1,1,0
"679",1,1,1
"680",1,0,1
"681",1,1,1
"682",1,0,1
"683",1,1,1
"684",1,1,0
"685",1,0,1
"686",1,1,1
"687",1,1,0
"688",1,1,1
"689",1,1,0
"690",1,1,1
"691",1,1,0
"692",1,1,1
"693",1,0,0
"694",1,1,0
"695",1,0,1
"696",1,0,0
"697",1,1,1
"698",1,0,1
"699",1,0,0
"700",1,1,1
"701",1,1,1
"702",1,1,0
"703",1,1,1
"704",1,0,0
"705",1,1,1
"706",1,0,1
"707",1,0,1
"708",1,0,1
"709",1,1,1
"710",1,1,1
"711",1,1,1
"712",1,1,1
"713",1,0,1
"714",1,1,1
"715",1,0,1
"716",1,1,1
"717",1,1,1
"718",1,1,0
"719",1,1,1
"720",1,1,1
"721",1,1,0
"722",1,1,1
"723",1,1,1
"724",1,1,0
"725",1,1,1
"726",1,1,0
"727",1,0,1
"728",1,0,0
"729",1,1,0
"730",1,1,1
"731",1,0,1
"732",1,1,1
"733",1,0,0
"734",1,1,1
"735",1,1,0
"736",1,1,1
"737",1,1,0
"738",1,1,0
"739",1,1,1
"740",1,1,0
"741",1,1,1
"742",1,0,1
"743",1,1,1
"744",1,0,0
"745",1,1,0
"746",1,0,1
"747",1,1,0
"748",1,1,1
"749",1,0,0
"750",1,1,0
"751",1,1,0
"752",1,1,0
"753",1,1,0
"754",1,1,1
"755",1,0,0
"756",1,1,1
"757",1,0,1
"758",1,1,1
"759",1,1,1
"760",1,0,1
"761",1,1,1
"762",1,1,1
"763",1,1,1
"764",1,1,1
"765",1,1,1
"766",1,1,1
"767",1,1,1
"768",1,1,1
"769",1,0,0
