"","Subj_idx","Response","Confidence"
"1",1,0,1
"2",1,0,1
"3",1,1,1
"4",1,0,1
"5",1,1,1
"6",1,0,1
"7",1,0,1
"8",1,0,1
"9",1,1,1
"10",1,1,3
"11",1,0,2
"12",1,1,2
"13",1,1,2
"14",1,1,1
"15",1,1,2
"16",1,1,2
"17",1,0,3
"18",1,1,3
"19",1,1,3
"20",1,1,3
"21",1,0,2
"22",1,1,2
"23",1,0,1
"24",1,1,1
"25",1,1,4
"26",1,1,3
"27",1,1,2
"28",1,1,2
"29",1,0,1
"30",1,0,4
"31",1,1,3
"32",1,1,4
"33",1,0,3
"34",1,1,2
"35",1,0,3
"36",1,1,1
"37",1,0,2
"38",1,0,1
"39",1,0,1
"40",1,0,3
"41",1,0,1
"42",1,1,3
"43",1,1,2
"44",1,1,1
"45",1,1,1
"46",1,1,3
"47",1,1,2
"48",1,1,3
"49",1,1,3
"50",1,1,2
"51",1,1,3
"52",1,1,3
"53",1,0,2
"54",1,0,3
"55",1,1,1
"56",1,1,1
"57",1,1,3
"58",1,1,4
"59",1,1,4
"60",1,1,3
"61",1,1,2
"62",1,0,2
"63",1,1,3
"64",1,0,2
"65",1,1,2
"66",1,1,1
"67",1,1,1
"68",1,0,1
"69",1,1,1
"70",1,0,3
"71",1,0,3
"72",1,1,1
"73",1,1,1
"74",1,1,1
"75",1,0,1
"76",1,1,1
"77",1,1,4
"78",1,0,1
"79",1,1,1
"80",1,1,1
"81",1,1,1
"82",1,1,3
"83",1,1,3
"84",1,0,2
"85",1,1,2
"86",1,1,1
"87",1,1,2
"88",1,0,1
"89",1,1,2
"90",1,1,1
"91",1,1,2
"92",1,1,1
"93",1,0,1
"94",1,1,1
"95",1,1,2
"96",1,1,2
"97",1,1,2
"98",1,1,1
"99",1,0,3
"100",1,1,4
"101",1,0,2
"102",1,1,2
"103",1,1,1
"104",1,1,1
"105",1,1,1
"106",1,1,1
"107",1,1,3
"108",1,1,2
"109",1,1,2
"110",1,1,2
"111",1,1,3
"112",1,1,3
"113",1,1,3
"114",1,1,2
"115",1,1,2
"116",1,0,3
"117",1,1,2
"118",1,1,3
"119",1,1,3
"120",1,0,1
"121",1,1,1
"122",1,1,3
"123",1,1,3
"124",1,1,3
"125",1,1,3
"126",1,1,1
"127",1,1,2
"128",1,1,2
"129",1,1,4
"130",1,1,4
"131",1,1,4
"132",1,0,3
"133",1,1,4
"134",1,1,2
"135",1,1,4
"136",1,1,4
"137",1,1,2
"138",1,1,3
"139",1,0,1
"140",1,0,1
"141",1,1,2
"142",1,1,2
"143",1,0,3
"144",1,1,3
"145",1,1,1
"146",1,1,1
"147",1,1,3
"148",1,1,4
"149",1,1,3
"150",1,0,4
"151",1,1,1
"152",1,1,3
"153",1,1,2
"154",1,0,2
"155",1,1,3
"156",1,0,2
"157",1,1,2
"158",1,1,1
"159",1,1,1
"160",1,1,1
"161",1,1,2
"162",1,1,1
"163",1,1,2
"164",1,1,1
"165",1,1,1
"166",1,1,1
"167",1,1,3
"168",1,1,2
"169",1,1,3
"170",1,0,2
"171",1,1,2
"172",1,1,2
"173",1,0,2
"174",1,1,2
"175",1,0,1
"176",1,1,1
"177",1,0,3
"178",1,1,3
"179",1,0,3
"180",1,1,3
"181",1,1,1
"182",1,1,1
"183",1,1,4
"184",1,1,4
"185",1,1,2
"186",1,1,1
"187",1,1,1
"188",1,0,1
"189",1,0,1
"190",1,1,1
"191",1,0,2
"192",1,0,2
"193",1,1,1
"194",1,0,1
"195",1,0,1
"196",1,0,1
"197",1,1,2
"198",1,1,2
"199",1,0,1
"200",1,0,2
"201",1,0,3
"202",1,1,1
"203",1,1,2
"204",1,0,2
"205",1,1,1
"206",1,1,1
"207",1,1,1
"208",1,0,2
"209",1,1,2
"210",1,1,2
"211",1,1,3
"212",1,1,2
"213",1,1,2
"214",1,1,2
"215",1,1,2
"216",1,0,1
"217",1,1,2
"218",1,1,1
"219",1,1,2
"220",1,1,1
"221",1,0,2
"222",1,0,2
"223",1,1,2
"224",1,0,1
"225",1,1,1
"226",1,0,3
"227",1,0,1
"228",1,0,1
"229",1,0,1
"230",1,1,1
"231",1,1,3
"232",1,1,3
"233",1,0,1
"234",1,0,1
"235",1,1,1
"236",1,0,1
"237",1,1,1
"238",1,0,1
"239",1,1,1
"240",1,1,1
"241",1,1,1
"242",1,0,1
"243",1,1,1
"244",1,1,1
"245",1,0,1
"246",1,1,1
"247",1,1,1
"248",1,0,3
"249",1,1,1
"250",1,1,1
"251",1,1,1
"252",1,1,1
"253",1,0,2
"254",1,1,1
"255",1,1,3
"256",1,1,1
"257",1,1,3
"258",1,0,4
"259",1,1,2
"260",1,1,1
"261",1,1,4
"262",1,1,2
"263",1,1,1
"264",1,1,4
"265",1,1,4
"266",1,1,2
"267",1,1,2
"268",1,0,4
"269",1,0,3
"270",1,1,2
"271",1,0,3
"272",1,1,1
"273",1,1,1
"274",1,1,2
"275",1,0,3
"276",1,1,2
"277",1,1,3
"278",1,1,3
"279",1,1,1
"280",1,0,3
"281",1,0,3
"282",1,1,1
"283",1,1,1
"284",1,1,1
"285",1,1,1
"286",1,1,1
"287",1,0,1
"288",1,1,3
"289",1,1,1
"290",1,1,2
"291",1,1,1
"292",1,1,1
"293",1,1,1
"294",1,0,3
"295",1,1,3
"296",1,1,2
"297",1,1,1
"298",1,1,1
"299",1,1,1
"300",1,1,2
"301",1,1,1
"302",1,1,4
"303",1,1,3
"304",1,1,3
"305",1,0,2
"306",1,1,2
"307",1,1,1
"308",1,1,1
"309",1,1,4
"310",1,1,3
"311",1,1,4
"312",1,1,2
"313",1,1,3
"314",1,1,4
"315",1,0,2
"316",1,1,3
"317",1,1,3
"318",1,1,1
"319",1,1,3
"320",1,1,2
"321",1,0,3
"322",1,1,2
"323",1,0,4
"324",1,1,1
"325",1,1,1
"326",1,1,4
"327",1,1,2
"328",1,1,1
"329",1,1,1
"330",1,1,3
"331",1,1,2
"332",1,1,4
"333",1,1,2
"334",1,1,4
"335",1,1,2
"336",1,1,4
"337",1,0,3
"338",1,1,4
"339",1,1,4
"340",1,0,3
"341",1,1,2
"342",1,1,4
"343",1,1,2
"344",1,1,4
"345",1,1,3
"346",1,1,4
"347",1,1,2
"348",1,0,1
"349",1,1,2
"350",1,1,3
"351",1,1,2
"352",1,1,1
"353",1,0,3
"354",1,0,1
"355",1,1,1
"356",1,1,2
"357",1,1,2
"358",1,1,2
"359",1,1,1
"360",1,1,3
"361",1,1,3
"362",1,1,4
"363",1,0,3
"364",1,1,3
"365",1,1,1
"366",1,1,2
"367",1,0,3
"368",1,1,2
"369",1,1,2
"370",1,1,1
"371",1,1,1
"372",1,1,1
"373",1,1,3
"374",1,1,1
"375",1,1,1
"376",1,1,1
"377",1,1,1
"378",1,1,4
"379",1,1,3
"380",1,1,1
"381",1,1,1
"382",1,1,1
"383",1,1,4
"384",1,1,1
"385",1,1,1
"386",1,1,1
"387",1,1,1
"388",1,1,1
"389",1,1,1
"390",1,1,3
"391",1,0,3
