"","Subj_idx","Response","Confidence"
"1",1,1,0.6
"2",1,1,0.9
"3",1,1,0.8
"4",1,2,0.8
"5",1,1,0.5
"6",1,2,0.8
"7",1,1,0.7
"8",1,1,0.7
"9",1,2,0.8
"10",1,1,0.7
"11",1,2,0.9
"12",1,2,0.6
"13",1,1,0.9
"14",1,2,0.8
"15",1,1,0.8
"16",1,2,0.6
"17",1,1,0.9
"18",1,1,0.8
"19",1,1,0.7
"20",1,2,0.9
"21",1,1,0.6
"22",1,2,0.7
"23",1,1,1
"24",1,1,0.8
"25",1,1,0.9
"26",1,2,0.6
"27",1,2,0.9
"28",1,1,0.8
"29",1,2,0.6
"30",1,1,0.8
"31",1,1,0.8
"32",1,1,0.8
"33",1,1,0.8
"34",1,2,0.6
"35",1,1,0.9
"36",1,1,0.7
"37",1,2,0.9
"38",1,1,0.7
"39",1,1,0.8
"40",1,1,0.7
"41",1,1,0.7
"42",1,2,1
"43",1,2,0.9
"44",1,1,0.9
"45",1,1,0.8
"46",1,1,0.8
"47",1,1,0.9
"48",1,2,0.9
"49",1,1,1
"50",1,1,0.7
"51",1,1,0.8
"52",1,1,0.6
"53",1,1,0.7
"54",1,2,0.9
"55",1,1,0.6
"56",1,2,0.8
"57",1,1,0.6
"58",1,1,0.7
"59",1,2,0.6
"60",1,2,0.8
"61",1,1,0.9
"62",1,1,0.6
"63",1,1,0.6
"64",1,1,0.7
"65",1,1,0.9
"66",1,2,0.7
"67",1,1,0.8
"68",1,1,0.8
"69",1,2,0.7
"70",1,1,0.7
"71",1,1,0.9
"72",1,1,0.7
"73",1,1,0.8
"74",1,1,1
"75",1,2,0.6
"76",1,1,0.8
"77",1,1,0.6
"78",1,2,0.6
"79",1,1,0.7
"80",1,1,0.8
"81",1,1,0.8
"82",1,1,0.6
"83",1,1,0.8
"84",1,2,0.7
"85",1,2,0.7
"86",1,2,0.8
"87",1,1,0.6
"88",1,1,0.6
"89",1,1,0.8
"90",1,1,0.8
"91",1,2,0.9
"92",1,1,0.7
