"","Subj_idx","Response","Confidence"
"1",1,"probe_right",3
"2",1,"probe_left",3
"3",1,"probe_right",1
"4",1,"probe_left",2
"5",1,"probe_right",2
"6",1,"probe_right",2
"7",1,"probe_left",1
"8",1,"probe_right",3
"9",1,"probe_right",2
"10",1,"probe_left",2
"11",1,"probe_right",2
"12",1,"probe_left",2
"13",1,"probe_right",2
"14",1,"probe_left",2
"15",1,"probe_left",2
"16",1,"probe_left",2
"17",1,"probe_right",2
"18",1,"probe_left",2
"19",1,"probe_left",1
"20",1,"probe_left",1
"21",1,"probe_right",2
"22",1,"probe_left",2
"23",1,"probe_right",1
"24",1,"probe_left",2
"25",1,"probe_left",2
"26",1,"probe_right",3
"27",1,"probe_right",1
"28",1,"probe_left",3
"29",1,"probe_right",2
"30",1,"probe_left",2
"31",1,"probe_left",3
"32",1,"probe_left",4
"33",1,"probe_left",2
"34",1,"probe_right",2
"35",1,"probe_left",4
"36",1,"probe_right",1
"37",1,"probe_right",1
"38",1,"probe_right",1
"39",1,"probe_left",2
"40",1,"probe_left",1
"41",1,"probe_left",3
"42",1,"probe_right",3
"43",1,"probe_right",3
"44",1,"probe_left",3
"45",1,"probe_right",2
"46",1,"probe_right",1
"47",1,"probe_left",3
"48",1,"probe_left",2
"49",1,"probe_left",1
"50",1,"probe_right",2
"51",1,"probe_left",3
"52",1,"probe_right",4
"53",1,"probe_left",3
"54",1,"probe_right",2
"55",1,"probe_right",3
"56",1,"probe_right",2
"57",1,"probe_right",2
"58",1,"probe_left",2
"59",1,"probe_left",2
"60",1,"probe_right",2
"61",1,"probe_left",1
"62",1,"probe_left",1
"63",1,"probe_right",2
"64",1,"probe_left",1
"65",1,"probe_left",1
"66",1,"probe_left",3
"67",1,"probe_right",1
"68",1,"probe_left",1
"69",1,"probe_left",2
"70",1,"probe_right",3
"71",1,"probe_left",2
"72",1,"probe_left",2
"73",1,"probe_right",2
"74",1,"probe_right",2
"75",1,"probe_left",2
"76",1,"probe_left",1
"77",1,"probe_left",4
"78",1,"probe_right",3
"79",1,"probe_right",2
"80",1,"probe_left",2
"81",1,"probe_left",2
"82",1,"probe_right",1
"83",1,"probe_right",2
"84",1,"probe_left",1
"85",1,"probe_left",4
"86",1,"probe_right",2
"87",1,"probe_right",2
"88",1,"probe_right",2
"89",1,"probe_left",2
"90",1,"probe_right",1
"91",1,"probe_left",3
"92",1,"probe_right",2
"93",1,"probe_left",2
"94",1,"probe_left",2
"95",1,"probe_left",1
"96",1,"probe_left",2
"97",1,"probe_right",2
"98",1,"probe_left",3
"99",1,"probe_left",3
"100",1,"probe_right",1
"101",1,"probe_left",2
"102",1,"probe_left",3
"103",1,"probe_right",2
"104",1,"probe_left",2
"105",1,"probe_left",2
"106",1,"probe_left",2
"107",1,"probe_left",3
"108",1,"probe_left",2
"109",1,"probe_left",4
"110",1,"probe_left",2
"111",1,"probe_left",3
