"","Subj_idx","Response","Confidence"
"1",1,2,4
"2",1,2,6
"3",1,2,7
"4",1,2,6
"5",1,2,6
"6",1,2,6
"7",1,1,6
"8",1,2,5
"9",1,1,6
"10",1,1,6
"11",1,2,6
"12",1,1,3
"13",1,1,5
"14",1,2,4
"15",1,1,6
"16",1,1,5
"17",1,1,4
"18",1,2,3
"19",1,2,4
"20",1,2,7
"21",1,2,6
"22",1,2,8
"23",1,1,9
"24",1,2,5
"25",1,2,6
"26",1,1,5
"27",1,2,3
"28",1,2,2
"29",1,2,3
"30",1,1,3
"31",1,1,7
"32",1,2,5
"33",1,1,5
"34",1,1,4
"35",1,1,6
"36",1,1,2
"37",1,2,2
"38",1,1,2
"39",1,2,3
"40",1,1,4
"41",1,2,3
"42",1,2,10
"43",1,2,10
"44",1,2,10
"45",1,1,10
"46",1,1,8
"47",1,1,10
"48",1,1,10
"49",1,1,3
"50",1,2,7
"51",1,1,10
"52",1,1,10
"53",1,1,2
"54",1,1,9
"55",1,1,10
"56",1,2,10
"57",1,1,10
"58",1,1,10
"59",1,2,2
"60",1,2,10
"61",1,2,10
"62",1,1,10
"63",1,2,4
"64",1,2,10
"65",1,1,8
"66",1,1,6
"67",1,2,10
"68",1,1,10
"69",1,2,10
"70",1,1,4
"71",1,1,4
"72",1,1,10
"73",1,2,10
"74",1,1,10
"75",1,1,10
"76",1,2,8
"77",1,1,10
"78",1,1,10
"79",1,2,9
"80",1,1,10
"81",1,2,10
"82",1,1,2
"83",1,1,10
"84",1,2,2
"85",1,1,2
"86",1,1,2
"87",1,2,7
"88",1,1,6
"89",1,2,5
"90",1,2,3
"91",1,1,9
"92",1,1,0
"93",1,1,3
"94",1,1,2
"95",1,2,8
"96",1,2,5
"97",1,1,2
"98",1,1,0
"99",1,1,10
"100",1,1,6
"101",1,2,5
"102",1,1,10
"103",1,1,4
"104",1,2,0
"105",1,2,10
"106",1,2,10
"107",1,1,9
"108",1,1,1
"109",1,2,2
"110",1,1,1
"111",1,1,0
"112",1,2,9
"113",1,1,9
"114",1,1,10
"115",1,2,6
"116",1,2,3
"117",1,2,10
"118",1,2,9
"119",1,2,9
"120",1,2,10
"121",1,1,1
"122",1,2,10
"123",1,1,10
"124",1,1,10
"125",1,1,10
"126",1,1,10
"127",1,1,10
"128",1,1,9
"129",1,1,4
"130",1,2,2
"131",1,2,10
"132",1,1,10
"133",1,1,10
"134",1,2,6
"135",1,2,10
"136",1,1,10
"137",1,2,10
"138",1,1,4
"139",1,1,10
"140",1,2,10
"141",1,1,10
"142",1,1,4
"143",1,2,3
"144",1,1,10
"145",1,2,10
"146",1,1,2
"147",1,2,2
"148",1,1,1
"149",1,1,0
"150",1,1,1
"151",1,2,9
"152",1,2,4
"153",1,1,10
"154",1,2,10
"155",1,2,0
"156",1,2,10
"157",1,1,1
"158",1,2,2
"159",1,1,10
"160",1,2,10
"161",2,1,4
"162",2,1,4
"163",2,2,7
"164",2,2,8
"165",2,1,3
"166",2,2,4
"167",2,2,4
"168",2,2,5
"169",2,2,4
"170",2,2,5
"171",2,2,4
"172",2,2,5
"173",2,1,6
"174",2,2,5
"175",2,1,8
"176",2,1,5
"177",2,1,5
"178",2,2,4
"179",2,2,5
"180",2,1,3
"181",2,2,3
"182",2,1,2
"183",2,2,3
"184",2,1,9
"185",2,2,3
"186",2,2,4
"187",2,2,9
"188",2,2,7
"189",2,2,3
"190",2,2,5
"191",2,2,2
"192",2,2,6
"193",2,2,4
"194",2,1,6
"195",2,2,3
"196",2,2,4
"197",2,2,5
"198",2,2,4
"199",2,1,3
"200",2,1,4
"201",2,1,1
"202",2,2,10
"203",2,2,10
"204",2,2,9
"205",2,1,3
"206",2,2,10
"207",2,1,9
"208",2,2,10
"209",2,1,9
"210",2,1,10
"211",2,2,9
"212",2,2,10
"213",2,2,9
"214",2,1,5
"215",2,1,9
"216",2,1,10
"217",2,1,8
"218",2,1,10
"219",2,1,3
"220",2,2,6
"221",2,1,7
"222",2,2,10
"223",2,1,8
"224",2,1,10
"225",2,2,9
"226",2,1,10
"227",2,1,10
"228",2,1,10
"229",2,1,8
"230",2,2,6
"231",2,1,10
"232",2,2,9
"233",2,1,8
"234",2,2,7
"235",2,1,10
"236",2,2,10
"237",2,2,10
"238",2,2,9
"239",2,1,10
"240",2,1,9
"241",2,1,3
"242",2,1,10
"243",2,2,10
"244",2,2,10
"245",2,2,4
"246",2,1,9
"247",2,2,5
"248",2,1,9
"249",2,2,6
"250",2,1,8
"251",2,2,6
"252",2,2,8
"253",2,1,7
"254",2,2,4
"255",2,2,8
"256",2,2,4
"257",2,2,7
"258",2,2,4
"259",2,2,10
"260",2,2,10
"261",2,1,10
"262",2,2,7
"263",2,1,4
"264",2,1,10
"265",2,1,4
"266",2,1,4
"267",2,2,4
"268",2,2,5
"269",2,1,3
"270",2,1,5
"271",2,1,10
"272",2,1,4
"273",2,2,8
"274",2,2,10
"275",2,2,8
"276",2,2,6
"277",2,1,8
"278",2,2,10
"279",2,2,4
"280",2,1,4
"281",2,2,9
"282",2,2,4
"283",2,2,4
"284",2,1,7
"285",2,2,10
"286",2,1,10
"287",2,2,10
"288",2,1,8
"289",2,2,10
"290",2,1,10
"291",2,2,7
"292",2,2,10
"293",2,2,10
"294",2,2,6
"295",2,1,7
"296",2,1,7
"297",2,2,10
"298",2,1,10
"299",2,1,10
"300",2,2,10
"301",2,2,10
"302",2,1,10
"303",2,2,10
"304",2,2,5
"305",2,2,5
"306",2,2,7
"307",2,2,8
"308",2,1,10
"309",2,2,10
"310",2,2,10
"311",2,2,5
"312",2,1,5
"313",2,2,10
"314",2,2,4
"315",2,2,4
"316",2,1,10
"317",2,1,2
"318",2,1,10
"319",2,2,10
"320",2,2,10
"321",3,1,5
"322",3,2,6
"323",3,2,6
"324",3,2,2
"325",3,1,5
"326",3,2,8
"327",3,2,6
"328",3,1,3
"329",3,2,7
"330",3,2,4
"331",3,2,1
"332",3,2,4
"333",3,2,5
"334",3,2,2
"335",3,2,5
"336",3,1,4
"337",3,1,5
"338",3,1,8
"339",3,1,8
"340",3,2,6
"341",3,1,8
"342",3,1,6
"343",3,2,9
"344",3,2,2
"345",3,2,6
"346",3,1,5
"347",3,1,4
