"","Subj_idx","Response","Confidence"
"1",1,0,6
"2",1,1,3
"3",1,0,2
"4",1,0,5
"5",1,1,6
"6",1,1,6
"7",1,0,1
"8",1,1,4
"9",1,1,3
"10",1,0,3
"11",1,1,1
"12",1,0,2
"13",1,0,2
"14",1,0,2
"15",1,0,6
"16",1,0,6
"17",1,1,4
"18",1,0,6
"19",1,1,3
"20",1,1,3
"21",1,1,5
"22",1,NA,NA
"23",1,0,1
"24",1,0,6
"25",1,0,5
"26",1,0,2
"27",1,0,6
"28",1,NA,NA
"29",1,1,3
"30",1,0,2
"31",1,0,5
"32",1,1,3
"33",1,0,6
"34",1,0,4
"35",1,1,2
"36",1,0,5
"37",1,0,6
"38",1,0,6
"39",1,0,4
"40",1,1,1
"41",1,NA,NA
"42",1,0,6
"43",1,1,1
"44",1,1,6
"45",1,0,5
"46",1,1,5
"47",1,1,3
"48",1,1,6
"49",1,1,6
"50",1,1,4
"51",1,0,2
"52",1,1,2
"53",1,1,2
"54",1,1,6
"55",1,1,5
"56",1,1,3
"57",1,0,2
"58",1,0,4
"59",1,0,4
"60",1,1,6
"61",1,0,6
"62",1,1,6
"63",1,0,4
"64",1,1,4
"65",1,1,1
"66",1,1,1
"67",1,0,2
"68",1,0,2
"69",1,0,3
"70",1,1,3
"71",1,0,2
"72",1,0,3
"73",1,1,3
"74",1,1,4
"75",1,1,1
"76",1,1,6
"77",1,1,2
"78",1,1,1
"79",1,1,5
"80",1,0,6
"81",1,1,2
"82",1,1,2
"83",1,1,3
"84",1,0,2
"85",1,1,6
"86",1,0,3
"87",1,0,1
"88",1,1,2
"89",1,0,2
"90",1,1,2
"91",1,1,3
"92",1,0,2
"93",1,0,3
"94",1,1,2
"95",1,0,2
"96",1,0,4
"97",1,1,3
"98",1,0,2
"99",1,1,6
"100",1,1,4
"101",1,1,6
"102",1,1,4
"103",1,0,2
"104",1,1,2
"105",1,1,2
"106",1,0,3
"107",1,1,3
"108",1,0,3
