"","Subj_idx","Response","Confidence"
"1","AS",1,2
"2","AS",2,1
"3","AS",2,1
"4","AS",2,1
"5","AS",1,1
"6","AS",1,1
"7","AS",1,1
"8","AS",1,1
"9","AS",1,1
"10","AS",2,2
"11","AS",2,1
"12","AS",2,2
"13","AS",1,1
"14","AS",2,2
"15","AS",1,2
"16","AS",2,1
"17","AS",1,1
"18","AS",1,1
"19","AS",1,1
"20","AS",1,2
"21","AS",1,2
"22","AS",1,2
"23","AS",1,1
"24","AS",2,2
"25","AS",1,1
"26","AS",2,2
"27","AS",2,2
"28","AS",2,2
"29","AS",2,1
"30","AS",1,1
"31","AS",2,2
"32","AS",1,1
"33","AS",2,1
"34","AS",1,2
"35","AS",1,2
"36","AS",2,1
"37","AS",2,1
"38","AS",1,1
"39","AS",1,1
"40","AS",1,2
"41","AS",2,2
"42","AS",2,1
"43","AS",2,2
"44","AS",2,2
"45","AS",2,1
"46","AS",1,2
"47","AS",1,2
"48","AS",1,1
"49","AS",1,1
"50","AS",1,1
"51","AS",1,1
"52","AS",2,1
"53","AS",1,2
"54","AS",1,1
"55","AS",2,2
"56","AS",1,1
"57","AS",2,2
"58","AS",1,1
"59","AS",2,2
"60","AS",1,2
"61","AS",1,2
"62","AS",1,1
"63","AS",2,2
"64","AS",2,1
"65","AS",1,1
"66","AS",2,1
"67","AS",2,2
"68","AS",1,2
"69","AS",1,2
"70","AS",1,2
"71","AS",1,2
"72","AS",1,2
"73","AS",1,1
"74","AS",1,2
"75","AS",2,2
"76","AS",1,2
"77","AS",1,1
"78","AS",1,2
"79","AS",1,1
"80","AS",2,2
"81","AS",1,2
"82","AS",2,2
"83","AS",2,2
"84","AS",2,2
"85","AS",1,2
"86","AS",1,1
"87","AS",1,1
"88","AS",1,1
"89","AS",1,2
"90","AS",1,1
"91","AS",2,1
"92","AS",1,1
"93","AS",1,1
"94","AS",2,1
"95","AS",1,2
"96","AS",1,2
"97","AS",2,2
"98","AS",1,2
"99","AS",2,2
"100","AS",1,1
"101","AS",1,2
"102","AS",1,2
"103","AS",2,1
"104","AS",1,2
