"","Subj_idx","Response","Confidence"
"1",172,1,20
"2",172,1,10
"3",172,0,20
"4",172,0,30
"5",172,0,30
"6",172,1,10
"7",172,0,20
"8",172,0,20
"9",172,1,30
"10",172,1,10
"11",172,0,10
"12",172,0,10
"13",172,0,10
"14",172,0,20
"15",172,0,10
"16",172,1,20
"17",172,0,10
"18",172,1,10
"19",172,0,20
"20",172,1,10
"21",172,1,30
"22",172,1,20
"23",172,1,30
"24",172,0,30
"25",172,0,40
"26",172,1,10
"27",172,0,30
"28",172,0,10
"29",172,0,10
"30",172,0,10
"31",172,1,10
"32",172,0,40
"33",172,0,10
"34",172,0,10
"35",172,1,50
"36",172,1,50
"37",172,0,10
"38",172,0,30
"39",172,0,50
"40",172,0,10
"41",172,1,10
"42",172,0,10
"43",172,1,20
"44",172,0,40
"45",172,1,50
"46",172,0,10
"47",172,1,50
"48",172,1,50
"49",172,1,50
"50",172,1,10
"51",172,0,10
"52",172,1,50
"53",172,1,50
"54",172,0,30
"55",172,1,20
"56",172,0,50
"57",172,1,50
"58",172,0,10
"59",172,0,20
"60",172,0,10
"61",172,0,40
"62",172,0,30
"63",172,1,30
"64",172,0,20
"65",172,0,10
"66",172,0,10
"67",172,0,10
"68",172,0,10
"69",172,0,30
"70",172,0,50
"71",172,1,30
"72",172,1,30
"73",172,0,10
"74",172,1,30
"75",172,0,30
"76",172,0,40
"77",172,0,10
"78",172,1,50
"79",172,0,20
"80",172,0,40
"81",172,0,50
"82",172,0,10
"83",172,1,50
"84",172,0,10
"85",172,1,10
"86",172,0,10
"87",172,1,50
"88",172,1,50
"89",172,0,50
"90",172,1,30
"91",172,0,50
"92",172,1,10
"93",172,1,50
"94",172,1,10
"95",172,1,30
"96",172,0,20
"97",172,0,10
"98",172,0,30
"99",172,0,10
"100",172,0,10
"101",172,0,10
"102",172,0,50
"103",172,0,10
"104",172,1,50
"105",172,0,30
"106",172,0,20
"107",172,1,50
"108",172,0,30
"109",172,0,30
"110",172,0,30
"111",172,1,50
"112",172,1,50
"113",172,1,50
"114",172,0,10
"115",172,0,40
"116",172,0,40
"117",172,0,10
"118",172,1,50
"119",172,1,20
"120",172,0,10
"121",172,1,10
"122",172,0,50
"123",172,0,40
"124",172,0,10
"125",172,0,10
"126",172,0,10
"127",172,0,50
"128",172,0,20
"129",172,1,20
"130",172,1,50
"131",172,1,10
"132",172,1,50
"133",172,0,10
"134",172,1,20
"135",172,0,20
"136",172,0,20
"137",172,0,50
"138",172,1,10
"139",172,1,50
"140",172,0,10
"141",172,0,50
"142",172,0,50
"143",172,1,10
"144",172,0,50
"145",172,0,50
"146",172,0,10
"147",172,0,50
"148",172,0,10
"149",172,0,50
"150",172,0,10
"151",172,1,10
"152",172,1,40
"153",172,1,20
"154",172,1,50
"155",172,1,50
"156",172,1,50
"157",172,1,50
"158",172,1,40
"159",172,1,30
"160",172,1,50
"161",172,0,10
"162",172,1,50
"163",172,0,10
"164",172,1,10
"165",172,0,10
"166",172,1,20
"167",172,0,50
"168",172,0,10
"169",172,1,50
"170",172,0,50
"171",172,0,20
"172",172,0,50
"173",172,0,50
"174",172,0,10
"175",172,0,20
"176",172,0,20
"177",172,0,20
"178",172,1,10
"179",172,0,10
"180",172,0,20
"181",172,0,20
"182",172,1,10
"183",172,0,50
"184",172,0,40
"185",172,0,10
"186",172,0,20
"187",172,0,20
"188",172,1,50
"189",172,0,20
"190",172,1,50
"191",172,0,10
"192",172,1,50
"193",172,0,50
"194",172,0,40
"195",172,1,10
"196",172,0,20
"197",172,1,50
"198",172,0,10
"199",172,1,30
"200",172,1,40
"201",172,1,50
"202",172,0,40
"203",172,1,50
"204",172,1,40
"205",172,1,50
"206",172,0,20
"207",172,1,30
"208",172,0,10
"209",172,0,10
"210",172,1,40
"211",172,0,50
"212",172,0,40
"213",172,0,40
"214",172,1,10
"215",172,0,10
"216",172,1,10
"217",172,1,10
"218",172,0,50
"219",172,0,50
"220",172,1,50
"221",172,0,10
"222",172,1,30
"223",172,1,10
"224",172,1,10
"225",172,0,10
"226",172,1,10
"227",172,0,50
"228",172,0,10
"229",172,0,20
"230",172,0,10
"231",172,0,10
"232",172,0,10
"233",172,1,20
"234",172,1,20
"235",172,0,10
"236",172,1,30
"237",172,0,50
"238",172,1,10
"239",172,1,50
"240",172,1,10
"241",172,1,50
"242",172,0,10
"243",172,0,30
"244",172,0,50
"245",172,1,50
"246",172,1,50
"247",172,0,30
"248",172,0,50
"249",172,1,10
"250",172,0,40
"251",172,0,50
"252",172,0,10
"253",172,0,10
"254",172,0,20
"255",172,0,50
"256",172,0,30
"257",172,0,50
"258",172,0,50
"259",172,0,40
"260",172,1,10
"261",172,0,50
"262",172,1,10
"263",172,0,50
"264",172,0,30
"265",172,1,50
"266",172,0,10
"267",172,0,30
"268",172,0,30
"269",172,0,30
"270",172,1,10
"271",172,0,10
"272",172,0,20
"273",172,0,30
"274",172,0,20
"275",172,0,40
"276",172,1,10
"277",172,0,20
"278",172,1,50
"279",172,1,50
"280",172,0,10
"281",172,0,20
"282",172,0,40
"283",172,1,10
"284",172,0,50
"285",172,0,10
"286",172,1,20
"287",172,0,40
"288",172,1,20
"289",172,1,20
"290",172,0,50
"291",172,1,50
"292",172,1,40
"293",172,1,30
"294",172,0,50
"295",172,1,30
"296",172,0,40
"297",172,1,50
"298",172,0,50
"299",172,1,10
"300",172,1,40
"301",172,0,10
"302",172,0,50
"303",172,1,40
"304",172,0,10
"305",172,1,50
"306",172,0,40
"307",172,0,50
"308",172,0,50
"309",172,0,30
"310",172,0,10
"311",172,0,40
"312",172,0,20
"313",172,0,40
"314",172,1,30
"315",172,1,50
"316",172,1,50
"317",172,1,30
"318",172,1,10
"319",172,1,30
"320",172,0,30
"321",172,0,10
"322",172,1,40
"323",172,0,20
"324",172,0,10
"325",172,1,40
"326",172,0,10
"327",172,0,10
"328",172,1,10
"329",172,1,10
"330",172,1,40
"331",172,1,50
"332",172,1,10
"333",172,1,50
"334",172,1,10
"335",172,1,10
"336",172,1,50
"337",172,1,50
"338",172,1,40
"339",172,1,40
"340",172,1,50
"341",172,1,40
"342",172,0,40
"343",172,1,10
"344",172,1,50
"345",172,0,40
"346",172,0,50
"347",172,1,10
"348",172,1,50
"349",172,0,10
"350",172,1,10
"351",172,1,50
"352",172,0,10
"353",172,0,50
"354",172,0,20
"355",172,0,10
"356",172,0,10
"357",172,0,10
"358",172,0,20
"359",172,0,40
"360",172,1,10
"361",172,1,10
"362",172,0,40
"363",172,0,30
"364",172,0,40
"365",172,0,10
"366",172,1,20
"367",172,0,10
"368",172,0,20
"369",172,0,20
"370",172,0,10
"371",172,1,10
"372",172,0,50
"373",172,0,10
"374",172,0,10
"375",172,0,40
"376",172,1,10
"377",172,1,10
"378",172,0,40
"379",172,0,30
"380",172,1,10
"381",172,0,30
"382",172,1,10
"383",172,0,20
"384",172,1,10
"385",172,0,10
"386",172,0,20
"387",172,1,30
"388",172,1,20
