"","Subj_idx","Response","Confidence"
"1",101,0,40
"2",101,0,10
"3",101,1,-30
"4",101,1,10
"5",101,0,-20
"6",101,0,20
"7",101,1,20
"8",101,1,-30
"9",101,0,30
"10",101,1,-10
"11",101,0,-20
"12",101,1,20
"13",101,0,20
"14",101,1,30
"15",101,0,10
"16",101,1,30
"17",101,0,-40
"18",101,1,10
"19",101,0,-30
"20",101,1,-20
"21",101,1,-10
"22",101,1,10
"23",101,1,-10
"24",101,1,10
"25",101,1,-20
"26",101,1,10
"27",101,1,10
"28",101,0,10
"29",101,0,-20
"30",101,0,-10
"31",101,0,30
"32",101,0,10
"33",101,0,-20
"34",101,0,30
"35",101,0,30
"36",101,0,30
"37",101,0,-10
"38",101,0,40
"39",101,0,-10
"40",101,0,10
"41",101,1,-20
"42",101,1,10
"43",101,0,30
"44",101,1,10
"45",101,0,10
"46",101,0,10
"47",101,0,10
"48",101,0,30
"49",101,1,10
"50",101,1,-20
"51",101,1,-30
"52",101,0,10
"53",101,0,-20
"54",101,0,20
"55",101,1,-10
"56",101,0,10
"57",101,1,10
"58",101,0,10
"59",101,0,-20
"60",101,0,10
"61",101,1,10
"62",101,0,-10
"63",101,0,-10
"64",101,0,10
"65",101,1,-10
"66",101,0,20
"67",101,0,20
"68",101,1,20
"69",101,0,20
"70",101,1,-20
"71",101,1,-20
"72",101,0,20
"73",101,1,10
"74",101,0,20
"75",101,0,20
"76",101,1,10
"77",101,0,10
"78",101,1,10
"79",101,0,10
"80",101,0,20
"81",101,0,-20
"82",101,0,-10
"83",101,1,-10
"84",101,1,-10
"85",101,0,10
"86",101,0,10
"87",101,0,-10
"88",101,0,20
"89",101,1,-10
"90",101,0,10
"91",101,1,20
"92",101,0,20
"93",101,0,10
"94",101,0,10
"95",101,0,-20
"96",101,1,20
"97",101,1,10
"98",101,0,20
"99",101,1,30
"100",101,1,10
"101",101,0,20
"102",101,0,20
"103",101,0,30
"104",101,1,-10
"105",101,1,-20
"106",101,0,30
"107",101,1,20
"108",101,0,20
"109",101,0,20
"110",101,0,10
"111",101,1,-10
"112",101,0,10
"113",101,1,10
"114",101,0,10
"115",101,1,20
"116",101,1,10
"117",101,0,-10
"118",101,1,10
"119",101,0,20
"120",101,0,-10
"121",101,0,20
"122",101,1,-20
"123",101,0,10
"124",101,0,20
"125",101,0,-20
"126",101,0,20
"127",101,0,10
"128",101,0,10
"129",101,0,-20
"130",101,0,20
"131",101,1,10
"132",101,0,20
"133",101,0,10
"134",101,1,-10
"135",101,1,10
"136",101,1,20
"137",101,1,10
"138",101,0,10
"139",101,0,10
"140",101,1,10
"141",101,0,10
"142",101,0,10
"143",101,1,-10
"144",101,1,10
"145",101,0,-10
"146",101,0,20
"147",101,1,20
"148",101,0,10
"149",101,1,-20
"150",101,0,10
"151",101,0,10
"152",101,0,20
"153",101,0,10
"154",101,0,10
"155",101,1,20
"156",101,0,20
"157",101,1,20
"158",101,1,10
"159",101,0,10
"160",101,0,10
"161",101,0,10
"162",101,0,10
"163",101,1,20
"164",101,0,30
"165",101,0,20
"166",101,0,10
"167",101,1,-20
"168",101,0,20
"169",101,1,20
"170",101,1,-20
"171",101,0,20
"172",101,1,20
"173",101,1,10
"174",101,0,20
"175",101,0,30
"176",101,0,10
"177",101,1,10
"178",101,0,10
"179",101,0,20
"180",101,1,20
"181",101,0,20
"182",101,0,20
"183",101,0,20
"184",101,1,20
"185",101,0,-20
"186",101,0,10
"187",101,1,20
"188",101,1,30
"189",101,0,20
"190",101,1,10
"191",101,1,30
"192",101,0,-10
"193",101,0,20
"194",101,0,-10
"195",101,0,20
"196",101,0,10
"197",101,1,10
"198",101,1,10
"199",101,0,-20
"200",101,0,20
"201",101,1,10
"202",101,0,10
"203",101,1,-20
"204",101,0,10
"205",101,0,20
"206",101,0,40
"207",101,0,20
"208",101,0,10
"209",101,1,20
"210",101,0,30
"211",101,0,20
"212",101,0,40
"213",101,1,20
"214",101,1,10
"215",101,0,20
"216",101,0,10
"217",101,0,10
"218",101,0,20
"219",101,1,30
"220",101,1,10
"221",101,0,10
"222",101,0,10
"223",101,1,20
"224",101,0,20
"225",101,0,20
"226",101,0,10
"227",101,1,20
"228",101,1,20
"229",101,1,30
"230",101,0,10
"231",101,1,10
"232",101,1,30
"233",101,0,20
"234",101,1,10
"235",101,1,20
"236",101,0,20
"237",101,1,20
"238",101,0,10
"239",101,1,-20
"240",101,0,20
"241",101,0,30
"242",101,0,30
"243",101,0,10
"244",101,1,-10
"245",101,1,20
"246",101,0,20
"247",101,0,20
"248",101,1,-30
"249",101,1,10
"250",101,1,10
"251",101,0,20
"252",101,1,10
"253",101,1,10
"254",101,0,20
"255",101,0,20
"256",101,0,10
"257",101,1,30
"258",101,1,30
"259",101,1,20
"260",101,0,-10
"261",101,0,40
"262",101,0,20
"263",101,0,10
"264",101,0,20
"265",101,1,-20
"266",101,0,-20
"267",101,0,10
"268",101,1,-10
"269",101,0,20
"270",101,1,10
"271",101,0,-10
"272",101,0,30
"273",101,0,20
"274",101,1,40
"275",101,0,-30
"276",101,0,30
"277",101,1,-20
"278",101,0,20
"279",101,1,20
"280",101,1,20
"281",101,0,30
"282",101,0,30
"283",101,0,10
"284",101,0,-10
"285",101,1,20
"286",101,0,20
"287",101,0,-20
"288",101,1,20
"289",101,0,40
"290",101,1,40
"291",101,0,50
"292",101,0,20
"293",101,0,30
"294",101,0,30
"295",101,1,-20
"296",101,1,20
"297",101,0,20
"298",101,0,10
"299",101,0,40
"300",101,1,10
"301",101,0,30
"302",101,0,-30
"303",101,0,20
"304",101,0,30
"305",101,0,30
"306",101,0,20
"307",101,1,20
"308",101,1,-20
"309",101,1,20
"310",101,1,-20
"311",101,0,20
"312",101,0,20
"313",101,0,20
"314",101,1,-20
"315",101,0,-10
"316",101,0,30
"317",101,0,10
"318",101,0,-20
"319",101,0,20
"320",101,1,20
"321",101,1,30
"322",101,1,30
"323",101,0,-30
"324",101,0,30
"325",101,0,40
"326",101,0,40
"327",101,0,20
"328",101,1,10
"329",101,0,20
"330",101,0,40
"331",101,0,20
"332",101,0,10
"333",101,1,20
"334",101,0,20
"335",101,1,30
"336",101,1,20
"337",101,0,50
"338",101,0,40
"339",101,0,30
"340",101,0,-20
"341",101,0,10
"342",101,0,10
"343",101,1,30
"344",101,1,20
"345",101,1,20
"346",101,1,20
"347",101,0,30
"348",101,0,10
"349",101,0,30
"350",101,0,-20
"351",101,0,10
"352",101,0,20
"353",101,0,-20
"354",101,0,20
"355",101,1,-20
"356",101,0,20
"357",101,1,20
"358",101,0,30
"359",101,0,10
"360",101,1,10
"361",101,0,10
"362",101,0,20
"363",101,0,20
"364",101,0,20
"365",101,1,20
"366",101,1,20
"367",101,1,10
"368",101,0,20
"369",101,1,10
"370",101,1,40
"371",101,0,40
"372",101,0,20
"373",101,0,20
"374",101,1,30
"375",101,0,10
"376",101,1,10
"377",101,0,10
"378",101,0,30
"379",101,0,20
"380",101,0,-20
"381",101,1,-20
"382",101,0,30
"383",101,0,10
"384",101,0,10
"385",101,0,10
"386",101,0,10
"387",101,0,20
"388",101,0,-20
"389",101,1,40
"390",101,0,20
"391",101,1,20
"392",101,0,20
"393",101,1,30
"394",101,0,10
"395",101,0,-20
"396",101,1,10
"397",101,0,20
"398",101,0,10
"399",101,1,-10
"400",101,0,40
"401",101,0,-20
"402",101,0,40
"403",101,1,40
"404",101,1,30
"405",101,1,30
"406",101,0,40
"407",101,0,-20
"408",101,0,-20
"409",101,0,40
"410",101,0,20
"411",101,0,40
"412",101,0,20
"413",101,1,20
"414",101,0,-10
"415",101,0,20
"416",101,0,10
"417",101,1,20
"418",101,1,30
"419",101,0,-20
"420",101,0,10
"421",101,0,20
"422",101,1,20
"423",101,0,20
"424",101,0,10
"425",101,0,20
"426",101,0,30
"427",101,0,10
"428",101,1,30
"429",101,0,40
"430",101,1,10
"431",101,0,30
"432",101,0,-10
"433",101,0,30
"434",101,1,30
"435",101,0,20
"436",101,0,-20
"437",101,1,-30
"438",101,0,10
"439",101,1,10
"440",101,1,10
"441",101,0,20
"442",101,0,-10
"443",101,0,20
"444",101,1,20
"445",101,1,10
"446",101,0,-20
"447",101,0,20
"448",101,0,20
"449",101,0,10
"450",101,1,-20
"451",101,1,-20
"452",101,1,20
"453",101,0,20
"454",101,0,10
"455",101,0,-30
"456",101,0,-10
"457",101,1,30
"458",101,1,-20
"459",101,0,20
"460",101,1,10
"461",101,0,20
"462",101,0,10
"463",101,1,20
"464",101,1,30
"465",101,0,-20
"466",101,1,20
"467",101,1,30
"468",101,0,20
"469",101,0,20
"470",101,1,40
"471",101,1,30
"472",101,0,30
"473",101,1,40
"474",101,0,10
"475",101,0,10
"476",101,1,10
"477",101,0,20
"478",101,0,20
"479",101,0,20
"480",101,1,-20
"481",101,0,-30
"482",101,0,10
"483",101,1,20
"484",101,0,20
"485",101,0,10
"486",101,0,-10
"487",101,1,20
"488",101,1,30
"489",101,0,10
"490",101,1,20
"491",102,1,30
"492",102,1,40
"493",102,1,40
"494",102,0,20
"495",102,1,10
"496",102,1,20
"497",102,1,10
"498",102,0,40
"499",102,1,20
"500",102,1,50
"501",102,1,40
"502",102,1,40
"503",102,0,40
"504",102,0,50
"505",102,1,50
"506",102,1,30
"507",102,1,50
"508",102,1,40
"509",102,1,40
"510",102,1,50
"511",102,1,10
"512",102,1,-10
"513",102,1,10
"514",102,1,40
"515",102,1,40
"516",102,1,50
"517",102,1,30
"518",102,0,30
"519",102,1,10
"520",102,0,50
"521",102,1,30
"522",102,1,50
"523",102,0,-20
"524",102,1,40
"525",102,0,50
"526",102,1,50
"527",102,0,50
"528",102,1,20
"529",102,1,40
"530",102,1,40
"531",102,0,50
"532",102,1,10
"533",102,1,20
"534",102,1,10
"535",102,0,10
"536",102,1,10
"537",102,0,30
"538",102,1,50
"539",102,0,50
"540",102,1,50
"541",102,1,50
"542",102,0,20
"543",102,1,40
"544",102,1,40
"545",102,1,50
"546",102,0,10
"547",102,0,40
"548",102,0,50
"549",102,0,50
"550",102,0,50
"551",102,0,50
"552",102,0,50
"553",102,1,40
"554",102,1,40
"555",102,0,50
"556",102,0,50
"557",102,0,50
"558",102,1,40
"559",102,0,50
"560",102,0,40
"561",102,1,50
"562",102,1,50
"563",102,0,50
"564",102,0,50
"565",102,0,40
"566",102,1,50
"567",102,1,50
"568",102,1,50
"569",102,0,30
"570",102,0,40
"571",102,1,50
"572",102,1,50
"573",102,1,50
"574",102,1,30
"575",102,1,50
"576",102,0,50
"577",102,1,20
"578",102,0,30
"579",102,0,30
"580",102,1,-30
"581",102,0,50
"582",102,0,40
"583",102,0,50
"584",102,0,50
"585",102,1,40
"586",102,0,50
"587",102,0,50
"588",102,1,50
"589",102,1,50
"590",102,0,50
"591",102,1,50
"592",102,0,30
"593",102,1,40
"594",102,1,50
"595",102,1,50
"596",102,1,50
"597",102,1,50
"598",102,0,40
"599",102,1,40
"600",102,1,50
"601",102,1,50
"602",102,1,50
"603",102,1,50
"604",102,1,50
"605",102,1,50
"606",102,1,50
"607",102,0,40
"608",102,0,50
"609",102,0,50
"610",102,1,30
"611",102,1,50
"612",102,0,50
"613",102,0,50
"614",102,0,50
"615",102,1,50
"616",102,0,50
"617",102,1,50
"618",102,1,50
"619",102,1,50
"620",102,1,50
"621",102,1,50
"622",102,0,50
"623",102,1,50
"624",102,0,40
"625",102,0,50
"626",102,1,10
"627",102,1,50
"628",102,1,50
"629",102,0,10
"630",102,0,10
"631",102,1,50
"632",102,1,30
"633",102,0,50
"634",102,1,50
"635",102,1,50
"636",102,0,50
"637",102,0,50
"638",102,0,50
"639",102,0,50
"640",102,0,50
"641",102,0,40
"642",102,0,-30
"643",102,0,50
"644",102,1,30
"645",102,0,50
"646",102,1,50
"647",102,0,30
"648",102,0,50
"649",102,0,50
"650",102,1,50
"651",102,1,50
"652",102,1,50
"653",102,0,50
"654",102,0,50
"655",102,1,50
"656",102,1,50
"657",102,1,40
"658",102,0,50
"659",102,1,40
"660",102,0,50
"661",102,0,50
"662",102,1,50
"663",102,0,50
"664",102,1,50
"665",102,1,50
"666",102,1,50
"667",102,1,50
"668",102,0,50
"669",102,0,50
"670",102,1,20
"671",102,1,30
"672",102,0,50
"673",102,0,50
"674",102,0,40
"675",102,1,50
"676",102,0,10
"677",102,1,20
"678",102,0,-20
"679",102,0,50
"680",102,0,50
"681",102,0,50
"682",102,1,50
"683",102,1,50
"684",102,0,50
"685",102,1,40
"686",102,1,50
"687",102,1,50
"688",102,1,50
"689",102,0,10
"690",102,0,10
"691",102,0,50
"692",102,0,50
"693",102,0,40
"694",102,1,50
"695",102,1,50
"696",102,1,50
"697",102,1,50
"698",102,0,50
"699",102,1,50
"700",102,0,50
"701",102,1,30
"702",102,1,50
"703",102,1,40
"704",102,1,50
"705",102,0,50
"706",102,0,50
"707",102,0,50
"708",102,0,50
"709",102,0,50
"710",102,0,40
"711",102,1,40
"712",102,1,40
"713",102,1,50
"714",102,0,50
"715",102,1,50
"716",102,1,50
"717",102,0,10
"718",102,1,10
"719",102,1,50
"720",102,0,50
"721",102,0,30
"722",102,0,30
"723",102,0,50
"724",102,1,50
"725",102,0,-20
"726",102,0,50
"727",102,1,50
"728",102,1,50
"729",102,0,50
"730",102,1,20
"731",102,0,50
"732",102,1,40
"733",102,0,50
"734",102,0,50
"735",102,1,50
"736",102,1,50
"737",102,0,10
"738",102,1,50
"739",102,0,50
"740",102,1,10
"741",102,0,20
"742",102,1,30
"743",102,0,50
"744",102,0,50
"745",102,0,50
"746",102,1,20
"747",102,0,50
"748",102,1,50
"749",102,1,40
"750",102,1,50
"751",102,0,50
"752",102,0,50
"753",102,1,50
"754",102,0,50
"755",102,1,10
"756",102,0,50
"757",102,1,20
"758",102,1,50
"759",102,1,50
"760",102,0,50
"761",102,0,50
"762",102,0,50
"763",102,1,50
"764",102,1,50
"765",102,1,50
"766",102,0,50
"767",102,0,40
"768",102,0,50
"769",102,1,40
"770",102,1,50
"771",102,1,50
"772",102,1,40
"773",102,1,10
"774",102,0,50
"775",102,1,50
"776",102,1,50
"777",102,1,50
"778",102,0,40
"779",102,1,-10
"780",102,1,50
"781",102,0,50
"782",102,0,50
"783",102,0,10
"784",102,0,50
"785",102,0,50
"786",102,0,50
"787",102,1,50
"788",102,1,30
"789",102,0,50
"790",102,1,50
"791",102,0,50
"792",102,0,50
"793",102,0,10
"794",102,1,20
"795",102,1,50
"796",102,1,50
"797",102,1,20
"798",102,1,50
"799",102,0,40
"800",102,0,50
"801",102,1,40
"802",102,1,40
"803",102,1,40
"804",102,0,50
"805",102,1,50
"806",102,0,50
"807",102,1,50
"808",102,1,50
"809",102,1,50
"810",102,0,50
"811",102,0,50
"812",102,1,50
"813",102,0,50
"814",102,0,50
"815",102,1,50
"816",102,1,50
"817",102,1,50
"818",102,0,50
"819",102,0,50
"820",102,1,50
"821",102,1,50
"822",102,0,50
"823",102,0,50
"824",102,0,50
"825",102,1,50
"826",102,1,50
"827",102,0,50
"828",102,1,50
"829",102,1,50
"830",102,1,50
"831",102,0,50
"832",102,0,20
"833",102,1,20
"834",102,0,10
"835",102,0,50
"836",102,1,50
"837",102,1,50
"838",102,0,50
"839",102,0,40
"840",102,0,50
"841",102,0,10
"842",102,1,40
"843",102,1,50
"844",102,0,50
"845",102,0,50
"846",102,0,30
"847",102,0,20
"848",102,1,50
"849",102,1,50
"850",102,0,50
"851",102,1,50
"852",102,1,50
"853",102,0,30
"854",102,0,50
"855",102,1,50
"856",102,1,10
"857",102,1,50
"858",102,1,50
"859",102,1,50
"860",102,0,50
"861",102,0,50
"862",102,1,50
"863",102,0,50
"864",102,0,50
"865",102,0,30
"866",102,1,50
"867",102,0,10
"868",102,1,50
"869",102,1,10
"870",102,0,50
"871",102,0,10
"872",102,0,50
"873",102,0,50
"874",102,0,50
"875",102,1,50
"876",102,0,50
"877",102,1,50
"878",102,0,50
"879",102,1,50
"880",102,0,50
"881",102,0,50
"882",102,0,50
"883",102,0,50
"884",102,0,50
"885",102,0,50
"886",102,1,50
"887",102,0,30
"888",102,0,50
"889",102,1,10
"890",102,1,50
"891",102,1,50
"892",102,1,50
"893",102,0,10
"894",102,1,50
"895",102,1,30
"896",102,1,50
"897",102,1,50
"898",102,1,50
"899",102,0,50
"900",102,1,10
"901",102,0,10
"902",102,1,50
"903",102,1,50
"904",102,1,40
"905",102,1,50
"906",102,0,40
"907",102,0,50
"908",102,1,10
"909",102,0,50
"910",102,0,50
"911",102,0,50
"912",102,0,50
"913",102,1,50
"914",102,0,50
"915",102,1,50
"916",102,1,50
"917",102,0,50
"918",102,1,50
"919",102,0,40
"920",102,0,50
"921",102,0,40
"922",102,1,50
"923",102,1,50
"924",102,0,50
"925",102,1,50
"926",102,0,50
"927",102,0,50
"928",102,0,50
"929",102,1,50
"930",102,1,40
"931",102,0,50
"932",102,0,50
"933",102,1,50
"934",102,1,50
"935",102,0,50
"936",102,1,50
"937",102,1,30
"938",102,0,30
"939",102,1,30
"940",102,0,50
"941",102,1,50
"942",102,0,50
"943",102,1,50
"944",102,1,50
"945",102,0,40
"946",102,0,10
"947",102,0,50
"948",102,1,50
"949",102,1,50
"950",102,1,50
"951",102,1,50
"952",102,1,50
"953",102,1,50
"954",102,1,10
"955",102,1,10
"956",102,0,50
"957",102,0,50
"958",102,0,50
"959",102,0,50
"960",102,0,40
"961",102,0,10
"962",102,1,50
"963",102,1,50
"964",102,1,30
"965",102,0,50
"966",102,1,50
"967",102,0,50
"968",102,0,50
"969",102,0,50
"970",102,1,20
"971",102,1,50
"972",102,0,30
"973",102,1,50
"974",102,1,50
"975",102,1,50
"976",102,1,50
"977",102,1,50
"978",102,1,50
"979",102,0,50
"980",102,0,40
"981",102,1,30
"982",137,0,10
"983",137,0,10
"984",137,0,10
"985",137,0,20
"986",137,0,30
"987",137,0,30
"988",137,0,30
"989",137,0,50
"990",137,0,50
"991",137,0,20
"992",137,0,10
"993",137,1,10
"994",137,1,20
"995",137,0,20
"996",137,0,20
"997",137,0,30
"998",137,0,50
"999",137,1,30
"1000",137,1,50
"1001",137,1,50
"1002",137,0,30
"1003",137,1,30
"1004",137,1,50
"1005",137,1,50
"1006",137,1,40
"1007",137,1,30
"1008",137,0,20
"1009",137,0,10
"1010",137,1,30
"1011",137,1,10
"1012",137,1,30
"1013",137,0,20
"1014",137,1,-30
"1015",137,0,30
"1016",137,0,50
"1017",137,1,50
"1018",137,1,20
"1019",137,1,40
"1020",137,1,50
"1021",137,1,40
"1022",137,1,50
"1023",137,1,50
"1024",137,1,50
"1025",137,1,50
"1026",137,1,30
"1027",137,1,40
"1028",137,1,40
"1029",137,0,30
"1030",137,1,30
"1031",137,0,40
"1032",137,0,30
"1033",137,0,30
"1034",137,1,30
"1035",137,1,10
"1036",137,1,20
"1037",137,0,20
"1038",137,0,30
"1039",137,1,-10
"1040",137,1,20
"1041",137,1,10
"1042",137,0,10
"1043",137,1,10
"1044",137,0,30
"1045",137,1,50
"1046",137,0,10
"1047",137,0,20
"1048",137,0,30
"1049",137,1,20
"1050",137,1,30
"1051",137,0,20
"1052",137,1,20
"1053",137,1,30
"1054",137,0,40
"1055",137,1,40
"1056",137,1,50
"1057",137,1,20
"1058",137,1,20
"1059",137,0,20
"1060",137,1,40
"1061",137,0,30
"1062",137,1,50
"1063",137,1,20
"1064",137,1,10
"1065",137,1,20
"1066",137,1,50
"1067",137,1,30
"1068",137,1,20
"1069",137,0,40
"1070",137,0,20
"1071",137,1,20
"1072",137,1,30
"1073",137,1,40
"1074",137,1,50
"1075",137,0,50
"1076",137,1,40
"1077",137,1,30
"1078",137,0,30
"1079",137,0,30
"1080",137,0,30
"1081",137,0,30
"1082",137,0,50
"1083",137,0,50
"1084",137,0,10
"1085",137,0,20
"1086",137,1,40
"1087",137,0,20
"1088",137,0,30
"1089",137,1,-10
"1090",137,0,10
"1091",137,0,10
"1092",137,0,20
"1093",137,0,20
"1094",137,0,20
"1095",137,0,20
"1096",137,0,20
"1097",137,1,30
"1098",137,0,20
"1099",137,1,10
"1100",137,1,30
"1101",137,1,20
"1102",137,1,50
"1103",137,1,40
"1104",137,1,20
"1105",137,1,20
"1106",137,1,50
"1107",137,1,50
"1108",137,1,40
"1109",137,1,40
"1110",137,1,50
"1111",137,1,20
"1112",137,1,-30
"1113",137,1,50
"1114",137,1,10
"1115",137,1,10
"1116",137,1,50
"1117",137,1,10
"1118",137,0,30
"1119",137,1,50
"1120",137,0,40
"1121",137,0,50
"1122",137,0,-10
"1123",137,0,50
"1124",137,0,50
"1125",137,0,10
"1126",137,0,10
"1127",137,1,10
"1128",137,0,40
"1129",137,0,10
"1130",137,1,50
"1131",137,1,10
"1132",137,1,30
"1133",137,1,10
"1134",137,0,40
"1135",137,1,10
"1136",137,1,50
"1137",137,0,10
"1138",137,0,10
"1139",137,1,10
"1140",137,0,20
"1141",137,0,30
"1142",137,0,50
"1143",137,0,50
"1144",137,0,40
"1145",137,1,30
"1146",137,0,40
"1147",137,0,10
"1148",137,1,50
"1149",137,0,50
"1150",137,0,50
"1151",137,0,50
"1152",137,0,50
"1153",137,1,30
"1154",137,0,30
"1155",137,0,50
"1156",137,0,50
"1157",137,0,40
"1158",137,1,50
"1159",137,0,50
"1160",137,1,10
"1161",137,1,10
"1162",137,1,30
"1163",137,1,40
"1164",137,1,50
"1165",137,0,50
"1166",137,0,10
"1167",137,1,50
"1168",137,1,50
"1169",137,1,50
"1170",137,1,40
"1171",137,0,50
"1172",137,0,10
"1173",137,0,10
"1174",137,0,40
"1175",137,1,30
"1176",137,1,20
"1177",137,0,50
"1178",137,0,-10
"1179",137,0,10
"1180",137,0,50
"1181",137,0,20
"1182",137,0,50
"1183",137,1,50
"1184",137,1,10
"1185",137,1,50
"1186",137,1,50
