"","Subj_idx","Response","Confidence"
"1",1,1,22
"2",1,2,34
"3",1,2,43
"4",1,2,34
"5",1,2,43
"6",1,2,42
"7",1,2,49
"8",1,2,55
"9",1,2,57
"10",1,2,52
"11",1,2,33
"12",1,1,23
"13",1,2,42
"14",1,2,34
"15",1,NA,NA
"16",1,2,45
"17",1,1,35
"18",1,1,57
"19",1,1,54
"20",1,2,38
"21",1,2,45
"22",1,1,38
"23",1,2,42
"24",1,2,62
"25",1,1,62
"26",1,2,74
"27",1,1,36
"28",1,2,33
"29",1,1,31
"30",1,2,29
"31",1,1,38
"32",1,2,54
"33",1,2,44
"34",1,2,43
"35",1,1,33
"36",1,1,32
"37",1,2,33
"38",1,2,45
"39",1,1,42
"40",1,2,77
"41",1,1,23
"42",1,2,23
"43",1,1,34
"44",1,2,41
"45",1,1,37
"46",1,2,45
"47",1,1,36
"48",1,1,41
"49",1,1,39
"50",1,2,68
"51",1,1,22
"52",1,2,66
"53",1,1,34
"54",1,1,NA
"55",1,2,48
"56",1,1,46
"57",1,2,69
"58",1,2,56
"59",1,1,37
"60",1,1,42
"61",1,2,55
"62",1,2,43
"63",1,2,56
"64",1,1,23
"65",1,1,32
"66",1,2,43
"67",1,1,34
"68",1,2,34
"69",1,2,4
"70",1,2,22
"71",1,2,21
"72",1,2,54
"73",1,1,43
"74",1,1,39
"75",1,2,45
"76",1,2,21
"77",1,1,21
"78",1,2,57
"79",1,2,22
"80",1,1,34
"81",1,2,43
"82",1,2,24
"83",1,2,39
"84",1,2,54
"85",1,2,43
"86",1,2,62
"87",1,1,45
"88",1,2,24
"89",1,1,34
"90",1,2,34
"91",1,1,32
"92",1,2,43
"93",1,1,34
"94",1,1,46
"95",1,2,39
"96",1,1,34
"97",1,1,33
"98",1,2,42
"99",1,2,32
"100",1,2,67
"101",1,2,65
"102",1,1,62
"103",1,2,54
"104",1,2,65
"105",1,1,52
"106",1,1,44
"107",1,2,53
"108",1,2,43
"109",1,1,NA
"110",1,2,48
"111",1,1,43
"112",1,1,32
"113",1,2,44
"114",1,1,21
"115",1,2,23
"116",1,2,58
"117",1,2,41
"118",1,2,67
"119",1,2,62
"120",1,1,44
"121",1,2,32
"122",1,2,69
"123",1,1,23
"124",1,2,43
"125",1,1,32
"126",1,2,42
"127",1,1,42
"128",1,2,66
"129",1,2,32
"130",1,2,43
"131",1,2,49
"132",1,1,33
"133",1,2,72
"134",1,2,45
"135",1,2,34
"136",1,1,32
"137",1,1,31
"138",1,2,31
"139",1,2,35
"140",1,2,43
"141",1,1,43
"142",1,2,33
"143",1,1,42
"144",1,2,34
"145",1,2,32
"146",1,1,26
"147",1,2,46
"148",1,2,41
"149",1,1,35
"150",1,1,31
"151",1,1,34
"152",1,2,64
"153",1,1,32
"154",1,2,37
"155",1,1,54
"156",1,2,80
"157",1,2,65
"158",1,1,35
"159",1,2,43
"160",1,1,43
"161",1,1,35
"162",1,2,33
"163",1,1,34
"164",1,2,23
"165",1,1,33
"166",1,1,45
"167",1,1,45
"168",1,2,56
"169",1,2,68
"170",1,2,73
"171",1,1,35
"172",1,2,34
"173",1,1,53
"174",1,2,41
"175",1,2,22
"176",1,1,21
"177",1,1,36
"178",1,2,43
"179",1,2,32
"180",1,1,45
"181",1,1,31
"182",1,1,32
"183",1,1,32
"184",1,1,42
"185",1,2,43
"186",1,2,32
"187",1,1,32
"188",1,1,4
"189",1,2,23
"190",1,2,67
"191",1,2,69
"192",1,1,43
"193",1,1,43
"194",1,2,32
"195",1,1,31
"196",1,2,34
"197",1,2,78
"198",1,1,42
"199",1,1,45
"200",1,2,56
"201",2,1,67
"202",2,1,99
"203",2,2,89
"204",2,1,99
"205",2,1,99
"206",2,2,78
"207",2,1,89
"208",2,1,98
"209",2,1,65
"210",2,1,87
"211",2,2,96
"212",2,2,99
"213",2,1,85
"214",2,1,55
"215",2,2,99
"216",2,2,99
"217",2,2,99
"218",2,2,99
"219",2,2,71
"220",2,1,89
"221",2,1,89
"222",2,1,56
"223",2,1,99
"224",2,1,99
"225",2,2,99
"226",2,2,99
"227",2,2,86
"228",2,2,99
"229",2,2,9
"230",2,2,99
"231",2,1,99
"232",2,2,66
"233",2,1,12
"234",2,2,65
"235",2,1,89
"236",2,1,90
"237",2,2,99
"238",2,1,99
"239",2,1,90
"240",2,1,85
"241",2,2,84
"242",2,1,42
"243",2,1,90
"244",2,1,85
"245",2,1,90
"246",2,1,75
"247",2,1,99
"248",2,1,99
"249",2,2,99
"250",2,2,89
"251",2,1,11
"252",2,2,99
"253",2,1,99
"254",2,1,99
"255",2,2,99
"256",2,2,9
"257",2,1,99
"258",2,2,11
"259",2,1,99
"260",2,2,99
"261",2,1,99
"262",2,1,99
"263",2,1,99
"264",2,2,99
"265",2,2,99
"266",2,2,99
"267",2,2,99
"268",2,1,12
"269",2,2,99
"270",2,1,99
"271",2,2,99
"272",2,1,99
"273",2,1,99
"274",2,1,99
"275",2,2,99
"276",2,2,85
"277",2,2,90
"278",2,1,99
"279",2,2,55
"280",2,2,88
"281",2,2,99
"282",2,1,89
