"","Subj_idx","Response","Confidence"
"1",1,1,3
"2",1,2,3
"3",1,1,3
"4",1,2,3
"5",1,1,2
"6",1,2,3
"7",1,2,4
"8",1,2,3
"9",1,2,3
"10",1,1,3
"11",1,2,3
"12",1,1,2
"13",1,2,2
"14",1,2,3
"15",1,2,3
"16",1,2,2
"17",1,1,1
"18",1,1,1
"19",1,2,1
"20",1,2,1
"21",1,1,2
"22",1,2,3
"23",1,1,2
"24",1,1,2
"25",1,2,3
"26",1,2,3
"27",1,2,4
"28",1,2,4
"29",1,1,3
"30",1,2,3
"31",1,1,2
"32",1,2,3
"33",1,2,3
"34",1,1,3
"35",1,2,3
"36",1,2,1
"37",1,2,2
"38",1,2,2
"39",1,2,3
"40",1,1,2
"41",1,2,3
"42",1,2,3
"43",1,1,2
"44",1,2,3
"45",1,2,3
"46",1,2,3
"47",1,2,3
"48",1,1,2
"49",1,2,2
"50",1,1,2
"51",1,1,1
"52",1,2,3
"53",1,2,3
"54",1,2,2
"55",1,2,3
"56",1,2,3
"57",1,2,2
"58",1,2,1
"59",1,2,3
"60",5,1,1
"61",5,2,2
"62",5,2,2
"63",5,1,1
"64",5,1,2
"65",5,2,3
"66",5,1,1
"67",5,1,1
"68",5,1,2
"69",5,1,2
"70",5,1,2
"71",5,2,2
"72",5,1,1
"73",5,2,2
"74",5,1,1
"75",5,2,2
"76",5,1,2
"77",5,2,3
"78",5,2,3
"79",5,2,2
"80",5,1,2
"81",5,1,1
"82",5,1,1
"83",5,2,2
"84",5,2,2
"85",5,2,2
"86",5,2,3
"87",5,1,1
"88",5,2,2
"89",5,2,2
"90",5,2,2
"91",5,1,2
"92",5,2,2
"93",5,1,3
"94",5,1,2
"95",5,2,3
"96",5,2,2
"97",5,1,1
"98",5,1,1
"99",5,2,1
"100",5,2,2
"101",5,1,2
"102",5,1,1
"103",5,2,1
"104",5,2,1
"105",5,1,2
"106",5,1,2
"107",5,2,2
"108",5,2,1
"109",5,1,3
"110",5,2,3
"111",5,2,2
"112",5,2,1
"113",5,2,2
"114",5,1,2
"115",5,1,1
"116",5,2,2
"117",5,2,1
"118",5,1,2
"119",5,1,2
"120",9,2,2
"121",9,2,3
"122",9,1,2
"123",9,2,3
"124",9,1,1
"125",9,2,3
"126",9,1,2
"127",9,2,4
"128",9,1,2
"129",9,1,1
"130",9,2,4
"131",9,2,3
"132",9,1,2
"133",9,2,3
"134",9,2,3
"135",9,1,1
"136",9,1,2
"137",9,2,3
"138",9,1,2
"139",9,1,3
"140",9,2,3
"141",9,1,1
"142",9,1,3
"143",9,1,3
"144",9,1,3
"145",9,2,3
"146",9,1,3
"147",9,2,3
"148",9,1,2
"149",9,2,3
"150",9,2,3
"151",9,1,3
"152",9,1,4
"153",9,1,4
"154",9,1,3
"155",9,1,3
"156",9,2,2
"157",9,2,2
"158",9,2,3
"159",9,2,3
"160",9,2,3
"161",9,1,3
"162",9,1,2
"163",9,2,3
"164",9,1,2
"165",9,2,3
"166",9,2,3
"167",9,2,3
"168",9,1,2
"169",9,2,3
"170",9,2,2
"171",9,1,1
"172",9,1,2
"173",9,1,2
"174",9,2,3
"175",9,1,2
"176",9,2,3
"177",9,1,2
"178",9,2,3
"179",9,2,3
"180",13,1,3
"181",13,2,3
"182",13,1,4
"183",13,1,1
"184",13,2,3
"185",13,2,2
"186",13,2,3
"187",13,2,4
"188",13,2,4
"189",13,1,4
"190",13,2,4
