"","Subj_idx","Response","Confidence"
"1",1,2,0.82
"2",1,1,0.52
"3",1,2,0.73
"4",1,2,0.78
"5",1,2,0.89
"6",1,2,0.86
"7",1,1,0.45
"8",1,2,0.97
"9",1,2,0.52
"10",1,1,0.12
"11",1,2,0.93
"12",1,2,0.08
"13",1,2,0.49
"14",1,2,0.75
"15",1,2,0.51
"16",1,2,0.89
"17",1,2,0.77
"18",1,1,0.01
"19",1,2,0.79
"20",1,2,0.76
"21",1,1,0.03
"22",1,1,0.5
"23",1,2,0.86
"24",1,2,0.49
"25",1,1,0.38
"26",1,2,0.8
"27",1,2,0.89
"28",1,1,0.77
"29",1,2,0.7
"30",1,2,0.81
"31",1,2,0.48
"32",1,1,0.46
"33",1,1,0.54
"34",1,2,0.49
"35",1,1,0.63
"36",1,1,0.52
"37",1,1,0.25
"38",1,2,0.51
"39",1,2,0.69
"40",1,2,0.84
"41",1,2,0.66
"42",1,2,0.82
"43",1,1,0.88
"44",1,1,0.02
"45",1,1,0.47
"46",1,1,0.75
"47",1,2,0.52
"48",1,1,0.75
"49",1,1,0.78
"50",1,2,0.84
"51",1,1,0.77
"52",1,1,0.78
"53",1,2,0.28
"54",1,2,0.69
"55",1,2,0.71
"56",1,2,0.81
"57",1,2,0.97
"58",1,2,0.29
"59",1,2,0.88
"60",1,1,0.7
"61",1,2,1
"62",1,2,0.71
"63",1,2,0.99
"64",1,1,0.67
"65",1,2,0.64
"66",1,1,0.51
"67",1,2,0.98
"68",1,1,0.85
"69",1,2,0.93
"70",1,2,0.53
"71",1,2,0.63
"72",1,2,0.9
"73",1,2,0.86
"74",1,2,0.95
"75",1,2,0.1
"76",1,2,0.93
"77",1,1,0.49
"78",1,1,0.52
"79",1,2,0.67
"80",1,2,0.48
"81",1,2,0.84
"82",1,1,0.91
"83",1,2,0.11
"84",1,1,0.94
"85",1,2,0.98
"86",1,2,0.69
"87",1,2,0.88
"88",1,2,0.24
"89",1,2,0.47
"90",1,1,0.2
"91",1,2,0.95
"92",1,2,0.69
"93",1,2,0.74
"94",1,1,0.37
"95",1,1,0.49
"96",1,2,0.9
"97",1,1,0.88
"98",1,2,0.26
"99",1,1,0.49
"100",1,2,0.9
"101",1,2,0.51
"102",1,2,0.81
"103",1,1,0.8
"104",1,2,0.94
"105",1,2,0.85
"106",1,2,0.92
"107",1,2,0.94
"108",1,2,0.72
"109",1,2,0.77
"110",1,1,0.88
"111",1,2,0.47
"112",1,1,0.51
"113",1,2,0.94
"114",1,2,0.08
"115",1,1,0.96
"116",1,1,0.86
"117",1,2,0.11
"118",1,2,0.52
"119",1,1,0.89
"120",1,1,0.92
"121",1,1,0.92
"122",1,1,0.66
"123",1,1,0.5
"124",1,2,0.89
"125",1,2,0.49
"126",1,2,0.72
"127",1,2,0.82
"128",1,2,0.7
"129",1,2,0.7
"130",1,2,0.68
"131",1,2,0.97
"132",1,1,0.86
"133",1,2,0.76
"134",1,2,0.97
"135",1,2,0.55
"136",1,2,0.53
"137",1,1,0.96
"138",1,2,0.27
"139",1,2,0.49
"140",1,1,0.7
"141",1,1,0.51
"142",1,1,0.71
"143",1,2,0.31
"144",1,2,0.85
"145",1,2,0.79
"146",1,2,0.49
"147",1,2,0.13
"148",1,1,0.81
"149",1,1,0.99
"150",1,1,0.66
"151",1,2,0.71
"152",1,2,0.71
"153",1,1,0.48
"154",1,2,0.71
"155",1,1,0.7
"156",1,1,0.85
"157",1,2,0.51
"158",1,2,0.53
"159",1,1,0.52
"160",1,2,0.49
"161",1,2,0.53
"162",1,2,0.68
"163",1,1,0.15
"164",1,2,0.68
"165",1,1,0.48
"166",1,2,0.86
"167",1,2,0.91
"168",1,2,0.9
"169",1,2,0.53
"170",1,2,0.93
"171",1,1,0.54
"172",1,2,0.89
"173",1,2,0.51
"174",1,2,0.3
"175",1,2,0.51
"176",1,2,0.48
"177",1,2,0.45
"178",1,2,0.86
"179",1,2,0.8
"180",1,2,0.24
"181",1,2,0.97
"182",1,2,0.81
"183",1,2,0.92
"184",1,2,0.04
"185",1,1,0.48
"186",1,2,0.97
"187",1,2,0.91
"188",1,2,0.03
"189",1,2,0.83
"190",1,2,0.85
"191",1,2,0.72
"192",1,2,0.13
"193",1,2,0.43
"194",1,2,0.47
"195",1,2,0.49
"196",1,2,0.23
"197",1,2,0.51
"198",1,2,0.47
"199",1,1,0.78
"200",1,1,0.47
"201",1,2,0.25
"202",1,1,0.86
"203",1,2,0.47
"204",1,1,0.49
"205",1,2,0.01
"206",1,2,0.53
"207",1,2,0.51
"208",1,2,0.49
"209",1,2,0.21
"210",1,2,0.08
"211",1,2,0.48
"212",1,2,0.87
"213",1,2,0.9
"214",1,2,0.11
"215",1,1,0.87
"216",1,2,0.92
"217",1,2,0.9
"218",1,1,0.94
"219",1,2,0.97
"220",1,2,0.47
"221",1,2,0.91
"222",1,2,0.76
"223",1,2,0.95
"224",1,2,0.93
"225",1,2,0.06
"226",1,2,0.89
"227",1,2,0.25
"228",1,2,0.06
"229",1,2,0.22
"230",1,2,0.98
"231",1,2,0.99
"232",1,2,0.98
"233",1,2,0.94
"234",1,2,0.99
"235",1,1,0.98
"236",1,1,0.69
"237",1,2,0.94
"238",2,2,0.63
"239",2,2,0.86
"240",2,2,0.55
"241",2,2,0.9
"242",2,2,0.82
"243",2,2,0.29
"244",2,2,0.1
"245",2,2,0.48
"246",2,2,0.99
"247",2,2,0.99
"248",2,1,0.97
"249",2,2,0.06
"250",2,2,0.04
"251",2,2,0.94
"252",2,2,0.93
"253",2,2,0.96
"254",2,1,0.92
"255",2,2,0.97
"256",2,2,0.99
"257",2,2,0.1
"258",2,2,1
"259",2,2,0.87
"260",2,2,0
"261",2,2,0.09
"262",2,1,0.86
"263",2,2,0.93
"264",2,2,0.91
"265",2,2,0.9
"266",2,1,0.98
"267",2,1,0.83
"268",2,1,0.96
"269",2,2,0.96
"270",2,1,0.88
"271",2,2,0.85
"272",2,2,0.95
"273",2,1,0.97
"274",2,2,0.93
"275",2,2,0.95
"276",2,1,0.94
"277",2,2,0.96
"278",2,1,0.95
"279",2,1,0.96
"280",2,1,0.89
"281",2,2,0.77
"282",2,1,0.43
"283",2,2,1
"284",2,1,0.53
"285",2,2,0.94
"286",2,1,0.87
"287",2,1,0.83
"288",2,2,0.91
"289",2,1,0.85
"290",2,2,0.94
"291",2,2,0.88
"292",2,1,0.6
"293",2,1,0.79
"294",2,2,0.69
"295",2,2,0.85
"296",2,1,0.94
"297",2,1,0.93
"298",2,2,0.77
