"","Subj_idx","Response","Confidence"
"1",1,1,24
"2",1,2,95
"3",1,2,65
"4",1,2,60
"5",1,2,43
"6",1,1,56
"7",1,1,76
"8",1,1,73
"9",1,1,0
"10",1,1,100
"11",1,2,41
"12",1,2,5
"13",1,1,1
"14",1,1,0
"15",1,1,0
"16",1,2,9
"17",1,1,80
"18",1,2,38
"19",1,1,100
"20",1,1,94
"21",1,1,17
"22",1,1,67
"23",1,1,40
"24",1,1,17
"25",1,2,3
"26",1,2,100
"27",1,2,72
"28",1,2,13
"29",1,2,8
"30",1,1,44
"31",1,1,100
"32",1,NA,NA
"33",1,2,47
"34",1,2,75
"35",1,2,98
"36",1,NA,NA
"37",1,NA,NA
"38",1,2,76
"39",1,2,19
"40",1,2,85
"41",1,2,52
"42",1,2,67
"43",1,1,99
"44",1,1,60
"45",1,1,100
"46",1,2,82
"47",1,1,0
"48",1,2,52
"49",1,2,67
"50",1,2,51
"51",1,2,44
"52",1,1,27
"53",1,2,96
"54",1,2,100
"55",1,2,33
"56",1,1,100
"57",1,1,100
"58",1,1,100
"59",1,2,16
"60",1,1,68
"61",1,2,71
"62",1,1,68
"63",1,1,0
"64",1,2,100
"65",1,2,6
"66",1,1,12
"67",1,2,97
"68",1,1,0
"69",1,1,75
"70",1,1,100
"71",1,1,100
"72",1,2,100
"73",1,2,89
"74",1,2,94
"75",1,2,40
"76",1,1,100
"77",1,1,100
"78",1,2,29
"79",1,1,94
"80",1,1,100
"81",1,1,45
"82",1,1,100
"83",1,1,91
"84",1,1,100
"85",1,1,37
"86",1,1,87
"87",1,NA,NA
"88",1,1,94
"89",1,1,96
"90",1,2,100
"91",1,2,0
"92",1,1,7
"93",1,1,29
"94",1,2,6
"95",1,1,37
"96",1,1,61
"97",1,1,100
"98",1,2,66
"99",1,2,78
"100",1,2,100
"101",1,2,100
"102",1,2,86
"103",1,2,0
"104",1,2,26
"105",1,1,100
"106",1,1,83
"107",1,1,24
"108",1,1,53
"109",1,2,0
"110",1,1,92
"111",1,2,78
"112",1,1,62
"113",1,2,83
"114",1,2,20
"115",1,1,17
"116",1,1,0
"117",1,1,9
"118",1,1,100
"119",1,2,78
"120",1,NA,NA
"121",1,1,25
"122",1,1,83
"123",1,NA,NA
"124",1,1,82
"125",1,1,68
"126",1,2,73
"127",1,2,13
"128",1,1,7
"129",1,2,63
"130",1,2,71
"131",1,NA,NA
"132",1,1,100
"133",1,2,89
"134",1,1,76
"135",1,1,27
"136",1,2,100
"137",1,2,94
"138",1,2,54
"139",1,2,24
"140",1,NA,NA
"141",1,2,77
"142",1,1,62
"143",1,NA,NA
"144",1,NA,NA
"145",1,2,78
"146",1,2,74
"147",1,1,25
"148",1,2,65
"149",1,2,98
"150",1,2,91
"151",1,2,76
"152",1,NA,NA
"153",1,2,100
"154",1,2,100
"155",1,1,0
"156",1,2,11
"157",1,2,43
"158",1,NA,NA
"159",1,1,6
"160",1,1,0
"161",1,1,0
"162",1,1,100
"163",1,1,26
"164",1,NA,NA
"165",1,1,47
"166",1,1,0
"167",1,2,0
"168",1,2,17
"169",1,1,5
"170",1,1,29
"171",1,2,57
"172",1,1,75
"173",1,1,98
"174",1,2,67
"175",1,1,77
"176",1,1,55
"177",1,NA,NA
"178",1,1,81
"179",1,1,86
"180",1,1,84
"181",1,2,0
"182",1,1,75
"183",1,2,64
"184",1,2,0
"185",1,1,100
"186",1,2,14
"187",1,1,93
"188",1,1,91
"189",1,2,41
"190",1,1,0
"191",1,1,100
"192",1,1,100
"193",1,1,31
"194",1,2,82
"195",1,2,34
"196",1,2,100
"197",1,2,10
"198",1,2,100
"199",1,1,0
"200",1,1,0
"201",1,2,100
"202",1,1,65
"203",1,2,100
"204",1,1,0
"205",1,2,18
"206",1,2,0
"207",1,1,17
"208",1,2,97
"209",1,2,2
"210",1,2,100
"211",1,NA,NA
"212",1,2,100
"213",1,1,80
"214",1,2,72
"215",1,2,89
"216",1,2,25
"217",1,2,6
"218",1,1,0
"219",1,2,0
"220",1,1,24
"221",1,1,0
"222",1,2,0
"223",1,NA,NA
"224",1,2,100
"225",1,1,61
"226",1,2,100
"227",1,1,74
"228",1,1,0
"229",1,2,0
"230",1,1,0
"231",1,2,100
"232",1,2,74
"233",1,2,85
"234",1,1,0
"235",1,2,0
"236",1,1,0
"237",1,1,0
"238",1,1,0
"239",1,1,0
"240",1,2,100
"241",1,1,88
"242",1,2,0
"243",1,1,0
"244",1,NA,NA
"245",1,2,94
"246",1,1,43
"247",1,2,100
"248",1,2,70
"249",1,2,26
"250",1,1,19
"251",1,2,100
"252",1,1,100
"253",1,2,70
"254",1,2,95
"255",1,1,67
"256",1,2,77
"257",1,2,68
"258",1,1,0
"259",1,2,31
"260",1,2,100
"261",1,1,52
"262",1,2,100
"263",1,1,100
"264",1,1,0
"265",1,2,100
"266",1,1,3
"267",1,2,70
"268",1,2,41
"269",1,1,8
"270",1,1,46
"271",1,1,15
"272",1,2,47
"273",1,2,100
"274",1,2,100
"275",1,1,100
"276",1,2,100
"277",1,2,4
"278",1,2,81
"279",1,1,12
"280",1,2,0
"281",1,2,26
"282",1,2,100
"283",1,2,97
"284",1,2,4
"285",1,1,36
"286",1,1,78
"287",1,1,84
"288",1,1,4
"289",1,2,94
"290",1,2,76
"291",1,1,0
"292",1,2,0
"293",1,NA,NA
"294",1,2,0
"295",1,1,86
"296",1,2,0
"297",1,2,64
"298",1,2,0
"299",1,2,75
"300",1,2,45
"301",1,1,75
"302",1,1,0
"303",1,1,0
"304",1,1,73
"305",1,2,49
"306",1,1,0
"307",1,2,100
"308",1,2,0
"309",1,2,8
"310",1,2,100
"311",1,1,81
"312",1,2,60
"313",1,2,13
"314",1,NA,NA
"315",1,1,100
"316",1,1,39
"317",1,2,0
"318",1,1,0
"319",1,1,9
"320",1,1,4
"321",1,1,15
"322",1,1,9
"323",1,1,8
"324",1,1,12
"325",1,2,50
"326",1,2,99
"327",1,2,0
"328",1,2,0
"329",1,1,14
"330",1,2,22
"331",1,2,89
"332",1,2,100
"333",1,2,36
"334",1,1,90
"335",1,1,7
"336",1,1,17
"337",1,1,76
"338",1,1,47
"339",1,2,40
"340",1,1,71
"341",1,1,37
"342",1,2,100
"343",1,NA,NA
"344",1,1,0
"345",1,2,0
"346",1,2,97
"347",1,1,4
"348",1,2,75
"349",1,2,64
"350",1,2,33
"351",1,1,0
"352",1,2,100
"353",1,1,36
"354",1,NA,NA
"355",1,1,0
"356",1,1,93
"357",1,2,65
"358",1,2,100
"359",1,2,73
"360",1,1,0
"361",1,2,1
"362",1,2,100
"363",1,1,0
"364",1,2,84
"365",1,1,67
"366",1,2,69
"367",1,1,27
"368",1,1,31
"369",1,2,73
"370",1,1,47
"371",1,1,93
"372",1,2,100
"373",1,2,62
"374",1,1,26
"375",1,2,14
"376",1,2,73
"377",1,1,89
"378",1,NA,NA
"379",1,1,70
"380",1,2,100
"381",1,2,54
"382",1,1,89
"383",1,1,100
"384",1,1,86
"385",1,1,0
"386",1,NA,NA
"387",1,2,100
"388",1,2,0
"389",1,2,100
"390",1,2,0
"391",1,2,86
"392",1,1,100
"393",1,1,0
"394",1,1,0
"395",1,2,70
"396",1,2,85
"397",1,2,65
"398",1,1,0
"399",1,2,0
"400",1,1,0
"401",1,2,22
"402",1,1,10
"403",1,1,92
"404",1,2,81
"405",1,1,84
"406",1,1,100
"407",1,1,100
"408",1,2,0
"409",1,2,9
"410",1,1,100
"411",1,1,100
"412",1,1,100
"413",1,2,15
"414",1,1,60
"415",1,2,100
"416",1,2,97
"417",1,1,95
"418",1,2,24
