"","Subj_idx","Response","Confidence"
"1",1,2,1
"2",1,2,1
"3",1,1,1
"4",1,1,1
"5",1,1,1
"6",1,1,1
"7",1,1,1
"8",1,1,1
"9",1,1,1
"10",1,2,1
"11",1,2,1
"12",1,2,2
"13",1,1,1
"14",1,1,1
"15",1,2,2
"16",1,2,2
"17",1,2,1
"18",1,2,1
"19",1,2,1
"20",1,2,1
"21",1,2,1
"22",1,2,1
"23",1,1,1
"24",1,2,2
"25",1,2,2
"26",1,1,2
"27",1,1,2
"28",1,2,2
"29",1,1,2
"30",1,1,2
"31",1,1,2
"32",1,1,2
"33",1,1,2
"34",1,2,2
"35",1,1,2
"36",1,1,2
"37",1,1,2
"38",1,1,2
"39",1,1,2
"40",1,1,2
"41",1,1,2
"42",1,2,2
"43",1,2,1
"44",1,2,2
"45",1,1,2
"46",1,2,1
"47",1,2,2
"48",1,2,2
"49",1,1,2
"50",1,1,2
"51",1,1,2
"52",1,1,2
"53",1,1,2
"54",1,1,2
"55",1,1,2
"56",1,1,2
"57",1,1,2
"58",1,1,2
"59",1,1,2
"60",1,1,1
"61",1,2,2
"62",1,1,1
"63",1,1,2
"64",1,2,2
"65",1,1,2
"66",1,1,2
"67",1,1,2
"68",1,1,2
"69",1,1,2
"70",1,1,1
"71",1,1,1
"72",1,2,1
"73",1,1,1
"74",1,2,1
"75",1,1,1
"76",1,1,1
"77",1,1,1
"78",1,1,2
"79",1,2,2
"80",1,1,2
"81",1,2,2
"82",1,2,2
"83",1,2,1
"84",1,1,1
"85",1,1,2
"86",1,1,2
"87",1,2,1
"88",1,1,2
"89",1,2,2
"90",1,1,2
"91",1,1,2
"92",1,2,1
"93",1,2,1
"94",1,1,1
"95",1,2,1
"96",1,2,1
"97",1,1,1
"98",1,1,1
"99",1,1,1
"100",1,1,1
"101",1,1,2
"102",1,1,2
"103",1,2,1
"104",1,1,1
"105",1,1,2
"106",1,2,1
"107",1,1,1
"108",1,1,1
"109",1,2,1
"110",1,2,1
"111",1,2,1
"112",1,1,1
"113",1,2,1
"114",1,1,1
"115",1,1,1
"116",1,2,1
"117",1,2,1
"118",1,1,1
"119",1,1,1
"120",1,1,1
"121",1,2,1
