"","Subj_idx","Response","Confidence"
"1",1,1,1
"2",1,1,1
"3",1,2,2
"4",1,2,2
"5",1,2,3
"6",1,2,2
"7",1,1,2
"8",1,1,3
"9",1,2,3
"10",1,1,3
"11",1,2,3
"12",1,1,3
"13",1,1,3
"14",1,1,3
"15",1,1,2
"16",1,2,3
"17",1,2,4
"18",1,1,2
"19",1,2,4
"20",1,2,3
"21",1,1,4
"22",1,1,3
"23",1,1,3
"24",1,1,3
"25",1,1,4
"26",1,2,2
"27",1,1,3
"28",1,1,3
"29",1,1,4
"30",1,1,3
"31",1,2,2
"32",1,2,2
"33",1,2,3
"34",1,1,3
"35",1,1,3
"36",1,1,3
"37",1,2,4
"38",1,2,3
"39",1,1,3
"40",1,1,3
"41",1,1,4
"42",1,1,3
"43",1,1,4
"44",1,1,4
"45",1,1,4
"46",1,1,3
"47",1,2,2
"48",1,1,3
"49",1,1,3
"50",1,1,3
"51",1,2,3
"52",1,2,3
"53",1,1,3
"54",1,2,4
"55",1,1,3
"56",1,1,4
"57",1,1,3
"58",1,1,3
"59",1,1,4
"60",1,2,3
"61",1,2,4
"62",1,1,3
"63",1,2,3
"64",1,1,3
"65",1,1,3
"66",1,1,3
"67",1,2,2
"68",1,2,4
"69",1,1,3
"70",1,2,2
"71",1,2,2
"72",1,1,2
"73",1,1,2
"74",1,1,3
"75",1,2,2
"76",1,2,4
"77",1,1,2
"78",1,1,2
"79",1,2,1
"80",1,2,2
"81",1,2,3
"82",1,1,4
"83",1,1,3
"84",1,1,3
"85",1,2,3
"86",1,2,2
"87",1,2,1
"88",1,2,3
"89",1,2,2
"90",1,2,2
"91",1,2,2
"92",1,1,1
"93",1,2,2
"94",1,1,4
"95",1,2,2
"96",1,2,2
"97",1,2,1
"98",1,2,4
"99",1,2,4
"100",1,2,4
"101",1,2,1
"102",1,1,1
"103",1,2,1
"104",1,2,1
"105",1,1,2
"106",1,2,2
"107",1,2,1
"108",1,1,1
"109",1,1,3
"110",1,2,1
"111",1,1,3
"112",1,2,2
"113",1,2,4
"114",1,1,3
"115",1,2,2
"116",1,2,2
"117",1,2,4
"118",1,1,1
"119",1,2,1
"120",1,1,4
"121",1,1,4
"122",1,2,3
"123",1,1,3
"124",1,2,4
"125",1,1,2
"126",1,2,4
"127",1,2,4
"128",1,1,3
"129",1,2,3
"130",1,1,4
"131",1,1,4
"132",1,1,4
"133",1,1,4
"134",1,1,4
"135",1,1,3
"136",1,2,4
"137",1,1,1
"138",1,2,3
"139",1,1,2
"140",1,1,4
"141",1,1,3
"142",1,1,3
"143",1,2,4
"144",1,1,4
"145",1,1,1
"146",1,1,2
"147",1,1,2
"148",1,2,2
"149",1,1,4
"150",1,1,2
"151",1,2,4
"152",1,2,2
"153",1,1,1
"154",1,1,2
"155",1,1,1
"156",1,2,2
"157",1,2,1
"158",1,2,4
"159",1,2,2
"160",1,1,3
"161",1,1,3
"162",1,2,3
"163",1,1,4
"164",1,1,4
"165",1,1,3
"166",1,2,4
"167",1,2,4
"168",1,2,4
"169",1,2,3
"170",1,1,2
"171",1,1,4
"172",1,2,4
"173",1,1,2
"174",1,2,2
"175",1,2,4
"176",1,2,2
"177",1,1,4
"178",1,1,2
"179",1,2,3
"180",1,1,2
"181",1,2,2
"182",1,1,2
"183",1,2,3
"184",1,1,4
"185",1,1,4
"186",1,1,2
"187",1,2,4
"188",1,1,2
"189",1,2,4
"190",1,2,3
"191",1,2,2
"192",1,1,4
"193",1,1,2
"194",1,1,3
"195",1,2,4
"196",1,2,2
"197",1,1,2
"198",1,1,3
"199",1,2,4
"200",1,2,3
"201",1,2,4
"202",1,2,4
"203",1,1,3
"204",1,2,4
"205",1,2,4
"206",1,1,4
"207",1,2,4
"208",1,2,2
"209",1,2,2
"210",1,2,2
"211",1,2,2
"212",1,2,4
"213",1,2,4
"214",1,2,2
"215",1,1,4
"216",1,2,2
"217",1,1,4
"218",1,1,2
"219",1,2,2
"220",1,1,2
"221",1,2,4
"222",1,2,4
"223",1,2,3
"224",1,2,2
"225",1,2,1
"226",1,2,3
"227",1,2,2
"228",1,2,2
"229",1,1,3
"230",1,1,4
