"","Subj_idx","Response","Confidence"
"1",1,-1,1
"2",1,1,1
"3",1,-1,0
"4",1,-1,0
"5",1,1,1
"6",1,1,1
"7",1,1,1
"8",1,1,1
"9",1,-1,0
"10",1,-1,1
"11",1,1,0
"12",1,1,1
"13",1,1,0
"14",1,-1,0
"15",1,-1,1
"16",1,1,1
"17",1,-1,0
"18",1,1,1
"19",1,1,0
"20",1,-1,0
"21",1,1,1
"22",1,1,1
"23",1,-1,1
"24",1,1,0
"25",1,-1,0
"26",1,-1,1
"27",1,-1,0
"28",1,-1,1
"29",1,-1,1
"30",1,-1,1
"31",1,1,1
"32",1,1,1
"33",1,-1,1
"34",1,1,0
"35",1,1,0
"36",1,-1,1
"37",1,1,1
"38",1,-1,0
"39",1,-1,1
"40",1,1,0
"41",1,1,1
"42",1,1,1
"43",1,-1,0
"44",1,1,0
"45",1,-1,1
"46",1,-1,0
"47",1,-1,1
"48",1,-1,1
"49",1,1,0
"50",1,-1,1
"51",1,-1,1
"52",1,1,1
"53",1,-1,0
"54",1,-1,1
"55",1,1,1
"56",1,1,1
"57",1,1,1
"58",1,1,1
"59",1,1,0
"60",1,1,0
"61",1,-1,1
"62",1,1,1
"63",1,-1,0
"64",1,-1,1
"65",1,1,1
"66",1,-1,0
"67",1,1,0
"68",1,1,1
"69",1,-1,0
"70",1,-1,1
"71",1,-1,0
"72",1,1,0
"73",1,1,1
"74",1,-1,1
"75",1,-1,1
"76",1,1,1
"77",1,-1,1
"78",1,-1,0
"79",1,1,1
"80",1,1,1
"81",1,1,1
"82",1,-1,0
"83",1,-1,1
"84",1,1,1
"85",1,-1,0
"86",1,1,0
"87",1,1,1
"88",1,-1,1
"89",1,1,0
"90",1,1,1
"91",1,-1,1
"92",1,-1,0
"93",1,1,0
"94",1,-1,1
"95",1,1,1
"96",1,-1,0
"97",1,1,1
"98",1,-1,0
"99",1,1,1
"100",1,-1,0
"101",1,1,1
"102",1,1,1
"103",1,-1,0
"104",1,1,0
"105",1,1,0
"106",1,1,0
"107",1,-1,1
"108",1,-1,1
"109",1,1,1
"110",1,-1,0
"111",1,1,0
"112",1,1,0
"113",1,1,0
"114",1,-1,1
"115",1,-1,1
"116",1,1,1
"117",1,-1,0
"118",1,-1,0
"119",1,-1,1
"120",1,1,0
"121",1,-1,0
"122",1,-1,0
"123",1,1,1
"124",1,-1,1
"125",1,1,1
"126",1,-1,0
"127",1,1,1
"128",1,-1,0
"129",1,1,1
"130",1,-1,1
"131",1,1,0
"132",1,1,0
"133",1,-1,1
"134",1,1,0
"135",1,-1,1
"136",1,-1,1
"137",1,-1,1
"138",1,1,0
"139",1,-1,1
"140",1,-1,1
"141",1,1,0
"142",1,-1,1
"143",1,-1,0
"144",1,-1,0
"145",1,-1,0
"146",1,1,1
"147",1,-1,0
"148",1,-1,1
"149",1,1,1
"150",1,1,1
"151",1,1,1
"152",1,1,1
"153",1,1,0
"154",1,-1,0
"155",1,-1,1
"156",1,1,0
"157",1,1,1
"158",1,1,1
"159",1,-1,0
"160",1,-1,1
"161",1,-1,0
"162",1,1,1
"163",1,-1,0
"164",1,-1,0
"165",1,-1,0
"166",1,-1,0
"167",1,1,1
"168",1,-1,0
"169",1,-1,0
"170",1,-1,0
"171",1,-1,0
"172",1,-1,0
"173",1,1,0
"174",1,1,0
"175",1,1,0
"176",1,-1,0
"177",1,1,1
"178",1,1,1
"179",1,1,1
"180",1,1,1
"181",1,1,1
"182",1,1,1
"183",1,1,1
"184",1,-1,1
"185",1,1,0
"186",1,-1,1
"187",1,-1,1
"188",1,1,0
"189",1,-1,0
"190",1,1,0
"191",1,1,1
"192",1,-1,1
"193",1,-1,1
"194",1,1,1
"195",1,1,0
"196",1,-1,0
"197",1,-1,0
"198",1,-1,0
"199",1,1,1
"200",1,1,1
"201",1,1,1
"202",1,1,0
"203",1,-1,1
"204",1,1,0
"205",1,1,0
"206",1,-1,1
"207",1,-1,1
"208",1,1,0
"209",1,1,1
"210",1,1,0
"211",1,-1,1
"212",1,-1,1
"213",1,-1,0
"214",1,-1,1
"215",1,-1,1
"216",1,-1,1
"217",1,-1,0
"218",1,1,0
