"","Subj_idx","Response","Confidence"
"1",1,0,7
"2",1,0,9
"3",1,1,5
"4",1,1,8
"5",1,1,7
"6",1,1,8
"7",1,0,7
"8",1,1,7
"9",1,1,8
"10",1,1,8
"11",1,0,7
"12",1,1,7
"13",1,0,7
"14",1,1,5
"15",1,1,5
"16",1,0,7
"17",1,1,8
"18",1,1,7
"19",1,0,7
"20",1,0,7
"21",1,0,7
"22",1,1,7
"23",1,1,7
"24",1,1,7
"25",1,1,7
"26",1,1,7
"27",1,0,7
"28",1,1,5
"29",1,1,7
"30",1,1,7
"31",1,1,7
"32",1,1,7
"33",1,0,7
"34",1,1,8
"35",1,1,6
"36",1,1,7
"37",1,1,8
"38",1,1,7
"39",1,0,7
"40",1,1,7
"41",1,1,7
"42",1,0,7
"43",1,1,7
"44",1,0,5
"45",1,1,7
"46",1,1,7
"47",1,1,7
"48",1,1,8
"49",1,1,7
"50",1,1,5
"51",1,1,7
"52",1,1,7
"53",1,1,7
"54",1,1,8
"55",1,0,5
"56",1,1,7
"57",1,1,7
"58",1,0,7
"59",1,1,7
"60",1,1,7
"61",1,0,7
"62",1,1,7
"63",1,1,7
"64",1,1,9
"65",1,1,7
"66",1,1,8
"67",1,1,7
"68",1,1,7
"69",1,0,7
"70",1,1,7
"71",1,1,9
"72",1,1,7
"73",1,0,7
"74",1,1,7
"75",1,1,9
"76",1,0,7
"77",1,1,8
"78",1,1,7
"79",1,1,7
"80",1,1,9
"81",1,1,7
"82",1,0,8
"83",1,1,8
"84",1,1,7
"85",1,1,7
"86",1,0,5
"87",1,1,8
"88",1,0,7
"89",1,1,7
"90",1,1,7
"91",1,0,7
"92",1,1,7
"93",1,1,7
"94",1,1,7
"95",1,1,7
"96",1,1,9
"97",1,1,8
"98",1,1,7
"99",1,1,7
"100",1,1,7
"101",1,0,7
"102",1,0,8
"103",1,0,9
"104",1,1,7
"105",1,1,7
"106",1,1,7
"107",1,0,5
"108",1,1,7
"109",1,1,7
"110",1,1,7
"111",1,1,7
"112",1,1,8
"113",1,0,7
"114",1,1,7
"115",1,0,7
"116",1,1,7
"117",1,0,7
"118",1,1,7
"119",1,1,7
"120",1,1,9
"121",1,0,9
"122",1,1,8
"123",1,0,7
"124",1,0,8
"125",1,1,7
"126",1,0,8
"127",1,1,7
"128",1,1,7
"129",1,0,5
"130",1,1,8
"131",1,1,7
"132",1,1,9
"133",1,1,7
"134",1,1,5
"135",1,1,7
"136",1,1,7
"137",1,1,7
"138",1,1,8
