"","Subj_idx","Response","Confidence"
"1",1,0,0.5
"2",1,0,0.5
"3",1,0,0.79
"4",1,0,0.8
"5",1,0,0.63
"6",1,0,0.62
"7",1,0,0.6
"8",1,1,0.66
"9",1,1,0.61
"10",1,1,0.59
"11",1,0,0.79
"12",1,0,0.7
"13",1,0,0.71
"14",1,1,0.51
"15",1,1,0.51
"16",1,1,0.57
"17",1,0,0.66
"18",1,1,0.52
"19",1,0,0.75
"20",1,0,0.62
"21",1,1,0.52
"22",1,0,0.69
"23",1,1,0.51
"24",1,0,0.59
"25",1,0,0.53
"26",1,1,0.75
"27",1,0,0.81
"28",1,0,0.8
"29",1,0,0.58
"30",1,1,0.69
"31",1,1,0.59
"32",1,0,0.91
"33",1,0,0.91
"34",1,0,0.85
"35",1,1,0.68
"36",1,1,0.58
"37",1,0,0.75
"38",1,0,0.81
"39",1,0,0.54
"40",1,1,0.62
"41",1,0,0.75
"42",1,0,0.85
"43",1,1,0.58
"44",1,1,0.89
"45",1,0,0.81
"46",1,0,0.8
"47",1,0,0.81
"48",1,1,0.8
"49",1,0,0.75
"50",1,0,0.89
"51",1,1,0.63
"52",1,0,0.75
"53",1,0,0.75
"54",1,0,0.69
"55",1,0,0.58
"56",1,0,0.68
"57",1,0,0.75
"58",1,0,0.64
"59",1,0,0.59
"60",1,1,0.75
"61",1,1,0.52
"62",1,1,0.51
"63",1,1,0.52
"64",1,0,0.52
"65",1,0,0.58
"66",1,0,0.8
"67",1,0,0.75
"68",1,0,0.59
"69",1,0,0.79
"70",1,1,0.61
"71",1,0,0.6
"72",1,1,0.52
"73",1,0,0.54
"74",1,1,0.8
"75",1,0,0.79
"76",1,1,0.79
"77",1,0,0.51
"78",1,1,0.81
"79",1,0,0.64
"80",1,1,0.75
"81",1,0,0.7
"82",1,0,0.75
"83",1,1,0.84
"84",1,1,0.57
"85",1,0,0.75
"86",1,1,0.51
"87",1,0,0.53
"88",1,0,0.75
"89",1,0,0.75
"90",1,1,0.63
"91",1,1,0.75
"92",1,0,0.64
"93",1,1,0.52
"94",1,1,0.59
"95",1,0,0.75
"96",1,0,0.75
"97",1,1,0.56
"98",1,1,0.6
"99",1,1,0.59
"100",1,0,0.56
"101",1,0,0.7
"102",1,0,0.85
"103",1,1,0.5
"104",1,0,0.61
"105",1,0,0.52
"106",1,1,0.51
"107",1,0,0.52
"108",1,0,0.59
"109",1,1,0.51
"110",1,1,0.6
"111",1,0,0.79
"112",1,0,0.58
"113",1,1,0.78
"114",1,1,0.6
"115",1,1,0.61
"116",1,0,0.75
"117",1,0,0.56
"118",1,0,0.66
"119",1,0,0.71
"120",1,0,0.58
"121",1,0,0.57
"122",1,0,0.75
"123",1,1,0.63
"124",1,1,0.75
"125",1,0,0.64
"126",1,1,0.51
