"","Subj_idx","Response","Confidence"
"1",401,0,6
"2",401,0,6
"3",401,1,3
"4",401,0,6
"5",401,0,6
"6",401,0,6
"7",401,0,6
"8",401,0,6
"9",401,0,6
"10",401,0,6
"11",401,0,6
"12",401,1,4
"13",401,1,2
"14",401,0,6
"15",401,1,6
"16",401,0,4
"17",401,0,6
"18",401,0,6
"19",401,1,4
"20",401,0,6
"21",401,1,4
"22",401,0,6
"23",401,1,6
"24",401,0,6
"25",401,0,6
"26",401,0,6
"27",401,0,4
"28",401,1,3
"29",401,1,3
"30",401,0,6
"31",401,1,6
"32",401,0,6
"33",401,1,4
"34",401,1,3
"35",401,1,2
"36",401,0,6
"37",401,1,3
"38",401,0,6
"39",401,1,4
"40",401,1,3
"41",401,1,6
"42",401,1,3
"43",401,1,4
"44",401,1,6
"45",401,1,6
"46",401,1,6
"47",401,0,6
"48",401,1,6
"49",401,1,6
"50",401,1,6
"51",401,0,3
"52",401,0,6
"53",401,0,6
"54",401,1,6
"55",401,0,6
"56",401,1,4
"57",401,0,6
"58",401,0,6
"59",401,1,3
"60",401,0,6
"61",401,1,1
"62",401,0,6
"63",401,0,4
"64",401,1,1
"65",401,0,6
"66",401,1,1
"67",401,0,6
"68",401,1,2
"69",401,0,6
"70",401,1,3
"71",401,1,1
"72",401,1,2
"73",401,1,3
"74",401,0,4
"75",401,1,2
"76",401,0,6
"77",401,1,6
"78",401,1,4
"79",401,0,6
"80",401,1,3
"81",401,1,6
"82",401,0,6
"83",401,1,6
"84",401,0,2
"85",401,1,6
"86",401,1,6
"87",401,0,6
"88",401,1,6
"89",401,0,3
"90",401,1,6
"91",401,1,6
"92",401,1,4
"93",401,0,6
"94",401,1,6
"95",401,0,6
"96",401,0,6
"97",401,0,5
"98",401,1,2
"99",401,1,3
"100",401,0,5
"101",401,0,3
"102",401,0,6
"103",401,0,6
"104",401,1,2
"105",401,1,6
"106",401,1,4
"107",401,0,2
"108",401,0,6
"109",401,1,4
"110",401,1,3
"111",401,0,2
"112",401,1,6
"113",401,0,5
"114",401,1,1
"115",401,1,6
"116",401,0,4
"117",401,1,6
"118",401,0,4
"119",401,1,2
"120",401,1,3
"121",401,1,6
"122",401,1,6
"123",401,0,4
"124",401,1,6
"125",401,1,2
"126",401,0,6
"127",401,0,6
"128",401,1,2
"129",401,0,2
"130",401,0,5
"131",401,0,4
"132",401,0,1
"133",401,1,2
"134",401,0,1
"135",401,1,6
"136",401,1,6
"137",401,0,6
"138",401,0,6
"139",401,1,2
"140",401,1,6
"141",401,1,6
"142",401,0,6
"143",401,1,6
"144",401,1,6
"145",401,1,5
"146",401,0,6
"147",401,1,2
"148",401,1,1
"149",401,0,5
"150",401,1,1
"151",401,1,3
"152",401,0,6
"153",401,1,6
"154",401,0,1
"155",401,1,1
"156",401,1,1
"157",401,1,6
"158",401,1,6
"159",401,1,6
"160",401,1,2
"161",401,1,6
"162",401,1,6
"163",401,0,6
"164",401,1,6
"165",401,0,6
"166",401,1,1
"167",401,0,3
"168",401,1,4
"169",401,1,3
"170",401,1,2
"171",401,0,3
"172",401,1,6
"173",401,0,6
"174",401,1,4
"175",401,0,1
"176",401,1,6
"177",401,0,4
"178",401,0,4
"179",401,1,6
"180",401,1,6
"181",401,0,6
"182",401,0,6
"183",401,1,2
"184",401,0,6
"185",401,1,6
"186",401,1,6
"187",401,1,1
"188",401,0,4
"189",401,1,6
"190",401,0,1
"191",401,0,1
"192",401,0,6
"193",401,1,1
"194",401,0,4
"195",401,1,6
"196",401,1,6
"197",401,1,6
"198",401,1,6
"199",401,1,6
"200",401,1,6
"201",402,1,3
"202",402,0,5
"203",402,0,6
"204",402,1,2
"205",402,0,5
"206",402,0,5
"207",402,1,5
"208",402,1,5
"209",402,1,5
"210",402,1,5
"211",402,1,3
"212",402,1,5
"213",402,1,5
"214",402,0,5
"215",402,0,5
"216",402,0,5
"217",402,1,5
"218",402,1,5
"219",402,1,5
"220",402,1,5
"221",402,1,5
"222",402,1,2
"223",402,1,2
"224",402,1,2
"225",402,1,2
"226",402,1,2
"227",402,1,3
"228",402,0,5
"229",402,1,5
"230",402,1,5
"231",402,0,5
"232",402,1,5
"233",402,1,5
"234",402,0,5
"235",402,1,5
"236",402,1,5
"237",402,0,5
"238",402,0,5
"239",402,0,5
"240",402,1,2
"241",402,0,3
"242",402,1,2
"243",402,1,2
"244",402,0,5
"245",402,1,5
"246",402,1,5
"247",402,1,5
"248",402,0,5
"249",402,0,5
"250",402,0,5
"251",402,1,2
"252",402,1,3
"253",402,0,5
"254",402,1,2
"255",402,1,2
"256",402,0,6
"257",402,0,3
"258",402,0,3
"259",402,1,3
"260",402,1,3
"261",402,0,3
"262",402,1,6
"263",402,0,3
"264",402,1,3
"265",402,1,3
"266",402,1,3
"267",402,0,3
"268",402,0,3
"269",402,0,3
"270",402,0,3
"271",402,1,3
"272",402,1,5
"273",402,0,5
"274",402,0,2
"275",402,0,5
"276",402,0,5
"277",402,0,5
"278",402,1,2
"279",402,1,5
"280",402,1,2
"281",402,1,2
"282",402,1,2
"283",402,0,3
"284",402,0,3
"285",402,0,6
"286",402,0,5
"287",402,1,2
"288",402,0,5
"289",402,1,2
"290",402,0,5
"291",402,0,5
"292",402,1,2
"293",402,0,5
"294",402,0,5
"295",402,0,5
"296",402,0,5
"297",402,1,2
"298",402,1,3
"299",402,0,3
"300",402,0,3
"301",402,0,3
"302",402,0,3
"303",402,1,3
"304",402,1,3
"305",402,1,3
"306",402,0,4
"307",402,1,4
"308",402,0,4
"309",402,0,4
"310",402,0,4
"311",402,0,4
"312",402,0,4
"313",402,0,4
"314",402,0,4
"315",402,0,4
"316",402,0,4
"317",402,1,4
"318",402,0,4
"319",402,0,4
"320",402,1,4
"321",402,1,2
"322",402,0,5
"323",402,0,5
"324",402,0,5
"325",402,1,4
"326",402,1,4
"327",402,1,4
"328",402,0,4
"329",402,0,4
"330",402,0,4
"331",402,0,4
"332",402,0,2
"333",402,0,2
"334",402,0,2
"335",402,1,2
"336",402,0,3
"337",402,0,3
"338",402,0,3
"339",402,0,3
"340",402,0,3
"341",402,0,3
"342",402,0,3
"343",402,0,3
"344",402,1,3
"345",402,1,3
"346",402,0,3
"347",402,0,3
"348",402,0,3
"349",402,0,3
"350",402,0,3
"351",402,0,6
"352",402,0,5
"353",402,0,5
"354",402,0,5
"355",402,0,5
"356",402,0,4
"357",402,1,2
"358",402,0,5
"359",402,0,5
"360",402,0,5
"361",402,0,5
"362",402,0,5
"363",402,0,5
"364",402,0,5
"365",402,0,5
"366",402,0,4
"367",402,1,4
"368",402,1,2
"369",402,0,2
"370",402,1,2
"371",402,1,2
"372",402,1,2
"373",402,0,5
"374",402,0,5
"375",402,1,5
"376",402,1,5
"377",402,1,5
"378",402,0,5
"379",402,0,5
"380",402,0,5
"381",402,0,5
"382",402,0,5
"383",402,0,5
"384",402,0,5
"385",402,0,5
"386",402,0,2
"387",402,0,3
"388",402,0,3
"389",402,1,4
"390",402,1,4
"391",402,0,4
"392",402,0,4
"393",402,0,4
"394",402,0,4
"395",402,0,4
"396",402,0,2
"397",402,0,1
"398",402,0,2
"399",402,1,5
"400",402,1,5
"401",403,1,1
"402",403,0,6
"403",403,1,6
"404",403,0,6
"405",403,1,6
"406",403,1,6
"407",403,1,6
"408",403,1,4
"409",403,1,5
"410",403,1,5
"411",403,0,3
"412",403,1,5
"413",403,0,6
"414",403,1,6
"415",403,0,6
"416",403,0,1
"417",403,1,6
"418",403,0,6
"419",403,0,6
"420",403,1,6
"421",403,1,5
"422",403,1,6
"423",403,1,6
"424",403,0,6
"425",403,1,6
"426",403,0,5
"427",403,1,6
"428",403,1,6
"429",403,0,1
"430",403,0,6
"431",403,0,6
"432",403,0,5
"433",403,0,1
"434",403,0,6
"435",403,0,6
"436",403,0,6
"437",403,1,5
"438",403,1,5
"439",403,0,5
"440",403,0,6
"441",403,1,5
"442",403,1,6
"443",403,1,6
"444",403,0,6
"445",403,0,6
"446",403,0,6
"447",403,0,6
"448",403,0,6
"449",403,1,1
"450",403,0,6
"451",403,0,6
"452",403,0,6
"453",403,0,6
"454",403,0,1
"455",403,0,5
"456",403,1,6
"457",403,1,5
"458",403,1,5
"459",403,1,1
"460",403,0,6
"461",403,0,6
"462",403,1,5
"463",403,1,2
"464",403,1,4
"465",403,1,5
"466",403,0,5
"467",403,0,6
"468",403,1,5
"469",403,1,5
"470",403,0,5
"471",403,1,2
"472",403,1,1
"473",403,1,2
"474",403,1,5
"475",403,1,6
"476",403,1,2
"477",403,1,2
"478",403,1,5
"479",403,0,1
"480",403,1,3
"481",403,0,1
"482",403,0,6
"483",403,1,5
"484",403,1,5
"485",403,1,5
"486",403,0,6
"487",403,1,5
"488",403,1,5
"489",403,0,5
"490",403,0,6
"491",403,1,6
"492",403,0,6
"493",403,1,6
"494",403,1,6
"495",403,0,5
"496",403,1,6
"497",403,1,1
"498",403,1,6
"499",403,1,6
"500",403,1,5
"501",403,1,6
"502",403,1,6
"503",403,0,1
"504",403,1,6
"505",403,0,6
"506",403,0,5
"507",403,1,5
"508",403,1,2
"509",403,0,5
"510",403,1,5
"511",403,1,5
"512",403,1,6
"513",403,1,6
"514",403,0,6
"515",403,1,6
"516",403,1,6
"517",403,0,1
"518",403,0,6
"519",403,0,6
"520",403,0,5
"521",403,0,6
"522",403,1,5
"523",403,0,6
"524",403,0,5
"525",403,1,6
"526",403,0,6
"527",403,0,6
"528",403,1,6
"529",403,0,6
"530",403,1,6
"531",403,0,5
"532",403,1,6
"533",403,1,6
"534",403,0,4
"535",403,1,5
"536",403,0,1
"537",403,1,6
"538",403,1,5
"539",403,0,6
"540",403,1,6
"541",403,0,1
"542",403,1,6
"543",403,1,3
"544",403,0,5
"545",403,0,6
"546",403,0,6
"547",403,1,5
"548",403,1,1
"549",403,0,5
"550",403,0,4
"551",403,0,6
"552",403,0,6
"553",403,0,6
"554",403,1,4
"555",403,1,4
"556",403,1,5
"557",403,0,1
"558",403,0,5
"559",403,1,5
"560",403,0,6
"561",403,0,6
"562",403,0,3
"563",403,1,4
"564",403,0,6
"565",403,0,6
"566",403,0,4
"567",403,0,5
"568",403,0,6
"569",403,0,6
"570",403,0,6
"571",403,0,3
"572",403,0,5
"573",403,0,2
"574",403,0,6
"575",403,0,6
"576",403,1,5
"577",403,1,4
"578",403,0,6
"579",403,0,6
"580",403,0,6
"581",403,0,2
"582",403,0,2
"583",403,0,6
"584",403,0,1
"585",403,0,6
"586",403,0,6
"587",403,0,6
"588",403,0,2
"589",403,1,5
"590",403,1,6
"591",403,0,6
"592",403,1,5
"593",403,0,3
"594",403,1,6
"595",403,0,6
"596",403,1,3
"597",403,0,6
"598",403,0,6
"599",403,0,6
"600",403,0,3
"601",404,1,6
"602",404,0,6
"603",404,0,6
"604",404,1,6
"605",404,1,6
"606",404,1,2
"607",404,1,6
"608",404,1,2
"609",404,1,2
"610",404,1,4
"611",404,0,4
"612",404,1,4
"613",404,1,4
"614",404,0,4
"615",404,0,6
"616",404,0,6
"617",404,1,6
"618",404,1,6
"619",404,1,6
"620",404,1,6
"621",404,0,6
"622",404,1,2
"623",404,1,6
"624",404,1,6
"625",404,1,6
"626",404,1,6
"627",404,1,6
"628",404,0,5
"629",404,0,6
"630",404,1,6
"631",404,1,6
"632",404,0,6
"633",404,1,6
"634",404,1,6
"635",404,0,6
"636",404,1,6
"637",404,1,6
"638",404,1,6
"639",404,1,6
"640",404,0,6
"641",404,0,6
"642",404,1,6
"643",404,0,6
"644",404,0,6
"645",404,1,6
"646",404,0,6
"647",404,0,6
"648",404,1,6
"649",404,1,6
"650",404,1,6
"651",404,1,6
"652",404,0,2
"653",404,0,5
"654",404,1,6
"655",404,0,6
"656",404,0,6
"657",404,0,6
"658",404,0,6
"659",404,0,6
"660",404,0,6
"661",404,0,6
"662",404,0,6
"663",404,1,6
"664",404,0,6
"665",404,0,6
"666",404,1,1
"667",404,0,2
"668",404,1,2
"669",404,0,1
"670",404,0,1
"671",404,0,1
"672",404,1,2
"673",404,0,6
"674",404,1,6
"675",404,0,6
"676",404,0,6
"677",404,1,6
"678",404,1,6
"679",404,1,6
"680",404,1,6
"681",404,0,2
"682",404,0,6
"683",404,0,6
"684",404,1,6
"685",404,1,6
"686",404,0,6
"687",404,0,2
"688",404,1,4
"689",404,0,6
"690",404,0,6
"691",404,0,2
"692",404,0,2
"693",404,1,6
"694",404,0,2
"695",404,1,6
"696",404,0,2
"697",404,0,2
"698",404,1,6
"699",404,0,3
"700",404,1,2
"701",404,1,2
"702",404,0,6
"703",404,1,6
"704",404,0,3
"705",404,1,6
"706",404,1,6
"707",404,0,1
"708",404,0,6
"709",404,0,6
"710",404,1,6
"711",404,1,3
"712",404,0,6
"713",404,0,6
"714",404,1,6
"715",404,0,1
"716",404,0,2
"717",404,1,6
"718",404,1,6
"719",404,1,6
"720",404,1,6
"721",404,1,6
"722",404,1,6
"723",404,0,2
"724",404,0,6
"725",404,0,6
"726",404,0,6
"727",404,0,6
"728",404,1,5
"729",404,0,1
"730",404,0,4
"731",404,1,6
"732",404,0,6
"733",404,1,4
"734",404,1,6
"735",404,0,1
"736",404,0,6
"737",404,0,1
"738",404,0,5
"739",404,0,6
"740",404,0,1
"741",404,0,6
"742",404,1,6
"743",404,1,2
"744",404,1,2
"745",404,1,2
"746",404,1,4
"747",404,1,2
"748",404,0,2
"749",404,0,6
"750",404,1,2
"751",404,0,1
"752",404,1,6
"753",404,1,6
"754",404,1,6
"755",404,1,6
"756",404,0,3
"757",404,1,6
"758",404,0,6
"759",404,1,2
"760",404,1,6
"761",404,1,6
"762",404,0,2
"763",404,0,1
"764",404,1,2
"765",404,1,3
"766",404,0,2
"767",404,1,1
"768",404,0,6
"769",404,0,1
"770",404,0,6
"771",404,1,1
"772",404,0,1
"773",404,0,2
"774",404,1,5
"775",404,1,5
"776",404,0,6
"777",404,1,2
"778",404,0,6
"779",404,0,4
"780",404,0,1
