"","Subj_idx","Response","Confidence"
"1",401,2,6
"2",401,2,6
"3",401,1,2
"4",401,1,4
"5",401,1,2
"6",401,1,1
"7",401,1,2
"8",401,1,3
"9",401,2,6
"10",401,2,4
"11",401,2,5
"12",401,1,6
"13",401,2,4
"14",401,1,2
"15",401,1,6
"16",401,1,6
"17",401,2,6
"18",401,2,6
"19",401,2,1
"20",401,2,4
"21",401,1,6
"22",401,2,6
"23",401,2,6
"24",401,2,6
"25",401,2,6
"26",401,1,6
"27",401,1,6
"28",401,1,6
"29",401,2,6
"30",401,2,6
"31",401,2,6
"32",401,1,5
"33",401,1,6
"34",401,1,6
"35",401,1,1
"36",401,2,6
"37",401,1,6
"38",401,2,2
"39",401,1,6
"40",401,2,6
"41",401,1,6
"42",401,1,6
"43",401,1,6
"44",401,1,6
"45",401,1,1
"46",401,1,6
"47",401,1,6
"48",401,1,2
"49",401,2,2
"50",401,2,6
"51",401,2,2
"52",401,2,6
"53",401,1,2
"54",401,2,6
"55",401,2,6
"56",401,1,6
"57",401,2,1
"58",401,1,6
"59",401,1,6
"60",401,2,6
"61",401,2,6
"62",401,2,1
"63",401,1,6
"64",401,2,3
"65",401,2,6
"66",401,1,6
"67",401,2,6
"68",401,1,6
"69",401,1,6
"70",401,2,6
"71",401,2,6
"72",401,1,6
"73",401,1,6
"74",401,1,2
"75",401,1,1
"76",401,1,6
"77",401,1,1
"78",401,1,6
"79",401,2,6
"80",401,2,6
"81",401,1,6
"82",401,1,6
"83",401,2,6
"84",401,2,6
"85",401,2,6
"86",401,1,6
"87",401,2,6
"88",401,2,6
"89",401,1,6
"90",401,2,6
"91",401,1,1
"92",401,2,6
"93",401,1,6
"94",401,1,6
"95",401,2,2
"96",401,1,6
"97",401,1,6
"98",401,1,6
"99",401,1,2
"100",401,1,6
"101",401,1,6
"102",401,1,6
"103",401,1,6
"104",401,2,6
"105",401,2,1
"106",401,1,6
"107",401,1,6
"108",401,1,6
"109",401,1,6
"110",401,2,6
"111",401,2,6
"112",401,2,6
"113",401,2,6
"114",401,1,6
"115",401,1,6
"116",401,1,6
"117",401,1,6
"118",401,2,6
"119",401,1,6
"120",401,2,6
"121",401,1,1
"122",401,1,6
"123",401,1,1
"124",401,1,6
"125",401,2,6
"126",401,2,6
"127",401,1,6
"128",401,1,6
"129",401,1,6
"130",401,2,6
"131",401,1,6
"132",401,1,2
"133",401,1,6
"134",401,1,6
"135",401,1,6
"136",401,1,6
"137",401,1,6
"138",401,1,6
"139",401,1,6
"140",401,1,6
"141",401,2,1
"142",401,1,6
"143",401,1,6
"144",401,2,6
"145",401,2,2
"146",401,1,6
"147",401,1,6
"148",401,1,6
"149",401,2,6
"150",401,1,6
"151",401,1,6
"152",401,1,6
"153",401,1,6
"154",401,2,6
"155",401,1,6
"156",401,1,6
"157",401,1,6
"158",401,2,6
"159",401,1,6
"160",401,1,6
"161",401,1,6
"162",401,2,1
"163",401,1,6
"164",401,1,6
"165",401,1,6
"166",401,1,6
"167",401,2,6
"168",401,1,6
"169",401,1,6
"170",401,2,6
"171",401,1,1
"172",401,2,6
"173",401,2,6
"174",401,2,6
"175",401,2,6
"176",401,1,6
"177",401,2,6
"178",401,2,6
"179",401,1,6
"180",401,2,6
"181",402,1,3
"182",402,2,5
"183",402,2,5
"184",402,2,3
"185",402,2,3
"186",402,1,4
"187",402,1,4
"188",402,1,1
"189",402,1,5
"190",402,1,5
"191",402,1,5
"192",402,1,4
"193",402,1,5
"194",402,2,5
"195",402,1,4
"196",402,2,4
"197",402,2,4
"198",402,1,3
"199",402,1,5
"200",402,1,3
"201",402,1,3
"202",402,1,3
"203",402,1,3
"204",402,1,3
"205",402,2,3
"206",402,1,3
"207",402,2,3
"208",402,1,3
"209",402,1,4
"210",402,2,3
"211",402,1,5
"212",402,1,5
"213",402,1,3
"214",402,1,3
"215",402,1,5
"216",402,1,3
"217",402,2,3
"218",402,2,3
"219",402,1,3
"220",402,2,3
"221",402,1,3
"222",402,1,3
"223",402,1,4
"224",402,1,2
"225",402,1,4
"226",402,1,3
"227",402,1,3
"228",402,1,2
"229",402,2,2
