"","Subj_idx","Response","Confidence"
"1",1,1,2
"2",1,1,2
"3",1,1,2
"4",1,0,2
"5",1,1,2
"6",1,0,2
"7",1,1,2
"8",1,1,2
"9",1,1,2
"10",1,1,2
"11",1,0,2
"12",1,1,2
"13",1,1,3
"14",1,1,3
"15",1,1,3
"16",1,0,3
"17",1,0,3
"18",1,1,3
"19",1,1,3
"20",1,0,1
"21",1,1,3
"22",1,1,4
"23",1,0,2
"24",1,1,4
"25",1,1,4
"26",1,0,2
"27",1,1,3
"28",1,1,1
"29",1,1,2
"30",1,1,2
"31",1,1,3
"32",1,1,3
"33",1,1,3
"34",1,1,3
"35",1,1,3
"36",1,1,3
"37",1,0,3
"38",1,0,3
"39",1,1,1
"40",1,1,3
"41",1,0,2
"42",1,0,2
"43",1,1,3
"44",1,0,3
"45",1,1,3
"46",1,0,2
"47",1,0,2
"48",1,0,2
"49",1,0,2
"50",1,0,1
"51",1,1,3
"52",1,1,1
"53",1,1,2
"54",1,1,2
"55",1,0,1
"56",1,1,2
"57",1,1,2
"58",1,0,3
"59",1,0,3
"60",1,1,3
"61",1,0,3
"62",1,0,1
"63",1,0,4
"64",1,1,4
"65",1,1,2
"66",1,1,3
"67",1,1,3
"68",1,1,3
"69",1,0,1
"70",1,0,1
"71",1,0,2
"72",1,1,3
"73",1,1,3
"74",1,1,2
"75",1,1,2
"76",1,1,2
"77",1,0,1
"78",1,0,2
"79",1,1,2
"80",1,1,3
"81",1,0,1
"82",1,1,2
"83",1,1,2
"84",1,1,2
"85",1,0,2
"86",1,0,2
"87",1,1,3
"88",1,1,3
"89",1,1,2
"90",1,1,2
"91",1,0,2
"92",1,0,3
"93",1,0,3
"94",1,1,3
"95",1,1,2
"96",1,0,1
"97",1,1,2
"98",1,0,2
"99",1,0,2
"100",1,0,2
"101",1,0,3
"102",1,0,3
"103",1,0,2
"104",1,1,2
"105",1,0,2
"106",1,0,2
"107",1,0,2
"108",1,1,3
"109",1,1,3
"110",1,0,3
"111",1,0,1
"112",1,1,3
"113",1,1,3
"114",1,0,1
"115",1,1,3
"116",1,1,3
"117",1,0,1
"118",1,0,2
"119",1,1,3
"120",1,1,3
"121",1,0,2
"122",1,1,3
"123",1,1,3
"124",1,0,2
"125",1,0,2
"126",1,0,2
"127",1,0,1
"128",1,0,2
"129",1,0,2
"130",1,0,2
"131",1,1,2
"132",1,1,3
"133",1,0,2
"134",1,1,3
"135",1,1,3
"136",1,1,3
"137",1,0,2
"138",1,1,3
"139",1,1,3
"140",1,1,3
"141",1,0,1
"142",1,0,2
"143",1,0,1
"144",1,0,2
"145",1,0,3
"146",1,0,2
"147",1,1,3
"148",1,1,3
"149",1,1,3
"150",1,1,3
"151",1,0,2
"152",1,0,2
"153",1,1,3
"154",1,0,2
"155",1,1,2
"156",1,1,2
"157",1,0,2
"158",1,1,1
"159",1,1,2
"160",1,1,2
"161",1,0,2
"162",1,0,1
"163",1,1,1
"164",1,1,2
"165",1,1,3
"166",1,1,3
"167",1,1,3
"168",1,0,3
"169",1,0,3
"170",1,1,2
"171",1,1,2
"172",1,1,1
"173",1,0,2
"174",1,0,2
"175",1,0,2
"176",1,0,2
"177",1,0,2
"178",1,0,2
"179",1,0,2
"180",1,0,2
"181",1,0,2
"182",1,0,2
"183",1,0,1
"184",1,1,2
"185",1,0,2
"186",1,1,2
"187",1,0,2
"188",1,1,2
"189",1,1,2
"190",1,1,2
"191",1,1,2
"192",1,1,2
"193",1,0,1
"194",1,0,2
"195",1,1,1
"196",1,0,2
"197",1,1,3
"198",1,1,3
"199",1,0,2
"200",1,1,3
"201",1,1,2
"202",1,0,2
"203",1,1,3
"204",1,0,2
"205",1,1,3
"206",1,0,3
"207",1,1,3
"208",1,1,3
"209",1,0,2
"210",1,1,3
"211",1,0,2
"212",1,0,2
"213",1,0,2
"214",1,1,2
"215",1,0,2
"216",1,1,3
"217",1,0,2
"218",1,0,2
"219",1,1,2
"220",1,1,2
"221",1,1,2
"222",1,0,2
"223",1,0,2
"224",1,0,2
"225",1,1,2
"226",1,0,1
"227",1,0,1
"228",1,0,2
"229",1,1,2
"230",1,1,2
"231",1,0,2
"232",1,1,2
"233",1,1,2
"234",1,0,2
"235",1,1,2
"236",1,0,2
"237",1,0,2
"238",1,0,1
"239",1,0,2
"240",1,0,3
"241",1,0,1
"242",1,1,2
"243",1,0,2
"244",1,0,2
"245",1,0,2
"246",1,1,2
"247",1,1,2
"248",1,1,2
"249",1,1,2
"250",1,1,2
"251",1,0,2
"252",1,0,2
"253",1,0,3
"254",1,0,2
"255",1,0,1
"256",1,0,2
"257",1,0,1
"258",1,1,2
"259",1,0,2
"260",1,0,2
"261",1,0,2
"262",1,0,2
"263",1,0,1
"264",1,0,2
"265",1,1,2
"266",1,0,2
"267",1,1,2
"268",1,1,2
"269",1,0,2
"270",1,0,2
"271",1,0,2
"272",1,1,3
"273",1,0,1
"274",1,1,2
"275",1,0,2
"276",1,0,2
"277",1,1,3
"278",1,1,3
"279",1,0,2
"280",1,1,3
"281",1,1,3
"282",1,1,2
"283",1,0,3
"284",1,1,2
"285",1,0,1
"286",1,0,1
"287",1,1,2
"288",1,1,2
"289",1,1,2
"290",1,1,2
"291",1,0,2
"292",1,0,2
"293",1,0,2
"294",1,0,2
"295",1,1,2
"296",1,0,2
"297",1,0,2
"298",1,1,2
"299",1,1,2
"300",1,0,2
"301",1,-1,3
"302",1,1,3
"303",1,-1,3
"304",1,1,3
"305",1,-1,3
"306",1,-1,3
"307",1,-1,3
"308",1,-1,3
"309",1,-1,3
"310",1,-1,3
"311",1,-1,3
"312",1,1,3
"313",1,1,3
"314",1,-1,3
"315",1,-1,3
"316",1,1,3
"317",1,1,3
"318",1,-1,3
"319",1,1,2
"320",1,1,2
"321",1,-1,2
"322",1,1,2
"323",1,-1,2
"324",1,1,3
"325",1,-1,1
"326",1,-1,1
"327",1,-1,3
"328",1,1,3
"329",1,1,2
"330",1,1,2
"331",1,1,2
"332",1,1,3
"333",1,-1,3
"334",1,-1,3
"335",1,-1,3
"336",1,1,3
"337",1,-1,3
"338",1,1,3
"339",1,1,2
"340",1,1,3
"341",1,1,3
"342",1,-1,2
"343",1,1,3
"344",1,-1,2
"345",1,1,3
"346",1,-1,3
"347",1,1,2
"348",1,-1,2
"349",1,-1,2
"350",1,1,1
"351",1,-1,2
"352",1,-1,3
"353",1,1,3
"354",1,1,3
"355",1,-1,2
"356",1,1,3
"357",1,1,2
"358",1,1,2
"359",1,1,2
"360",1,1,2
"361",1,1,2
"362",1,1,2
"363",1,-1,1
"364",1,-1,2
"365",1,-1,2
"366",1,1,1
"367",1,-1,2
"368",1,1,2
"369",1,-1,2
"370",1,1,2
"371",1,-1,2
"372",1,1,3
"373",1,1,3
"374",1,-1,2
"375",1,1,3
"376",1,-1,1
"377",1,1,3
"378",1,1,1
"379",1,-1,1
"380",1,-1,2
"381",1,-1,2
"382",1,-1,2
"383",1,-1,2
"384",1,-1,1
"385",1,-1,1
