"","Subj_idx","Response","Confidence"
"1",1,1,6
"2",1,1,6
"3",1,1,1.35
"4",1,2,6
"5",1,1,6
"6",1,2,6
"7",1,1,6
"8",1,2,2.7
"9",1,1,3.45
"10",1,2,4.6
"11",1,2,6
"12",1,2,2.95
"13",1,1,5.8
"14",1,2,6
"15",1,1,2.6
"16",1,2,6
"17",1,2,6
"18",1,2,6
"19",1,1,2
"20",1,2,6
"21",1,2,6
"22",1,2,2.75
"23",1,2,2.4
"24",1,2,4.15
"25",1,2,6
"26",1,2,2.75
"27",1,1,4.3
"28",1,2,1
"29",1,2,1
"30",1,1,4.7
"31",1,1,2.7
"32",1,1,3.95
"33",1,2,1
"34",1,2,6
"35",1,1,3.5
"36",1,2,6
"37",1,2,2.4
"38",1,2,1
"39",1,2,4.45
"40",1,1,4.2
"41",1,1,4.4
"42",1,2,2.3
"43",1,2,4.4
"44",1,2,4.2
"45",1,2,4.15
"46",1,2,2.7
"47",1,2,4.6
"48",1,2,1
"49",1,1,4
"50",1,1,5.85
"51",1,2,1.05
"52",1,2,1.25
"53",1,2,4.9
"54",1,2,4
"55",1,2,3.5
"56",1,1,1.9
"57",1,1,2.4
"58",1,2,2.35
"59",1,2,1.3
"60",1,1,3.5
"61",1,2,4.4
"62",1,1,4.3
"63",1,2,1
"64",1,2,6
"65",1,1,4.6
"66",1,1,4.85
"67",1,2,2.3
"68",1,2,6
"69",1,2,1.8
"70",1,2,5.65
"71",1,2,3.4
"72",1,2,1.9
"73",1,1,4.05
"74",1,2,1.05
"75",1,1,5.6
"76",1,2,5.4
"77",1,1,5.2
"78",1,2,1
"79",1,1,1.05
"80",1,1,4.95
"81",1,1,1.25
"82",1,1,3.25
"83",1,2,4.35
"84",1,2,3.9
"85",1,1,1.05
"86",1,2,6
"87",1,1,5.8
"88",1,2,3.35
"89",1,2,2.1
"90",1,2,1.75
"91",1,1,4.45
"92",1,2,1.05
"93",1,2,5.4
"94",1,1,1
"95",1,1,5.95
"96",1,2,4.5
"97",1,1,4.65
"98",1,1,1.2
"99",1,2,1.45
"100",1,2,5.1
"101",1,2,1
"102",1,2,1.2
"103",1,2,4.75
"104",1,2,1.5
"105",1,2,2.3
"106",1,1,4.9
"107",1,1,1.5
"108",1,1,2.8
"109",1,2,4.8
"110",1,2,5.25
"111",1,2,6
"112",1,1,1.3
"113",1,2,6
"114",1,2,5.1
"115",1,2,6
"116",1,2,5.55
"117",1,1,5.35
"118",1,1,5.15
"119",1,1,1
"120",1,2,4
"121",1,2,3.95
"122",1,1,6
"123",1,1,6
"124",1,1,6
"125",1,2,6
"126",1,2,6
"127",1,1,2
"128",1,2,6
"129",1,2,6
"130",1,2,6
"131",1,2,6
"132",1,2,6
"133",1,2,6
"134",1,2,6
"135",1,1,1
"136",1,2,4.9
"137",1,2,5.95
"138",1,2,2.6
"139",1,2,5.6
"140",1,2,2.05
"141",1,2,1
"142",1,2,1
"143",1,2,1
"144",1,2,2.35
"145",1,1,4.35
"146",1,2,2.7
"147",1,2,5.6
"148",1,2,2.25
"149",1,2,2.7
"150",1,2,4.7
"151",1,1,1.25
"152",1,1,2.4
"153",1,2,1.05
"154",1,2,5.05
"155",1,2,1
"156",1,2,5.5
"157",1,2,6
"158",1,2,1
"159",1,1,1
"160",1,2,6
"161",1,1,1.7
"162",1,1,2.6
"163",1,2,4.8
"164",1,1,1
"165",1,2,5.8
"166",1,2,4.2
"167",1,2,5.25
"168",1,1,1
"169",1,2,1.05
"170",1,1,1
"171",1,2,4.25
"172",1,1,5.05
"173",1,1,2.35
"174",1,1,1.3
"175",1,2,5.75
"176",1,1,2.15
"177",1,1,2.1
"178",1,2,5.95
"179",1,2,1.05
"180",1,2,6
"181",1,1,4.05
"182",1,1,4.4
"183",1,1,1
"184",1,1,2.1
"185",1,2,3.5
"186",1,2,3.5
"187",1,1,4.45
"188",1,1,3.75
"189",1,2,2.05
"190",1,2,4.1
"191",1,1,2.7
"192",1,1,2.3
"193",1,1,5.1
"194",1,2,1.55
"195",1,2,4.7
"196",1,1,4.65
"197",1,1,3.9
"198",1,1,4.65
"199",1,2,1
"200",1,2,6
"201",1,2,3.55
"202",1,1,4.4
"203",1,2,5.1
"204",1,1,6
"205",1,1,2.7
"206",1,2,6
"207",1,1,6
"208",1,2,6
"209",1,1,1.25
"210",1,2,3
"211",1,1,4.4
"212",1,1,2.45
"213",1,1,5.6
"214",1,2,4.25
"215",1,2,6
"216",1,1,4.6
"217",1,2,1
"218",1,1,1.7
"219",1,2,1
"220",1,2,6
"221",1,1,5.35
"222",1,2,6
"223",1,2,6
"224",1,2,5.55
"225",1,2,6
"226",1,2,1.05
"227",1,1,3.85
"228",1,1,3.6
"229",1,2,4.8
"230",1,1,4.6
"231",1,1,2.55
"232",1,2,1
"233",1,1,3.85
"234",1,2,1
"235",1,1,4.6
"236",1,1,4.2
"237",1,2,6
"238",1,2,4.85
"239",1,2,1
"240",1,2,5.85
"241",1,1,1.3
"242",1,1,2.5
"243",1,2,6
"244",1,1,1.65
"245",1,2,2.65
"246",1,2,5.2
"247",1,2,1.85
"248",1,2,4.75
"249",1,2,4.85
"250",1,1,5.1
"251",1,1,4.95
"252",1,1,3.9
"253",1,2,4.8
"254",1,2,5.15
"255",1,2,4.55
"256",1,2,2.25
"257",1,2,1
"258",1,1,1.15
"259",1,2,4.75
"260",1,2,2.75
"261",1,2,1
"262",1,2,6
"263",1,2,2.05
"264",1,2,2
"265",1,2,2.65
"266",1,2,5
"267",1,2,6
"268",1,2,4.8
"269",1,2,5.15
"270",1,1,6
"271",1,1,1.35
"272",1,2,1.65
"273",1,2,3.55
"274",1,2,6
"275",1,1,1.9
"276",1,1,5.2
"277",1,1,5.15
"278",1,1,1
"279",1,1,5.45
"280",1,1,5.55
"281",1,2,6
"282",1,1,6
"283",1,1,6
"284",1,2,6
"285",1,2,6
"286",1,2,6
"287",1,2,5.55
"288",1,2,6
"289",1,1,4.65
"290",1,1,4.6
"291",1,2,1.35
"292",1,2,6
"293",1,1,1.6
"294",1,1,2.05
"295",1,2,5.95
"296",1,2,6
"297",1,2,2.1
"298",1,2,5.75
"299",1,1,4.2
"300",1,2,5.95
"301",1,2,6
"302",1,1,6
"303",1,1,6
"304",1,2,5.1
"305",1,2,6
"306",1,2,4.8
"307",1,2,6
"308",1,1,2.75
"309",1,1,5.3
"310",1,1,6
"311",1,1,6
"312",1,1,5.95
"313",1,2,2.45
"314",1,1,6
"315",1,1,6
"316",1,2,6
"317",1,1,2.1
"318",1,2,6
"319",1,1,6
"320",1,1,6
"321",1,2,6
"322",1,2,6
"323",1,2,2.3
"324",1,1,4.95
"325",1,1,3.55
"326",1,2,2.75
"327",1,2,6
"328",1,1,2.25
"329",1,1,2.85
"330",1,1,6
"331",1,2,6
"332",1,1,3.65
"333",1,2,3
"334",1,1,5.95
"335",1,2,6
"336",1,1,6
"337",1,2,6
"338",1,1,6
"339",1,2,6
"340",1,1,6
"341",1,2,2.8
"342",1,1,6
"343",1,1,6
"344",1,2,6
"345",1,2,6
"346",1,2,6
"347",1,2,6
"348",1,1,2.45
"349",1,1,6
"350",1,2,6
"351",1,1,6
"352",1,2,6
"353",1,2,2.95
"354",1,2,6
"355",1,1,2.7
"356",1,2,6
"357",1,1,6
"358",1,2,6
"359",1,2,3.1
"360",1,2,6
"361",1,1,4.1
"362",1,2,2.75
"363",1,1,3.5
"364",1,2,4.85
"365",1,2,5.6
"366",1,2,4.65
"367",1,2,3.5
"368",1,1,2.3
"369",1,2,2.45
"370",1,1,3.6
"371",1,1,6
"372",1,1,4.4
"373",1,2,6
"374",1,2,3
"375",1,1,6
"376",1,2,4.75
"377",1,1,4.35
"378",1,2,6
"379",1,2,6
"380",1,2,6
"381",1,2,6
"382",1,1,6
"383",1,1,6
"384",1,2,6
"385",1,1,6
"386",1,1,6
"387",1,2,6
"388",1,1,6
"389",1,2,6
"390",1,2,6
"391",1,2,3.5
"392",1,2,3.5
"393",1,2,4.45
"394",1,2,2.6
"395",1,1,4.85
"396",1,1,3.5
"397",1,1,3.5
"398",1,2,2.3
"399",1,1,1
"400",1,1,1.9
"401",1,2,6
"402",1,2,4.45
"403",1,1,5.95
"404",1,2,3.65
"405",1,2,4.3
"406",1,1,4.75
"407",1,1,4.8
"408",1,2,6
