"","Subj_idx","Response","Confidence"
"1",1,2,2
"2",1,1,3
"3",1,2,2
"4",1,1,3
"5",1,1,1
"6",1,1,4
"7",1,1,4
"8",1,2,3
"9",1,1,3
"10",1,2,3
"11",1,2,4
"12",1,2,4
"13",1,2,4
"14",1,1,2
"15",1,1,1
"16",1,2,1
"17",1,2,4
"18",1,2,4
"19",1,2,4
"20",1,2,4
"21",1,1,3
"22",1,1,3
"23",1,2,2
"24",1,1,1
"25",1,1,3
"26",1,1,3
"27",1,2,3
"28",1,1,2
"29",1,2,3
"30",1,1,2
"31",1,2,1
"32",1,2,1
"33",1,2,1
"34",1,2,2
"35",1,1,1
"36",1,2,3
"37",1,1,1
"38",1,2,1
"39",1,2,1
"40",1,2,4
"41",1,1,1
"42",1,1,1
"43",1,1,1
"44",1,1,3
"45",1,1,3
"46",1,2,4
"47",1,1,3
"48",1,2,3
"49",1,2,1
"50",1,1,1
"51",1,2,3
"52",1,2,4
"53",1,1,4
"54",1,1,2
"55",1,2,3
"56",1,2,4
"57",1,2,1
"58",1,2,4
"59",1,1,1
"60",1,2,3
"61",1,1,1
"62",1,2,3
"63",1,2,1
"64",1,1,3
"65",1,1,1
"66",1,2,1
"67",1,2,2
"68",1,1,2
"69",1,2,2
"70",1,2,2
"71",1,1,2
"72",1,2,2
"73",1,2,1
"74",1,2,1
"75",1,2,2
"76",1,1,1
"77",1,1,1
"78",1,2,2
"79",1,2,4
"80",1,2,4
"81",1,2,1
"82",1,1,3
"83",1,2,4
"84",1,2,3
"85",1,2,2
"86",1,1,4
"87",1,2,3
"88",1,1,2
"89",1,1,3
"90",1,1,2
"91",1,2,3
"92",1,1,4
"93",1,2,3
"94",1,2,1
"95",1,1,3
"96",1,2,4
"97",1,1,4
"98",1,1,2
"99",1,2,2
"100",1,1,2
"101",1,2,2
"102",1,2,2
"103",1,1,2
"104",1,2,2
"105",1,2,2
"106",1,2,4
"107",1,2,4
"108",1,2,3
"109",1,2,3
"110",1,1,2
"111",1,1,2
"112",1,1,4
"113",1,1,1
"114",1,1,2
"115",1,1,1
"116",1,1,2
"117",1,1,2
"118",1,1,3
"119",1,1,3
"120",1,2,4
"121",1,2,1
"122",1,2,2
"123",1,2,2
"124",1,1,1
"125",1,1,2
"126",1,1,2
"127",1,2,3
"128",1,2,3
"129",1,1,4
"130",1,2,1
"131",1,1,1
"132",1,2,1
"133",1,1,2
"134",1,1,1
"135",1,1,2
"136",1,2,4
"137",1,1,3
"138",1,2,4
"139",1,1,3
"140",1,2,2
"141",1,1,4
"142",1,1,2
"143",1,2,4
"144",1,2,4
"145",1,1,2
"146",1,2,4
"147",1,2,2
"148",1,2,1
"149",1,1,1
"150",1,2,3
"151",1,1,4
"152",1,1,4
"153",1,1,4
"154",1,2,3
"155",1,1,2
"156",1,1,4
"157",1,2,3
"158",1,1,4
"159",1,2,2
"160",1,2,2
"161",1,1,3
"162",1,2,1
"163",1,2,2
"164",1,2,4
"165",1,2,1
"166",1,2,1
"167",1,1,1
"168",1,2,1
"169",1,2,3
"170",1,1,1
"171",1,2,2
"172",1,1,2
"173",1,2,2
"174",1,1,3
"175",1,1,4
"176",1,2,3
"177",1,2,4
"178",1,1,4
"179",1,2,4
"180",1,2,1
"181",1,1,1
"182",1,2,1
"183",1,2,1
"184",1,2,1
"185",1,1,3
"186",1,1,3
"187",1,1,4
"188",1,1,4
"189",1,1,4
"190",1,2,4
"191",1,1,1
"192",1,2,4
"193",1,1,1
"194",1,2,1
"195",1,1,4
"196",1,2,3
"197",1,1,3
"198",1,2,1
"199",1,2,1
"200",1,2,2
"201",1,2,1
"202",1,2,4
"203",1,1,3
"204",1,2,3
"205",1,2,3
"206",1,2,3
"207",1,2,4
"208",1,2,4
"209",1,1,4
"210",1,1,2
"211",1,2,3
"212",1,1,1
"213",1,2,3
"214",1,1,1
"215",1,2,4
"216",1,2,2
"217",1,1,4
"218",1,2,3
"219",1,1,4
"220",1,1,1
"221",1,1,4
"222",1,2,4
"223",1,1,4
"224",1,1,2
"225",1,2,1
"226",1,2,4
"227",1,2,3
"228",1,1,1
"229",1,2,2
"230",1,2,1
"231",1,2,2
"232",1,2,3
"233",1,1,1
"234",1,1,4
"235",1,1,2
"236",1,1,3
"237",1,1,2
"238",1,1,4
"239",1,2,4
"240",1,2,4
"241",1,1,2
"242",1,1,4
"243",1,1,2
"244",1,2,4
"245",1,1,3
"246",1,1,4
"247",1,2,4
"248",1,2,3
"249",1,1,3
"250",1,2,1
"251",1,1,3
"252",1,2,2
"253",1,1,2
"254",1,1,3
"255",1,2,4
"256",1,1,3
"257",1,1,3
"258",1,1,1
"259",1,1,1
"260",1,1,1
"261",1,2,2
"262",1,2,3
"263",1,2,4
"264",1,2,3
"265",1,2,4
"266",1,2,3
"267",1,1,3
"268",1,1,4
"269",1,1,3
"270",1,2,4
"271",1,1,3
"272",1,1,2
"273",1,1,2
"274",1,1,2
"275",1,2,3
"276",1,1,4
"277",1,1,4
"278",1,2,3
"279",1,2,3
"280",1,2,3
"281",1,2,2
"282",1,2,1
"283",1,2,2
"284",1,2,4
"285",1,2,4
"286",1,1,4
"287",1,2,2
"288",1,2,4
"289",1,2,4
"290",1,2,4
"291",1,1,2
"292",1,1,2
"293",1,1,2
"294",1,1,1
"295",1,2,1
"296",1,1,1
"297",1,2,1
"298",1,1,2
"299",1,2,3
"300",1,1,4
"301",1,2,1
"302",1,2,4
"303",1,1,4
"304",1,2,4
"305",1,2,4
"306",1,1,2
"307",1,1,2
"308",1,1,2
"309",1,2,3
"310",1,1,2
"311",1,2,1
"312",1,2,3
"313",1,1,3
"314",1,1,3
"315",1,2,2
"316",1,1,2
"317",1,2,1
"318",1,1,1
"319",1,1,3
"320",1,1,2
"321",1,2,2
"322",1,2,1
"323",1,1,3
"324",1,1,2
"325",1,1,4
"326",1,2,4
"327",1,1,4
"328",1,2,4
"329",1,2,4
"330",1,2,2
"331",1,1,4
"332",1,2,3
"333",1,2,2
"334",1,2,2
"335",1,1,1
"336",1,1,2
"337",1,1,1
"338",1,2,4
"339",1,1,4
"340",1,2,4
"341",1,2,4
"342",1,2,4
"343",1,2,4
"344",1,2,1
"345",1,2,3
"346",1,1,3
"347",1,1,2
"348",1,2,3
"349",1,2,2
"350",1,1,3
"351",1,2,2
"352",1,1,2
"353",1,1,4
"354",1,2,4
"355",1,1,4
"356",1,1,4
"357",1,1,4
"358",1,2,3
"359",1,1,2
"360",1,1,1
"361",1,2,3
"362",1,1,4
"363",1,2,4
"364",1,2,3
"365",1,2,2
"366",1,2,2
"367",1,1,4
"368",1,2,2
"369",1,1,3
"370",1,1,4
"371",1,2,4
"372",1,1,2
"373",1,1,2
"374",1,1,3
"375",1,2,3
"376",1,1,4
"377",1,2,3
"378",1,1,1
"379",1,1,3
"380",1,1,4
"381",1,2,2
"382",1,2,1
"383",1,2,3
"384",1,2,2
"385",1,2,4
"386",1,2,4
"387",1,1,4
"388",1,2,4
"389",1,2,4
"390",1,2,3
"391",1,1,4
"392",1,2,3
"393",1,1,3
"394",1,1,3
"395",1,1,4
"396",1,2,4
"397",1,2,1
"398",1,2,2
"399",1,2,2
"400",1,2,1
"401",1,2,2
"402",1,1,2
"403",1,1,2
"404",1,2,3
"405",1,2,3
"406",1,2,1
"407",1,1,4
"408",1,2,2
"409",1,1,1
"410",1,2,1
"411",1,1,2
"412",1,2,1
"413",1,2,4
"414",1,2,4
"415",1,1,4
"416",1,1,3
"417",1,1,3
"418",1,2,2
"419",1,1,2
"420",1,1,3
"421",1,2,2
"422",1,1,2
"423",1,1,1
"424",1,2,3
"425",1,1,1
"426",1,2,2
"427",1,2,3
"428",1,2,4
"429",1,2,4
"430",1,1,1
"431",1,2,4
"432",1,1,3
"433",1,1,1
"434",1,2,1
"435",1,2,3
"436",1,2,3
"437",1,2,4
"438",1,2,4
"439",1,2,4
"440",1,1,1
"441",1,2,1
"442",1,2,1
"443",1,2,2
"444",1,2,2
"445",1,2,2
"446",1,2,2
"447",1,2,4
"448",1,2,3
"449",1,2,4
"450",1,2,4
"451",1,1,4
"452",1,2,4
"453",1,1,1
"454",1,2,3
"455",1,1,4
"456",1,2,4
"457",1,2,4
"458",1,2,4
"459",1,2,3
"460",1,2,4
"461",1,1,3
"462",1,1,3
"463",1,2,4
"464",1,1,4
"465",1,1,1
"466",1,1,2
"467",1,1,2
"468",1,1,2
"469",1,1,4
"470",1,2,1
"471",1,2,2
"472",1,2,1
"473",1,1,3
"474",1,2,4
"475",1,2,3
"476",1,1,3
"477",1,1,4
"478",1,1,1
"479",1,2,2
"480",1,2,3
"481",1,2,1
"482",1,1,3
"483",1,1,3
"484",1,1,4
"485",1,2,2
"486",1,2,4
"487",1,2,4
"488",1,1,4
"489",1,1,3
"490",1,2,2
"491",1,2,2
"492",1,2,2
"493",1,1,4
"494",1,1,4
"495",1,2,4
"496",1,2,4
"497",1,1,2
"498",1,2,4
"499",1,2,3
"500",1,2,4
"501",1,1,2
"502",1,1,1
"503",1,2,2
"504",1,2,2
"505",1,1,2
"506",1,1,2
"507",1,2,4
"508",1,1,3
"509",1,1,1
"510",1,2,3
"511",1,1,3
"512",1,1,1
"513",1,1,1
"514",1,2,1
"515",1,1,2
"516",1,2,1
"517",1,1,3
"518",1,1,3
"519",1,1,2
"520",1,2,2
"521",1,2,1
"522",1,1,1
"523",1,2,4
"524",1,1,3
"525",1,2,3
"526",1,1,4
"527",1,2,4
"528",1,1,3
"529",1,2,4
"530",1,2,2
"531",1,1,2
"532",1,1,4
"533",1,2,4
"534",1,1,4
"535",1,2,4
"536",1,2,4
"537",1,2,4
"538",1,2,4
"539",1,2,4
"540",1,2,3
"541",1,2,2
"542",1,2,2
"543",1,2,3
"544",1,1,4
"545",1,1,3
"546",1,1,3
"547",1,2,3
"548",1,1,4
"549",1,2,4
"550",1,1,4
"551",1,1,4
"552",1,2,2
"553",1,1,3
"554",1,1,4
"555",1,2,4
"556",1,1,4
"557",1,2,2
"558",1,1,3
"559",1,1,4
"560",1,2,4
"561",1,1,3
"562",1,1,2
"563",1,1,2
"564",1,2,3
"565",1,1,4
