"","Subj_idx","Response","Confidence"
"1",1,1,59
"2",1,0,68
"3",1,1,89
"4",1,0,93
"5",1,1,94
"6",1,1,93
"7",1,1,95
"8",1,1,94
"9",1,1,97
"10",1,0,98
"11",1,1,97
"12",1,1,100
"13",1,1,87
"14",1,0,50
"15",1,0,88
"16",1,1,59
"17",1,1,89
"18",1,1,50
"19",1,0,93
"20",1,0,95
"21",1,0,95
"22",1,1,52
"23",1,0,91
"24",1,0,93
"25",1,0,60
"26",1,0,90
"27",1,0,92
"28",1,0,66
"29",1,0,89
"30",1,1,96
"31",1,0,95
"32",1,0,97
"33",1,0,95
"34",1,1,87
"35",1,1,88
"36",1,1,96
"37",1,0,91
"38",1,1,59
"39",1,1,89
"40",1,1,94
"41",1,1,67
"42",1,0,58
"43",1,0,90
"44",1,0,93
"45",1,1,93
"46",1,0,100
"47",1,0,100
"48",1,0,89
"49",1,0,91
"50",1,0,94
"51",1,0,88
"52",1,0,71
"53",1,1,75
"54",1,1,50
"55",1,1,64
"56",1,1,50
"57",1,0,83
"58",1,1,60
"59",1,1,56
"60",1,1,57
"61",1,0,53
"62",1,1,70
"63",1,0,63
"64",1,0,60
"65",1,0,75
"66",1,0,59
"67",1,1,53
"68",1,0,69
"69",1,1,63
"70",1,1,62
"71",1,1,59
"72",1,0,57
"73",1,0,58
"74",1,0,56
"75",1,1,51
"76",1,1,55
"77",1,0,53
"78",1,1,52
"79",1,1,50
"80",1,1,50
"81",1,0,60
"82",1,0,52
"83",1,0,53
"84",1,1,53
"85",1,1,54
"86",1,0,53
"87",1,0,50
"88",1,0,50
"89",1,0,58
"90",1,0,64
"91",1,0,62
"92",1,1,68
"93",1,0,62
"94",1,1,62
"95",1,0,64
"96",1,0,50
"97",1,1,64
"98",1,0,71
"99",1,1,50
"100",1,1,50
"101",1,1,75
"102",1,1,50
"103",1,1,56
"104",1,0,62
"105",1,0,62
"106",1,0,61
"107",1,1,57
"108",1,0,59
"109",1,1,64
"110",1,0,60
"111",1,0,58
"112",1,1,67
"113",1,0,64
"114",1,1,61
"115",1,0,52
"116",1,1,56
"117",1,0,56
"118",1,1,57
"119",1,1,54
"120",1,0,56
"121",1,1,54
"122",1,1,55
"123",1,1,54
"124",1,0,53
"125",1,1,56
"126",1,1,52
"127",1,1,56
"128",1,1,53
"129",1,1,54
"130",1,1,52
"131",1,1,52
"132",1,0,55
"133",1,1,50
"134",1,1,50
"135",1,1,50
"136",1,1,50
"137",1,1,50
"138",1,0,50
"139",1,0,60
"140",1,1,50
"141",1,0,50
"142",1,1,50
"143",1,1,50
"144",1,1,50
"145",1,1,50
"146",1,0,64
"147",1,1,50
"148",1,1,56
"149",1,0,53
"150",1,1,56
"151",1,1,55
"152",1,0,54
"153",1,1,53
"154",1,1,54
"155",1,1,52
"156",1,0,56
"157",1,0,57
"158",1,0,57
"159",1,0,63
"160",1,1,65
"161",1,1,57
"162",1,1,56
"163",1,0,66
"164",1,1,69
"165",1,0,75
"166",1,1,75
"167",1,1,80
"168",1,1,87
"169",1,1,89
"170",1,1,65
"171",1,0,77
"172",1,1,83
"173",1,1,64
"174",1,0,64
"175",1,1,65
"176",1,0,64
"177",1,0,63
"178",1,0,64
"179",1,1,75
"180",1,1,67
"181",1,1,67
"182",1,0,67
"183",1,0,66
"184",1,1,66
"185",1,0,61
"186",1,0,55
"187",1,0,59
"188",1,1,76
"189",1,0,84
"190",1,0,58
"191",1,0,62
"192",1,0,58
"193",1,0,56
"194",1,0,60
"195",1,1,54
"196",1,1,52
"197",1,0,50
"198",1,1,50
"199",1,0,50
"200",1,0,56
"201",1,0,53
"202",1,0,56
"203",1,0,55
"204",1,1,61
"205",1,0,50
"206",1,1,55
