"","Subj_idx","Response","Confidence"
"1",1,NA,2
"2",1,1,3
"3",1,1,NA
"4",1,1,4
"5",1,1,4
"6",1,1,3
"7",1,1,3
"8",1,NA,NA
"9",1,1,1
"10",1,1,2
"11",1,NA,4
"12",1,1,4
"13",1,NA,4
"14",1,1,NA
"15",1,1,3
"16",1,0,4
"17",1,0,4
"18",1,0,4
"19",1,1,3
"20",1,1,3
"21",1,1,4
"22",1,0,4
"23",1,0,4
"24",1,1,4
"25",1,1,2
"26",1,1,3
"27",1,0,4
"28",1,1,4
"29",1,0,4
"30",1,0,4
"31",1,0,4
"32",1,0,4
"33",1,0,4
"34",1,1,4
"35",1,1,2
"36",1,0,3
"37",1,0,4
"38",1,1,4
"39",1,1,3
"40",1,1,4
"41",2,NA,NA
"42",2,1,4
"43",2,1,NA
"44",2,1,3
"45",2,NA,NA
"46",2,1,NA
"47",2,1,2
"48",2,1,3
"49",2,1,NA
"50",2,0,3
"51",2,1,2
"52",2,1,NA
"53",2,1,2
"54",2,0,3
"55",2,1,2
"56",2,1,3
"57",2,1,4
"58",2,1,2
"59",2,0,2
"60",2,0,2
"61",2,1,2
"62",2,0,2
"63",2,0,2
"64",2,0,1
"65",2,1,3
"66",2,0,2
"67",2,1,3
"68",2,0,4
"69",2,0,2
"70",2,1,3
"71",2,1,3
"72",2,1,4
"73",2,1,3
"74",2,1,3
"75",2,0,3
"76",2,0,3
"77",2,0,2
"78",2,1,3
"79",2,1,4
"80",2,1,2
"81",3,0,NA
"82",3,1,4
"83",3,1,4
"84",3,0,4
"85",3,1,4
"86",3,1,4
"87",3,0,4
"88",3,1,2
"89",3,1,2
"90",3,1,2
"91",3,1,4
"92",3,0,NA
"93",3,0,4
"94",3,0,2
"95",3,1,2
"96",3,1,2
"97",3,1,2
"98",3,1,4
"99",3,1,2
"100",3,0,4
"101",3,0,3
"102",3,1,4
"103",3,1,1
"104",3,1,2
"105",3,0,2
"106",3,1,2
"107",3,1,2
"108",3,0,4
"109",3,1,2
"110",3,0,4
"111",3,1,3
"112",3,0,3
"113",3,0,2
"114",3,0,4
"115",3,1,2
"116",3,1,4
"117",3,1,2
"118",3,0,4
"119",3,0,4
"120",3,1,2
"121",4,1,3
"122",4,0,3
"123",4,NA,3
"124",4,1,3
"125",4,1,2
"126",4,0,2
"127",4,0,2
"128",4,1,3
"129",4,1,4
"130",4,1,4
"131",4,1,4
"132",4,0,2
"133",4,0,2
"134",4,1,3
"135",4,1,1
"136",4,0,4
"137",4,1,2
"138",4,1,3
"139",4,0,2
"140",4,0,1
"141",4,0,2
"142",4,1,3
"143",4,1,4
"144",4,1,4
"145",4,0,2
"146",4,0,2
"147",4,0,4
"148",4,0,3
"149",4,NA,4
"150",4,0,2
"151",4,1,4
"152",4,NA,3
"153",4,0,2
"154",4,0,1
"155",4,NA,NA
"156",4,1,4
"157",4,1,4
"158",4,0,4
"159",4,1,2
"160",4,0,3
"161",5,1,NA
"162",5,1,4
"163",5,0,3
"164",5,1,3
"165",5,1,3
"166",5,1,4
"167",5,0,2
"168",5,0,4
"169",5,1,2
"170",5,0,4
"171",5,0,4
"172",5,1,3
"173",5,NA,1
"174",5,1,3
"175",5,0,1
"176",5,0,4
"177",5,1,4
"178",5,1,4
"179",5,0,2
"180",5,0,4
"181",5,1,3
"182",5,1,4
"183",5,0,2
"184",5,1,4
"185",5,1,4
"186",5,1,2
"187",5,0,1
"188",5,1,2
"189",5,0,4
"190",5,1,2
"191",5,1,3
"192",5,0,4
"193",5,0,3
"194",5,0,1
"195",5,1,2
"196",5,0,4
