"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,1,4
"3",1,1,4
"4",1,1,4
"5",1,1,4
"6",1,1,2
"7",1,1,1
"8",1,1,3
"9",1,1,4
"10",1,1,3
"11",1,1,3
"12",1,1,4
"13",1,1,2
"14",1,1,2
"15",1,1,3
"16",1,1,2
"17",1,1,4
"18",1,1,4
"19",1,1,2
"20",1,1,4
"21",1,1,1
"22",1,1,3
"23",1,1,1
"24",1,1,4
"25",1,1,4
"26",1,1,3
"27",1,1,3
"28",1,1,4
"29",1,1,3
"30",1,1,3
"31",1,1,3
"32",1,1,3
"33",1,1,2
"34",1,1,4
"35",1,1,2
"36",1,1,1
"37",1,1,4
"38",1,1,4
"39",1,1,4
"40",1,1,3
"41",1,1,3
"42",1,1,3
"43",1,1,4
"44",1,1,4
"45",1,1,3
"46",1,1,4
"47",1,1,4
"48",1,1,2
"49",1,1,2
"50",1,1,3
"51",1,1,2
"52",1,1,3
"53",1,1,3
"54",1,1,3
"55",1,1,3
"56",1,1,3
"57",1,1,2
"58",1,1,3
"59",1,1,4
"60",1,1,4
"61",1,1,3
"62",1,1,3
"63",1,1,4
"64",1,1,4
"65",1,1,3
"66",1,1,2
"67",1,1,2
"68",1,1,3
"69",1,1,4
"70",1,1,3
"71",1,1,2
"72",1,1,3
"73",1,1,4
"74",1,1,4
"75",1,1,4
"76",1,1,3
"77",1,1,3
"78",1,1,3
"79",1,1,3
"80",1,1,4
"81",1,1,3
"82",1,1,2
"83",1,1,4
"84",1,1,1
"85",1,1,4
"86",1,1,4
"87",1,1,4
"88",1,1,4
"89",1,1,4
"90",1,1,4
"91",1,1,4
"92",1,1,4
"93",1,1,3
"94",1,1,3
"95",1,1,4
"96",1,1,3
"97",1,1,3
"98",1,1,3
"99",1,1,4
"100",1,1,3
"101",1,1,2
"102",1,1,3
"103",1,1,3
"104",1,1,4
"105",1,1,3
"106",1,1,3
"107",1,1,4
"108",1,1,2
"109",1,1,4
"110",1,1,3
"111",1,1,4
"112",1,1,4
"113",1,1,4
"114",1,1,2
"115",1,1,4
"116",1,1,3
"117",1,1,4
"118",1,1,2
"119",1,1,3
"120",1,1,3
"121",1,1,3
"122",1,1,4
"123",1,1,2
"124",1,1,4
"125",1,1,4
"126",1,1,4
"127",1,1,4
"128",1,1,4
"129",1,1,4
"130",1,1,3
"131",1,1,4
"132",1,1,3
"133",1,1,3
"134",1,1,4
"135",1,1,4
"136",1,1,2
"137",1,1,3
"138",1,1,4
"139",1,1,3
"140",1,1,4
"141",1,1,4
"142",1,1,4
"143",1,1,3
"144",1,1,3
"145",1,1,2
"146",1,1,2
"147",1,1,3
"148",1,1,2
"149",1,1,3
"150",1,1,3
"151",1,1,4
"152",1,1,3
"153",1,1,3
"154",1,1,3
"155",1,1,4
"156",1,1,4
"157",1,1,4
"158",1,1,3
"159",1,1,2
"160",1,1,3
"161",1,1,3
"162",1,1,3
"163",1,1,2
"164",1,1,2
"165",1,1,3
"166",1,1,4
"167",1,1,2
"168",1,1,3
"169",1,1,4
"170",1,1,4
"171",1,1,4
"172",1,1,2
"173",1,1,4
"174",1,1,3
"175",1,1,3
"176",1,1,4
