"","Subj_idx","Response","Confidence"
"1",1,0,1
"2",1,1,4
"3",1,0,4
"4",1,1,2
"5",1,1,4
"6",1,0,4
"7",1,0,3
"8",1,0,4
"9",1,0,3
"10",1,1,4
"11",1,1,4
"12",1,0,2
"13",1,1,2
"14",1,0,2
"15",1,0,2
"16",1,1,4
"17",1,1,2
"18",1,1,4
"19",1,0,3
"20",1,1,3
"21",1,1,3
"22",1,0,4
"23",1,0,3
"24",1,NA,2
"25",1,0,2
"26",1,0,4
"27",1,0,2
"28",1,0,3
"29",1,1,3
"30",1,0,3
"31",1,1,3
"32",1,1,4
"33",1,0,2
"34",1,0,2
"35",1,0,3
"36",1,1,3
"37",1,1,4
"38",1,0,4
"39",1,1,4
"40",1,1,2
"41",1,1,2
"42",1,0,2
"43",1,0,2
"44",1,0,3
"45",1,1,4
"46",1,0,4
"47",1,0,4
"48",1,0,2
"49",1,0,4
"50",1,1,3
"51",1,0,3
"52",1,0,3
"53",1,0,3
"54",1,1,4
"55",1,0,4
"56",1,1,4
"57",1,1,4
"58",1,1,4
"59",1,0,2
"60",1,0,4
"61",1,1,2
"62",1,1,3
"63",1,1,2
"64",1,1,4
"65",1,0,4
"66",1,0,2
"67",1,0,4
"68",1,0,4
"69",1,1,4
"70",1,0,2
"71",1,0,4
"72",1,0,4
"73",2,0,2
"74",2,1,3
"75",2,0,1
"76",2,0,3
"77",2,1,4
"78",2,1,3
"79",2,0,4
"80",2,0,2
"81",2,1,4
"82",2,0,2
"83",2,1,2
"84",2,1,2
"85",2,1,2
"86",2,1,2
"87",2,1,2
"88",2,1,1
"89",2,1,4
"90",2,1,3
"91",2,1,4
"92",2,0,2
"93",2,1,NA
"94",2,1,2
"95",2,1,4
"96",2,0,2
"97",2,1,2
"98",2,1,2
"99",2,1,2
"100",2,1,3
"101",2,1,1
"102",2,1,2
"103",2,1,2
"104",2,1,2
"105",2,0,3
"106",2,0,2
"107",2,1,2
"108",2,0,2
"109",2,0,2
"110",2,1,2
"111",2,0,2
"112",2,0,1
"113",2,0,4
"114",2,1,3
"115",2,1,3
"116",2,1,3
"117",2,1,3
"118",2,1,2
"119",2,1,3
"120",2,0,3
"121",2,1,3
"122",2,0,2
"123",2,1,3
"124",2,1,3
"125",2,1,2
"126",2,1,4
"127",2,1,3
"128",2,1,3
"129",2,1,3
"130",2,0,3
"131",2,1,3
"132",2,1,4
"133",2,1,3
"134",2,1,3
"135",2,1,3
"136",2,1,3
"137",2,0,3
"138",2,0,3
"139",2,1,3
"140",2,0,3
"141",2,1,NA
"142",2,1,3
"143",2,1,2
"144",2,1,3
"145",2,1,3
"146",2,0,3
"147",2,1,3
"148",2,1,3
"149",2,1,2
"150",2,1,NA
"151",2,0,2
"152",2,1,4
"153",2,1,4
"154",2,1,3
"155",2,1,3
"156",2,1,3
"157",2,1,2
"158",2,0,3
"159",2,1,3
"160",2,1,3
"161",2,0,3
"162",2,1,3
"163",2,1,3
"164",2,0,3
"165",2,0,3
"166",2,1,2
"167",2,0,4
"168",2,0,3
"169",2,1,3
"170",2,1,3
"171",2,1,3
"172",2,1,3
"173",2,1,3
"174",2,0,2
"175",2,1,3
"176",2,0,3
"177",2,1,3
"178",2,1,2
"179",2,0,3
"180",2,0,3
"181",2,1,4
"182",2,0,3
"183",2,0,3
"184",2,1,3
"185",2,1,3
"186",2,0,2
"187",2,0,4
"188",2,0,4
"189",2,1,3
"190",2,0,3
"191",2,0,4
"192",2,0,3
"193",2,0,3
"194",2,1,3
"195",2,1,3
"196",2,1,3
"197",2,1,4
"198",2,1,3
"199",2,0,2
"200",2,1,2
"201",2,0,2
"202",2,1,3
"203",2,1,3
"204",2,1,3
"205",2,1,3
"206",2,1,2
"207",2,1,3
"208",2,1,3
"209",2,1,2
"210",2,1,3
"211",2,1,3
"212",2,1,3
"213",2,1,4
"214",2,1,3
"215",2,1,3
"216",2,1,3
"217",2,1,4
"218",2,1,3
"219",2,1,3
"220",2,1,2
"221",2,1,3
"222",2,0,4
"223",2,1,2
"224",2,1,2
"225",2,0,3
"226",2,1,4
"227",2,1,2
"228",2,1,3
"229",2,0,2
"230",2,0,3
"231",2,0,2
"232",2,0,2
"233",2,1,2
"234",2,0,3
"235",2,1,3
"236",2,0,3
"237",2,0,3
"238",2,0,3
"239",2,0,3
"240",2,0,3
"241",2,1,2
"242",2,0,2
"243",2,1,3
"244",2,0,3
"245",2,1,3
"246",2,1,2
"247",2,1,3
"248",2,0,3
"249",2,1,2
"250",2,1,2
"251",2,0,3
"252",2,1,3
"253",3,NA,2
"254",3,1,3
"255",3,0,3
"256",3,1,4
"257",3,0,2
"258",3,0,3
"259",3,1,4
"260",3,0,4
"261",3,1,4
"262",3,0,4
"263",3,0,3
"264",3,1,2
"265",3,1,2
"266",3,0,4
"267",3,0,3
"268",3,1,4
"269",3,0,2
"270",3,0,3
"271",3,0,2
"272",3,0,3
"273",3,1,3
"274",3,1,3
"275",3,1,4
"276",3,1,3
"277",3,0,3
"278",3,0,4
"279",3,0,2
"280",3,1,3
"281",3,0,3
"282",3,0,4
"283",3,0,2
"284",3,1,4
"285",3,1,4
"286",3,0,3
"287",3,0,2
"288",3,1,3
"289",4,0,3
"290",4,1,3
"291",4,1,3
"292",4,1,3
"293",4,0,3
"294",4,1,2
"295",4,0,3
"296",4,0,2
"297",4,1,3
"298",4,NA,3
"299",4,1,2
"300",4,1,2
"301",4,1,1
"302",4,0,2
"303",4,1,2
"304",4,0,3
"305",4,0,3
"306",4,0,2
"307",4,1,2
"308",4,0,2
"309",4,1,2
"310",4,0,3
"311",4,1,2
"312",4,0,2
"313",4,0,2
"314",4,1,2
"315",4,1,2
"316",4,0,2
"317",4,0,2
"318",4,1,2
"319",4,1,2
"320",4,1,2
"321",4,0,2
"322",4,1,2
"323",4,0,2
"324",4,0,2
"325",4,0,NA
"326",4,0,3
"327",4,1,3
"328",4,0,2
"329",4,1,3
"330",4,1,3
"331",4,0,3
"332",4,0,2
"333",4,1,2
"334",4,1,3
"335",4,NA,2
"336",4,1,3
"337",4,0,2
"338",4,1,2
"339",4,1,2
"340",4,0,2
"341",4,0,3
"342",4,0,2
"343",4,0,3
"344",4,1,3
"345",4,1,3
"346",4,0,3
"347",4,0,2
"348",4,1,2
"349",4,1,3
"350",4,0,3
"351",4,0,2
"352",4,NA,4
"353",4,0,2
"354",4,1,2
"355",4,1,3
"356",4,0,3
"357",4,1,2
"358",4,1,2
"359",4,0,2
"360",4,1,2
"361",4,0,3
"362",4,0,3
"363",4,1,3
"364",4,1,3
"365",4,0,4
"366",4,1,3
"367",4,0,4
"368",4,0,3
"369",4,1,3
"370",4,0,3
"371",4,0,3
"372",4,0,2
"373",4,1,2
"374",4,0,3
"375",4,0,3
"376",4,1,3
"377",4,1,4
"378",4,0,4
"379",4,1,3
"380",4,0,4
"381",4,0,3
"382",4,1,3
"383",4,1,3
"384",4,1,4
"385",4,0,3
"386",4,1,3
"387",4,1,3
"388",4,1,3
"389",4,1,3
"390",4,1,3
"391",4,1,4
"392",4,0,4
"393",4,0,3
"394",4,0,4
"395",4,0,3
"396",4,1,3
"397",4,1,3
"398",4,1,4
"399",4,1,3
"400",4,0,4
"401",4,1,2
"402",4,0,4
"403",4,1,3
"404",4,0,4
"405",4,0,3
"406",4,1,4
"407",4,0,2
"408",4,0,3
"409",4,1,3
"410",4,1,3
"411",4,1,4
"412",4,1,4
"413",4,1,3
"414",4,0,4
"415",4,0,3
"416",4,0,3
"417",4,0,2
"418",4,1,3
"419",4,0,4
"420",4,1,3
"421",4,0,4
"422",4,0,3
"423",4,0,3
"424",4,0,3
"425",4,1,3
"426",4,0,4
"427",4,1,2
"428",4,1,3
"429",4,0,4
"430",4,1,3
"431",4,0,4
"432",4,1,2
"433",5,1,NA
"434",5,1,4
"435",5,0,3
"436",5,0,4
"437",5,1,2
"438",5,0,3
"439",5,1,2
"440",5,1,4
"441",5,NA,2
"442",5,1,2
"443",5,0,3
"444",5,0,3
"445",5,0,4
"446",5,1,2
"447",5,1,1
"448",5,1,2
"449",5,1,4
"450",5,1,1
"451",5,0,2
"452",5,1,3
"453",5,0,4
"454",5,0,2
"455",5,1,4
"456",5,1,3
"457",5,1,2
"458",5,0,4
"459",5,0,4
"460",5,1,2
"461",5,0,4
"462",5,1,4
"463",5,1,2
"464",5,1,3
"465",5,0,2
"466",5,0,3
"467",5,0,2
"468",5,1,4
"469",6,0,3
"470",6,0,2
"471",6,1,2
"472",6,1,2
"473",6,0,2
"474",6,1,3
"475",6,1,2
"476",6,0,2
"477",6,0,2
"478",6,1,2
"479",6,1,2
"480",6,1,2
"481",6,0,2
"482",6,1,2
"483",6,1,3
"484",6,1,2
"485",6,0,2
"486",6,1,2
"487",6,0,2
"488",6,0,2
"489",6,1,2
"490",6,0,4
"491",6,0,2
"492",6,0,2
"493",6,0,2
"494",6,0,2
"495",6,0,2
"496",6,0,2
"497",6,0,2
"498",6,0,2
"499",6,1,2
"500",6,0,2
"501",6,0,2
"502",6,0,2
"503",6,0,2
"504",6,0,2
"505",6,0,3
"506",6,0,3
"507",6,0,3
"508",6,1,2
"509",6,1,3
"510",6,1,4
"511",6,0,2
"512",6,0,3
"513",6,0,2
"514",6,0,2
"515",6,1,2
"516",6,0,3
"517",6,1,3
"518",6,0,3
"519",6,1,3
"520",6,1,3
"521",6,0,3
"522",6,0,2
"523",6,1,2
"524",6,0,3
"525",6,1,3
"526",6,0,3
"527",6,0,3
"528",6,0,3
"529",6,1,2
"530",6,1,2
"531",6,0,2
"532",6,0,2
"533",6,1,2
"534",6,0,2
"535",6,1,2
"536",6,0,2
"537",6,0,3
"538",6,0,3
"539",6,0,2
"540",6,NA,2
"541",6,0,4
"542",6,0,4
"543",6,1,4
"544",6,0,2
"545",6,0,3
"546",6,0,2
"547",6,1,3
"548",6,1,3
"549",6,1,3
"550",6,0,3
"551",6,0,3
"552",6,0,3
"553",6,1,3
"554",6,1,3
"555",6,1,3
"556",6,1,4
"557",6,1,4
"558",6,0,4
"559",6,1,3
"560",6,1,2
"561",6,1,2
"562",6,0,2
"563",6,1,3
"564",6,1,3
"565",6,1,3
"566",6,0,3
"567",6,1,3
"568",6,1,3
"569",6,0,3
"570",6,0,3
"571",6,0,3
"572",6,0,3
"573",6,1,3
"574",6,0,3
"575",6,0,3
"576",6,0,3
"577",6,NA,NA
"578",6,0,2
"579",6,0,3
"580",6,0,3
"581",6,0,4
"582",6,0,3
"583",6,1,3
"584",6,1,3
"585",6,1,3
"586",6,1,3
"587",6,1,3
"588",6,1,3
"589",6,1,3
"590",6,0,2
"591",6,0,NA
"592",6,0,2
"593",6,1,2
"594",6,0,2
"595",6,0,3
"596",6,1,1
"597",6,0,1
"598",6,0,2
"599",6,0,2
"600",6,0,2
"601",6,0,2
"602",6,1,2
"603",6,1,2
"604",6,0,4
"605",6,1,2
"606",6,0,2
"607",6,1,2
"608",6,1,2
"609",6,0,2
"610",6,1,2
"611",6,1,4
"612",6,1,4
"613",7,1,4
"614",7,1,4
"615",7,1,4
"616",7,0,3
"617",7,1,4
"618",7,1,3
"619",7,1,4
"620",7,0,4
"621",7,1,4
"622",7,1,4
"623",7,1,4
"624",7,0,3
"625",7,1,3
"626",7,0,3
"627",7,0,4
"628",7,0,4
"629",7,1,4
"630",7,0,4
"631",7,1,4
"632",7,1,4
"633",7,0,3
"634",7,0,4
"635",7,0,4
"636",7,0,3
"637",7,0,4
