"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,1,5
"3",1,2,4
"4",1,1,4
"5",1,1,5
"6",1,2,5
"7",1,1,5
"8",1,1,5
"9",1,1,5
"10",1,2,3
"11",1,2,3
"12",1,2,3
"13",1,1,5
"14",1,2,4
"15",1,2,5
"16",1,2,4
"17",1,1,2
"18",1,1,3
"19",1,1,5
"20",1,1,5
"21",1,2,5
"22",1,1,3
"23",1,1,4
"24",1,2,4
"25",1,1,4
"26",1,2,4
"27",1,1,4
"28",1,1,4
"29",1,1,5
"30",1,1,2
"31",1,1,3
"32",1,2,3
"33",1,2,4
"34",1,1,5
"35",1,1,5
"36",1,2,1
"37",1,1,2
"38",1,1,3
"39",1,2,2
"40",1,1,5
"41",1,1,4
"42",1,1,2
"43",1,1,4
"44",1,2,5
"45",1,1,4
"46",1,1,4
"47",1,1,4
"48",1,1,5
"49",1,1,5
"50",1,1,4
"51",1,1,5
"52",1,1,5
"53",1,1,4
"54",1,1,5
"55",1,1,5
"56",1,2,3
"57",1,1,5
"58",1,2,4
"59",1,2,3
"60",1,2,5
"61",1,2,5
"62",1,1,3
"63",1,2,5
"64",1,1,4
"65",1,2,5
"66",1,2,4
"67",1,1,5
"68",1,1,4
"69",1,1,5
"70",1,1,5
"71",1,2,4
"72",1,1,5
"73",1,2,5
"74",1,1,5
"75",1,1,5
"76",1,1,5
"77",1,1,5
"78",1,2,5
"79",1,1,5
"80",1,2,4
"81",1,2,4
"82",1,2,5
"83",1,1,5
"84",1,1,5
"85",1,2,5
"86",1,2,5
"87",1,1,5
"88",1,1,5
"89",1,1,5
"90",1,1,5
"91",1,2,4
"92",1,2,4
"93",1,2,5
"94",1,2,3
"95",1,2,1
"96",1,1,5
"97",1,2,3
"98",1,2,3
"99",1,2,5
"100",1,1,4
"101",1,1,5
"102",1,1,3
"103",1,2,5
"104",1,2,3
"105",1,1,3
"106",1,1,5
"107",1,2,5
"108",1,1,3
"109",1,2,2
"110",1,2,3
"111",1,1,5
"112",1,1,3
"113",1,2,4
"114",1,2,4
"115",1,1,4
"116",1,1,4
"117",1,1,4
"118",1,1,4
"119",1,2,5
"120",1,1,4
"121",1,2,5
"122",1,2,2
"123",1,2,5
"124",1,1,5
"125",1,1,5
"126",1,2,5
"127",1,2,5
"128",1,2,5
"129",1,2,4
"130",1,2,5
"131",1,2,5
"132",1,1,5
"133",1,1,5
"134",1,1,3
"135",1,2,5
"136",1,2,3
"137",1,2,3
"138",1,2,5
"139",1,1,5
"140",1,2,4
"141",1,2,5
"142",1,2,5
"143",1,1,5
"144",1,2,5
"145",1,1,3
"146",1,1,5
"147",1,1,1
"148",1,1,5
"149",1,2,5
"150",1,2,5
"151",1,2,5
"152",1,2,4
"153",1,1,3
"154",1,1,5
"155",1,2,3
"156",1,2,2
"157",1,2,2
"158",1,2,5
"159",1,2,2
"160",1,1,5
"161",1,2,1
"162",1,1,4
"163",1,1,5
"164",1,2,5
"165",1,2,3
"166",1,2,2
"167",1,1,3
"168",1,2,2
"169",1,1,5
"170",1,2,3
"171",1,1,5
"172",1,2,5
"173",1,1,5
"174",1,2,2
"175",1,1,5
"176",1,1,5
"177",1,2,5
"178",1,2,5
"179",1,1,3
"180",1,2,5
"181",1,1,5
"182",1,1,5
"183",1,2,4
"184",1,2,5
"185",1,2,4
"186",1,2,4
"187",1,1,5
"188",1,1,5
"189",1,2,2
"190",1,2,4
"191",1,1,2
"192",1,1,5
"193",1,1,4
"194",1,1,3
"195",1,2,3
"196",1,2,4
"197",1,1,5
"198",1,1,5
"199",1,1,5
"200",1,2,5
"201",1,2,5
"202",1,2,3
"203",1,1,5
"204",1,2,4
"205",1,1,5
"206",1,1,5
"207",1,1,5
"208",1,2,5
"209",1,1,5
"210",1,2,5
"211",1,1,4
"212",1,1,5
"213",1,2,1
"214",1,2,5
"215",1,2,3
"216",1,1,5
"217",1,2,5
"218",1,1,5
"219",1,2,5
"220",1,1,5
"221",1,1,5
"222",1,1,2
"223",1,1,5
"224",1,1,5
"225",1,2,2
"226",1,2,5
"227",1,1,5
"228",1,2,4
"229",1,1,5
"230",1,2,5
"231",1,2,4
"232",1,1,4
"233",1,1,5
"234",1,2,4
"235",1,1,5
"236",1,2,5
"237",1,2,5
"238",1,1,5
"239",1,2,5
"240",1,2,2
"241",1,1,5
"242",1,2,5
"243",1,2,3
"244",1,1,4
"245",1,1,5
"246",1,1,3
"247",1,1,5
"248",1,1,5
"249",1,1,2
"250",1,2,2
"251",1,1,5
"252",1,1,5
"253",1,1,2
"254",1,1,5
"255",1,2,1
"256",1,1,5
"257",1,1,5
"258",1,1,5
"259",1,1,2
"260",1,1,5
"261",1,1,5
"262",1,2,5
"263",1,2,4
"264",1,1,5
"265",1,1,5
"266",1,2,5
"267",1,1,5
"268",1,1,5
"269",1,1,5
"270",1,1,5
"271",1,2,3
"272",1,2,5
"273",1,1,5
"274",1,2,2
"275",1,1,5
"276",1,1,5
"277",1,2,3
"278",1,1,5
"279",3,2,2
"280",3,1,5
"281",3,1,3
"282",3,1,5
"283",3,2,2
"284",3,2,3
"285",3,2,2
"286",3,2,4
"287",3,2,2
"288",3,1,4
"289",3,2,3
"290",3,1,2
"291",3,1,4
"292",3,2,4
"293",3,2,5
"294",3,1,5
"295",3,1,4
"296",3,1,4
"297",3,2,1
"298",3,1,5
"299",3,2,4
"300",3,2,3
"301",3,1,3
"302",3,2,2
"303",3,2,5
"304",3,2,4
"305",3,2,4
"306",3,2,4
"307",3,2,4
"308",3,2,3
"309",3,2,4
"310",3,1,4
"311",3,1,3
"312",3,1,5
"313",3,1,3
"314",3,2,2
"315",3,1,4
"316",3,2,3
"317",3,1,3
"318",3,2,4
"319",3,2,5
"320",3,1,2
"321",3,2,5
"322",3,1,5
"323",3,2,3
"324",3,1,4
"325",3,1,3
"326",3,2,4
"327",3,1,5
"328",3,1,5
"329",3,2,5
"330",3,2,4
"331",3,2,5
"332",3,2,4
"333",3,2,3
"334",3,2,2
"335",3,2,2
"336",3,2,3
"337",3,2,4
"338",3,2,3
"339",3,2,3
"340",3,2,3
"341",3,1,5
"342",3,2,3
"343",3,1,4
"344",3,1,5
"345",3,2,4
"346",3,2,2
"347",3,2,4
"348",3,1,4
"349",3,2,4
"350",3,2,5
"351",3,1,4
"352",3,1,4
"353",3,2,3
"354",3,1,3
"355",3,2,5
"356",3,2,3
"357",3,1,5
"358",3,1,4
"359",3,1,4
"360",3,2,3
"361",3,2,5
"362",3,1,4
"363",3,1,3
"364",3,2,5
"365",3,2,4
"366",3,1,4
"367",3,2,4
"368",3,2,5
"369",3,2,5
"370",3,2,5
"371",3,2,2
"372",3,1,5
"373",3,1,5
"374",3,2,4
"375",3,1,4
"376",3,2,5
"377",3,1,5
"378",3,2,5
"379",3,2,4
"380",3,2,5
"381",3,2,4
"382",3,2,4
"383",3,1,4
"384",3,2,5
"385",3,2,4
"386",3,2,4
"387",3,1,5
"388",3,1,5
"389",3,2,4
"390",3,2,3
"391",3,2,4
"392",3,2,4
"393",3,2,4
"394",3,2,5
"395",3,2,2
"396",3,2,2
"397",3,1,5
"398",3,2,4
"399",3,2,2
"400",3,2,2
"401",3,1,3
"402",3,2,5
"403",3,2,5
"404",3,2,2
"405",3,2,1
"406",3,2,1
"407",3,2,3
"408",3,2,4
"409",3,2,4
"410",3,1,5
"411",3,1,4
"412",3,2,4
"413",3,1,4
"414",3,2,4
"415",3,2,3
"416",3,2,4
"417",3,2,2
"418",3,2,4
"419",3,2,2
"420",3,1,3
"421",3,2,5
"422",3,2,4
"423",3,2,4
"424",3,2,4
"425",3,1,5
"426",3,1,5
"427",3,1,5
"428",3,1,4
"429",3,2,4
"430",3,1,3
"431",3,2,3
"432",3,1,4
"433",3,2,4
"434",3,2,5
"435",3,2,5
"436",3,2,4
"437",3,2,4
"438",3,2,4
"439",3,1,4
"440",3,1,4
"441",3,2,4
"442",3,2,4
"443",3,1,4
"444",3,2,4
"445",3,1,3
"446",3,2,3
"447",3,2,5
"448",3,2,5
"449",3,1,2
"450",3,2,3
"451",3,1,5
"452",3,1,3
"453",3,2,4
"454",3,2,4
"455",3,2,5
"456",3,2,4
"457",3,2,5
"458",3,2,4
"459",3,1,4
"460",3,2,5
"461",3,2,5
"462",3,2,4
"463",3,1,4
"464",3,2,4
"465",3,1,2
"466",3,2,4
"467",3,2,4
"468",3,2,4
"469",3,2,4
"470",3,2,4
"471",3,1,5
"472",3,1,5
"473",3,1,4
"474",3,2,3
"475",3,1,3
"476",3,1,5
"477",3,2,2
"478",3,2,5
"479",3,1,4
"480",3,1,5
"481",3,2,4
"482",3,1,4
"483",3,2,5
"484",3,2,4
"485",3,2,4
"486",3,2,5
"487",3,2,4
"488",3,1,5
"489",3,1,4
"490",3,2,5
"491",3,1,4
"492",3,2,5
"493",3,2,4
"494",3,2,1
"495",3,2,2
"496",3,1,3
"497",3,2,3
"498",3,2,4
"499",3,2,4
"500",3,1,5
"501",3,1,4
"502",3,2,4
"503",3,1,4
"504",3,2,4
"505",3,2,4
"506",3,1,5
"507",3,1,2
"508",3,1,4
"509",3,2,3
"510",3,1,4
"511",3,2,2
"512",3,2,3
"513",3,1,4
"514",3,1,4
"515",3,1,4
"516",3,1,4
"517",3,1,3
"518",3,2,5
"519",3,1,5
"520",3,2,2
"521",3,2,3
"522",3,2,2
"523",3,2,5
"524",3,2,3
"525",3,2,4
"526",3,1,4
"527",3,1,5
"528",3,2,3
"529",3,2,4
"530",3,2,3
"531",3,1,4
"532",3,1,4
"533",3,2,5
"534",3,2,5
"535",3,2,4
"536",3,2,4
"537",3,2,5
"538",3,1,5
"539",3,2,4
"540",3,2,4
"541",3,1,4
"542",3,2,4
"543",3,2,4
"544",3,1,2
"545",3,1,4
"546",3,1,5
"547",3,2,5
"548",3,2,3
"549",3,2,4
"550",3,2,4
"551",3,1,4
"552",3,1,4
"553",3,2,5
"554",3,2,4
"555",3,1,5
"556",3,1,4
"557",3,2,4
"558",3,2,4
"559",3,2,3
"560",3,2,5
"561",3,2,4
"562",3,1,4
"563",3,2,4
"564",5,1,5
"565",5,1,5
"566",5,2,5
"567",5,1,5
"568",5,1,4
"569",5,2,5
"570",5,2,5
"571",5,2,5
"572",5,2,5
"573",5,2,2
"574",5,2,4
"575",5,1,5
"576",5,2,5
"577",5,2,4
"578",5,2,5
"579",5,1,3
"580",5,1,4
"581",5,2,5
"582",5,2,4
"583",5,2,5
"584",5,1,5
"585",5,2,4
"586",5,2,2
"587",5,1,4
"588",5,2,2
"589",5,1,5
"590",5,1,5
"591",5,2,4
"592",5,1,5
"593",5,1,5
"594",5,1,1
"595",5,1,5
"596",5,1,5
"597",5,1,5
"598",5,1,5
"599",5,2,5
"600",5,2,4
"601",5,1,5
"602",5,1,5
"603",5,2,5
"604",5,1,4
"605",5,1,5
"606",5,1,3
"607",5,2,2
"608",5,1,4
"609",5,1,5
"610",5,1,5
"611",5,2,2
"612",5,1,5
"613",5,1,5
"614",5,2,3
"615",5,2,1
"616",5,1,5
"617",5,2,4
"618",5,2,5
"619",5,1,5
"620",5,2,4
"621",5,1,5
"622",5,1,1
"623",5,1,5
"624",5,1,5
"625",5,1,5
"626",5,1,3
"627",5,2,4
"628",5,1,5
"629",5,2,5
"630",5,2,4
"631",5,2,2
"632",5,1,5
"633",5,2,1
"634",5,1,5
"635",5,2,5
"636",5,1,4
"637",5,1,4
"638",5,1,5
"639",5,1,4
"640",5,1,5
"641",5,1,4
"642",5,2,1
"643",5,1,5
"644",5,1,5
"645",5,1,3
"646",5,2,5
"647",5,2,5
"648",5,1,5
"649",5,2,1
"650",5,2,5
"651",5,2,2
"652",5,1,5
"653",5,2,5
"654",5,2,5
"655",5,1,5
"656",5,1,4
"657",5,1,5
"658",5,2,1
"659",5,1,3
"660",5,1,5
"661",5,1,5
"662",5,1,5
"663",5,1,4
"664",5,2,3
"665",5,2,2
"666",5,1,4
"667",5,1,5
"668",5,1,5
"669",5,1,4
"670",5,2,4
"671",5,1,4
"672",5,2,5
"673",5,1,5
"674",5,1,5
"675",5,2,4
"676",5,1,5
"677",5,1,5
"678",5,1,5
"679",5,1,5
"680",5,2,4
"681",5,2,4
"682",5,1,5
"683",5,1,4
"684",5,1,5
"685",5,2,1
"686",5,1,3
"687",5,1,5
"688",5,1,3
"689",5,1,2
"690",5,2,3
"691",5,1,5
"692",5,1,5
"693",5,2,1
"694",5,1,5
"695",5,2,2
"696",5,2,4
"697",5,2,3
"698",5,1,4
"699",5,1,5
"700",5,1,5
"701",5,1,5
"702",5,2,2
"703",5,1,5
"704",5,1,5
"705",5,2,4
"706",5,2,5
"707",5,2,1
"708",5,1,1
"709",5,2,4
"710",5,1,5
"711",5,1,5
"712",5,2,1
"713",5,1,5
"714",5,2,1
"715",5,2,3
"716",5,2,1
"717",5,1,5
"718",5,2,4
"719",5,2,4
"720",5,1,5
"721",5,2,4
"722",5,1,4
"723",5,2,2
"724",5,1,5
"725",5,1,5
"726",5,2,1
"727",5,2,5
"728",5,1,1
"729",5,2,4
"730",5,1,5
"731",5,1,5
"732",5,2,1
"733",5,2,2
"734",5,1,3
"735",5,2,4
"736",5,2,4
"737",5,1,4
"738",5,1,4
"739",5,2,3
"740",5,2,4
"741",5,1,4
"742",5,1,1
"743",5,1,5
"744",5,1,5
"745",5,2,4
"746",5,1,3
"747",5,1,5
"748",5,2,4
"749",5,1,5
"750",5,2,3
"751",5,2,2
"752",5,1,5
"753",5,2,1
"754",5,1,4
"755",5,1,5
"756",5,1,5
"757",5,1,5
"758",5,2,5
"759",5,2,3
"760",5,1,5
"761",5,2,5
"762",5,1,5
"763",5,1,5
"764",5,2,2
"765",5,2,1
"766",5,1,5
"767",5,1,4
"768",5,1,5
"769",5,1,5
"770",5,2,5
"771",5,2,1
"772",5,2,5
"773",5,2,5
"774",5,2,1
"775",5,1,5
"776",5,2,3
"777",5,1,5
"778",5,2,2
"779",5,2,2
"780",5,2,3
"781",5,1,5
"782",5,2,1
"783",5,1,4
"784",5,1,5
"785",5,1,5
"786",5,2,5
"787",5,1,1
"788",5,1,5
"789",5,2,5
"790",5,2,4
"791",5,2,5
"792",5,1,5
"793",5,2,5
"794",5,2,3
"795",5,2,5
"796",5,1,5
"797",5,2,5
"798",5,2,1
"799",5,1,4
"800",5,2,5
"801",5,1,5
"802",5,2,1
"803",5,1,4
"804",5,1,5
"805",5,2,3
"806",5,2,5
"807",5,2,1
"808",5,1,5
"809",5,2,3
"810",5,2,2
"811",5,1,5
"812",5,2,3
"813",5,1,5
"814",5,2,5
"815",5,2,5
"816",5,2,5
"817",5,2,1
"818",5,1,5
"819",5,2,1
"820",5,2,2
"821",5,1,4
"822",5,2,4
"823",5,1,5
"824",5,2,2
"825",5,2,2
"826",5,1,5
"827",5,2,1
"828",5,1,1
"829",5,2,3
"830",5,2,4
"831",5,2,4
"832",5,2,1
"833",5,1,4
"834",5,1,5
"835",5,2,3
"836",5,2,5
"837",5,1,5
"838",5,1,1
"839",5,2,3
"840",6,0,1
"841",6,2,5
"842",6,1,3
"843",6,1,5
"844",6,1,4
"845",6,2,2
"846",6,1,3
"847",6,1,4
"848",6,2,4
"849",6,1,5
"850",6,1,4
"851",6,2,3
