"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,0,3
"3",1,1,2
"4",1,1,4
"5",1,1,2
"6",1,1,3
"7",1,1,2
"8",1,1,3
"9",1,0,3
"10",1,1,2
"11",1,0,3
"12",1,1,2
"13",1,1,2
"14",1,1,2
"15",1,0,3
"16",1,0,3
"17",1,1,2
"18",1,0,2
"19",1,0,3
"20",1,0,3
"21",1,0,2
"22",1,1,3
"23",1,1,3
"24",1,0,2
"25",1,0,4
"26",1,1,2
"27",1,0,2
"28",1,0,2
"29",1,1,3
"30",1,1,2
"31",1,1,3
"32",1,1,4
"33",1,0,3
"34",1,0,2
"35",1,1,2
"36",1,1,2
"37",1,0,3
"38",1,0,3
"39",1,0,3
"40",1,1,3
"41",1,0,2
"42",1,1,2
"43",1,1,3
"44",1,0,3
"45",1,1,3
"46",1,1,4
"47",1,0,3
"48",1,0,4
"49",1,0,2
"50",1,0,3
"51",1,0,2
"52",1,1,2
"53",1,1,2
"54",1,0,3
"55",1,0,3
"56",1,0,3
"57",1,0,3
"58",1,1,3
"59",1,0,3
"60",1,1,3
"61",1,0,4
"62",1,0,2
"63",1,1,4
"64",1,0,3
"65",1,1,3
"66",1,0,4
"67",1,0,3
"68",1,0,2
"69",1,0,3
"70",1,0,3
"71",1,1,3
"72",1,1,3
"73",1,1,3
"74",1,1,2
"75",1,1,4
"76",1,0,2
"77",1,0,2
"78",1,0,2
"79",1,0,2
"80",1,1,2
"81",1,1,2
"82",1,0,2
"83",1,0,1
"84",1,0,3
"85",1,1,3
"86",1,1,3
"87",1,0,3
"88",1,1,3
"89",1,1,2
"90",1,1,4
"91",1,0,3
"92",1,1,4
"93",1,1,4
"94",1,0,3
"95",1,1,2
"96",1,1,1
"97",1,0,4
"98",1,0,4
"99",1,1,4
"100",1,0,4
"101",1,0,2
"102",1,0,3
"103",1,0,2
"104",1,0,3
"105",1,0,2
"106",1,0,4
"107",1,1,4
"108",1,0,2
"109",1,1,4
"110",1,1,4
"111",1,1,2
"112",1,0,4
"113",1,1,4
"114",1,0,3
"115",1,1,2
"116",1,1,4
"117",1,1,2
"118",1,0,3
"119",1,0,4
"120",1,1,4
"121",2,1,4
"122",2,0,4
"123",2,1,3
"124",2,1,4
"125",2,0,3
"126",2,1,4
"127",2,1,4
"128",2,1,4
"129",2,1,4
"130",2,1,4
"131",2,1,4
"132",2,1,4
"133",2,1,2
"134",2,0,2
"135",2,1,4
"136",2,0,4
"137",2,0,4
"138",2,1,4
"139",2,1,4
"140",2,1,3
"141",2,0,3
"142",2,0,3
"143",2,1,3
"144",2,1,4
"145",2,1,4
"146",2,0,2
"147",2,1,2
"148",2,0,4
"149",2,1,3
"150",2,0,1
"151",2,0,4
"152",2,0,4
"153",2,0,4
"154",2,1,4
"155",2,0,4
"156",2,1,3
"157",2,0,4
"158",2,1,4
"159",2,1,3
"160",2,0,3
"161",2,1,4
"162",2,0,3
"163",2,1,4
"164",2,1,4
"165",2,0,4
"166",2,0,2
"167",2,1,4
"168",2,1,4
"169",2,1,4
"170",2,1,4
"171",2,1,2
"172",2,1,3
"173",2,1,4
"174",2,1,2
"175",2,1,2
"176",2,1,4
"177",2,1,4
"178",2,0,3
"179",2,1,4
"180",2,1,3
"181",2,1,4
"182",2,1,4
"183",2,1,4
"184",2,1,4
"185",2,1,4
"186",2,1,4
"187",2,1,4
"188",2,0,2
"189",2,1,4
"190",2,0,2
"191",2,1,3
"192",2,1,4
"193",2,0,4
"194",2,1,4
"195",2,1,4
"196",2,0,2
"197",2,0,4
"198",2,0,2
"199",2,0,4
"200",2,1,4
"201",2,1,4
"202",2,1,3
"203",2,0,2
"204",2,1,4
"205",2,0,2
"206",2,0,4
"207",2,1,3
"208",2,0,1
"209",2,1,4
"210",2,1,4
"211",2,0,1
"212",2,1,2
"213",2,0,3
"214",2,1,3
"215",2,0,3
"216",2,0,2
"217",2,0,3
"218",2,0,3
"219",2,1,3
"220",2,1,3
"221",2,1,4
"222",2,0,2
"223",2,0,4
"224",2,1,4
