"","Subj_idx","Response","Confidence"
"1",1,0,2
"2",1,0,3
"3",1,1,2
"4",1,0,3
"5",1,1,2
"6",1,1,2
"7",1,0,3
"8",1,0,2
"9",1,0,2
"10",1,0,3
"11",1,0,3
"12",1,1,3
"13",1,1,2
"14",1,0,4
"15",1,0,3
"16",1,1,3
"17",1,0,3
"18",1,1,2
"19",1,0,3
"20",1,0,3
"21",1,1,3
"22",1,0,2
"23",1,0,2
"24",1,1,3
"25",1,1,3
"26",1,0,2
"27",1,1,3
"28",1,1,2
"29",1,0,3
"30",1,0,4
"31",1,0,2
"32",1,0,3
"33",1,1,3
"34",1,0,4
"35",1,0,2
"36",1,0,4
"37",1,1,2
"38",1,0,2
"39",1,0,2
"40",1,0,2
"41",1,1,3
"42",1,1,2
"43",1,1,1
"44",1,0,1
"45",1,0,1
"46",1,0,1
"47",1,0,3
"48",1,0,1
"49",1,0,2
"50",1,0,2
"51",1,1,2
"52",1,0,2
"53",1,0,2
"54",1,0,1
"55",1,0,2
"56",1,0,2
"57",1,1,2
"58",1,0,1
"59",1,0,1
"60",1,0,2
"61",1,0,3
"62",1,1,1
"63",1,0,3
"64",1,0,2
"65",1,0,1
"66",1,0,1
"67",1,0,1
"68",1,0,2
"69",1,0,2
"70",1,0,2
"71",1,1,2
"72",1,1,2
"73",1,0,2
"74",1,1,2
"75",1,0,3
"76",1,1,2
"77",1,1,2
"78",1,1,3
"79",1,0,2
"80",1,0,1
"81",1,0,3
"82",1,0,2
"83",1,1,2
"84",1,0,4
"85",1,0,4
"86",1,0,2
"87",1,1,3
"88",1,0,2
"89",1,1,4
"90",1,0,2
"91",1,0,2
"92",1,1,3
"93",1,0,3
"94",1,0,2
"95",1,0,2
"96",1,0,1
"97",1,1,3
"98",1,0,2
"99",1,1,2
"100",1,1,3
"101",1,0,2
"102",1,0,4
"103",1,0,4
"104",1,0,2
"105",1,1,4
"106",1,0,3
"107",1,1,2
"108",1,1,2
"109",1,1,3
"110",1,0,2
"111",1,1,3
"112",1,0,4
"113",1,0,2
"114",1,0,2
"115",1,0,1
"116",1,1,1
"117",1,0,4
"118",1,0,1
"119",1,1,2
"120",1,1,1
"121",1,0,1
"122",1,1,2
"123",1,1,2
"124",1,1,3
"125",1,0,2
"126",1,1,3
"127",1,0,2
"128",1,1,2
"129",1,1,2
"130",1,0,2
"131",1,0,4
"132",1,1,4
"133",1,0,4
"134",1,0,2
"135",1,0,2
"136",1,0,2
"137",1,1,4
"138",1,1,2
"139",1,0,4
"140",1,0,2
"141",1,1,2
"142",1,0,2
"143",1,0,3
"144",1,0,1
"145",1,1,1
"146",1,1,2
"147",1,0,3
"148",1,0,2
"149",1,0,1
"150",1,0,2
"151",1,0,2
"152",1,1,2
"153",1,1,2
"154",1,1,3
"155",1,0,3
"156",1,1,3
"157",1,1,3
"158",1,1,2
"159",1,0,1
"160",1,0,1
"161",1,0,3
"162",1,0,2
"163",1,0,1
"164",1,0,2
"165",1,0,1
"166",1,0,1
"167",1,0,1
"168",1,0,1
"169",1,0,2
"170",1,0,2
"171",1,0,2
"172",1,0,3
"173",1,0,2
"174",1,0,1
"175",1,0,2
"176",1,0,3
"177",1,0,2
"178",1,1,4
"179",1,1,3
"180",1,1,2
"181",1,1,3
"182",1,0,3
"183",1,0,3
"184",1,1,2
"185",1,1,3
"186",1,0,2
"187",1,1,1
"188",1,0,2
"189",1,0,2
"190",1,0,2
"191",1,1,2
"192",1,1,3
"193",1,1,2
"194",1,0,2
"195",1,0,2
"196",1,0,2
"197",1,0,2
"198",1,0,3
"199",1,1,4
"200",1,0,2
"201",1,0,2
"202",1,0,2
"203",1,0,2
"204",1,0,2
"205",1,0,3
"206",1,1,3
"207",1,1,2
"208",1,0,1
"209",1,0,2
"210",1,0,2
"211",1,0,2
"212",1,0,2
"213",1,1,3
"214",1,0,3
"215",1,1,4
"216",1,0,2
"217",1,0,2
"218",1,0,3
"219",1,1,3
"220",1,0,2
"221",1,0,1
"222",1,1,2
"223",1,1,3
"224",1,1,3
"225",1,0,2
"226",1,1,1
"227",1,1,4
"228",1,0,2
"229",1,1,3
"230",1,0,2
"231",1,1,2
"232",1,0,3
"233",1,0,2
"234",1,0,3
"235",1,0,3
"236",1,0,2
"237",1,0,4
"238",1,0,3
"239",1,0,2
"240",1,1,2
"241",1,0,2
"242",1,0,1
"243",1,0,4
"244",1,0,2
"245",1,1,3
"246",1,0,2
"247",1,0,3
"248",1,0,3
"249",1,1,4
"250",1,0,4
"251",1,1,2
"252",1,0,2
"253",1,0,4
"254",1,1,2
"255",1,0,3
"256",1,1,4
"257",1,1,3
"258",1,1,1
"259",1,0,1
"260",1,0,3
"261",1,0,2
"262",1,0,2
"263",1,0,2
"264",1,0,2
"265",1,0,1
"266",1,1,2
"267",1,0,2
"268",1,0,1
"269",1,1,2
"270",1,1,1
"271",1,1,3
"272",1,0,3
"273",1,0,2
"274",1,1,4
"275",1,0,2
"276",1,0,1
"277",1,0,3
"278",1,0,2
"279",1,0,1
"280",1,0,2
"281",1,0,1
"282",1,1,2
"283",1,0,1
"284",1,0,2
"285",1,1,2
"286",1,0,2
"287",1,0,4
"288",1,0,2
"289",1,1,3
"290",1,0,2
"291",1,0,3
"292",1,0,4
"293",1,0,2
"294",1,0,4
"295",1,1,4
"296",1,0,1
"297",1,0,2
"298",1,0,1
"299",1,1,3
"300",1,1,2
"301",1,0,1
"302",1,1,2
"303",1,1,1
"304",1,1,2
"305",1,0,2
"306",1,0,3
"307",1,0,1
"308",1,1,3
"309",1,0,3
"310",1,0,2
"311",1,0,3
"312",1,0,2
"313",1,1,3
"314",1,0,3
"315",1,0,2
"316",1,1,2
"317",1,0,2
"318",1,0,2
"319",1,0,3
"320",1,0,2
"321",1,0,2
"322",1,0,1
"323",1,0,3
"324",1,1,3
"325",1,1,4
"326",1,1,1
"327",1,0,1
"328",1,1,2
"329",1,0,2
"330",1,1,2
"331",1,1,1
"332",1,0,4
"333",1,0,2
"334",1,0,3
"335",1,1,2
"336",1,0,3
"337",1,0,3
"338",1,0,2
"339",1,1,2
"340",1,0,3
"341",1,0,2
"342",1,0,1
"343",1,0,3
"344",1,1,3
"345",1,0,1
"346",1,1,3
"347",1,0,1
"348",1,1,4
"349",1,1,2
"350",1,0,3
"351",1,0,2
"352",1,0,1
"353",1,0,3
