"","Subj_idx","Response","Confidence"
"1",1,1,5
"2",1,1,6
"3",1,2,2
"4",1,2,3
"5",1,2,1
"6",1,1,2
"7",1,1,2
"8",1,2,1
"9",1,2,3
"10",1,2,3
"11",1,2,2
"12",1,1,5
"13",1,2,4
"14",1,1,3
"15",1,1,1
"16",1,1,1
"17",1,2,3
"18",1,1,6
"19",1,2,6
"20",1,2,2
"21",1,1,5
"22",1,1,6
"23",1,2,3
"24",1,1,6
"25",1,1,1
"26",1,2,4
"27",1,2,3
"28",1,2,1
"29",1,2,3
"30",1,2,1
"31",1,2,3
"32",1,1,2
"33",1,1,5
"34",1,2,1
"35",1,1,5
"36",1,2,6
"37",1,2,3
"38",1,1,3
"39",1,1,2
"40",1,1,1
"41",1,2,3
"42",1,2,2
"43",1,1,1
"44",1,1,1
"45",1,2,1
"46",1,1,4
"47",1,2,2
"48",1,1,5
"49",1,2,5
"50",1,2,2
"51",1,1,1
"52",1,1,1
"53",1,1,5
"54",1,2,1
"55",1,1,1
"56",1,1,6
"57",1,1,6
"58",1,2,6
"59",1,1,6
"60",1,1,6
"61",1,2,6
"62",1,1,6
"63",1,1,6
"64",1,1,2
"65",1,2,3
"66",1,1,3
"67",1,2,4
"68",1,2,2
"69",1,2,4
"70",1,1,5
"71",1,1,5
"72",1,1,5
"73",1,1,5
"74",1,1,3
"75",1,2,3
"76",1,2,1
"77",1,1,2
"78",1,1,5
"79",1,2,5
"80",1,2,4
"81",1,2,2
"82",1,2,1
"83",1,2,2
"84",1,1,2
"85",1,1,2
"86",1,2,3
"87",1,1,4
"88",1,2,1
"89",1,2,4
"90",1,2,5
"91",1,1,1
"92",1,1,6
"93",1,2,4
"94",1,1,4
"95",1,2,6
"96",1,2,5
"97",1,2,4
"98",1,2,6
"99",1,1,4
"100",1,2,3
"101",1,2,2
"102",1,1,6
"103",1,2,6
"104",1,2,6
"105",1,1,6
"106",1,1,6
"107",1,2,2
"108",1,2,2
"109",1,2,3
"110",1,1,4
"111",1,2,2
"112",1,2,1
"113",1,2,1
"114",1,1,4
"115",1,1,3
"116",1,1,3
"117",1,2,1
"118",1,1,2
"119",1,2,2
"120",1,2,3
"121",1,1,3
"122",1,1,4
"123",1,1,2
"124",1,1,2
"125",1,1,1
"126",1,2,2
"127",1,2,1
"128",1,1,1
"129",1,2,4
"130",1,1,4
"131",1,2,4
"132",1,2,4
"133",1,2,3
"134",1,1,3
"135",1,2,4
"136",1,2,4
"137",1,2,3
"138",1,1,3
"139",1,2,4
"140",1,1,1
"141",1,2,3
"142",1,2,3
"143",1,2,3
"144",1,2,5
"145",1,2,5
"146",1,2,4
"147",1,1,1
"148",1,1,5
"149",1,2,6
"150",1,2,6
"151",1,2,6
"152",1,2,3
"153",1,2,2
"154",1,1,2
"155",1,2,1
"156",1,1,2
"157",1,2,3
"158",1,2,3
"159",1,2,4
"160",1,1,6
"161",1,1,5
"162",1,1,2
"163",1,2,5
"164",1,2,5
"165",1,1,3
"166",1,1,6
"167",1,1,6
"168",1,2,5
"169",1,2,6
"170",1,2,6
"171",1,2,5
"172",1,1,6
"173",1,2,2
"174",1,1,4
"175",1,2,1
"176",1,2,2
"177",1,2,5
"178",1,2,1
"179",1,1,1
"180",1,1,1
"181",1,2,6
"182",1,1,4
"183",1,2,2
"184",1,2,3
"185",1,2,4
"186",1,1,5
"187",1,2,1
"188",1,2,2
"189",1,2,6
"190",1,2,5
"191",1,2,3
"192",1,2,2
"193",1,2,5
"194",1,2,3
"195",1,2,5
"196",1,1,5
"197",1,2,5
"198",1,2,4
"199",1,2,2
"200",1,2,2
"201",1,2,2
"202",1,2,3
"203",1,1,1
"204",1,2,2
"205",1,1,3
"206",1,2,3
"207",1,1,2
"208",1,2,2
"209",1,2,2
"210",1,2,3
"211",1,1,4
"212",1,1,5
"213",1,1,5
"214",1,2,1
"215",1,1,2
"216",1,1,1
"217",1,2,6
"218",1,1,6
"219",1,2,5
"220",1,1,4
"221",1,2,3
"222",1,1,4
"223",1,2,5
"224",1,2,5
"225",1,2,2
"226",1,1,3
"227",1,2,4
"228",1,2,3
"229",1,2,4
"230",1,2,6
"231",1,2,2
"232",1,1,5
"233",1,2,1
"234",1,2,4
"235",1,1,4
"236",1,1,4
"237",1,1,6
"238",1,2,6
"239",1,2,2
"240",1,1,4
"241",1,1,5
"242",1,1,5
"243",1,2,4
"244",1,2,6
"245",1,1,6
"246",1,1,5
"247",1,1,4
"248",1,1,6
"249",1,1,6
"250",1,1,6
"251",1,1,6
"252",1,2,6
"253",1,2,4
"254",1,1,2
"255",1,2,2
"256",1,2,3
"257",1,1,4
"258",1,2,2
"259",1,1,3
"260",1,1,4
"261",1,1,6
"262",1,1,1
"263",1,2,1
"264",1,2,2
"265",1,2,2
"266",1,2,2
"267",1,2,2
"268",1,2,2
"269",1,2,1
"270",1,2,2
"271",1,1,6
"272",1,1,6
"273",1,1,4
"274",1,1,6
"275",1,1,3
"276",1,2,5
"277",1,2,5
"278",1,2,6
"279",1,1,4
"280",1,2,5
"281",1,2,5
"282",1,1,3
"283",1,1,2
"284",1,2,4
"285",1,1,2
"286",1,2,3
"287",1,2,5
"288",1,2,1
"289",1,1,1
"290",1,2,1
"291",1,1,2
"292",1,1,3
"293",1,2,5
"294",1,2,6
"295",1,2,4
"296",1,2,1
"297",1,1,3
"298",1,2,5
"299",1,2,3
"300",1,2,5
"301",1,2,2
"302",1,2,2
"303",1,1,2
"304",1,2,3
"305",1,1,6
"306",1,2,1
"307",1,1,2
"308",1,1,5
"309",1,1,4
"310",1,2,5
"311",1,2,6
"312",1,1,2
"313",1,1,3
"314",1,1,5
"315",1,2,4
"316",1,1,1
"317",1,1,1
"318",1,2,5
"319",1,1,1
"320",1,1,4
"321",1,1,4
"322",1,1,3
"323",1,1,3
"324",1,1,3
"325",1,1,2
"326",1,1,1
"327",1,2,3
"328",1,2,3
"329",1,1,4
"330",1,1,6
"331",1,1,6
"332",1,2,6
"333",1,2,5
"334",1,2,4
"335",1,2,5
"336",1,1,1
"337",1,2,3
"338",1,2,3
"339",1,1,6
"340",1,1,6
"341",1,1,6
"342",1,1,6
"343",1,1,6
"344",1,2,6
"345",1,2,5
"346",1,2,4
"347",1,2,5
"348",1,2,5
"349",1,1,5
"350",1,1,5
"351",1,2,4
"352",1,1,5
"353",1,2,2
"354",1,2,3
"355",1,2,3
"356",1,2,4
"357",1,1,2
"358",1,2,3
"359",1,2,3
"360",1,2,3
"361",1,2,6
"362",1,1,6
"363",1,1,5
"364",1,2,5
"365",1,1,2
"366",1,2,3
"367",1,2,3
"368",1,2,4
"369",1,2,4
"370",1,2,2
"371",1,1,6
"372",1,1,6
"373",1,1,6
"374",1,2,5
"375",1,1,5
"376",1,1,2
"377",1,1,4
"378",1,2,5
"379",1,1,6
"380",1,2,4
"381",1,2,2
"382",1,1,4
"383",1,1,5
"384",1,2,3
"385",1,2,2
"386",1,2,4
"387",1,1,4
"388",1,2,4
"389",1,1,3
"390",1,2,3
"391",1,2,2
"392",1,1,2
"393",1,1,4
"394",1,1,4
"395",1,2,4
"396",1,2,2
"397",1,2,1
"398",1,1,4
"399",1,1,1
"400",1,1,2
"401",1,2,2
"402",1,2,1
"403",1,1,1
"404",1,2,4
"405",1,2,3
"406",1,2,2
"407",1,2,2
"408",1,1,1
"409",1,1,1
"410",1,1,1
"411",1,2,2
"412",1,1,4
"413",1,1,4
"414",1,1,4
"415",1,2,4
"416",1,2,2
"417",1,1,1
"418",1,1,5
"419",1,1,4
"420",1,1,2
"421",1,2,5
"422",1,1,5
"423",1,2,4
"424",1,2,4
"425",1,1,3
"426",1,1,4
"427",1,2,2
"428",1,2,2
"429",1,1,1
"430",1,2,1
"431",1,2,1
"432",1,2,2
"433",1,1,2
"434",1,1,2
"435",1,1,2
"436",1,1,1
"437",1,2,1
"438",1,2,1
"439",1,1,3
"440",1,2,3
"441",1,1,3
"442",1,2,4
"443",1,1,3
"444",1,2,3
"445",1,2,3
"446",1,1,2
"447",1,2,5
"448",1,2,1
"449",1,2,1
"450",1,2,1
"451",1,1,5
"452",1,2,5
"453",1,1,5
"454",1,1,5
"455",1,1,4
"456",1,2,4
"457",1,2,3
"458",1,2,4
"459",1,2,5
"460",1,1,5
"461",1,1,3
"462",1,2,3
"463",1,2,3
"464",1,1,4
"465",1,1,4
"466",1,2,3
"467",1,1,3
"468",1,1,2
"469",1,1,2
"470",1,2,3
"471",1,2,3
"472",1,2,1
"473",1,1,2
"474",1,2,2
"475",1,2,3
"476",1,2,3
"477",1,2,3
"478",1,1,1
"479",1,1,1
"480",1,2,1
"481",1,1,3
"482",1,1,2
"483",1,2,3
"484",1,1,2
"485",1,2,2
"486",1,2,2
"487",1,1,3
"488",1,2,4
"489",1,1,3
"490",1,1,4
"491",1,1,5
"492",1,1,3
"493",1,1,2
"494",1,2,1
"495",1,2,2
"496",1,2,2
"497",1,1,3
"498",1,2,2
"499",1,1,5
"500",1,2,4
"501",1,1,3
"502",1,2,2
"503",1,2,4
"504",1,1,5
"505",1,2,5
"506",1,2,5
"507",1,2,3
"508",1,2,2
"509",1,1,6
"510",1,2,2
"511",1,1,1
"512",1,2,4
"513",1,2,2
"514",1,2,3
"515",1,2,5
"516",1,2,4
"517",1,1,4
"518",1,2,2
"519",1,1,1
"520",1,1,3
"521",1,2,3
"522",1,2,2
"523",1,1,1
"524",1,2,2
"525",1,2,2
"526",1,2,1
"527",1,2,2
"528",1,2,2
"529",1,2,3
"530",1,2,3
"531",1,1,2
"532",1,1,2
"533",1,2,3
"534",1,2,4
"535",1,2,4
"536",1,1,1
"537",1,2,1
"538",1,1,5
"539",1,1,4
"540",1,1,4
"541",1,1,4
"542",1,1,5
"543",1,1,5
"544",1,2,6
"545",1,2,3
"546",1,1,4
"547",1,2,3
"548",1,1,2
"549",1,1,2
"550",1,1,3
"551",1,2,3
"552",1,1,3
"553",1,2,4
"554",1,2,4
"555",1,2,4
"556",1,1,1
"557",1,1,1
"558",1,1,3
"559",1,1,3
"560",1,2,1
"561",1,1,3
"562",1,1,4
"563",1,1,4
"564",1,2,1
"565",1,2,1
"566",1,1,2
"567",1,1,3
"568",1,1,2
"569",1,2,1
"570",1,1,3
"571",1,1,3
"572",1,1,2
"573",1,1,1
"574",1,1,1
"575",1,1,1
"576",1,1,2
"577",1,2,3
"578",1,2,3
"579",1,2,2
"580",1,2,2
"581",1,1,1
"582",1,1,1
"583",1,2,3
"584",1,2,1
"585",1,2,1
"586",1,1,1
"587",1,1,1
"588",1,2,3
"589",1,2,1
"590",1,1,5
"591",1,2,5
"592",1,1,6
"593",1,2,4
"594",1,2,4
"595",1,1,5
"596",1,1,6
"597",1,1,5
"598",1,1,5
"599",1,2,3
"600",1,1,4
"601",1,1,3
"602",1,2,3
"603",1,2,2
"604",1,2,1
"605",1,2,1
"606",1,1,1
"607",1,1,1
"608",1,1,3
"609",1,1,2
"610",1,1,1
"611",1,2,3
"612",1,2,3
"613",1,1,2
"614",1,1,2
"615",1,2,2
"616",1,2,1
"617",1,2,1
"618",1,2,1
"619",1,2,1
"620",1,2,1
"621",1,1,2
"622",1,1,1
"623",1,2,3
"624",1,2,1
"625",1,1,1
"626",1,1,1
"627",1,1,1
"628",1,2,3
"629",1,2,4
"630",1,2,4
"631",1,1,2
"632",1,2,1
"633",1,1,2
"634",1,1,2
"635",1,2,1
"636",1,2,1
"637",1,2,1
"638",1,1,1
"639",1,2,1
"640",1,1,1
"641",1,1,1
"642",1,1,2
"643",1,1,2
"644",1,1,1
"645",1,2,3
"646",1,1,3
"647",1,1,3
"648",1,1,2
"649",1,1,1
"650",1,1,1
"651",1,2,2
"652",1,2,2
"653",1,1,1
"654",1,1,1
"655",1,1,1
"656",1,2,1
"657",1,2,1
"658",1,2,1
"659",1,2,1
"660",1,2,1
"661",1,2,2
"662",1,2,2
"663",1,1,4
"664",1,1,3
"665",1,2,2
"666",1,2,2
"667",1,1,1
"668",1,1,2
"669",1,1,1
"670",1,1,1
"671",1,1,4
"672",1,2,4
"673",1,2,4
"674",1,1,4
"675",1,1,4
"676",1,1,5
"677",1,1,5
"678",1,1,5
"679",1,2,2
"680",1,2,1
"681",1,1,1
"682",1,2,4
"683",1,1,1
"684",1,1,4
"685",1,2,3
"686",1,2,1
"687",1,2,2
"688",1,1,1
"689",1,1,1
"690",1,2,3
"691",1,2,2
"692",1,1,2
"693",1,1,2
"694",1,1,2
"695",1,1,3
"696",1,1,3
"697",1,1,3
"698",1,1,5
"699",1,2,1
"700",1,1,2
"701",1,1,3
"702",1,2,1
"703",1,2,1
"704",1,2,1
"705",1,1,3
"706",1,2,4
"707",1,2,1
"708",1,2,3
"709",1,2,5
"710",1,1,4
"711",1,1,4
"712",1,1,3
"713",1,1,1
"714",1,1,1
"715",1,1,4
"716",1,1,3
"717",1,1,1
"718",1,2,1
"719",1,1,3
"720",1,1,2
"721",1,1,5
"722",1,1,3
"723",1,2,2
"724",1,1,4
"725",1,2,1
"726",1,2,1
"727",1,1,1
"728",1,1,3
"729",1,1,3
"730",1,1,1
"731",1,2,1
"732",1,1,1
"733",1,2,1
"734",1,2,2
"735",1,2,1
"736",1,1,1
"737",1,1,1
"738",1,1,1
"739",1,1,3
"740",1,1,3
"741",1,2,3
"742",1,1,3
"743",1,1,3
"744",1,1,3
"745",1,2,1
"746",1,1,2
"747",1,1,4
"748",1,1,4
"749",1,2,3
"750",1,2,3
"751",1,1,2
"752",1,2,3
"753",1,2,1
"754",1,1,3
"755",1,2,1
"756",1,1,1
"757",1,1,1
"758",1,1,1
"759",1,1,1
"760",1,1,3
"761",1,1,3
"762",1,2,3
"763",1,1,4
"764",1,2,4
"765",1,1,2
"766",1,1,1
"767",1,2,1
"768",1,2,2
"769",1,2,1
"770",1,2,2
"771",1,2,2
"772",1,2,2
"773",1,1,1
"774",1,2,1
"775",1,2,1
"776",1,2,1
"777",1,1,1
"778",1,1,2
"779",1,1,1
"780",1,1,1
"781",1,2,1
"782",1,2,1
"783",1,1,3
"784",1,2,3
"785",1,1,4
"786",1,1,4
"787",1,1,4
"788",1,2,1
"789",1,2,1
"790",1,1,2
"791",1,2,2
"792",1,2,2
"793",1,2,2
"794",1,2,2
"795",1,1,1
"796",1,1,1
"797",1,1,1
"798",1,2,1
"799",1,1,1
"800",1,2,1
"801",1,2,1
"802",1,1,1
"803",1,2,1
"804",1,2,2
"805",1,1,2
"806",1,2,2
"807",1,2,2
"808",1,1,2
"809",1,1,1
"810",1,1,1
"811",1,2,2
"812",1,2,3
"813",1,2,3
"814",1,2,1
"815",1,2,3
"816",1,2,2
"817",1,2,2
"818",1,2,1
"819",1,1,2
"820",1,1,3
"821",1,2,3
"822",1,1,2
"823",1,1,1
"824",1,2,1
"825",1,2,1
"826",1,1,1
"827",1,1,1
"828",1,2,2
"829",1,2,2
"830",1,2,2
"831",1,2,1
"832",1,1,1
"833",1,2,1
"834",1,2,3
"835",1,2,2
"836",1,2,1
"837",1,2,3
"838",1,2,2
"839",1,2,1
"840",1,1,1
"841",1,1,1
"842",1,2,1
"843",1,1,1
"844",1,1,1
"845",1,2,1
"846",1,1,1
"847",1,1,1
"848",1,2,1
"849",1,1,2
"850",1,2,2
"851",1,1,4
"852",1,2,4
"853",1,1,4
"854",1,2,3
"855",1,1,2
"856",1,2,2
"857",1,1,1
"858",1,1,1
"859",1,1,1
"860",1,2,1
"861",1,1,1
"862",1,2,1
"863",1,1,1
"864",1,2,2
"865",1,2,1
"866",1,2,1
"867",1,2,1
"868",1,2,2
"869",1,2,2
"870",1,1,2
"871",1,1,1
"872",1,2,1
"873",1,1,3
"874",1,1,1
"875",1,2,3
"876",1,2,3
"877",1,2,3
"878",1,2,4
"879",1,2,4
"880",1,1,2
"881",1,1,2
"882",1,1,5
"883",1,1,1
"884",1,1,3
"885",1,2,5
"886",1,1,2
"887",1,2,3
"888",1,2,4
"889",1,1,1
"890",1,2,3
"891",1,1,2
"892",1,1,1
"893",1,2,2
"894",1,2,1
"895",1,1,1
"896",1,1,1
"897",1,1,1
"898",1,1,1
"899",1,2,1
"900",1,2,2
"901",1,1,4
"902",1,2,4
"903",1,1,2
"904",1,2,2
"905",1,2,2
"906",1,1,1
"907",1,1,3
"908",1,1,4
"909",1,1,2
"910",1,1,3
"911",1,1,3
"912",1,1,1
"913",1,1,2
"914",1,1,3
"915",1,2,1
"916",1,1,2
"917",1,1,3
"918",1,1,5
"919",1,2,5
"920",1,2,1
"921",1,1,1
"922",1,1,3
"923",1,2,3
"924",1,1,3
"925",1,2,4
"926",1,1,4
"927",1,1,4
"928",1,1,2
"929",1,2,3
"930",1,1,3
"931",1,1,3
