"","Subj_idx","Response","Confidence"
"1",1,"R",315.52
"2",1,"L",304.46
"3",1,"L",308.8
"4",1,"L",312.81
"5",1,"R",174.72
"6",1,"R",288.2
"7",1,"R",303.43
"8",1,"R",320.31
"9",1,"R",58.68
"10",1,"L",16.69
"11",1,"L",316.08
"12",1,"L",124.38
"13",1,"R",326.02
"14",1,"R",283.81
"15",1,"L",340.95
"16",1,"L",323.39
"17",1,"L",338.85
"18",1,"R",311.81
"19",1,"L",316.38
"20",1,"R",302.02
"21",1,"L",334.66
"22",1,"L",322.69
"23",1,"R",186.13
"24",1,"R",280.83
"25",1,"L",287.76
"26",1,"R",298.37
"27",1,"R",301.79
"28",1,"L",311.66
"29",1,"L",310.52
"30",1,"R",294.82
"31",1,"R",294.19
"32",1,"L",317.98
"33",1,"R",29.53
"34",1,"R",294.24
"35",1,"L",304.68
"36",1,"R",292.22
"37",1,"R",280.13
"38",1,"L",287.83
"39",1,"R",273.38
"40",1,"L",283.5
"41",1,"L",307.43
"42",1,"L",288.03
"43",1,"L",279.23
"44",1,"L",158.14
"45",1,"L",228.11
"46",1,"L",337.84
"47",1,"R",70.41
"48",1,"R",295.16
"49",1,"L",287.63
"50",1,"R",302.76
"51",1,"R",307.77
"52",1,"L",300.72
"53",1,"R",200.95
"54",1,"R",266.44
"55",1,"L",272.56
"56",1,"R",287.78
"57",1,"R",283.79
"58",1,"R",273.51
"59",1,"R",274.88
"60",1,"L",262.96
"61",1,"L",294.39
"62",1,"L",284.58
"63",1,"R",121.51
"64",1,"L",243.22
"65",1,"R",234.04
"66",1,"R",297.42
"67",1,"R",317.27
"68",1,"L",199.22
"69",1,"L",311.19
"70",1,"L",312.57
"71",1,"L",17.94
"72",1,"L",307.99
"73",1,"R",310.08
"74",1,"R",285.35
"75",1,"L",267.49
"76",1,"L",289.87
"77",1,"L",303.13
"78",1,"L",36.41
"79",1,"L",247.92
"80",1,"R",256.59
"81",1,"R",203.5
"82",1,"R",262.2
"83",1,"R",284.3
"84",1,"R",293.73
"85",1,"R",293.11
"86",1,"R",297.57
"87",1,"L",284.87
"88",1,"R",274.12
"89",1,"R",305.29
"90",1,"L",303.24
"91",1,"L",302.78
"92",1,"L",259.27
"93",1,"L",299.86
"94",1,"L",26.51
"95",1,"L",269.19
"96",1,"R",269.76
"97",1,"L",255.63
"98",1,"L",290.47
"99",1,"R",254.67
"100",1,"R",275.15
"101",1,"L",18.13
"102",1,"R",271.46
"103",1,"L",279.23
"104",1,"L",268.76
"105",1,"R",292.46
"106",1,"R",333.48
"107",1,"R",294.66
"108",1,"R",290.28
"109",1,"L",284.73
"110",1,"L",304.19
"111",1,"R",164.27
"112",1,"L",310.43
"113",1,"L",308.23
"114",1,"L",291.56
"115",1,"L",94.54
"116",1,"R",296.55
"117",1,"L",278.84
"118",1,"L",267.55
"119",1,"R",211.67
"120",1,"L",257.04
"121",1,"R",267.69
"122",1,"L",292.9
"123",1,"L",302.76
"124",1,"R",253.66
"125",1,"L",245.06
"126",1,"L",276.82
"127",1,"L",39.89
"128",1,"R",259.61
"129",1,"R",221.64
"130",1,"R",35.31
"131",1,"R",264.79
"132",1,"L",318.96
"133",1,"L",279.75
"134",1,"R",297.33
"135",1,"L",302.65
"136",1,"L",285.59
"137",1,"R",284.56
"138",1,"R",281.49
"139",1,"L",231.36
"140",1,"L",287.54
"141",1,"L",18.71
"142",1,"L",312.2
"143",1,"R",297.78
"144",1,"L",301.07
"145",1,"L",300.58
"146",1,"L",263.46
"147",1,"L",293.91
"148",1,"R",297.15
"149",1,"R",258.12
"150",1,"L",88.15
"151",1,"R",251.34
"152",1,"L",292.19
"153",1,"R",253.96
"154",1,"R",262.88
"155",1,"R",273.44
"156",1,"L",273.67
"157",1,"L",16.24
"158",1,"R",318.23
"159",1,"R",299.33
"160",1,"R",296.38
"161",1,"L",261.66
"162",1,"L",275.15
"163",1,"L",276.04
"164",1,"L",267.88
"165",1,"R",251.21
"166",1,"L",251.51
"167",1,"R",287.38
"168",1,"L",265.41
"169",1,"L",284.29
"170",1,"R",258.72
"171",1,"R",243.54
"172",1,"R",294.85
"173",1,"L",290.58
"174",1,"L",252.59
"175",1,"L",262.06
"176",1,"R",250.35
"177",1,"L",270.5
"178",1,"R",296.03
"179",1,"R",270.78
"180",1,"R",269.82
"181",1,"R",289.78
"182",1,"L",273.57
"183",1,"L",268.38
"184",1,"R",263.68
"185",1,"R",270.36
"186",1,"R",274.5
"187",1,"L",272.49
"188",1,"R",303.54
"189",1,"R",286.63
"190",1,"R",250.72
"191",1,"R",302.75
"192",1,"L",291.12
"193",1,"L",293.17
"194",1,"L",320.11
"195",1,"L",29.65
"196",1,"L",333
"197",1,"L",326.32
"198",1,"L",324.92
"199",1,"L",310.59
"200",1,"R",299.53
"201",1,"R",306.03
"202",1,"L",306.37
"203",1,"R",264.2
"204",1,"L",303.29
"205",1,"R",264.32
"206",1,"R",295.92
"207",1,"R",261.38
"208",1,"R",230.88
"209",1,"L",300.1
"210",1,"L",293.2
"211",1,"L",267.51
"212",1,"L",33.05
"213",1,"L",319.42
"214",2,"L",347.78
"215",2,"R",335.11
"216",2,"R",197.01
"217",2,"L",294.56
"218",2,"R",348.55
"219",2,"R",341.98
"220",2,"L",338.25
"221",2,"R",337.5
"222",2,"L",348.68
"223",2,"R",185.98
"224",2,"R",341.62
"225",2,"L",300.61
"226",2,"R",312.24
"227",2,"L",212.69
"228",2,"L",319.84
"229",2,"L",297.93
"230",2,"L",319.14
"231",2,"R",329.03
"232",2,"L",283.46
"233",2,"R",284.82
"234",2,"R",281.39
"235",2,"R",338.96
"236",2,"L",266.46
"237",2,"L",313.27
"238",2,"L",322.1
"239",2,"R",277.63
"240",2,"R",276.24
"241",2,"R",304.2
"242",2,"R",337.55
"243",2,"R",314.91
"244",2,"R",323.83
"245",2,"L",273.53
"246",2,"L",47.72
"247",2,"L",267.49
"248",2,"L",333.11
"249",2,"L",316.71
"250",2,"R",318.39
"251",2,"L",282.98
"252",2,"R",224.69
"253",2,"R",304.04
"254",2,"R",316.84
"255",2,"L",263.36
"256",2,"L",213.38
"257",2,"R",173.1
"258",2,"R",292.96
"259",2,"R",267.72
"260",2,"L",222.44
"261",2,"L",342.53
"262",2,"R",321.03
"263",2,"L",267.63
"264",2,"R",285
"265",2,"L",296.07
"266",2,"L",298.09
"267",2,"R",306.39
"268",2,"L",297.5
"269",2,"R",335.94
"270",2,"R",352.83
"271",2,"L",344.57
"272",2,"R",329.16
"273",2,"L",157.6
"274",2,"R",299.27
"275",2,"L",203.6
"276",2,"R",324.67
"277",2,"L",341.86
"278",2,"R",336.64
"279",2,"L",329.42
"280",2,"L",340.16
"281",2,"R",320.04
"282",2,"L",327.18
"283",2,"R",273.5
"284",2,"L",339.91
