"","Subj_idx","Response","Confidence"
"1",1,2,3
"2",1,1,4
"3",1,1,3
"4",1,2,2
"5",1,2,3
"6",1,1,4
"7",1,2,1
"8",1,2,2
"9",1,1,3
"10",1,2,3
"11",1,2,4
"12",1,1,4
"13",1,2,2
"14",1,2,4
"15",1,1,3
"16",1,2,2
"17",1,1,1
"18",1,2,1
"19",1,1,3
"20",1,2,2
"21",1,1,3
"22",1,2,3
"23",1,1,3
"24",1,1,2
"25",1,2,2
"26",1,1,3
"27",1,2,4
"28",1,1,3
"29",1,1,4
"30",1,2,2
"31",1,1,2
"32",1,2,2
"33",1,1,3
"34",1,1,4
"35",1,2,4
"36",1,2,3
"37",1,1,4
"38",1,1,4
"39",1,2,2
"40",1,2,2
"41",1,1,2
"42",1,2,2
"43",1,1,4
"44",1,1,4
"45",1,2,4
"46",1,1,3
"47",1,2,2
"48",1,1,3
"49",1,2,2
"50",1,2,3
"51",1,2,4
"52",1,1,3
"53",1,2,3
"54",1,1,3
"55",1,2,3
"56",1,2,4
"57",1,2,3
"58",1,1,4
"59",1,2,3
"60",1,1,4
"61",1,1,2
"62",1,2,2
"63",1,2,1
"64",1,1,2
"65",1,2,1
"66",1,1,1
"67",1,2,1
"68",1,1,2
"69",1,2,3
"70",1,1,2
"71",1,2,3
"72",1,2,3
"73",1,1,2
"74",1,2,4
"75",1,1,3
"76",1,2,3
"77",1,1,4
"78",1,1,4
"79",1,1,3
"80",1,2,4
"81",1,2,3
"82",1,2,4
"83",1,1,2
"84",1,2,3
"85",1,1,2
"86",1,2,2
"87",1,1,4
"88",1,2,1
"89",1,1,3
"90",1,2,2
"91",1,1,2
"92",1,2,3
"93",1,2,2
"94",1,2,4
"95",1,1,2
"96",1,2,1
"97",1,2,2
"98",1,2,1
"99",1,1,2
"100",1,1,1
"101",1,2,3
"102",1,2,3
"103",1,2,1
"104",1,2,2
"105",1,2,3
"106",1,1,3
"107",1,1,4
"108",1,2,3
"109",1,2,2
"110",1,2,4
"111",1,1,2
"112",1,2,3
"113",1,1,3
"114",1,1,4
"115",1,1,4
"116",1,2,4
"117",1,1,2
"118",1,2,2
"119",1,2,4
"120",1,1,3
"121",1,2,4
"122",1,1,4
"123",1,1,4
"124",1,2,4
"125",1,1,4
"126",1,2,4
"127",1,1,3
"128",1,1,4
"129",1,2,3
"130",1,1,4
"131",1,2,4
"132",1,1,4
"133",1,2,4
"134",1,1,4
"135",1,2,3
"136",1,1,3
"137",1,2,4
"138",1,1,3
"139",1,2,3
"140",1,1,3
"141",1,2,3
"142",1,1,3
"143",1,2,3
"144",1,2,3
"145",1,1,3
"146",1,1,3
"147",1,2,3
"148",1,2,4
"149",1,1,4
"150",1,2,3
"151",1,1,3
"152",1,2,3
"153",1,1,3
"154",1,2,3
"155",1,1,2
"156",1,2,1
"157",1,2,2
"158",1,2,3
"159",1,2,3
"160",1,2,3
"161",1,1,1
"162",1,2,3
"163",1,2,3
"164",1,2,2
"165",1,1,2
"166",1,1,1
"167",1,1,2
"168",1,2,2
"169",1,2,1
"170",1,2,2
"171",1,1,3
"172",1,2,1
"173",1,2,3
"174",1,2,1
"175",1,2,2
"176",1,2,1
"177",1,2,3
"178",1,2,3
"179",1,2,2
"180",1,1,4
"181",1,2,2
"182",1,2,2
"183",1,1,4
"184",1,1,1
"185",1,1,1
"186",1,1,2
"187",1,1,1
"188",1,1,1
"189",1,1,4
"190",1,2,4
"191",1,2,3
"192",1,2,3
"193",1,2,2
"194",1,1,2
"195",1,2,4
"196",1,1,2
"197",1,2,2
"198",1,2,4
"199",1,1,4
"200",1,2,1
"201",1,2,3
"202",1,1,3
"203",1,2,3
"204",1,1,3
"205",1,1,3
"206",1,2,3
"207",1,1,4
"208",1,1,4
"209",1,2,3
"210",1,1,1
"211",1,1,4
"212",1,2,3
"213",1,1,3
"214",1,2,3
"215",1,2,4
"216",1,1,4
"217",1,1,4
"218",1,1,1
"219",1,2,4
"220",1,2,3
"221",1,2,3
"222",1,1,4
"223",1,2,2
"224",1,1,3
"225",1,2,3
"226",1,2,3
"227",1,2,4
"228",1,2,3
"229",1,1,3
"230",1,1,3
"231",1,1,3
"232",1,1,3
"233",1,2,3
"234",1,1,3
"235",1,2,3
"236",1,1,3
"237",1,1,3
"238",1,1,3
"239",1,2,3
"240",1,2,3
"241",1,2,3
"242",1,2,4
"243",1,1,3
"244",1,2,3
"245",1,1,2
"246",1,2,2
"247",1,2,1
"248",1,1,1
"249",1,1,4
"250",1,2,3
"251",1,2,4
"252",1,1,3
"253",1,1,3
"254",1,2,2
"255",1,1,3
"256",1,2,3
"257",1,1,2
"258",1,1,3
"259",1,1,3
"260",1,1,4
"261",1,2,4
"262",1,1,3
"263",1,1,4
"264",1,1,4
"265",1,1,4
"266",1,1,3
"267",1,2,1
"268",1,1,1
"269",1,1,1
"270",1,1,2
"271",1,2,2
"272",1,2,1
"273",1,2,4
"274",1,1,1
"275",1,1,3
"276",1,1,2
"277",1,1,3
"278",1,1,2
"279",1,2,4
"280",1,1,2
"281",1,2,1
"282",1,2,1
"283",1,1,1
"284",1,1,2
"285",1,2,1
"286",1,1,1
"287",1,1,2
"288",1,1,1
"289",1,2,2
"290",1,2,3
"291",1,1,4
"292",1,1,2
"293",1,1,2
"294",1,1,3
"295",1,1,3
"296",1,1,2
"297",1,1,3
"298",1,2,2
"299",1,2,1
"300",1,2,3
"301",1,1,3
"302",1,2,2
"303",1,1,2
"304",1,2,4
"305",1,1,1
"306",1,1,2
"307",1,2,2
"308",1,1,2
"309",1,1,4
"310",1,1,3
"311",1,2,3
"312",1,1,3
"313",1,1,3
"314",1,1,3
"315",1,1,3
"316",1,2,4
"317",1,1,3
"318",1,1,3
"319",1,2,3
"320",1,1,4
"321",1,1,3
"322",1,2,3
"323",1,1,4
"324",1,2,3
"325",1,2,3
"326",1,1,2
