"","Subj_idx","Response","Confidence"
"1",109,1,2
"2",109,2,2
"3",109,1,1
"4",109,2,3
"5",109,2,3
"6",109,2,4
"7",109,1,4
"8",109,2,3
"9",109,2,3
"10",109,1,3
"11",109,2,2
"12",109,1,2
"13",109,2,4
"14",109,1,2
"15",109,1,4
"16",109,1,3
"17",109,2,3
"18",109,1,4
"19",109,2,4
"20",109,2,1
"21",109,2,2
"22",109,1,2
"23",109,2,4
"24",109,2,4
"25",109,2,4
"26",109,2,4
"27",109,1,2
"28",109,1,4
"29",109,2,4
"30",109,1,2
"31",109,2,4
"32",109,2,4
"33",109,2,4
"34",109,2,4
"35",109,2,3
"36",109,2,2
"37",109,2,2
"38",109,2,4
"39",109,1,2
"40",109,1,4
"41",109,1,2
"42",109,1,3
"43",109,1,4
"44",109,1,3
"45",109,1,4
"46",109,2,4
"47",109,1,1
"48",109,1,2
"49",109,2,4
"50",109,2,4
"51",109,1,2
"52",109,1,4
"53",109,1,3
"54",109,1,4
"55",109,1,4
"56",109,2,2
"57",109,2,4
"58",109,1,4
"59",109,1,2
"60",109,1,2
"61",109,2,4
"62",109,1,2
"63",109,2,3
"64",109,1,3
"65",109,1,4
"66",109,2,4
"67",109,2,4
"68",109,2,4
"69",109,2,4
"70",109,2,4
"71",109,1,4
"72",109,2,4
"73",109,1,1
"74",109,2,4
"75",109,1,1
"76",109,1,1
"77",109,2,2
"78",109,1,2
"79",109,1,4
"80",109,1,4
"81",109,1,4
"82",109,2,4
"83",109,1,4
"84",109,1,4
"85",109,1,4
"86",109,2,4
"87",109,1,4
"88",109,1,4
"89",109,2,4
"90",109,1,4
"91",109,2,2
"92",109,2,3
"93",109,2,4
"94",109,1,4
"95",109,2,4
"96",109,2,4
"97",109,2,4
"98",109,2,4
"99",109,1,1
"100",109,1,4
"101",109,2,4
"102",109,2,4
"103",109,1,4
"104",109,2,4
"105",109,1,4
"106",109,2,4
"107",109,2,4
"108",109,1,4
"109",109,2,4
"110",109,1,4
"111",109,2,4
"112",109,1,4
"113",109,2,4
"114",109,1,4
"115",109,2,4
"116",109,2,4
"117",109,1,4
"118",109,1,4
"119",109,2,4
"120",109,2,3
"121",109,2,4
"122",109,1,2
"123",109,2,4
"124",109,1,3
"125",109,1,4
"126",109,2,4
"127",109,1,4
"128",109,2,4
"129",109,1,4
"130",109,1,3
"131",109,1,4
"132",109,1,4
"133",109,1,4
"134",109,2,4
"135",109,1,1
"136",109,1,4
"137",109,1,4
"138",109,1,4
"139",109,2,4
"140",109,2,4
"141",109,2,4
"142",109,1,4
"143",109,1,4
"144",109,2,4
"145",109,2,4
"146",109,2,4
"147",109,1,1
"148",109,2,4
"149",109,2,4
"150",109,1,1
"151",109,1,4
"152",109,2,4
"153",109,2,4
"154",109,2,4
"155",109,1,4
"156",109,2,4
"157",109,2,3
"158",109,1,1
"159",109,2,4
"160",109,2,4
"161",109,2,4
"162",109,1,4
"163",109,2,4
"164",109,1,4
"165",109,1,4
"166",109,1,2
"167",109,1,4
"168",109,1,4
"169",109,1,4
"170",109,2,4
"171",109,1,4
"172",109,1,4
"173",109,1,4
"174",109,1,4
"175",109,1,4
"176",109,1,2
"177",109,1,1
"178",109,2,4
"179",109,2,3
"180",109,1,4
"181",109,2,4
"182",109,2,4
"183",109,2,4
"184",109,2,4
"185",109,1,4
"186",109,1,4
"187",109,2,4
"188",109,2,1
"189",109,1,4
"190",109,2,4
"191",109,1,1
"192",109,2,4
"193",109,2,3
"194",109,1,4
"195",109,1,4
"196",109,2,4
"197",109,2,4
"198",109,2,4
"199",109,2,4
"200",109,2,4
"201",109,1,1
"202",109,2,4
"203",109,1,4
"204",109,2,2
"205",109,2,4
"206",109,2,4
"207",109,1,4
"208",109,2,4
"209",109,1,4
"210",109,2,4
"211",109,1,4
"212",109,2,4
"213",109,2,4
"214",109,1,4
"215",109,2,1
"216",109,1,4
"217",109,2,4
"218",109,1,4
"219",109,2,4
"220",109,2,4
"221",109,1,4
"222",109,2,1
"223",109,2,4
"224",109,2,4
"225",109,2,4
"226",109,1,4
"227",109,2,4
"228",109,2,4
"229",109,1,4
"230",109,2,4
"231",109,1,4
"232",109,1,4
"233",109,1,1
"234",109,1,4
"235",109,1,1
"236",109,1,4
"237",109,1,4
"238",109,1,4
"239",109,1,4
"240",109,1,4
"241",109,2,4
"242",109,2,4
"243",109,2,4
"244",109,2,4
"245",109,1,4
"246",109,1,1
"247",109,1,4
"248",109,1,4
"249",109,2,4
"250",109,1,4
"251",109,1,3
"252",109,1,4
"253",109,1,1
"254",109,2,4
"255",109,2,3
"256",109,1,4
"257",109,1,4
"258",109,2,4
"259",109,1,1
"260",109,2,4
"261",109,2,4
"262",109,1,1
"263",109,1,1
"264",109,1,4
"265",109,1,2
"266",109,2,4
"267",109,1,4
"268",109,1,1
"269",109,1,1
"270",109,2,4
"271",109,1,1
"272",109,1,4
"273",109,1,4
"274",109,1,4
"275",109,2,4
"276",109,2,4
"277",109,2,4
"278",109,2,4
"279",109,2,1
"280",109,1,1
"281",109,2,4
"282",109,1,4
"283",109,1,4
"284",109,2,4
"285",109,1,4
"286",109,1,4
"287",109,1,4
"288",109,1,4
"289",109,1,4
"290",109,1,4
"291",109,1,4
"292",109,1,4
"293",109,1,4
"294",109,1,4
"295",109,2,4
"296",109,2,4
"297",109,2,4
"298",109,1,3
"299",109,2,4
"300",109,2,4
"301",109,1,1
"302",109,1,4
"303",109,2,4
"304",109,1,4
"305",109,1,1
"306",109,1,4
"307",109,1,4
"308",109,1,4
"309",109,2,4
"310",109,2,4
"311",109,1,4
"312",109,1,4
"313",109,2,4
"314",109,1,4
"315",109,1,1
"316",109,2,4
"317",109,1,1
"318",109,2,4
"319",109,2,4
"320",109,2,1
"321",109,2,4
"322",109,1,4
"323",109,2,4
"324",109,1,4
"325",109,1,4
"326",109,2,4
"327",109,2,4
"328",109,1,4
