"","Subj_idx","Response","Confidence"
"1",1,37,6
"2",1,40,6
"3",1,48,6
"4",1,50,7
"5",1,46,7
"6",1,49,6
"7",1,35,6
"8",1,40,8
"9",1,62,7
"10",1,65,8
"11",1,45,7
"12",1,35,6
"13",1,38,8
"14",1,40,8
"15",1,30,7
"16",1,45,7
"17",1,55,7
"18",1,60,8
"19",1,50,7
"20",1,40,7
"21",1,52,8
"22",1,40,7
"23",1,35,7
"24",1,38,7
"25",1,40,7
"26",1,45,7
"27",1,37,7
"28",1,20,7
"29",1,33,7
"30",1,42,7
"31",1,29,7
"32",1,45,6
"33",1,65,7
"34",1,50,7
"35",1,60,8
"36",1,48,7
"37",1,52,6
"38",1,55,8
"39",1,40,6
"40",1,55,7
"41",1,36,8
"42",1,34,6
"43",1,39,7
"44",1,21,7
"45",1,35,6
"46",1,44,6
"47",1,24,6
"48",1,33,6
"49",1,20,6
"50",1,35,6
"51",1,28,6
"52",1,30,8
"53",1,32,7
"54",1,28,7
"55",1,40,7
"56",1,36,6
"57",1,31,6
"58",1,26,7
"59",1,45,7
"60",1,30,8
"61",1,35,6
"62",1,28,8
"63",1,32,7
"64",1,38,7
"65",1,27,8
"66",1,12,8
"67",1,26,6
"68",1,48,8
"69",1,36,6
"70",1,34,8
"71",1,32,7
"72",1,35,7
"73",1,30,8
"74",1,26,7
"75",1,34,8
"76",1,18,7
"77",1,29,7
"78",1,32,8
"79",1,28,6
"80",1,36,6
"81",1,40,7
"82",1,26,7
"83",1,32,7
"84",1,34,7
"85",1,29,7
"86",1,52,7
"87",1,50,8
"88",1,39,7
"89",1,48,6
"90",1,38,8
"91",1,50,7
"92",1,44,7
"93",1,46,8
"94",1,54,7
"95",1,50,7
"96",1,38,7
"97",1,40,7
"98",1,32,7
"99",1,31,7
"100",1,36,6
"101",1,40,7
"102",1,28,7
"103",1,30,7
"104",1,29,7
"105",1,37,6
"106",1,41,8
"107",1,36,7
"108",1,35,7
"109",1,32,6
"110",1,34,7
"111",1,30,7
"112",1,35,8
"113",1,26,6
"114",1,36,8
"115",1,25,7
"116",1,40,7
"117",1,42,6
"118",1,45,7
"119",1,38,6
"120",1,36,8
"121",1,29,7
"122",1,28,7
"123",1,28,7
"124",1,22,6
"125",1,26,7
"126",1,18,8
"127",1,21,7
"128",1,25,7
"129",1,28,7
"130",1,31,8
"131",1,36,7
