"","Subj_idx","Response","Confidence"
"1",1,2,2
"2",1,1,1
"3",1,2,3
"4",1,2,1
"5",1,2,2
"6",1,1,4
"7",1,1,3
"8",1,2,1
"9",1,1,2
"10",1,1,4
"11",1,1,4
"12",1,2,3
"13",1,2,1
"14",1,2,4
"15",1,1,3
"16",1,2,2
"17",1,2,1
"18",1,1,2
"19",1,1,3
"20",1,1,3
"21",1,2,4
"22",1,2,3
"23",1,2,4
"24",1,2,3
"25",1,1,3
"26",1,1,3
"27",1,2,3
"28",1,2,2
"29",1,1,2
"30",1,1,3
"31",1,1,2
"32",1,1,1
"33",1,1,2
"34",1,2,1
"35",1,2,1
"36",1,2,1
"37",1,2,2
"38",1,1,3
"39",1,1,4
"40",1,2,2
"41",1,1,2
"42",1,1,4
"43",1,1,3
"44",1,1,4
"45",1,1,2
"46",1,2,4
"47",1,1,3
"48",1,2,2
"49",1,1,1
"50",1,2,2
"51",1,1,3
"52",1,2,2
"53",1,1,3
"54",1,2,3
"55",1,1,4
"56",1,1,3
"57",1,2,4
"58",1,1,3
"59",1,2,1
"60",1,1,4
"61",1,2,3
"62",1,2,2
"63",1,2,1
"64",1,1,1
"65",1,2,3
"66",1,1,4
"67",1,1,4
"68",1,2,3
"69",1,1,4
"70",1,1,3
"71",1,2,2
"72",1,1,2
"73",1,1,2
"74",1,2,3
"75",1,1,3
"76",1,2,3
"77",1,1,3
"78",1,2,4
"79",1,2,2
"80",1,1,2
"81",1,1,3
"82",1,1,2
"83",1,2,3
"84",1,1,4
"85",1,2,2
"86",1,1,2
"87",1,1,2
"88",1,2,3
"89",1,1,2
"90",1,1,4
"91",1,2,4
"92",1,1,4
"93",1,2,4
"94",1,1,2
"95",1,2,4
"96",1,1,3
"97",1,1,3
"98",1,1,3
"99",1,2,2
"100",1,1,2
"101",1,2,4
"102",1,2,2
"103",1,2,3
"104",1,2,4
"105",1,2,2
"106",1,2,2
"107",1,1,3
"108",1,2,2
"109",1,2,3
"110",1,1,4
"111",1,1,3
"112",1,1,4
"113",1,2,3
"114",1,2,4
"115",1,1,4
"116",1,1,4
"117",1,1,4
"118",1,1,3
"119",1,2,4
"120",1,1,3
"121",1,1,2
"122",1,2,3
"123",1,1,4
"124",1,2,2
"125",1,1,1
"126",1,1,3
"127",1,1,4
"128",1,2,3
"129",1,2,3
"130",1,1,3
"131",1,2,4
"132",1,2,2
"133",1,1,2
"134",1,2,4
"135",1,1,2
"136",1,1,4
"137",1,2,1
"138",1,2,2
"139",1,2,1
"140",1,1,4
"141",1,1,4
"142",1,2,4
"143",1,1,2
"144",1,1,1
"145",1,1,3
"146",1,1,4
"147",1,1,3
"148",1,1,3
"149",1,2,4
"150",1,2,2
"151",1,2,2
"152",1,2,3
"153",1,1,2
"154",1,2,3
"155",1,1,3
"156",1,1,4
"157",1,1,4
"158",1,2,2
"159",1,2,4
"160",1,1,2
"161",1,1,3
"162",1,1,2
"163",1,2,4
"164",1,2,2
"165",1,2,4
"166",1,1,4
"167",1,2,3
"168",1,1,2
"169",1,2,3
"170",1,1,4
"171",1,2,3
"172",1,1,2
"173",1,1,2
"174",1,1,3
"175",1,2,3
"176",1,2,3
"177",1,1,2
"178",1,1,4
"179",1,2,4
"180",2,2,4
"181",2,2,4
"182",2,2,4
"183",2,1,4
"184",2,2,4
"185",2,2,1
"186",2,2,4
"187",2,1,2
"188",2,1,3
"189",2,2,1
"190",2,1,4
"191",2,2,2
"192",2,2,2
"193",2,2,4
"194",2,1,4
"195",2,2,2
"196",2,2,4
"197",2,2,2
"198",2,1,4
"199",2,2,4
"200",2,1,4
"201",2,2,2
"202",2,2,4
"203",2,2,2
"204",2,2,4
"205",2,2,4
"206",2,2,3
"207",2,1,4
"208",2,2,3
"209",2,1,4
"210",2,2,4
"211",2,1,4
"212",2,2,4
"213",2,2,4
"214",2,1,4
"215",2,2,2
"216",2,1,4
"217",2,2,4
"218",2,1,4
"219",2,1,2
"220",2,2,4
"221",2,1,4
"222",2,2,4
"223",2,2,1
"224",2,1,2
"225",2,1,4
