"","Subj_idx","Response","Confidence"
"1",1,1,4
"2",1,1,2
"3",1,1,3
"4",1,2,2
"5",1,1,2
"6",1,NA,NA
"7",1,2,3
"8",1,1,2
"9",1,2,3
"10",1,1,3
"11",1,1,1
"12",1,2,3
"13",1,1,3
"14",1,2,4
"15",1,1,4
"16",1,1,4
"17",1,NA,NA
"18",1,1,4
"19",1,1,4
"20",1,1,4
"21",1,1,4
"22",1,1,1
"23",1,1,2
"24",1,2,1
"25",1,2,1
"26",1,1,4
"27",1,1,4
"28",1,1,4
"29",1,2,4
"30",1,2,4
"31",1,2,4
"32",1,1,4
"33",1,2,2
"34",1,1,2
"35",1,1,4
"36",1,1,4
"37",1,1,4
"38",1,1,2
"39",1,NA,NA
"40",1,1,4
"41",1,1,4
"42",1,2,4
"43",1,1,2
"44",1,2,4
"45",1,1,4
"46",1,2,4
"47",1,NA,NA
"48",1,1,4
"49",1,1,4
"50",1,1,4
"51",1,1,1
"52",1,2,2
"53",1,2,2
"54",1,2,2
"55",1,2,2
"56",1,1,4
"57",1,1,4
"58",1,1,4
"59",1,1,2
"60",1,NA,NA
"61",1,2,4
"62",1,1,1
"63",1,1,1
"64",1,1,2
"65",1,1,1
"66",1,1,4
"67",1,2,4
"68",1,2,4
"69",1,2,1
"70",1,1,3
"71",1,2,4
"72",1,2,4
"73",1,NA,NA
"74",1,2,3
"75",1,1,4
"76",1,2,3
"77",1,2,1
"78",1,2,3
"79",1,NA,NA
"80",1,2,4
"81",1,2,4
"82",1,2,4
"83",1,NA,NA
"84",1,2,4
"85",1,1,4
"86",1,1,4
"87",1,1,2
"88",1,2,4
"89",1,2,4
"90",1,2,3
"91",1,1,3
"92",1,1,1
"93",1,2,2
"94",1,1,4
"95",1,2,4
"96",1,1,3
"97",1,1,2
"98",1,2,2
"99",1,1,4
"100",1,2,4
"101",1,1,4
"102",1,2,1
"103",1,2,4
"104",1,2,3
"105",1,2,3
"106",1,1,1
"107",1,1,4
"108",1,2,4
"109",1,2,3
"110",1,2,2
"111",1,2,4
"112",1,1,4
"113",1,1,4
"114",1,1,1
"115",1,1,1
"116",1,2,4
"117",1,2,4
"118",1,1,4
"119",1,1,1
"120",1,1,1
"121",1,2,4
"122",1,2,1
"123",1,2,2
"124",1,1,2
"125",1,1,2
"126",1,2,1
"127",1,NA,NA
"128",1,2,1
"129",1,2,4
"130",1,1,1
"131",1,1,4
"132",1,NA,NA
"133",1,2,1
"134",1,2,1
"135",1,2,4
"136",1,NA,NA
"137",1,1,1
"138",1,1,4
"139",1,2,4
"140",1,2,1
"141",1,2,1
"142",1,1,4
"143",1,2,4
"144",1,1,1
"145",1,1,4
"146",1,NA,NA
"147",1,2,4
"148",1,1,1
"149",1,1,4
"150",1,2,2
"151",1,1,1
"152",1,1,4
"153",1,1,4
"154",1,1,4
"155",1,1,1
"156",1,2,4
"157",1,2,4
"158",1,1,3
"159",1,2,2
"160",1,2,1
"161",1,2,4
"162",1,1,4
"163",1,2,4
"164",1,2,1
"165",1,2,2
"166",1,2,4
"167",1,2,4
"168",1,2,4
"169",1,2,3
"170",1,1,3
"171",1,2,1
"172",1,2,1
"173",1,2,2
"174",1,2,1
"175",1,1,4
"176",1,2,4
"177",1,1,2
"178",1,1,4
"179",1,2,4
"180",1,1,4
"181",1,2,3
"182",1,2,1
"183",1,1,3
"184",1,1,3
"185",1,1,2
"186",1,NA,NA
"187",1,1,2
"188",1,1,2
"189",1,1,3
"190",1,NA,NA
"191",1,2,1
"192",1,1,3
"193",1,1,3
"194",1,1,3
"195",1,1,1
"196",1,1,2
"197",1,2,1
"198",1,2,3
"199",1,NA,NA
"200",1,2,1
"201",1,2,4
"202",1,2,4
"203",1,2,4
"204",1,2,2
"205",1,1,1
"206",1,1,1
"207",1,1,4
"208",1,2,4
"209",1,1,4
"210",1,2,2
"211",1,1,4
"212",1,1,4
"213",1,1,4
"214",1,NA,NA
"215",1,1,4
"216",1,2,4
"217",1,2,4
"218",1,NA,NA
"219",1,2,4
"220",1,2,4
"221",1,2,4
"222",1,1,2
"223",1,2,4
"224",1,2,4
"225",1,1,4
"226",1,1,1
"227",1,NA,NA
"228",1,1,4
"229",1,2,4
"230",1,1,3
"231",1,2,1
"232",1,1,2
"233",1,1,2
"234",1,2,1
"235",1,1,2
"236",1,1,1
"237",1,2,4
"238",1,1,4
"239",1,1,4
"240",1,1,1
"241",1,2,4
"242",1,1,1
"243",1,2,2
"244",1,2,1
"245",1,2,1
"246",1,2,1
"247",1,1,4
"248",1,1,4
"249",1,1,4
"250",1,1,3
"251",1,2,2
"252",1,1,1
"253",1,2,2
"254",1,1,1
"255",1,2,2
"256",1,2,1
"257",1,2,4
"258",1,1,3
"259",1,2,4
"260",1,2,2
"261",1,1,4
"262",1,2,3
"263",1,2,4
"264",1,2,3
"265",1,1,4
"266",1,2,3
"267",1,1,4
"268",1,2,1
"269",1,2,2
"270",1,1,2
"271",1,2,1
"272",1,2,2
"273",1,1,4
"274",1,1,4
"275",1,2,4
"276",1,2,2
"277",1,2,2
"278",1,1,1
"279",1,1,1
"280",1,1,2
"281",1,1,2
"282",1,1,2
"283",1,1,4
"284",1,2,4
"285",1,1,3
"286",1,1,1
"287",1,2,2
"288",1,2,1
"289",1,1,2
"290",1,2,1
"291",1,2,1
"292",1,2,4
"293",1,2,4
"294",1,2,4
"295",1,1,3
"296",1,2,1
"297",1,1,4
"298",1,1,4
"299",1,2,3
"300",1,1,2
"301",1,1,3
"302",1,1,3
"303",1,1,3
"304",1,1,3
"305",1,1,2
"306",1,NA,NA
"307",1,1,3
"308",1,1,3
"309",1,2,3
"310",1,2,2
"311",1,1,3
"312",1,2,2
"313",1,2,4
"314",1,2,4
"315",1,1,4
"316",1,1,3
"317",1,2,3
"318",1,1,2
"319",1,NA,NA
"320",1,1,2
"321",1,1,2
"322",1,2,4
"323",1,2,4
"324",1,1,4
"325",1,2,1
"326",1,1,4
"327",1,1,4
"328",1,1,4
"329",1,2,2
"330",1,1,2
"331",1,2,2
"332",1,2,4
"333",1,2,4
"334",1,1,4
"335",1,1,1
"336",1,2,1
"337",1,1,4
"338",1,2,3
"339",1,2,4
"340",1,2,1
"341",1,NA,NA
"342",1,2,4
"343",1,1,4
"344",1,2,4
"345",1,1,3
"346",1,2,4
"347",1,1,4
"348",1,1,4
"349",1,2,3
"350",1,2,3
"351",1,1,4
"352",1,2,4
"353",1,2,4
"354",1,1,3
"355",1,2,3
"356",1,1,4
"357",1,1,4
"358",1,2,4
"359",1,2,3
"360",1,2,2
"361",1,2,3
"362",1,2,2
"363",1,2,1
"364",1,2,3
"365",1,1,3
"366",1,1,2
"367",1,NA,NA
"368",1,2,3
"369",1,1,4
"370",1,1,3
"371",1,2,2
"372",1,1,2
"373",1,2,3
"374",1,1,3
"375",1,1,1
"376",1,NA,NA
"377",1,1,2
"378",1,2,2
"379",1,1,3
"380",1,2,2
"381",1,2,1
"382",1,1,3
"383",1,1,2
"384",1,1,1
"385",1,2,2
"386",1,2,2
"387",1,1,4
"388",1,1,4
"389",1,2,4
"390",1,2,1
"391",1,2,1
"392",1,1,4
"393",1,2,4
"394",1,2,2
"395",1,2,2
"396",1,2,4
"397",1,2,4
"398",1,1,3
"399",1,1,1
"400",1,NA,NA
"401",1,2,3
"402",1,2,4
"403",1,2,4
"404",1,1,1
"405",1,2,1
"406",1,1,1
"407",1,2,4
"408",1,2,4
"409",1,2,4
"410",1,2,3
"411",1,2,4
"412",1,1,4
"413",1,2,4
"414",1,1,2
