"","Subj_idx","Response","Confidence"
"1",1,4,1
"2",1,2,4
"3",1,2,4
"4",1,2,4
"5",1,3,3
"6",1,3,4
"7",1,1,3
"8",1,2,2
"9",1,1,2
"10",1,1,2
"11",1,2,3
"12",1,2,3
"13",1,1,1
"14",1,3,3
"15",1,1,1
"16",1,1,1
"17",1,2,2
"18",1,3,3
"19",1,2,4
"20",1,3,3
"21",1,2,4
"22",1,2,4
"23",1,2,4
"24",1,2,3
"25",1,4,1
"26",1,4,1
"27",1,3,1
"28",1,2,3
"29",1,2,2
"30",1,2,2
"31",1,1,1
"32",1,2,3
"33",1,3,4
"34",1,2,3
"35",1,1,1
"36",1,2,4
"37",1,2,2
"38",1,2,1
"39",1,2,1
"40",1,2,3
"41",1,3,2
"42",1,3,3
"43",1,3,4
"44",1,3,4
"45",1,3,3
"46",1,2,2
"47",1,3,1
"48",1,3,2
"49",1,3,2
"50",1,2,2
"51",1,3,4
"52",1,3,3
"53",1,2,2
"54",1,2,2
"55",1,3,1
"56",1,2,2
"57",1,3,2
"58",1,2,1
"59",1,3,3
"60",1,3,1
"61",1,3,4
"62",1,3,2
"63",1,3,3
"64",1,3,2
"65",1,2,1
"66",1,2,1
"67",1,2,3
"68",1,3,3
"69",1,3,4
"70",1,2,2
"71",1,4,1
"72",1,3,2
"73",1,2,2
"74",1,2,3
"75",1,2,2
"76",1,2,3
"77",1,2,3
"78",1,2,2
"79",1,3,1
"80",1,4,2
"81",1,3,2
"82",1,1,2
"83",1,1,1
"84",1,1,3
"85",1,3,2
"86",1,3,2
"87",1,2,2
"88",1,3,3
"89",1,4,1
"90",1,2,2
"91",1,3,4
"92",1,3,4
"93",1,3,4
"94",1,1,1
"95",1,1,2
"96",1,3,3
"97",1,2,2
"98",1,3,3
"99",1,1,2
"100",1,1,2
"101",1,3,3
"102",1,3,3
"103",1,3,3
"104",1,2,2
"105",1,3,4
"106",1,2,2
"107",1,3,2
"108",1,3,3
"109",1,1,1
"110",1,3,3
"111",1,3,4
"112",1,3,4
"113",1,4,1
"114",1,3,4
"115",1,1,3
"116",1,3,4
"117",1,2,3
"118",1,3,4
"119",1,1,1
"120",1,3,3
"121",1,2,1
"122",1,2,2
"123",1,1,2
"124",1,1,1
"125",1,2,2
"126",1,2,3
"127",1,3,3
"128",1,3,3
"129",1,1,1
"130",1,4,1
"131",1,3,2
"132",1,1,1
"133",1,1,3
"134",1,1,2
"135",1,3,2
"136",1,2,3
"137",1,3,1
"138",1,1,3
"139",1,1,2
"140",1,2,3
"141",1,4,2
"142",1,4,3
"143",1,2,1
"144",1,2,2
"145",1,4,2
"146",1,2,2
"147",1,2,4
"148",1,2,4
"149",1,2,3
"150",1,4,3
"151",1,4,2
"152",1,4,1
"153",1,4,1
"154",1,4,1
"155",1,4,2
"156",1,2,1
"157",1,2,4
"158",1,2,4
"159",1,2,4
"160",1,2,4
"161",1,4,1
"162",1,2,2
"163",1,2,2
"164",1,2,1
"165",1,4,1
"166",1,2,4
"167",1,2,3
"168",1,2,2
"169",1,2,4
"170",1,4,3
"171",1,4,2
"172",1,2,4
"173",1,4,3
"174",1,2,4
"175",1,2,2
"176",1,1,4
"177",1,3,4
"178",1,3,2
"179",1,2,3
"180",1,2,3
"181",1,2,4
"182",1,2,4
"183",1,1,4
"184",1,2,3
"185",1,3,3
"186",1,2,3
"187",1,3,4
"188",1,4,1
"189",1,3,4
"190",1,3,4
"191",1,2,1
"192",1,1,1
"193",1,1,3
"194",1,3,3
"195",1,3,3
"196",1,4,1
"197",1,3,3
"198",1,1,1
"199",1,2,4
"200",1,4,1
"201",1,2,3
"202",1,2,3
"203",1,3,3
"204",1,2,4
"205",1,3,1
"206",1,1,1
"207",1,3,3
"208",1,4,1
"209",1,4,1
"210",1,3,2
"211",1,2,3
"212",1,1,4
"213",1,2,2
"214",1,1,2
"215",1,2,1
"216",1,2,4
"217",1,2,4
"218",1,2,4
"219",1,1,3
"220",1,2,3
"221",1,1,3
"222",1,2,2
"223",1,2,3
"224",1,1,1
"225",1,1,1
"226",1,1,3
"227",1,2,2
"228",1,2,3
"229",1,2,4
"230",1,2,4
"231",1,2,4
"232",1,2,4
"233",1,1,3
"234",1,1,3
"235",1,2,4
"236",1,2,4
"237",1,1,3
"238",1,2,4
"239",1,2,4
"240",1,2,4
"241",1,1,1
"242",1,1,1
"243",1,2,3
"244",1,2,1
"245",1,1,2
"246",1,2,1
"247",1,2,1
"248",1,2,3
"249",1,2,4
"250",1,3,3
"251",1,2,3
"252",1,3,3
"253",1,3,3
"254",1,4,1
"255",1,4,1
"256",1,3,2
"257",1,1,1
"258",1,2,2
"259",1,3,4
"260",1,3,3
"261",1,2,3
"262",1,3,3
"263",1,3,3
"264",1,3,3
"265",1,3,3
"266",1,4,1
"267",1,3,2
"268",1,1,1
"269",1,2,1
"270",1,2,1
"271",1,2,1
"272",1,1,1
"273",1,4,1
"274",1,4,1
"275",1,2,1
"276",1,4,3
"277",1,4,3
"278",1,4,3
"279",1,1,1
"280",1,4,3
"281",1,2,3
"282",1,3,2
"283",1,2,2
"284",1,2,2
"285",1,2,3
"286",1,3,4
"287",1,3,1
"288",1,1,2
"289",1,1,1
"290",1,2,1
"291",1,1,1
"292",1,3,2
"293",1,1,1
"294",1,1,1
"295",1,3,2
"296",1,2,4
"297",1,1,2
"298",1,1,3
"299",1,1,3
"300",1,3,3
"301",1,3,3
"302",1,2,3
"303",1,3,4
"304",1,2,3
"305",1,2,1
"306",1,4,2
"307",1,1,1
"308",1,3,3
"309",1,2,2
"310",1,1,2
"311",1,2,2
"312",1,1,1
"313",1,1,1
"314",1,2,3
"315",1,2,3
"316",1,3,4
"317",1,2,1
"318",1,2,4
"319",1,3,1
"320",1,4,1
"321",1,3,1
"322",1,2,3
"323",1,3,4
"324",1,1,3
"325",1,1,2
"326",1,1,2
"327",1,4,1
"328",1,3,3
"329",1,3,2
"330",1,1,1
"331",1,1,1
"332",1,2,3
"333",1,2,3
"334",1,3,2
"335",1,3,2
"336",1,2,2
"337",1,2,1
"338",1,1,1
"339",1,2,1
"340",1,2,4
"341",1,2,4
"342",1,2,1
"343",1,4,1
"344",1,2,4
"345",1,3,1
"346",1,3,1
"347",1,2,2
"348",1,2,1
"349",1,3,4
"350",1,1,3
"351",1,3,1
"352",1,1,1
"353",1,2,2
"354",1,3,2
"355",1,3,2
"356",1,1,1
"357",1,3,1
"358",1,2,1
"359",1,4,1
"360",1,3,3
"361",1,2,3
"362",1,3,3
"363",1,3,3
"364",1,2,3
"365",1,3,2
"366",1,1,1
"367",1,3,2
"368",1,2,1
"369",1,3,2
"370",1,1,1
"371",1,2,2
"372",1,2,3
"373",1,1,3
"374",1,1,2
"375",1,4,1
"376",1,2,3
"377",1,2,1
"378",1,4,1
"379",1,1,1
"380",1,3,2
"381",1,1,1
"382",1,3,2
"383",1,2,2
"384",1,2,1
"385",1,3,3
"386",1,4,1
"387",1,1,1
"388",1,1,3
"389",1,1,2
"390",1,1,1
"391",1,2,2
"392",1,4,1
"393",1,4,1
"394",1,2,2
"395",1,2,2
"396",1,4,1
"397",1,1,1
"398",1,1,1
"399",1,1,1
"400",1,1,3
"401",1,4,4
"402",1,1,4
"403",1,4,3
"404",1,4,3
"405",1,4,3
"406",1,1,4
"407",1,4,3
"408",1,1,3
"409",1,4,4
"410",1,4,4
"411",1,1,1
"412",1,1,4
"413",1,4,3
"414",1,1,4
"415",1,4,3
"416",1,1,4
"417",1,4,1
"418",1,1,1
"419",1,1,1
"420",1,1,1
"421",1,3,1
"422",1,3,2
"423",1,3,4
"424",1,3,4
"425",1,3,4
"426",1,4,1
"427",1,4,3
"428",1,3,4
"429",1,4,2
"430",1,4,1
"431",1,4,2
"432",1,4,1
"433",1,3,2
"434",1,3,2
"435",1,4,1
"436",1,3,3
"437",1,3,3
"438",1,3,4
"439",1,3,4
"440",1,3,3
"441",1,3,1
"442",1,3,3
"443",1,3,2
"444",1,4,1
"445",1,3,1
"446",1,4,1
"447",1,3,2
"448",1,3,4
"449",1,3,4
"450",1,3,3
"451",1,3,1
"452",1,3,4
"453",1,3,3
"454",1,3,4
"455",1,3,4
"456",1,2,3
"457",1,2,1
"458",1,1,3
"459",1,1,1
"460",1,3,2
"461",1,1,1
"462",1,2,2
"463",1,3,3
"464",1,3,3
"465",1,3,3
"466",1,3,3
"467",1,3,3
"468",1,3,2
"469",1,2,2
"470",1,1,3
"471",1,3,2
"472",1,1,4
"473",1,3,4
"474",1,2,3
"475",1,2,4
"476",1,1,1
"477",1,2,4
"478",1,1,1
"479",1,2,1
"480",1,1,1
"481",1,2,3
"482",1,2,2
"483",1,2,1
"484",1,1,1
"485",1,1,1
"486",1,3,2
"487",1,3,1
"488",1,3,1
"489",1,1,2
"490",1,2,1
"491",1,2,4
"492",1,2,3
"493",1,1,4
"494",1,1,4
"495",1,4,1
"496",1,2,1
"497",1,2,2
"498",1,4,1
"499",1,3,3
"500",1,1,2
"501",1,1,2
"502",1,1,1
"503",1,2,3
"504",1,2,3
"505",1,2,3
"506",1,2,3
"507",1,1,1
"508",1,1,1
"509",1,2,3
"510",1,3,1
"511",1,2,3
"512",1,2,2
"513",1,2,1
"514",1,1,1
"515",1,3,1
"516",1,1,1
"517",1,1,1
"518",1,2,1
"519",1,2,1
"520",1,1,1
"521",1,1,2
"522",1,1,3
"523",1,2,4
"524",1,3,2
"525",1,1,1
"526",1,3,1
"527",1,3,3
"528",1,3,1
"529",1,4,2
"530",1,3,3
"531",1,2,3
"532",1,4,1
"533",1,1,2
"534",1,4,1
"535",1,3,3
"536",1,1,1
