"","Subj_idx","Response","Confidence"
"1",1,0,0.995891
"2",1,0,1
"3",1,0,0
"4",1,1,0.989616
"5",1,0,0
"6",1,1,0
"7",1,1,0.250343
"8",1,1,1
"9",1,1,1
"10",1,1,0.041377
"11",1,0,1
"12",1,0,0.016849
"13",1,0,1
"14",1,1,1
"15",1,0,0.080546
"16",1,1,0.249773
"17",1,0,0.334576
"18",1,1,0.614846
"19",1,0,1
"20",1,0,0.983531
"21",1,1,0.515782
"22",1,1,0.839594
"23",1,0,1
"24",1,1,0.201097
"25",1,1,0.639184
"26",1,1,0.903101
"27",1,0,1
"28",1,0,1
"29",1,0,0
"30",1,0,0.960334
"31",1,1,0.346555
"32",1,0,0.090814
"33",1,0,0.026736
"34",1,0,0.676072
"35",1,0,0.039095
"36",1,0,0.585944
"37",1,1,0.998553
"38",1,0,0.230759
"39",1,1,0.00487
"40",1,1,0.064194
"41",1,0,0.056018
"42",1,1,0.743002
"43",1,1,0.696037
"44",1,0,0.001828
"45",1,1,0.055638
"46",1,0,0.358154
"47",1,1,0.376218
"48",1,1,0.9822
"49",1,0,0.744333
"50",1,1,0.174096
"51",1,1,0.753459
"52",1,1,0.216118
"53",1,0,0.047462
"54",1,1,0.229808
"55",1,0,0.236653
"56",1,1,0.917932
"57",1,1,0.955581
"58",1,1,0.021793
"59",1,0,0.253576
"60",1,1,0.049173
"61",1,1,1
"62",1,0,1
"63",1,1,0.966229
"64",1,1,0.997602
"65",1,0,0.030159
"66",1,1,0.09861
"67",1,0,0.080166
"68",1,0,0.193301
"69",1,0,0.242357
"70",1,0,0.849862
"71",1,0,0.961095
"72",1,1,0.431549
"73",1,1,0.893214
"74",1,0,0.189118
"75",1,1,0.96756
"76",1,1,0.915841
"77",1,0,1
"78",1,1,0.262893
"79",1,1,1
"80",1,0,1
"81",1,0,0.041948
"82",1,1,0.99437
"83",1,0,1
"84",1,1,1
"85",1,1,1
"86",1,0,0.079025
"87",1,0,1
"88",1,0,0.98182
"89",1,1,0.990377
"90",1,0,1
"91",1,1,1
"92",1,1,1
"93",1,1,0.082828
"94",1,0,1
"95",1,0,0.997792
"96",1,1,1
"97",1,1,0.107737
"98",1,1,0.163258
"99",1,0,0.070089
"100",1,0,0.373936
"101",1,1,0.785403
"102",1,1,0.075222
"103",1,0,0.122378
"104",1,1,0.212315
"105",1,1,0.428507
"106",1,0,0.162117
"107",1,0,0.247872
"108",1,0,0.260991
"109",1,0,0.227907
"110",1,1,1
"111",1,0,0.216308
"112",1,1,1
"113",1,1,0.116673
"114",1,1,1
"115",1,1,0.403598
"116",1,1,0.455507
"117",1,1,0.208702
"118",1,1,0.25909
"119",1,1,0.496387
"120",1,1,0.377168
"121",1,1,0.587656
"122",1,1,0.902911
"123",1,1,1
"124",1,1,1
"125",1,1,1
"126",1,1,0.979919
"127",1,0,1
"128",1,0,0.23228
"129",1,1,0.069898
"130",1,0,0.119145
"131",1,1,1
"132",1,1,0.992088
"133",1,0,0.555712
"134",1,1,0.985053
"135",1,0,0.132645
"136",1,1,0.989616
"137",1,1,0.989046
"138",1,1,0.126561
"139",1,1,0.176188
"140",1,1,1
"141",1,1,1
"142",1,1,0.995891
"143",1,0,0.24559
"144",1,1,0.377739
"145",1,0,1
"146",1,1,0.977067
"147",1,0,1
"148",1,0,1
"149",1,1,0.115152
"150",1,0,0.084159
"151",1,1,0.185125
"152",1,0,0.218019
"153",1,0,0.877052
"154",1,0,0.187977
"155",1,1,0.195773
"156",1,1,1
"157",1,1,0.172765
"158",1,1,0.959193
"159",1,1,1
"160",1,1,0.986764
"161",1,1,1
"162",1,1,0.161737
"163",1,0,0.986954
"164",1,0,0.978778
"165",1,1,0.980869
"166",1,0,1
"167",1,1,0.985243
"168",1,1,0.996651
"169",1,0,1
"170",1,0,0.181702
"171",1,0,0.181702
"172",1,0,0.374506
"173",1,0,0.738628
"174",1,0,0.39295
"175",1,1,0.997982
"176",1,0,0.011905
