"","idv","iv","iv2","dv","exp","order","half"
"1",1,"I",1,0.663118177999877,"Battich_etal_2021_rt_1","B1",1
"2",1,"I",2,1.42886209999961,"Battich_etal_2021_rt_2","B1",1
"3",1,"I",1,1.13732749900009,"Battich_etal_2021_rt_2","B1",1
"4",1,"I",2,1.45590670399997,"Battich_etal_2021_rt_1","B1",1
"5",1,"I",1,0.858151525000267,"Battich_etal_2021_rt_2","B1",1
"6",1,"I",1,0.812356961000205,"Battich_etal_2021_rt_1","B1",1
"7",1,"I",2,2.36439436899991,"Battich_etal_2021_rt_2","B1",1
"8",1,"I",2,1.17124741999987,"Battich_etal_2021_rt_2","B1",1
"9",1,"I",1,0.823572961000082,"Battich_etal_2021_rt_1","B1",1
"10",1,"I",1,1.06306835799978,"Battich_etal_2021_rt_2","B1",1
"11",1,"I",2,1.03565683099987,"Battich_etal_2021_rt_1","B1",1
"12",1,"I",2,2.09822502599991,"Battich_etal_2021_rt_1","B1",1
"13",1,"I",2,1.85062153299987,"Battich_etal_2021_rt_2","B1",1
"14",1,"I",2,2.64106184799994,"Battich_etal_2021_rt_1","B1",1
"15",1,"I",1,0.906706411999949,"Battich_etal_2021_rt_2","B1",1
"16",1,"I",1,0.819196290000036,"Battich_etal_2021_rt_1","B1",1
"17",1,"I",1,0.52240864300029,"Battich_etal_2021_rt_1","B1",1
"18",1,"I",1,0.618354711999928,"Battich_etal_2021_rt_1","B1",1
"19",1,"I",1,1.32340370800011,"Battich_etal_2021_rt_2","B1",1
"20",1,"I",2,0.732350175000192,"Battich_etal_2021_rt_1","B1",1
"21",1,"I",2,0.522081519000039,"Battich_etal_2021_rt_2","B1",1
"22",1,"I",2,0.606352317000074,"Battich_etal_2021_rt_1","B1",1
"23",1,"I",1,0.614540750000288,"Battich_etal_2021_rt_2","B1",1
"24",1,"I",2,0.700404002000141,"Battich_etal_2021_rt_2","B1",1
"25",1,"I",1,0.627505059000214,"Battich_etal_2021_rt_2","B1",1
"26",1,"I",2,1.07333455700018,"Battich_etal_2021_rt_2","B1",1
"27",1,"I",1,0.698927406999701,"Battich_etal_2021_rt_2","B1",1
"28",1,"I",2,0.635817608999787,"Battich_etal_2021_rt_1","B1",1
"29",1,"I",2,0.805267003000154,"Battich_etal_2021_rt_1","B1",1
"30",1,"I",2,0.632677067999794,"Battich_etal_2021_rt_2","B1",1
"31",1,"I",2,0.73436056699984,"Battich_etal_2021_rt_1","B1",1
"32",1,"I",1,0.79588564300002,"Battich_etal_2021_rt_1","B1",1
"33",1,"I",2,0.624678849000247,"Battich_etal_2021_rt_1","B1",1
"34",1,"I",2,1.62122189799993,"Battich_etal_2021_rt_1","B1",1
"35",1,"I",2,1.29739066999991,"Battich_etal_2021_rt_1","B1",1
"36",1,"I",1,0.674753611000142,"Battich_etal_2021_rt_1","B1",1
