"","idv","iv","iv2","dv","exp"
"1","1",0,0,1,"Forti_Humphreys_2008"
"2","1",1,1,0,"Forti_Humphreys_2008"
"3","1",0,1,1,"Forti_Humphreys_2008"
"4","1",0,1,1,"Forti_Humphreys_2008"
"5","1",0,0,0,"Forti_Humphreys_2008"
"6","1",1,1,1,"Forti_Humphreys_2008"
"7","1",1,0,1,"Forti_Humphreys_2008"
"8","1",0,0,1,"Forti_Humphreys_2008"
"9","1",1,0,0,"Forti_Humphreys_2008"
"10","1",0,0,0,"Forti_Humphreys_2008"
"11","1",1,0,0,"Forti_Humphreys_2008"
"12","1",0,1,0,"Forti_Humphreys_2008"
"13","1",1,0,0,"Forti_Humphreys_2008"
"14","1",1,1,0,"Forti_Humphreys_2008"
"15","1",1,0,0,"Forti_Humphreys_2008"
"16","1",1,1,1,"Forti_Humphreys_2008"
"17","1",0,1,0,"Forti_Humphreys_2008"
"18","1",1,0,0,"Forti_Humphreys_2008"
"19","1",1,1,0,"Forti_Humphreys_2008"
"20","1",0,0,0,"Forti_Humphreys_2008"
"21","1",0,0,0,"Forti_Humphreys_2008"
"22","1",1,1,0,"Forti_Humphreys_2008"
"23","1",1,1,0,"Forti_Humphreys_2008"
"24","1",0,1,0,"Forti_Humphreys_2008"
"25","1",0,1,0,"Forti_Humphreys_2008"
"26","1",0,1,0,"Forti_Humphreys_2008"
"27","1",0,0,1,"Forti_Humphreys_2008"
"28","1",1,1,0,"Forti_Humphreys_2008"
"29","1",1,1,0,"Forti_Humphreys_2008"
"30","1",1,0,1,"Forti_Humphreys_2008"
"31","1",1,0,0,"Forti_Humphreys_2008"
"32","1",1,1,0,"Forti_Humphreys_2008"
"33","1",0,0,0,"Forti_Humphreys_2008"
"34","1",0,0,0,"Forti_Humphreys_2008"
"35","1",1,0,1,"Forti_Humphreys_2008"
"36","1",0,0,0,"Forti_Humphreys_2008"
"37","1",0,1,0,"Forti_Humphreys_2008"
"38","1",1,0,0,"Forti_Humphreys_2008"
"39","1",0,1,0,"Forti_Humphreys_2008"
"40","1",0,1,0,"Forti_Humphreys_2008"
"41","1",1,1,1,"Forti_Humphreys_2008"
"42","1",1,0,0,"Forti_Humphreys_2008"
"43","1",1,1,0,"Forti_Humphreys_2008"
"44","1",0,1,0,"Forti_Humphreys_2008"
"45","1",1,1,1,"Forti_Humphreys_2008"
"46","1",1,1,1,"Forti_Humphreys_2008"
"47","1",0,0,0,"Forti_Humphreys_2008"
"48","1",1,1,0,"Forti_Humphreys_2008"
"49","1",1,1,0,"Forti_Humphreys_2008"
"50","1",1,1,0,"Forti_Humphreys_2008"
"51","1",0,1,1,"Forti_Humphreys_2008"
"52","1",1,1,0,"Forti_Humphreys_2008"
"53","1",0,1,0,"Forti_Humphreys_2008"
"54","1",1,0,0,"Forti_Humphreys_2008"
"55","1",1,1,0,"Forti_Humphreys_2008"
"56","1",0,1,0,"Forti_Humphreys_2008"
"57","1",0,1,0,"Forti_Humphreys_2008"
"58","1",0,1,0,"Forti_Humphreys_2008"
"59","1",0,1,0,"Forti_Humphreys_2008"
"60","1",1,1,1,"Forti_Humphreys_2008"
"61","1",0,0,0,"Forti_Humphreys_2008"
"62","1",0,1,0,"Forti_Humphreys_2008"
"63","1",1,0,0,"Forti_Humphreys_2008"
"64","1",0,1,1,"Forti_Humphreys_2008"
"65","1",1,0,1,"Forti_Humphreys_2008"
"66","1",0,1,0,"Forti_Humphreys_2008"
"67","1",0,1,0,"Forti_Humphreys_2008"
"68","1",0,0,0,"Forti_Humphreys_2008"
"69","1",1,1,1,"Forti_Humphreys_2008"
"70","1",1,0,1,"Forti_Humphreys_2008"
"71","1",0,0,0,"Forti_Humphreys_2008"
"72","1",1,1,1,"Forti_Humphreys_2008"
"73","1",1,0,0,"Forti_Humphreys_2008"
"74","1",0,0,1,"Forti_Humphreys_2008"
"75","1",0,1,0,"Forti_Humphreys_2008"
"76","1",0,0,0,"Forti_Humphreys_2008"
"77","1",1,0,0,"Forti_Humphreys_2008"
"78","1",0,0,0,"Forti_Humphreys_2008"
"79","1",1,0,0,"Forti_Humphreys_2008"
"80","1",1,0,1,"Forti_Humphreys_2008"
"81","1",1,0,0,"Forti_Humphreys_2008"
"82","1",1,0,0,"Forti_Humphreys_2008"
"83","1",1,1,0,"Forti_Humphreys_2008"
"84","1",1,0,0,"Forti_Humphreys_2008"
"85","1",1,0,0,"Forti_Humphreys_2008"
"86","1",1,1,0,"Forti_Humphreys_2008"
"87","1",1,0,0,"Forti_Humphreys_2008"
"88","1",1,0,0,"Forti_Humphreys_2008"
"89","1",1,1,1,"Forti_Humphreys_2008"
"90","1",0,0,0,"Forti_Humphreys_2008"
"91","1",0,0,0,"Forti_Humphreys_2008"
"92","1",0,0,0,"Forti_Humphreys_2008"
"93","1",0,0,0,"Forti_Humphreys_2008"
"94","1",1,1,0,"Forti_Humphreys_2008"
"95","1",1,0,1,"Forti_Humphreys_2008"
"96","1",0,1,0,"Forti_Humphreys_2008"
"97","1",0,1,1,"Forti_Humphreys_2008"
"98","1",0,0,1,"Forti_Humphreys_2008"
"99","1",1,1,0,"Forti_Humphreys_2008"
"100","1",0,1,1,"Forti_Humphreys_2008"
"101","1",1,1,1,"Forti_Humphreys_2008"
"102","1",1,1,0,"Forti_Humphreys_2008"
"103","1",1,1,0,"Forti_Humphreys_2008"
"104","1",0,0,1,"Forti_Humphreys_2008"
