"","idv","iv","dv","exp"
"1","1","typisch",499,"Estes_etal_2008"
"2","1","typisch",526,"Estes_etal_2008"
"3","1","typisch",575,"Estes_etal_2008"
"4","1","typisch",638,"Estes_etal_2008"
"6","1","typisch",685,"Estes_etal_2008"
"7","1","typisch",671,"Estes_etal_2008"
"8","1","typisch",607,"Estes_etal_2008"
"9","1","typisch",571,"Estes_etal_2008"
"10","1","typisch",732,"Estes_etal_2008"
"11","1","typisch",525,"Estes_etal_2008"
"12","1","typisch",707,"Estes_etal_2008"
"13","1","typisch",519,"Estes_etal_2008"
"14","1","typisch",730,"Estes_etal_2008"
"15","1","untypisch",672,"Estes_etal_2008"
"16","1","untypisch",462,"Estes_etal_2008"
"17","1","untypisch",411,"Estes_etal_2008"
"18","1","untypisch",591,"Estes_etal_2008"
"19","1","untypisch",804,"Estes_etal_2008"
"20","1","untypisch",936,"Estes_etal_2008"
"21","1","untypisch",646,"Estes_etal_2008"
"22","1","untypisch",526,"Estes_etal_2008"
"23","1","untypisch",745,"Estes_etal_2008"
"24","1","untypisch",464,"Estes_etal_2008"
"25","1","untypisch",665,"Estes_etal_2008"
"26","1","untypisch",441,"Estes_etal_2008"
"27","1","untypisch",496,"Estes_etal_2008"
"28","1","untypisch",462,"Estes_etal_2008"
"29","1","untypisch",397,"Estes_etal_2008"
"30","1","untypisch",574,"Estes_etal_2008"
"31","1","untypisch",488,"Estes_etal_2008"
"32","1","untypisch",566,"Estes_etal_2008"
"33","1","untypisch",690,"Estes_etal_2008"
"34","1","untypisch",575,"Estes_etal_2008"
"35","1","untypisch",603,"Estes_etal_2008"
"36","1","untypisch",400,"Estes_etal_2008"
"38","1","untypisch",650,"Estes_etal_2008"
"39","1","untypisch",520,"Estes_etal_2008"
"41","1","untypisch",520,"Estes_etal_2008"
"42","1","untypisch",912,"Estes_etal_2008"
"43","1","untypisch",492,"Estes_etal_2008"
"44","1","untypisch",489,"Estes_etal_2008"
"45","1","typisch",659,"Estes_etal_2008"
"46","1","typisch",594,"Estes_etal_2008"
"47","1","typisch",400,"Estes_etal_2008"
"48","1","typisch",469,"Estes_etal_2008"
"49","1","typisch",409,"Estes_etal_2008"
"50","1","typisch",703,"Estes_etal_2008"
"51","1","typisch",473,"Estes_etal_2008"
"52","1","typisch",563,"Estes_etal_2008"
"53","1","typisch",513,"Estes_etal_2008"
"54","1","typisch",586,"Estes_etal_2008"
"55","1","typisch",429,"Estes_etal_2008"
"56","1","typisch",769,"Estes_etal_2008"
"57","1","typisch",428,"Estes_etal_2008"
"58","1","typisch",735,"Estes_etal_2008"
"59","1","typisch",649,"Estes_etal_2008"
"60","1","typisch",467,"Estes_etal_2008"
"61","2","typisch",449,"Estes_etal_2008"
"62","2","typisch",651,"Estes_etal_2008"
"63","2","typisch",696,"Estes_etal_2008"
"64","2","typisch",469,"Estes_etal_2008"
"65","2","typisch",818,"Estes_etal_2008"
"66","2","typisch",619,"Estes_etal_2008"
