"","idv","iv","dv","exp"
"1","101","2",612,"Mirman_Magnuson_2008"
"2","101","2",560,"Mirman_Magnuson_2008"
"3","101","2",594,"Mirman_Magnuson_2008"
"4","101","2",601,"Mirman_Magnuson_2008"
"5","101","2",1097,"Mirman_Magnuson_2008"
"6","101","2",672,"Mirman_Magnuson_2008"
"7","101","2",691,"Mirman_Magnuson_2008"
"8","101","2",811,"Mirman_Magnuson_2008"
"9","101","2",579,"Mirman_Magnuson_2008"
"10","101","2",703,"Mirman_Magnuson_2008"
"11","101","2",656,"Mirman_Magnuson_2008"
"12","101","2",586,"Mirman_Magnuson_2008"
"13","101","2",540,"Mirman_Magnuson_2008"
"14","101","2",586,"Mirman_Magnuson_2008"
"15","101","2",835,"Mirman_Magnuson_2008"
"17","101","2",761,"Mirman_Magnuson_2008"
"18","101","2",552,"Mirman_Magnuson_2008"
"19","101","2",675,"Mirman_Magnuson_2008"
"20","101","2",706,"Mirman_Magnuson_2008"
"21","101","2",591,"Mirman_Magnuson_2008"
"22","101","2",592,"Mirman_Magnuson_2008"
"23","101","2",711,"Mirman_Magnuson_2008"
"24","101","2",641,"Mirman_Magnuson_2008"
"25","101","2",915,"Mirman_Magnuson_2008"
"26","101","2",696,"Mirman_Magnuson_2008"
"27","101","2",854,"Mirman_Magnuson_2008"
"28","101","2",759,"Mirman_Magnuson_2008"
"29","101","2",661,"Mirman_Magnuson_2008"
"31","101","2",566,"Mirman_Magnuson_2008"
"32","101","2",608,"Mirman_Magnuson_2008"
"33","101","2",968,"Mirman_Magnuson_2008"
"34","101","2",616,"Mirman_Magnuson_2008"
"36","101","2",551,"Mirman_Magnuson_2008"
"37","101","2",674,"Mirman_Magnuson_2008"
"38","101","2",563,"Mirman_Magnuson_2008"
"39","101","2",570,"Mirman_Magnuson_2008"
"40","101","2",997,"Mirman_Magnuson_2008"
"41","101","2",647,"Mirman_Magnuson_2008"
"43","101","2",576,"Mirman_Magnuson_2008"
