"","idv","iv","iv2","dv","exp"
"1",10,"unrelated","phonological",1979.3,"Roelofs"
"2",10,"unrelated","semantic",1578.3,"Roelofs"
"3",10,"unrelated","phonological",1274.3,"Roelofs"
"4",10,"related","phonological",1393.3,"Roelofs"
"5",10,"related","semantic",2319.3,"Roelofs"
"6",10,"unrelated","phonological",1246.3,"Roelofs"
"7",10,"unrelated","phonological",1379.3,"Roelofs"
"8",10,"unrelated","semantic",1390.3,"Roelofs"
"9",10,"unrelated","semantic",1029.3,"Roelofs"
"10",10,"unrelated","phonological",1051.3,"Roelofs"
"11",10,"unrelated","phonological",1803.3,"Roelofs"
"12",10,"related","phonological",1366.3,"Roelofs"
"13",10,"unrelated","phonological",1492.3,"Roelofs"
"14",10,"unrelated","semantic",1325.3,"Roelofs"
"15",10,"unrelated","phonological",930.3,"Roelofs"
"16",10,"related","semantic",974.3,"Roelofs"
"17",10,"related","phonological",1008.3,"Roelofs"
"18",10,"unrelated","phonological",1025.3,"Roelofs"
"19",10,"related","phonological",1168.3,"Roelofs"
"20",10,"related","phonological",751.3,"Roelofs"
"21",10,"unrelated","phonological",923.3,"Roelofs"
"22",10,"related","semantic",812.3,"Roelofs"
"23",10,"unrelated","semantic",999.3,"Roelofs"
"24",10,"unrelated","phonological",1684.3,"Roelofs"
"25",10,"related","semantic",1198.3,"Roelofs"
"26",10,"related","phonological",1010.3,"Roelofs"
"27",10,"related","phonological",909.3,"Roelofs"
"28",10,"related","phonological",1583.3,"Roelofs"
"29",10,"unrelated","semantic",1051.3,"Roelofs"
"30",10,"unrelated","semantic",883.3,"Roelofs"
"31",10,"related","phonological",943.3,"Roelofs"
"32",10,"unrelated","phonological",1715.3,"Roelofs"
"33",10,"related","semantic",1186.3,"Roelofs"
"34",10,"unrelated","phonological",1749.3,"Roelofs"
"35",10,"unrelated","phonological",900.3,"Roelofs"
"36",10,"related","semantic",3160.3,"Roelofs"
"37",10,"unrelated","phonological",1057.3,"Roelofs"
"38",10,"unrelated","semantic",1788.3,"Roelofs"
"39",10,"unrelated","phonological",1334.3,"Roelofs"
"40",10,"unrelated","phonological",2043.3,"Roelofs"
"41",10,"related","semantic",806.3,"Roelofs"
"42",10,"unrelated","semantic",1223.3,"Roelofs"
"43",10,"unrelated","semantic",1240.3,"Roelofs"
"44",10,"unrelated","semantic",900.3,"Roelofs"
"45",10,"unrelated","semantic",2096.3,"Roelofs"
"46",10,"related","phonological",1056.3,"Roelofs"
"47",10,"unrelated","semantic",1446.3,"Roelofs"
"48",10,"unrelated","semantic",2138.3,"Roelofs"
"49",10,"related","semantic",1322.3,"Roelofs"
"50",10,"related","semantic",1341.3,"Roelofs"
"51",10,"unrelated","phonological",983.3,"Roelofs"
"52",10,"related","phonological",1179.3,"Roelofs"
"53",10,"related","phonological",1044.3,"Roelofs"
"54",10,"related","semantic",1140.3,"Roelofs"
"55",10,"related","semantic",766.3,"Roelofs"
"56",10,"related","phonological",1037.3,"Roelofs"
"57",10,"unrelated","phonological",980.3,"Roelofs"
"58",10,"related","semantic",940.3,"Roelofs"
"59",10,"related","semantic",1149.3,"Roelofs"
"60",10,"unrelated","semantic",2603.3,"Roelofs"
"61",10,"related","semantic",1082.3,"Roelofs"
"62",10,"related","phonological",1667.3,"Roelofs"
"63",10,"related","semantic",1465.3,"Roelofs"
"64",10,"related","phonological",722.3,"Roelofs"
"65",10,"related","phonological",1475.3,"Roelofs"
"66",10,"related","semantic",1242.3,"Roelofs"
"67",10,"unrelated","phonological",919.3,"Roelofs"
"68",10,"unrelated","phonological",936.3,"Roelofs"
"69",10,"unrelated","semantic",997.3,"Roelofs"
"70",10,"unrelated","phonological",2037.3,"Roelofs"
"71",10,"related","semantic",1739.3,"Roelofs"
"72",10,"related","semantic",1452.3,"Roelofs"
"73",10,"unrelated","phonological",970.3,"Roelofs"
"74",10,"unrelated","phonological",1610.3,"Roelofs"
"75",10,"related","phonological",1208.3,"Roelofs"
