"","idv","iv","iv2","dv","exp"
"1",501,"CleanProc",1,504,"Yap_etal_2008"
"2",501,"CleanProc",1,521,"Yap_etal_2008"
"3",501,"CleanProc",1,530,"Yap_etal_2008"
"4",501,"CleanProc",1,537,"Yap_etal_2008"
"5",501,"CleanProc",1,543,"Yap_etal_2008"
"6",501,"CleanProc",1,553,"Yap_etal_2008"
"7",501,"DegradedProc",1,561,"Yap_etal_2008"
"8",501,"CleanProc",1,562,"Yap_etal_2008"
"9",501,"CleanProc",1,566,"Yap_etal_2008"
"10",501,"DegradedProc",1,566,"Yap_etal_2008"
"11",501,"CleanProc",1,575,"Yap_etal_2008"
"12",501,"CleanProc",1,578,"Yap_etal_2008"
"13",501,"CleanProc",1,578,"Yap_etal_2008"
"14",501,"CleanProc",1,592,"Yap_etal_2008"
"15",501,"DegradedProc",1,594,"Yap_etal_2008"
"16",501,"DegradedProc",1,594,"Yap_etal_2008"
"17",501,"CleanProc",1,597,"Yap_etal_2008"
"18",501,"CleanProc",1,602,"Yap_etal_2008"
"19",501,"CleanProc",1,603,"Yap_etal_2008"
"20",501,"CleanProc",1,603,"Yap_etal_2008"
"21",501,"CleanProc",1,604,"Yap_etal_2008"
"22",501,"CleanProc",1,605,"Yap_etal_2008"
"23",501,"CleanProc",1,618,"Yap_etal_2008"
"24",501,"CleanProc",1,632,"Yap_etal_2008"
"25",501,"CleanProc",1,635,"Yap_etal_2008"
"26",501,"CleanProc",1,635,"Yap_etal_2008"
"27",501,"CleanProc",1,636,"Yap_etal_2008"
"28",501,"CleanProc",1,643,"Yap_etal_2008"
"29",501,"CleanProc",1,647,"Yap_etal_2008"
"30",501,"CleanProc",1,647,"Yap_etal_2008"
"31",501,"CleanProc",1,648,"Yap_etal_2008"
"32",501,"CleanProc",1,648,"Yap_etal_2008"
"33",501,"DegradedProc",1,649,"Yap_etal_2008"
"34",501,"CleanProc",1,653,"Yap_etal_2008"
"35",501,"CleanProc",1,656,"Yap_etal_2008"
"36",501,"CleanProc",1,665,"Yap_etal_2008"
"37",501,"CleanProc",1,673,"Yap_etal_2008"
"38",501,"DegradedProc",1,673,"Yap_etal_2008"
"39",501,"CleanProc",1,680,"Yap_etal_2008"
"40",501,"DegradedProc",1,691,"Yap_etal_2008"
"41",501,"CleanProc",1,696,"Yap_etal_2008"
"42",501,"CleanProc",1,700,"Yap_etal_2008"
"43",501,"DegradedProc",1,700,"Yap_etal_2008"
"44",501,"CleanProc",1,701,"Yap_etal_2008"
"45",501,"DegradedProc",1,702,"Yap_etal_2008"
"46",501,"DegradedProc",1,706,"Yap_etal_2008"
"47",501,"DegradedProc",1,710,"Yap_etal_2008"
"48",501,"CleanProc",1,713,"Yap_etal_2008"
"49",501,"CleanProc",1,728,"Yap_etal_2008"
"50",501,"CleanProc",1,732,"Yap_etal_2008"
"51",501,"DegradedProc",1,733,"Yap_etal_2008"
"52",501,"DegradedProc",1,734,"Yap_etal_2008"
"53",501,"DegradedProc",1,747,"Yap_etal_2008"
"54",501,"CleanProc",1,756,"Yap_etal_2008"
"55",501,"CleanProc",1,766,"Yap_etal_2008"
"56",501,"DegradedProc",1,766,"Yap_etal_2008"
"57",501,"DegradedProc",1,769,"Yap_etal_2008"
"58",501,"CleanProc",1,778,"Yap_etal_2008"
"59",501,"DegradedProc",1,782,"Yap_etal_2008"
"60",501,"DegradedProc",1,785,"Yap_etal_2008"
"61",501,"DegradedProc",1,794,"Yap_etal_2008"
"62",501,"DegradedProc",1,799,"Yap_etal_2008"
"63",501,"DegradedProc",1,801,"Yap_etal_2008"
"64",501,"DegradedProc",1,801,"Yap_etal_2008"
"65",501,"CleanProc",1,804,"Yap_etal_2008"
"66",501,"DegradedProc",1,808,"Yap_etal_2008"
"67",501,"DegradedProc",1,841,"Yap_etal_2008"
"68",501,"CleanProc",1,864,"Yap_etal_2008"
"69",501,"DegradedProc",1,870,"Yap_etal_2008"
"70",501,"DegradedProc",1,888,"Yap_etal_2008"
"71",501,"DegradedProc",1,895,"Yap_etal_2008"
"72",501,"DegradedProc",1,937,"Yap_etal_2008"
"73",501,"DegradedProc",1,947,"Yap_etal_2008"
"74",501,"DegradedProc",1,965,"Yap_etal_2008"
"75",501,"DegradedProc",1,967,"Yap_etal_2008"
"76",501,"DegradedProc",1,979,"Yap_etal_2008"
"77",501,"DegradedProc",1,983,"Yap_etal_2008"
"78",501,"CleanProc",1,1009,"Yap_etal_2008"
"79",501,"DegradedProc",1,1035,"Yap_etal_2008"
"80",501,"CleanProc",1,1046,"Yap_etal_2008"
"81",501,"DegradedProc",1,1059,"Yap_etal_2008"
"82",501,"CleanProc",1,1076,"Yap_etal_2008"
"83",501,"DegradedProc",1,1105,"Yap_etal_2008"
"84",501,"DegradedProc",1,1116,"Yap_etal_2008"
"85",501,"DegradedProc",1,1132,"Yap_etal_2008"
"86",501,"DegradedProc",1,1185,"Yap_etal_2008"
"87",501,"DegradedProc",1,1263,"Yap_etal_2008"
"88",501,"CleanProc",1,1451,"Yap_etal_2008"
"89",501,"DegradedProc",1,1698,"Yap_etal_2008"
"90",502,"CleanProc",1,472,"Yap_etal_2008"
"91",502,"CleanProc",1,483,"Yap_etal_2008"
"92",502,"CleanProc",1,497,"Yap_etal_2008"
"93",502,"CleanProc",1,500,"Yap_etal_2008"
"94",502,"CleanProc",1,511,"Yap_etal_2008"
"95",502,"CleanProc",1,514,"Yap_etal_2008"
"96",502,"CleanProc",1,516,"Yap_etal_2008"
"97",502,"CleanProc",1,518,"Yap_etal_2008"
"98",502,"CleanProc",1,519,"Yap_etal_2008"
"99",502,"CleanProc",1,528,"Yap_etal_2008"
