"","idv","iv","iv2","dv","exp"
"1",1,"I",1,1,"jasifi_rt"
"2",1,"I",2,2,"jasifi_rt"
"3",1,"I",1,1,"jasifi_rt"
"4",1,"I",2,2,"jasifi_rt"
"5",1,"I",1,1,"jasifi_rt"
"6",1,"I",1,1,"jasifi_rt"
"7",1,"I",2,2,"jasifi_rt"
"8",1,"I",2,2,"jasifi_rt"
"9",1,"I",1,1,"jasifi_rt"
"10",1,"I",1,1,"jasifi_rt"
"11",1,"I",2,2,"jasifi_rt"
"12",1,"I",2,1,"jasifi_rt"
"13",1,"I",2,2,"jasifi_rt"
"14",1,"I",2,2,"jasifi_rt"
"15",1,"I",1,1,"jasifi_rt"
"16",1,"I",1,1,"jasifi_rt"
"17",1,"I",1,1,"jasifi_rt"
"18",1,"I",1,1,"jasifi_rt"
"19",1,"I",1,2,"jasifi_rt"
"20",1,"I",2,2,"jasifi_rt"
"21",1,"I",2,2,"jasifi_rt"
"22",1,"I",2,2,"jasifi_rt"
"23",1,"I",1,1,"jasifi_rt"
"24",1,"I",2,2,"jasifi_rt"
"25",1,"I",1,2,"jasifi_rt"
"26",1,"I",2,2,"jasifi_rt"
"27",1,"I",1,1,"jasifi_rt"
"28",1,"I",2,2,"jasifi_rt"
"29",1,"I",2,2,"jasifi_rt"
"30",1,"I",2,2,"jasifi_rt"
"31",1,"I",2,1,"jasifi_rt"
"32",1,"I",1,1,"jasifi_rt"
"33",1,"I",2,2,"jasifi_rt"
"34",1,"I",2,2,"jasifi_rt"
"35",1,"I",2,1,"jasifi_rt"
"36",1,"I",1,1,"jasifi_rt"
"37",1,"I",2,2,"jasifi_rt"
"38",1,"I",2,2,"jasifi_rt"
"39",1,"I",2,1,"jasifi_rt"
"40",1,"I",1,2,"jasifi_rt"
"41",1,"I",2,1,"jasifi_rt"
"42",1,"I",2,2,"jasifi_rt"
"43",1,"I",2,1,"jasifi_rt"
"44",1,"I",2,2,"jasifi_rt"
"45",1,"I",2,2,"jasifi_rt"
"46",1,"I",2,2,"jasifi_rt"
"47",1,"I",2,2,"jasifi_rt"
"48",1,"I",2,2,"jasifi_rt"
"49",1,"I",1,2,"jasifi_rt"
"50",1,"I",1,2,"jasifi_rt"
"51",1,"I",1,2,"jasifi_rt"
"52",1,"I",2,1,"jasifi_rt"
"53",1,"I",1,1,"jasifi_rt"
"54",1,"I",1,1,"jasifi_rt"
"55",1,"I",2,1,"jasifi_rt"
"56",1,"I",1,1,"jasifi_rt"
"57",1,"I",2,1,"jasifi_rt"
"58",1,"I",2,1,"jasifi_rt"
"59",1,"I",1,1,"jasifi_rt"
"60",1,"I",2,2,"jasifi_rt"
"61",1,"I",1,1,"jasifi_rt"
"62",1,"I",1,1,"jasifi_rt"
"63",1,"I",1,1,"jasifi_rt"
"64",1,"I",2,1,"jasifi_rt"
"65",1,"I",1,1,"jasifi_rt"
"66",1,"I",2,2,"jasifi_rt"
"67",1,"I",1,1,"jasifi_rt"
"68",1,"I",2,1,"jasifi_rt"
"69",1,"I",1,1,"jasifi_rt"
"70",1,"I",2,2,"jasifi_rt"
"71",1,"I",2,2,"jasifi_rt"
"72",1,"I",2,2,"jasifi_rt"
"73",1,"I",1,1,"jasifi_rt"
"74",1,"I",1,1,"jasifi_rt"
"75",1,"I",1,1,"jasifi_rt"
"76",1,"I",1,1,"jasifi_rt"
"77",1,"I",2,1,"jasifi_rt"
"78",1,"I",2,1,"jasifi_rt"
"79",1,"I",1,1,"jasifi_rt"
"80",1,"I",1,1,"jasifi_rt"
"81",1,"I",2,1,"jasifi_rt"
"82",1,"I",1,1,"jasifi_rt"
"83",1,"I",1,1,"jasifi_rt"
"84",1,"I",1,1,"jasifi_rt"
"85",1,"I",1,1,"jasifi_rt"
"86",1,"I",1,1,"jasifi_rt"
"87",1,"I",1,1,"jasifi_rt"
"88",1,"I",1,1,"jasifi_rt"
"89",1,"I",1,1,"jasifi_rt"
"90",1,"I",2,2,"jasifi_rt"
"91",1,"I",1,1,"jasifi_rt"
"92",1,"I",1,1,"jasifi_rt"
